provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
LE,2021-03-02,46,leon,6.0,1.7,0.5,1020
LE,2021-03-03,27,leon,7.2,2.2,0.0,1020
LE,2021-03-04,47,leon,7.6,1.7,0.0,1020
LE,2021-03-05,40,leon,8.1,2.2,0.0,1020
LE,2021-03-06,25,leon,5.0,1.4,0.1,1020
LE,2021-03-07,19,leon,5.4,1.4,2.5,1020
LE,2021-03-08,45,leon,4.2,2.2,0.0,1020
LE,2021-03-09,44,leon,3.4,1.9,0.0,1020
LE,2021-03-10,34,leon,5.5,1.7,0.0,1020
LE,2021-03-11,34,leon,8.4,2.8,0.0,1020
LE,2021-03-12,46,leon,4.9,4.4,0.0,1020
LE,2021-03-13,22,leon,5.1,5.3,0.0,1020
LE,2021-03-14,15,leon,5.4,4.2,0.0,1020
LE,2021-03-15,33,leon,7.2,0.6,0.1,1020
LE,2021-03-16,30,leon,6.8,2.2,0.0,1020
LE,2021-03-17,26,leon,9.3,2.2,0.0,1020
LE,2021-03-18,19,leon,4.8,3.9,0.0,1020
LE,2021-03-19,30,leon,5.0,5.6,0.0,1020
LE,2021-03-20,16,leon,3.4,2.5,0.0,1020
LE,2021-03-21,14,leon,4.3,1.9,0.0,1020
LE,2021-03-22,43,leon,5.2,0.8,0.0,1020
LE,2021-03-23,28,leon,9.3,1.7,0.0,1020
LE,2021-03-24,28,leon,9.6,2.2,0.0,1020
LE,2021-03-25,24,leon,7.6,1.9,0.0,1020
LE,2021-03-26,46,leon,5.5,5.3,0.0,1020
LE,2021-03-27,27,leon,7.0,1.4,0.0,1020
LE,2021-03-28,13,leon,8.8,2.5,0.0,1020
LE,2021-03-29,46,leon,8.9,1.9,0.0,1020
LE,2021-03-30,30,leon,11.5,0.6,0.0,1020
LE,2021-03-31,49,leon,12.5,1.7,0.1,1020
LE,2021-05-27,51,leon,14.9,1.7,0.0,1020
LE,2021-05-28,49,leon,17.6,1.9,1.7,1020
LE,2021-05-29,25,leon,16.2,1.7,6.6,1020
LE,2021-05-30,21,leon,17.2,1.7,0.0,1020
LE,2021-05-31,70,leon,17.9,3.1,0.0,1020
LE,2021-06-01,53,leon,16.0,3.1,5.0,1020
LE,2021-06-02,30,leon,13.2,3.1,0.0,1020
LE,2021-06-03,30,leon,13.4,3.3,0.0,1020
LE,2021-06-04,33,leon,11.8,0.8,0.0,1020
LE,2021-06-05,21,leon,14.3,1.9,0.0,1020
LE,2021-06-06,18,leon,16.0,1.9,0.0,1020
LE,2021-06-07,39,leon,16.2,1.1,0.0,1020
LE,2021-06-08,37,leon,18.2,2.8,0.0,1020
LE,2021-06-09,29,leon,15.7,1.9,0.0,1020
LE,2021-06-10,36,leon,18.7,1.4,0.0,1020
LE,2021-06-11,28,leon,19.6,2.2,0.6,1020
LE,2021-06-12,25,leon,18.6,2.8,0.1,1020
LE,2021-06-13,27,leon,20.6,1.9,4.2,1020
LE,2021-06-14,43,leon,19.5,1.7,1.3,1020
LE,2021-06-15,31,leon,20.4,2.8,0.3,1020
