provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
L,2021-03-02,113,lleida,11.9,1.7,0.0,185
L,2021-03-03,92,lleida,11.2,1.1,0.0,185
L,2021-03-04,76,lleida,11.4,1.1,0.0,185
L,2021-03-05,119,lleida,10.6,1.4,0.0,185
L,2021-03-06,82,lleida,10.6,0.6,0.0,185
L,2021-03-07,82,lleida,12.2,1.9,0.0,185
L,2021-03-08,114,lleida,12.1,2.2,0.9,185
L,2021-03-09,106,lleida,10.0,2.8,0.0,185
L,2021-03-10,122,lleida,8.1,1.4,0.0,185
L,2021-03-11,102,lleida,11.4,1.1,0.0,185
L,2021-03-12,113,lleida,12.4,4.7,0.0,185
L,2021-03-13,106,lleida,10.1,3.1,0.0,185
L,2021-03-14,75,lleida,12.3,6.9,0.0,185
L,2021-03-15,136,lleida,10.3,3.6,0.0,185
L,2021-03-16,139,lleida,11.5,2.8,0.0,185
L,2021-03-17,131,lleida,13.4,3.9,0.0,185
L,2021-03-18,126,lleida,10.8,2.8,0.0,185
L,2021-03-19,140,lleida,8.8,1.9,0.0,185
L,2021-03-20,105,lleida,7.4,1.9,0.0,185
L,2021-03-21,97,lleida,8.8,3.6,0.0,185
L,2021-03-22,153,lleida,11.2,2.8,0.0,185
L,2021-03-23,152,lleida,10.4,1.7,0.0,185
L,2021-03-24,141,lleida,13.0,1.4,0.0,185
L,2021-03-25,174,lleida,12.5,1.7,0.0,185
L,2021-03-26,162,lleida,14.6,1.7,0.0,185
L,2021-03-27,142,lleida,13.8,2.2,0.0,185
L,2021-03-28,111,lleida,14.2,1.9,0.0,185
L,2021-03-29,174,lleida,15.0,1.4,0.0,185
L,2021-03-30,142,lleida,16.2,1.7,0.0,185
L,2021-03-31,155,lleida,15.2,1.9,0.0,185
L,2021-04-01,189,lleida,15.7,1.7,0.0,185
L,2021-04-02,143,lleida,16.0,1.7,0.0,185
L,2021-04-03,138,lleida,16.9,2.5,0.0,185
L,2021-04-04,131,lleida,13.2,1.9,0.0,185
L,2021-04-05,161,lleida,14.2,1.9,0.0,185
L,2021-04-06,182,lleida,12.8,5.8,0.0,185
L,2021-04-07,194,lleida,9.2,2.5,0.0,185
L,2021-04-08,158,lleida,10.8,3.1,0.0,185
L,2021-04-09,188,lleida,9.3,2.5,3.8,185
L,2021-04-10,176,lleida,12.4,1.7,0.0,185
L,2021-04-11,134,lleida,11.4,1.7,1.2,185
L,2021-04-12,178,lleida,11.4,3.1,0.0,185
L,2021-04-13,181,lleida,11.6,1.9,0.0,185
L,2021-04-14,175,lleida,15.0,3.1,0.0,185
L,2021-04-15,197,lleida,13.4,3.3,1.2,185
L,2021-04-16,216,lleida,11.1,1.9,2.0,185
L,2021-04-17,158,lleida,10.2,2.8,0.0,185
L,2021-04-18,122,lleida,10.2,1.7,0.0,185
L,2021-04-19,165,lleida,12.5,1.7,0.0,185
L,2021-04-20,200,lleida,14.7,2.2,6.2,185
L,2021-04-21,169,lleida,14.1,3.1,0.0,185
L,2021-04-22,172,lleida,13.2,2.2,0.0,185
L,2021-04-23,158,lleida,14.8,2.2,0.0,185
L,2021-04-24,118,lleida,14.9,2.2,0.0,185
L,2021-04-25,88,lleida,16.6,3.3,5.2,185
L,2021-04-26,191,lleida,13.0,1.1,1.0,185
L,2021-04-27,157,lleida,14.2,1.1,1.1,185
L,2021-04-28,136,lleida,17.2,1.9,0.4,185
L,2021-04-29,132,lleida,17.6,1.9,5.1,185
L,2021-04-30,143,lleida,16.1,2.5,13.6,185
L,2021-05-01,91,lleida,15.0,4.4,0.0,185
L,2021-05-02,71,lleida,13.6,1.4,0.0,185
L,2021-05-03,104,lleida,14.4,2.2,0.0,185
L,2021-05-04,98,lleida,15.8,1.9,0.0,185
L,2021-05-05,86,lleida,17.8,3.9,0.0,185
L,2021-05-06,58,lleida,19.4,1.9,0.0,185
L,2021-05-07,84,lleida,20.4,3.6,0.0,185
L,2021-05-08,56,lleida,21.8,2.5,0.0,185
L,2021-05-09,43,lleida,19.8,4.2,1.2,185
L,2021-05-10,71,lleida,17.6,3.1,0.3,185
L,2021-05-11,32,lleida,15.2,6.4,0.0,185
L,2021-05-12,45,lleida,15.6,3.3,0.0,185
L,2021-05-13,66,lleida,15.1,3.9,9.4,185
L,2021-05-14,58,lleida,16.0,6.7,0.0,185
L,2021-05-15,30,lleida,18.2,1.7,0.0,185
L,2021-05-16,40,lleida,21.6,5.0,0.0,185
L,2021-05-17,68,lleida,17.4,5.3,0.0,185
L,2021-05-18,63,lleida,19.4,2.8,0.0,185
L,2021-05-19,27,lleida,17.6,5.0,0.0,185
L,2021-05-20,29,lleida,17.1,1.7,0.0,185
L,2021-05-21,38,lleida,20.6,2.8,0.0,185
L,2021-05-22,20,lleida,18.8,3.1,0.1,185
L,2021-05-23,34,lleida,14.4,1.4,0.0,185
L,2021-05-24,53,lleida,17.6,4.4,0.0,185
L,2021-05-25,38,lleida,18.4,3.3,0.0,185
L,2021-05-26,38,lleida,18.4,3.1,0.0,185
L,2021-05-27,30,lleida,20.6,2.2,0.0,185
L,2021-05-28,28,lleida,23.0,2.5,0.0,185
L,2021-05-29,17,lleida,24.0,1.7,0.0,185
L,2021-05-30,15,lleida,24.4,2.2,0.0,185
L,2021-05-31,27,lleida,23.0,2.5,0.0,185
L,2021-06-01,26,lleida,21.8,3.9,15.0,185
L,2021-06-02,21,lleida,21.3,2.2,0.0,185
L,2021-06-03,17,lleida,23.2,3.1,0.0,185
L,2021-06-04,23,lleida,22.7,1.7,0.0,185
L,2021-06-05,17,lleida,21.9,2.2,0.0,185
L,2021-06-06,9,lleida,22.9,2.8,0.0,185
L,2021-06-07,36,lleida,22.6,2.8,0.0,185
