provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
LU,2021-03-02,10,lugo,8.8,2.5,0.0,445
LU,2021-03-03,16,lugo,9.8,1.4,0.2,445
LU,2021-03-04,11,lugo,11.5,1.4,3.8,445
LU,2021-03-05,14,lugo,10.4,1.9,0.2,445
LU,2021-03-06,4,lugo,7.8,1.7,0.0,445
LU,2021-03-07,9,lugo,4.4,1.9,0.0,445
LU,2021-03-08,13,lugo,6.0,3.1,0.0,445
LU,2021-03-09,15,lugo,5.6,1.9,0.0,445
LU,2021-03-10,9,lugo,6.0,2.2,0.2,445
LU,2021-03-11,12,lugo,9.4,2.8,8.0,445
LU,2021-03-12,14,lugo,7.8,2.5,0.4,445
LU,2021-03-13,9,lugo,8.7,2.8,5.4,445
LU,2021-03-14,13,lugo,7.6,0.8,0.2,445
LU,2021-03-15,14,lugo,8.0,1.4,0.0,445
LU,2021-03-16,6,lugo,9.2,3.3,0.0,445
LU,2021-03-17,16,lugo,9.9,2.8,0.0,445
LU,2021-03-18,20,lugo,8.2,3.1,0.0,445
LU,2021-03-19,7,lugo,6.4,1.9,1.6,445
LU,2021-03-20,2,lugo,6.7,2.8,0.0,445
LU,2021-03-21,3,lugo,5.9,2.5,0.0,445
LU,2021-03-22,9,lugo,8.0,1.1,0.0,445
LU,2021-03-23,12,lugo,10.8,1.7,0.0,445
LU,2021-03-24,11,lugo,9.5,1.4,0.0,445
LU,2021-03-25,10,lugo,9.3,1.1,0.0,445
LU,2021-03-26,8,lugo,7.8,1.7,0.2,445
LU,2021-03-27,15,lugo,8.2,0.8,0.2,445
LU,2021-03-28,12,lugo,11.8,1.7,0.0,445
LU,2021-03-29,10,lugo,12.3,0.6,0.0,445
LU,2021-03-30,9,lugo,14.0,0.3,0.0,445
LU,2021-03-31,12,lugo,17.6,1.9,0.0,445
LU,2021-04-01,7,lugo,16.4,1.9,15.6,445
LU,2021-04-02,13,lugo,15.2,1.1,0.0,445
LU,2021-04-03,8,lugo,10.4,2.2,0.0,445
LU,2021-04-04,9,lugo,9.6,1.9,0.0,445
LU,2021-04-05,9,lugo,10.4,1.9,0.0,445
LU,2021-04-06,11,lugo,9.7,2.2,0.0,445
LU,2021-04-07,14,lugo,9.4,2.5,0.0,445
LU,2021-04-08,15,lugo,11.8,1.7,0.0,445
LU,2021-04-09,20,lugo,12.0,1.7,8.4,445
LU,2021-04-10,19,lugo,11.0,1.4,8.8,445
LU,2021-04-11,9,lugo,6.2,3.1,0.2,445
LU,2021-04-12,5,lugo,8.3,1.1,0.0,445
LU,2021-04-13,20,lugo,9.1,1.1,0.4,445
LU,2021-04-14,20,lugo,11.6,1.7,0.0,445
LU,2021-04-15,20,lugo,10.2,3.1,0.0,445
LU,2021-04-16,18,lugo,8.8,2.2,0.0,445
LU,2021-04-17,8,lugo,7.8,1.1,0.0,445
LU,2021-04-18,10,lugo,10.4,1.1,0.0,445
LU,2021-04-19,15,lugo,14.9,1.9,0.2,445
LU,2021-04-20,19,lugo,12.0,0.8,14.0,445
LU,2021-04-21,8,lugo,13.0,1.1,3.0,445
LU,2021-04-22,14,lugo,13.2,1.1,0.0,445
LU,2021-04-23,14,lugo,12.4,1.1,4.6,445
LU,2021-04-24,13,lugo,17.0,2.2,12.2,445
LU,2021-04-25,15,lugo,13.6,1.4,14.6,445
LU,2021-04-26,23,lugo,13.0,1.1,9.6,445
LU,2021-04-27,18,lugo,12.6,1.4,0.0,445
LU,2021-04-28,14,lugo,10.7,3.1,0.0,445
LU,2021-04-29,22,lugo,8.6,2.2,0.0,445
LU,2021-04-30,18,lugo,9.2,1.1,0.0,445
LU,2021-05-01,8,lugo,7.6,1.7,0.0,445
LU,2021-05-02,11,lugo,7.3,2.2,0.0,445
LU,2021-05-03,16,lugo,10.8,1.4,0.0,445
LU,2021-05-04,14,lugo,12.3,1.7,0.0,445
LU,2021-05-05,11,lugo,15.6,1.9,0.0,445
LU,2021-05-06,9,lugo,14.4,4.7,0.0,445
LU,2021-05-07,8,lugo,15.0,2.5,0.0,445
LU,2021-05-08,11,lugo,15.0,3.9,1.2,445
LU,2021-05-09,14,lugo,11.4,3.3,4.6,445
LU,2021-05-10,8,lugo,8.3,2.5,10.0,445
LU,2021-05-11,10,lugo,9.6,3.3,4.4,445
LU,2021-05-12,14,lugo,10.7,3.6,5.0,445
LU,2021-05-13,9,lugo,10.0,2.5,6.2,445
LU,2021-05-14,9,lugo,9.8,2.5,0.6,445
LU,2021-05-15,9,lugo,14.2,4.2,8.2,445
LU,2021-05-16,10,lugo,12.8,3.3,0.0,445
LU,2021-05-17,11,lugo,13.4,1.4,0.4,445
LU,2021-05-18,14,lugo,13.2,3.1,1.2,445
LU,2021-05-19,25,lugo,12.6,1.4,0.0,445
LU,2021-05-20,31,lugo,14.6,1.9,2.0,445
LU,2021-05-21,26,lugo,13.2,1.9,1.8,445
LU,2021-05-22,16,lugo,10.8,1.9,0.4,445
LU,2021-05-23,19,lugo,11.9,3.3,3.6,445
LU,2021-05-24,18,lugo,11.1,2.5,0.0,445
LU,2021-05-25,12,lugo,10.6,2.2,0.0,445
LU,2021-05-26,11,lugo,14.0,1.4,0.0,445
LU,2021-05-27,17,lugo,16.8,1.7,0.0,445
LU,2021-05-28,11,lugo,18.8,1.4,0.0,445
LU,2021-05-29,22,lugo,16.6,2.8,0.0,445
LU,2021-05-30,14,lugo,16.0,2.2,0.0,445
LU,2021-05-31,10,lugo,20.1,1.4,0.0,445
LU,2021-06-01,16,lugo,17.8,2.5,0.0,445
LU,2021-06-02,9,lugo,16.2,2.2,1.0,445
LU,2021-06-03,14,lugo,10.8,1.9,0.0,445
LU,2021-06-04,10,lugo,11.6,1.7,0.0,445
LU,2021-06-05,11,lugo,14.4,1.7,0.0,445
LU,2021-06-06,14,lugo,15.8,2.2,0.0,445
LU,2021-06-07,10,lugo,19.1,1.7,0.0,445
LU,2021-06-08,8,lugo,17.4,1.9,0.0,445
LU,2021-06-09,7,lugo,18.7,1.9,0.0,445
LU,2021-06-10,9,lugo,18.6,1.9,0.0,445
LU,2021-06-11,17,lugo,16.4,3.1,0.0,445
LU,2021-06-12,11,lugo,17.8,2.8,0.0,445
LU,2021-06-13,5,lugo,22.6,1.7,4.2,445
LU,2021-06-14,9,lugo,21.4,2.5,0.0,445
LU,2021-06-15,22,lugo,21.3,2.2,0.6,445
