provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
MA,2021-03-02,147,malaga,12.2,0.8,0.0,408
MA,2021-03-03,157,malaga,13.0,1.7,0.0,408
MA,2021-03-04,150,malaga,12.0,3.6,0.0,408
MA,2021-03-05,134,malaga,11.4,3.1,1.1,408
MA,2021-03-06,85,malaga,10.7,0.0,0.3,408
MA,2021-03-07,91,malaga,11.2,0.3,14.0,408
MA,2021-03-09,130,malaga,10.6,0.8,0.0,408
MA,2021-03-10,123,malaga,9.4,0.6,0.0,408
MA,2021-03-11,107,malaga,10.4,0.8,0.0,408
MA,2021-03-12,155,malaga,11.0,1.1,0.0,408
MA,2021-03-13,93,malaga,11.4,1.9,0.0,408
MA,2021-03-14,81,malaga,11.4,0.6,0.0,408
MA,2021-03-15,127,malaga,11.6,1.7,0.0,408
MA,2021-03-16,98,malaga,11.6,2.2,0.0,408
MA,2021-03-17,136,malaga,14.2,3.6,0.0,408
MA,2021-03-18,114,malaga,11.6,1.1,0.0,408
MA,2021-03-19,110,malaga,9.6,0.8,0.4,408
MA,2021-03-20,89,malaga,8.8,1.1,0.1,408
MA,2021-03-21,66,malaga,7.6,1.1,0.0,408
MA,2021-03-22,128,malaga,9.2,0.6,0.0,408
MA,2021-03-23,142,malaga,11.2,1.4,0.0,408
MA,2021-03-24,119,malaga,13.0,1.1,0.0,408
MA,2021-03-25,148,malaga,13.6,1.1,0.0,408
MA,2021-03-26,150,malaga,13.8,0.8,0.0,408
MA,2021-03-27,111,malaga,12.9,2.5,0.0,408
MA,2021-03-28,91,malaga,14.4,3.6,0.0,408
MA,2021-03-29,165,malaga,15.8,2.2,0.0,408
MA,2021-03-30,162,malaga,16.6,1.7,0.0,408
MA,2021-03-31,171,malaga,18.0,2.5,0.0,408
MA,2021-04-01,131,malaga,17.1,2.2,0.0,408
MA,2021-04-02,126,malaga,15.3,1.9,0.0,408
MA,2021-04-03,110,malaga,13.6,1.1,0.0,408
MA,2021-04-05,204,malaga,15.4,2.5,0.0,408
MA,2021-04-06,237,malaga,16.3,0.6,0.0,408
MA,2021-04-07,202,malaga,15.7,4.4,0.0,408
MA,2021-04-08,182,malaga,13.2,4.7,0.0,408
MA,2021-04-09,194,malaga,14.9,2.5,0.0,408
MA,2021-04-10,156,malaga,15.7,2.8,0.0,408
MA,2021-04-11,97,malaga,14.2,1.4,0.0,408
MA,2021-04-12,217,malaga,13.6,3.1,0.0,408
MA,2021-04-13,175,malaga,15.8,3.6,0.0,408
MA,2021-04-14,240,malaga,13.2,2.2,0.1,408
MA,2021-04-15,189,malaga,13.4,1.1,0.8,408
MA,2021-04-16,220,malaga,13.4,1.7,15.4,408
MA,2021-04-17,127,malaga,15.0,1.7,0.0,408
MA,2021-04-18,141,malaga,14.7,0.8,0.0,408
MA,2021-04-19,204,malaga,17.8,1.4,0.0,408
MA,2021-04-20,207,malaga,15.0,1.4,0.0,408
MA,2021-04-21,182,malaga,15.4,1.9,0.6,408
MA,2021-04-22,168,malaga,16.2,1.4,0.1,408
MA,2021-04-24,136,malaga,14.3,3.3,1.9,408
MA,2021-04-25,115,malaga,14.6,1.1,0.1,408
MA,2021-04-26,182,malaga,14.8,1.1,3.2,408
MA,2021-05-21,175,malaga,23.0,1.4,0.0,408
MA,2021-05-22,134,malaga,21.1,1.9,0.0,408
MA,2021-05-23,116,malaga,18.2,2.2,0.0,408
MA,2021-05-24,188,malaga,17.4,1.4,0.0,408
MA,2021-05-25,245,malaga,19.0,2.8,0.0,408
MA,2021-05-26,237,malaga,19.8,3.9,0.0,408
MA,2021-05-27,212,malaga,17.6,1.1,1.2,408
MA,2021-05-28,263,malaga,19.3,1.9,0.0,408
MA,2021-05-29,197,malaga,22.2,3.6,0.0,408
MA,2021-05-30,175,malaga,21.9,3.6,0.0,408
MA,2021-05-31,212,malaga,24.0,2.5,0.0,408
MA,2021-06-01,303,malaga,20.4,2.5,0.0,408
MA,2021-06-02,240,malaga,19.5,2.8,0.0,408
MA,2021-06-03,248,malaga,21.2,3.1,0.0,408
MA,2021-06-04,234,malaga,21.0,2.5,0.3,408
MA,2021-06-05,188,malaga,19.0,1.4,0.1,408
MA,2021-06-06,167,malaga,21.8,1.7,0.0,408
MA,2021-06-07,248,malaga,24.2,4.2,0.0,408
MA,2021-06-08,229,malaga,24.8,2.2,0.0,408
MA,2021-06-09,257,malaga,24.8,1.9,0.0,408
MA,2021-06-10,230,malaga,24.4,3.9,0.0,408
MA,2021-06-11,222,malaga,25.3,3.9,0.0,408
MA,2021-06-12,164,malaga,23.0,1.9,0.0,408
MA,2021-06-13,170,malaga,23.7,1.9,0.0,408
MA,2021-06-14,239,malaga,25.0,1.9,0.0,408
MA,2021-06-15,236,malaga,24.8,1.1,0.0,408
