provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
ML,2021-03-02,31,melilla,15.0,5.0,0.0,52
ML,2021-03-03,31,melilla,15.4,6.7,0.0,52
ML,2021-03-04,29,melilla,15.6,3.9,0.0,52
ML,2021-03-05,34,melilla,15.2,3.1,0.0,52
ML,2021-03-06,25,melilla,15.6,6.7,0.0,52
ML,2021-03-07,10,melilla,17.0,1.7,0.6,52
ML,2021-03-08,31,melilla,15.0,2.8,19.6,52
ML,2021-03-09,33,melilla,14.4,1.7,0.6,52
ML,2021-03-10,38,melilla,13.2,1.9,0.0,52
ML,2021-03-11,36,melilla,15.0,1.9,0.0,52
ML,2021-03-12,29,melilla,17.0,3.3,0.0,52
ML,2021-03-13,28,melilla,16.8,3.1,0.0,52
ML,2021-03-14,29,melilla,15.8,2.8,0.0,52
ML,2021-03-15,56,melilla,15.0,2.8,0.0,52
ML,2021-03-16,44,melilla,14.8,4.7,0.0,52
ML,2021-03-17,29,melilla,15.3,5.3,0.0,52
ML,2021-03-18,26,melilla,14.9,3.6,0.2,52
ML,2021-03-19,22,melilla,14.0,3.3,4.2,52
ML,2021-03-20,24,melilla,10.7,9.2,20.0,52
ML,2021-03-21,15,melilla,12.0,3.3,0.0,52
ML,2021-03-22,43,melilla,14.2,1.7,0.0,52
ML,2021-03-23,28,melilla,15.0,1.9,0.0,52
ML,2021-03-24,26,melilla,16.2,1.4,0.0,52
ML,2021-03-25,31,melilla,15.5,1.9,0.0,52
ML,2021-03-26,26,melilla,15.5,1.9,0.0,52
ML,2021-03-27,20,melilla,15.4,3.1,0.0,52
ML,2021-03-28,21,melilla,16.5,5.6,0.0,52
ML,2021-03-29,39,melilla,16.8,5.0,0.0,52
ML,2021-03-30,36,melilla,17.0,3.9,0.0,52
ML,2021-03-31,38,melilla,16.5,6.1,0.0,52
ML,2021-04-01,26,melilla,17.2,2.8,0.0,52
ML,2021-04-02,23,melilla,17.8,4.4,0.0,52
ML,2021-04-03,32,melilla,18.1,3.1,0.0,52
ML,2021-04-04,32,melilla,17.5,2.8,0.0,52
ML,2021-04-05,42,melilla,16.0,2.5,0.0,52
ML,2021-04-06,36,melilla,16.1,1.9,0.0,52
ML,2021-04-07,43,melilla,16.4,4.4,0.0,52
ML,2021-04-08,36,melilla,15.0,7.8,0.8,52
ML,2021-04-09,29,melilla,15.4,4.7,8.6,52
ML,2021-04-10,39,melilla,17.6,4.2,0.2,52
ML,2021-04-11,28,melilla,18.8,2.8,0.0,52
ML,2021-04-12,31,melilla,18.0,3.9,0.0,52
ML,2021-04-13,31,melilla,16.2,4.4,0.0,52
ML,2021-04-14,28,melilla,16.2,5.6,20.6,52
ML,2021-04-15,30,melilla,13.8,4.7,21.8,52
ML,2021-04-16,20,melilla,14.1,3.9,1.2,52
ML,2021-04-17,13,melilla,15.4,2.2,0.0,52
ML,2021-04-18,19,melilla,18.2,2.5,0.0,52
ML,2021-04-19,29,melilla,17.4,1.9,0.0,52
ML,2021-04-20,24,melilla,18.5,3.6,0.0,52
ML,2021-04-21,28,melilla,19.0,3.3,0.0,52
ML,2021-04-22,34,melilla,18.2,1.9,0.0,52
ML,2021-04-23,26,melilla,17.4,6.1,0.0,52
ML,2021-04-24,10,melilla,16.3,7.2,1.6,52
ML,2021-04-25,20,melilla,16.5,3.6,0.6,52
ML,2021-04-26,12,melilla,17.6,2.5,0.0,52
ML,2021-04-27,20,melilla,20.2,2.8,0.0,52
ML,2021-04-28,13,melilla,19.6,3.9,0.0,52
ML,2021-04-29,12,melilla,19.2,3.1,0.0,52
ML,2021-04-30,21,melilla,16.6,2.8,2.2,52
ML,2021-05-01,9,melilla,17.2,3.6,0.0,52
ML,2021-05-02,12,melilla,17.0,3.6,0.0,52
ML,2021-05-03,22,melilla,16.8,6.1,0.4,52
ML,2021-05-04,15,melilla,16.6,5.3,0.0,52
ML,2021-05-05,18,melilla,18.0,2.2,0.0,52
ML,2021-05-06,23,melilla,18.6,1.7,0.0,52
ML,2021-05-07,20,melilla,20.1,1.7,0.0,52
ML,2021-05-08,17,melilla,20.0,2.2,0.0,52
ML,2021-05-09,9,melilla,20.9,2.8,0.0,52
ML,2021-05-10,20,melilla,19.2,4.2,0.0,52
ML,2021-05-11,13,melilla,17.9,4.2,0.0,52
ML,2021-05-12,7,melilla,18.6,4.2,0.0,52
ML,2021-05-13,11,melilla,21.6,2.8,0.0,52
ML,2021-05-14,12,melilla,21.2,2.5,0.0,52
ML,2021-05-15,13,melilla,21.0,1.9,0.0,52
ML,2021-05-16,8,melilla,25.2,2.8,0.0,52
ML,2021-05-17,23,melilla,24.6,3.3,0.0,52
ML,2021-05-18,8,melilla,20.5,2.5,0.0,52
ML,2021-05-19,6,melilla,21.6,2.5,0.0,52
ML,2021-05-20,13,melilla,20.4,5.6,0.0,52
ML,2021-05-21,13,melilla,21.8,3.3,0.0,52
ML,2021-05-22,8,melilla,24.8,1.9,0.0,52
ML,2021-05-23,11,melilla,20.8,3.1,0.0,52
ML,2021-05-24,18,melilla,21.6,3.3,0.0,52
ML,2021-05-25,11,melilla,19.2,3.6,0.0,52
ML,2021-05-26,12,melilla,19.4,5.3,0.8,52
ML,2021-05-27,14,melilla,17.6,4.2,7.8,52
ML,2021-05-28,5,melilla,19.0,2.8,0.0,52
ML,2021-05-29,7,melilla,20.8,3.3,0.0,52
ML,2021-05-30,4,melilla,20.6,3.9,0.0,52
ML,2021-05-31,5,melilla,21.0,2.2,0.0,52
ML,2021-06-01,16,melilla,20.8,4.2,0.0,52
ML,2021-06-02,9,melilla,21.1,3.1,0.0,52
ML,2021-06-03,6,melilla,20.8,3.1,0.2,52
ML,2021-06-04,7,melilla,22.0,4.4,2.8,52
ML,2021-06-05,2,melilla,20.6,3.1,0.0,52
ML,2021-06-06,5,melilla,20.6,2.2,0.0,52
ML,2021-06-07,5,melilla,21.8,3.3,0.0,52
ML,2021-06-08,6,melilla,21.8,3.1,0.0,52
ML,2021-06-09,1,melilla,23.0,2.2,0.0,52
ML,2021-06-10,2,melilla,21.8,2.8,0.0,52
ML,2021-06-11,0,melilla,23.2,2.8,0.0,52
ML,2021-06-12,1,melilla,22.7,3.6,0.0,52
ML,2021-06-13,6,melilla,23.1,3.3,0.0,52
ML,2021-06-14,1,melilla,24.2,3.1,0.0,52
ML,2021-06-15,3,melilla,24.6,2.8,0.0,52
