provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
MU,2021-03-02,92,murcia,15.8,3.1,0.0,26
MU,2021-03-03,76,murcia,16.3,4.2,0.0,26
MU,2021-03-04,94,murcia,15.4,2.5,0.0,26
MU,2021-03-05,71,murcia,14.0,2.8,0.0,26
MU,2021-03-06,77,murcia,15.1,3.3,19.0,26
MU,2021-03-07,38,murcia,13.1,1.1,4.2,26
MU,2021-03-08,91,murcia,13.7,2.5,2.5,26
MU,2021-03-09,52,murcia,12.8,2.2,0.2,26
MU,2021-03-10,83,murcia,12.7,1.4,0.0,26
MU,2021-03-11,67,murcia,14.1,1.4,0.0,26
MU,2021-03-12,63,murcia,15.0,1.4,0.0,26
MU,2021-03-13,71,murcia,15.8,1.7,0.0,26
MU,2021-03-14,40,murcia,16.0,1.7,0.0,26
MU,2021-03-15,72,murcia,14.8,2.5,0.0,26
MU,2021-03-16,51,murcia,13.9,3.1,0.0,26
MU,2021-03-17,64,murcia,14.0,1.9,0.0,26
MU,2021-03-18,70,murcia,14.4,3.1,3.2,26
MU,2021-03-19,50,murcia,12.4,1.9,6.8,26
MU,2021-03-20,67,murcia,11.4,5.0,0.0,26
MU,2021-03-21,51,murcia,11.2,2.2,0.0,26
MU,2021-03-22,73,murcia,13.6,1.7,0.0,26
MU,2021-03-23,74,murcia,14.0,1.7,0.0,26
MU,2021-03-24,72,murcia,14.6,1.7,0.0,26
MU,2021-03-25,79,murcia,15.2,1.7,0.0,26
MU,2021-03-26,61,murcia,15.4,1.7,0.0,26
MU,2021-03-27,78,murcia,16.8,4.2,0.0,26
MU,2021-03-28,51,murcia,15.2,3.9,0.0,26
MU,2021-03-29,112,murcia,17.7,4.7,0.0,26
MU,2021-03-30,85,murcia,17.8,4.4,0.0,26
MU,2021-03-31,75,murcia,17.0,3.3,0.0,26
MU,2021-04-01,62,murcia,17.8,2.8,0.0,26
MU,2021-04-02,53,murcia,17.6,1.4,0.0,26
MU,2021-04-03,83,murcia,18.2,1.7,0.0,26
MU,2021-04-04,55,murcia,17.0,3.1,0.0,26
MU,2021-04-05,104,murcia,16.4,1.9,0.0,26
MU,2021-04-06,74,murcia,17.9,1.7,0.0,26
MU,2021-04-07,95,murcia,17.2,4.7,0.0,26
MU,2021-04-08,78,murcia,15.8,5.3,1.6,26
MU,2021-04-09,64,murcia,16.2,3.3,0.0,26
MU,2021-04-10,57,murcia,16.0,2.8,0.2,26
MU,2021-04-11,58,murcia,17.9,2.5,0.0,26
MU,2021-04-12,106,murcia,16.6,3.1,0.0,26
MU,2021-04-13,81,murcia,16.5,4.2,0.0,26
MU,2021-04-14,81,murcia,16.1,3.1,4.0,26
MU,2021-04-15,70,murcia,12.4,3.3,7.8,26
MU,2021-04-16,73,murcia,15.2,2.5,1.8,26
MU,2021-04-17,64,murcia,13.7,1.7,0.0,26
MU,2021-04-18,55,murcia,15.6,2.5,0.0,26
