provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
NC,2021-03-02,11,navarra,10.5,1.7,0.0,572
NC,2021-03-03,14,navarra,9.4,0.3,0.0,572
NC,2021-03-04,9,navarra,9.0,0.6,0.0,572
NC,2021-03-05,11,navarra,9.4,1.7,0.0,572
NC,2021-03-06,15,navarra,8.0,1.4,0.0,572
NC,2021-03-07,6,navarra,9.2,1.4,2.3,572
NC,2021-03-08,4,navarra,6.7,1.7,0.0,572
NC,2021-03-09,13,navarra,4.6,1.9,0.0,572
NC,2021-03-10,6,navarra,6.7,0.6,0.0,572
NC,2021-03-11,6,navarra,11.0,1.4,1.9,572
NC,2021-03-12,10,navarra,7.0,2.5,0.0,572
NC,2021-03-13,8,navarra,7.0,1.9,2.1,572
NC,2021-03-14,7,navarra,7.2,1.9,1.8,572
NC,2021-03-15,8,navarra,7.2,2.2,0.4,572
NC,2021-03-16,9,navarra,9.2,1.7,0.0,572
NC,2021-03-17,15,navarra,9.9,3.3,0.0,572
NC,2021-03-18,13,navarra,6.6,3.3,0.3,572
NC,2021-03-19,13,navarra,4.8,2.5,4.7,572
NC,2021-03-20,11,navarra,3.4,2.5,0.0,572
NC,2021-03-21,7,navarra,5.4,3.1,0.5,572
NC,2021-03-22,10,navarra,7.4,3.1,0.0,572
NC,2021-03-23,20,navarra,8.5,1.9,0.0,572
NC,2021-03-24,13,navarra,9.6,1.4,0.0,572
NC,2021-03-25,15,navarra,10.6,0.8,0.0,572
NC,2021-03-26,16,navarra,11.5,1.7,0.0,572
NC,2021-03-27,15,navarra,9.9,0.6,0.0,572
NC,2021-03-28,11,navarra,13.4,2.2,0.0,572
NC,2021-03-29,16,navarra,14.2,3.1,0.0,572
NC,2021-03-30,19,navarra,16.2,3.3,0.0,572
NC,2021-03-31,23,navarra,15.0,2.2,0.0,572
NC,2021-04-01,17,navarra,14.5,2.5,0.0,572
NC,2021-04-02,18,navarra,14.8,2.5,0.0,572
NC,2021-04-03,10,navarra,11.0,2.8,0.0,572
NC,2021-04-04,10,navarra,9.3,3.3,0.0,572
NC,2021-04-05,15,navarra,9.8,3.1,0.1,572
NC,2021-04-06,13,navarra,5.8,2.2,0.0,572
NC,2021-04-07,21,navarra,6.6,1.9,0.0,572
NC,2021-04-08,23,navarra,10.4,1.9,0.0,572
NC,2021-04-09,15,navarra,8.2,2.5,0.6,572
