provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
OR,2021-03-02,17,ourense,8.3,1.7,0.0,840
OR,2021-03-03,13,ourense,9.9,1.7,0.0,840
OR,2021-03-04,12,ourense,9.7,2.5,0.0,840
OR,2021-03-05,7,ourense,10.2,1.7,0.0,840
OR,2021-03-06,12,ourense,8.6,1.7,0.0,840
OR,2021-03-07,4,ourense,6.2,2.2,0.0,840
OR,2021-03-08,10,ourense,5.6,2.2,0.0,840
OR,2021-03-09,9,ourense,4.2,1.9,0.0,840
OR,2021-03-10,10,ourense,6.6,1.7,0.0,840
OR,2021-03-11,15,ourense,10.1,3.6,5.0,840
OR,2021-03-12,7,ourense,6.5,2.8,0.2,840
OR,2021-03-13,9,ourense,6.1,3.1,1.6,840
OR,2021-03-14,7,ourense,7.4,1.9,0.0,840
OR,2021-03-15,14,ourense,8.7,1.9,0.0,840
OR,2021-03-16,13,ourense,9.4,1.9,0.0,840
OR,2021-03-17,10,ourense,11.9,1.9,0.0,840
OR,2021-03-18,14,ourense,8.4,1.9,0.0,840
OR,2021-03-19,12,ourense,6.2,3.1,0.0,840
OR,2021-03-20,6,ourense,6.4,2.5,0.0,840
OR,2021-03-21,8,ourense,6.5,1.9,0.0,840
OR,2021-03-22,8,ourense,8.6,1.9,0.0,840
OR,2021-03-23,8,ourense,11.0,2.5,0.0,840
OR,2021-03-24,4,ourense,7.7,2.8,0.0,840
OR,2021-03-25,6,ourense,9.2,1.9,0.0,840
OR,2021-03-26,7,ourense,8.6,2.2,0.0,840
OR,2021-03-27,6,ourense,10.0,1.4,0.0,840
OR,2021-03-28,13,ourense,11.3,1.9,0.0,840
OR,2021-03-29,16,ourense,10.8,1.7,0.0,840
OR,2021-03-30,5,ourense,13.2,1.9,0.0,840
OR,2021-03-31,10,ourense,17.0,2.5,0.0,840
OR,2021-04-01,17,ourense,14.0,3.1,9.0,840
OR,2021-04-02,16,ourense,11.6,1.9,0.2,840
OR,2021-04-03,11,ourense,12.6,2.8,0.2,840
OR,2021-04-04,10,ourense,11.5,1.9,0.0,840
OR,2021-04-05,6,ourense,12.4,1.9,0.0,840
OR,2021-04-06,7,ourense,9.4,2.2,0.0,840
OR,2021-04-07,16,ourense,10.2,2.2,0.0,840
OR,2021-04-12,28,ourense,7.4,2.2,0.0,840
OR,2021-04-13,14,ourense,7.6,1.7,2.2,840
OR,2021-04-14,18,ourense,13.2,1.9,0.0,840
OR,2021-04-15,18,ourense,13.0,2.2,0.0,840
OR,2021-04-16,16,ourense,11.4,1.9,0.0,840
OR,2021-04-17,16,ourense,9.8,1.7,0.0,840
OR,2021-04-18,16,ourense,10.4,1.4,0.2,840
OR,2021-04-19,19,ourense,13.7,2.2,0.2,840
OR,2021-04-20,18,ourense,10.8,1.9,0.8,840
OR,2021-04-21,19,ourense,8.9,1.7,7.0,840
OR,2021-04-22,20,ourense,10.4,1.1,1.4,840
OR,2021-04-23,12,ourense,12.4,3.9,6.0,840
OR,2021-04-24,20,ourense,14.2,3.1,3.0,840
OR,2021-04-25,17,ourense,10.9,1.9,10.0,840
OR,2021-04-26,21,ourense,11.6,1.7,0.0,840
OR,2021-04-27,18,ourense,12.4,2.2,0.0,840
OR,2021-04-28,18,ourense,9.8,3.3,0.0,840
OR,2021-04-29,18,ourense,8.2,2.5,0.0,840
OR,2021-04-30,16,ourense,9.0,2.5,0.0,840
OR,2021-05-01,20,ourense,8.2,2.8,0.0,840
OR,2021-05-02,10,ourense,7.0,1.7,1.4,840
OR,2021-05-03,11,ourense,9.8,1.9,0.0,840
OR,2021-05-04,24,ourense,11.4,3.1,0.0,840
OR,2021-05-05,15,ourense,14.8,2.5,0.0,840
OR,2021-05-06,13,ourense,13.7,2.8,0.0,840
OR,2021-05-07,12,ourense,14.2,2.2,0.0,840
OR,2021-05-08,6,ourense,15.6,3.1,0.0,840
OR,2021-05-09,11,ourense,9.9,3.6,3.6,840
OR,2021-05-10,17,ourense,7.8,2.8,11.8,840
OR,2021-05-11,13,ourense,7.8,3.1,4.2,840
OR,2021-05-12,10,ourense,10.6,4.4,7.0,840
OR,2021-05-13,21,ourense,11.7,3.6,2.6,840
OR,2021-05-14,11,ourense,10.2,2.8,0.0,840
