provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
P,2021-03-02,10,palencia,8.4,2.8,0.0,874
P,2021-03-03,10,palencia,9.1,2.2,0.0,874
P,2021-03-04,16,palencia,9.4,3.3,0.0,874
P,2021-03-05,15,palencia,7.8,6.1,0.0,874
P,2021-03-06,8,palencia,6.8,4.2,0.0,874
P,2021-03-07,8,palencia,6.4,2.2,7.5,874
P,2021-03-08,14,palencia,5.0,5.8,0.0,874
P,2021-03-09,12,palencia,2.8,3.3,0.0,874
P,2021-03-10,11,palencia,5.3,3.3,0.0,874
P,2021-03-11,22,palencia,8.7,7.2,0.0,874
P,2021-03-12,16,palencia,6.7,3.9,0.0,874
P,2021-03-13,17,palencia,4.2,5.0,0.0,874
P,2021-03-14,9,palencia,7.1,3.6,0.0,874
P,2021-03-15,23,palencia,6.8,3.9,0.0,874
P,2021-03-16,37,palencia,7.0,8.1,0.0,874
P,2021-03-17,32,palencia,8.2,8.1,0.0,874
P,2021-03-18,34,palencia,5.2,7.5,0.0,874
P,2021-03-19,20,palencia,6.4,5.3,0.0,874
P,2021-03-20,18,palencia,3.0,8.1,0.0,874
P,2021-03-21,12,palencia,3.3,8.3,0.0,874
P,2021-03-22,30,palencia,6.9,5.0,0.0,874
P,2021-03-23,28,palencia,7.8,1.9,0.0,874
P,2021-03-24,23,palencia,9.8,2.8,0.0,874
P,2021-03-25,31,palencia,9.2,3.1,0.0,874
P,2021-03-26,22,palencia,8.2,4.2,0.0,874
P,2021-03-27,29,palencia,9.2,2.8,0.0,874
P,2021-03-28,30,palencia,11.4,2.2,0.0,874
P,2021-03-29,25,palencia,13.3,3.3,0.0,874
P,2021-03-30,24,palencia,14.5,3.9,0.0,874
P,2021-03-31,34,palencia,15.2,3.9,0.0,874
P,2021-04-01,27,palencia,14.9,3.6,0.0,874
P,2021-04-02,30,palencia,11.6,2.8,0.0,874
P,2021-04-03,24,palencia,9.1,6.7,0.0,874
P,2021-04-04,39,palencia,8.8,6.9,0.0,874
P,2021-04-05,20,palencia,8.8,2.8,0.0,874
P,2021-04-06,27,palencia,7.7,5.3,0.0,874
P,2021-04-07,37,palencia,7.0,5.0,0.0,874
P,2021-04-08,23,palencia,10.2,3.9,0.6,874
P,2021-04-09,29,palencia,9.4,1.4,1.7,874
P,2021-04-10,24,palencia,11.6,2.8,2.0,874
P,2021-04-11,18,palencia,5.4,5.8,0.0,874
P,2021-04-12,27,palencia,5.6,3.3,0.0,874
P,2021-04-13,11,palencia,6.0,2.5,1.2,874
P,2021-04-14,33,palencia,11.4,3.9,0.0,874
P,2021-04-15,23,palencia,8.4,6.4,0.0,874
P,2021-04-16,24,palencia,5.2,7.8,0.0,874
P,2021-04-17,21,palencia,4.2,4.7,0.0,874
P,2021-04-18,18,palencia,7.0,2.2,0.0,874
P,2021-04-19,18,palencia,10.9,3.1,1.4,874
P,2021-04-20,19,palencia,10.2,3.1,4.5,874
P,2021-04-21,24,palencia,10.6,1.9,3.0,874
P,2021-04-22,17,palencia,11.4,1.9,1.6,874
P,2021-04-23,15,palencia,11.4,2.8,0.0,874
P,2021-04-24,16,palencia,13.6,4.4,0.0,874
P,2021-04-25,16,palencia,11.4,2.8,0.0,874
P,2021-04-26,16,palencia,11.6,3.1,1.9,874
P,2021-04-27,6,palencia,11.6,1.9,0.0,874
P,2021-04-28,17,palencia,9.9,3.3,17.8,874
P,2021-04-29,29,palencia,8.3,2.8,6.1,874
P,2021-04-30,17,palencia,7.9,3.6,0.4,874
P,2021-05-01,18,palencia,7.2,3.1,0.3,874
P,2021-05-02,17,palencia,7.6,3.1,0.2,874
P,2021-05-03,12,palencia,9.4,1.7,0.0,874
P,2021-05-04,15,palencia,10.8,3.3,0.0,874
P,2021-05-05,21,palencia,11.8,1.9,0.0,874
P,2021-05-06,26,palencia,13.6,3.6,0.0,874
P,2021-05-07,25,palencia,14.9,3.3,0.0,874
P,2021-05-08,12,palencia,16.6,5.0,0.0,874
P,2021-05-09,6,palencia,9.4,5.8,2.0,874
P,2021-05-10,18,palencia,7.0,5.8,2.1,874
P,2021-05-11,18,palencia,7.6,6.9,0.1,874
P,2021-05-12,14,palencia,10.5,7.2,0.0,874
P,2021-05-13,10,palencia,9.0,6.9,10.0,874
P,2021-05-14,8,palencia,12.0,3.9,0.0,874
P,2021-05-15,11,palencia,12.8,8.3,0.0,874
P,2021-05-16,16,palencia,12.9,9.4,0.0,874
P,2021-05-17,21,palencia,12.6,3.1,0.0,874
P,2021-05-18,19,palencia,14.0,8.1,0.0,874
P,2021-05-19,19,palencia,10.9,2.8,0.0,874
P,2021-05-20,29,palencia,14.4,2.5,0.0,874
P,2021-05-21,23,palencia,13.6,6.4,0.0,874
P,2021-05-22,15,palencia,9.0,3.3,0.0,874
P,2021-05-23,27,palencia,10.2,3.9,0.0,874
P,2021-05-24,22,palencia,12.1,5.8,0.0,874
P,2021-05-25,33,palencia,11.6,3.9,0.0,874
P,2021-05-26,18,palencia,14.0,2.5,0.0,874
P,2021-05-27,18,palencia,17.5,2.2,0.0,874
P,2021-05-28,24,palencia,18.0,2.8,0.6,874
P,2021-05-29,11,palencia,18.8,4.2,0.0,874
P,2021-05-30,12,palencia,19.0,2.5,0.0,874
P,2021-05-31,11,palencia,20.9,2.8,13.4,874
P,2021-06-01,17,palencia,15.8,2.8,25.2,874
P,2021-06-02,21,palencia,15.7,1.7,0.1,874
P,2021-06-03,18,palencia,17.0,2.8,0.8,874
P,2021-06-04,15,palencia,13.8,3.9,0.0,874
P,2021-06-05,9,palencia,14.8,2.2,0.0,874
P,2021-06-06,9,palencia,15.8,3.6,0.0,874
P,2021-06-07,9,palencia,17.4,1.7,0.0,874
P,2021-06-08,6,palencia,19.8,3.6,0.0,874
P,2021-06-09,11,palencia,19.0,3.9,0.0,874
P,2021-06-10,6,palencia,19.5,4.4,0.0,874
P,2021-06-11,12,palencia,20.2,5.8,0.0,874
P,2021-06-12,7,palencia,20.6,3.3,5.8,874
P,2021-06-13,8,palencia,22.2,2.8,1.5,874
P,2021-06-14,13,palencia,20.8,2.2,1.0,874
P,2021-06-15,6,palencia,21.6,3.1,6.4,874
