provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
PO,2021-03-02,52,pontevedra,11.2,2.2,0.2,108
PO,2021-03-03,49,pontevedra,12.6,1.9,0.0,108
PO,2021-03-04,47,pontevedra,13.2,1.1,0.0,108
PO,2021-03-05,42,pontevedra,15.4,2.8,0.0,108
PO,2021-03-06,26,pontevedra,12.6,1.9,0.0,108
PO,2021-03-07,22,pontevedra,10.3,2.2,0.0,108
PO,2021-03-08,45,pontevedra,9.4,3.6,0.0,108
PO,2021-03-09,49,pontevedra,9.0,1.4,0.0,108
PO,2021-03-10,55,pontevedra,8.0,1.1,4.4,108
PO,2021-03-11,77,pontevedra,11.3,2.8,10.6,108
PO,2021-03-12,37,pontevedra,10.8,2.2,3.8,108
PO,2021-03-13,41,pontevedra,10.4,2.2,2.8,108
PO,2021-03-14,26,pontevedra,12.3,1.9,0.0,108
PO,2021-03-15,55,pontevedra,13.0,1.1,0.0,108
PO,2021-03-16,66,pontevedra,14.7,2.2,0.0,108
PO,2021-03-17,47,pontevedra,16.0,2.8,0.0,108
PO,2021-03-18,68,pontevedra,11.8,3.6,0.0,108
PO,2021-03-19,62,pontevedra,12.2,3.9,0.0,108
PO,2021-03-20,46,pontevedra,11.6,2.5,0.0,108
PO,2021-03-21,41,pontevedra,9.2,1.7,0.0,108
PO,2021-03-22,45,pontevedra,11.6,1.1,0.0,108
PO,2021-03-23,52,pontevedra,11.2,2.2,0.0,108
PO,2021-03-24,45,pontevedra,12.1,1.7,0.0,108
PO,2021-03-25,58,pontevedra,11.2,2.5,0.0,108
PO,2021-03-26,64,pontevedra,11.2,2.2,2.6,108
PO,2021-03-27,60,pontevedra,11.6,1.9,0.0,108
PO,2021-03-28,68,pontevedra,16.0,2.2,0.0,108
PO,2021-03-29,60,pontevedra,17.7,1.9,0.0,108
PO,2021-03-30,74,pontevedra,16.8,0.6,0.0,108
PO,2021-03-31,56,pontevedra,22.2,1.9,0.8,108
PO,2021-04-01,72,pontevedra,19.2,1.7,12.8,108
PO,2021-04-02,44,pontevedra,13.4,1.1,10.4,108
PO,2021-04-03,51,pontevedra,16.6,2.5,0.0,108
PO,2021-04-04,59,pontevedra,15.0,1.7,0.0,108
PO,2021-04-05,60,pontevedra,15.2,2.2,0.0,108
PO,2021-04-06,87,pontevedra,13.5,2.8,0.0,108
PO,2021-04-07,88,pontevedra,14.6,1.4,0.0,108
PO,2021-04-08,69,pontevedra,13.8,2.8,0.0,108
PO,2021-04-09,58,pontevedra,14.0,2.8,22.4,108
PO,2021-04-10,64,pontevedra,13.8,0.8,13.2,108
PO,2021-04-11,72,pontevedra,11.2,3.3,0.0,108
PO,2021-04-12,91,pontevedra,13.0,1.4,7.4,108
PO,2021-04-13,86,pontevedra,13.3,1.1,10.0,108
PO,2021-04-14,99,pontevedra,17.0,1.7,0.0,108
PO,2021-04-15,93,pontevedra,16.2,2.8,0.0,108
PO,2021-04-16,73,pontevedra,14.0,2.2,0.0,108
PO,2021-04-17,105,pontevedra,12.5,1.7,0.0,108
PO,2021-04-18,77,pontevedra,13.8,1.7,0.2,108
PO,2021-04-19,96,pontevedra,14.3,2.2,0.2,108
PO,2021-04-20,113,pontevedra,14.5,2.2,7.2,108
PO,2021-04-21,118,pontevedra,14.2,1.1,12.0,108
PO,2021-04-22,98,pontevedra,15.0,1.4,3.6,108
PO,2021-04-23,88,pontevedra,15.0,1.7,12.4,108
PO,2021-04-24,108,pontevedra,16.6,1.7,30.0,108
PO,2021-04-25,63,pontevedra,16.6,2.2,5.4,108
PO,2021-04-26,104,pontevedra,16.0,1.9,0.0,108
PO,2021-04-27,89,pontevedra,15.8,2.8,0.0,108
PO,2021-04-28,73,pontevedra,14.0,3.1,0.0,108
PO,2021-04-29,93,pontevedra,11.6,1.9,1.0,108
PO,2021-04-30,62,pontevedra,10.8,3.3,0.0,108
PO,2021-05-01,88,pontevedra,10.4,2.8,0.0,108
PO,2021-05-02,49,pontevedra,11.2,3.3,0.0,108
PO,2021-05-03,78,pontevedra,12.4,2.2,0.0,108
PO,2021-05-04,114,pontevedra,12.4,1.9,0.0,108
PO,2021-05-05,114,pontevedra,16.2,1.9,0.6,108
PO,2021-05-06,97,pontevedra,15.6,3.6,1.6,108
PO,2021-05-07,81,pontevedra,16.0,1.9,0.0,108
PO,2021-05-08,81,pontevedra,15.4,3.1,11.6,108
PO,2021-05-09,76,pontevedra,13.4,3.9,12.4,108
PO,2021-05-10,80,pontevedra,11.0,2.5,16.8,108
PO,2021-05-11,102,pontevedra,11.2,2.8,13.2,108
PO,2021-05-12,63,pontevedra,13.7,3.1,23.4,108
PO,2021-05-13,69,pontevedra,13.2,2.8,13.4,108
PO,2021-05-14,68,pontevedra,11.6,1.9,8.2,108
PO,2021-05-15,51,pontevedra,14.8,3.9,32.6,108
PO,2021-05-16,49,pontevedra,14.6,2.8,0.0,108
PO,2021-05-17,50,pontevedra,14.4,1.7,5.2,108
PO,2021-05-18,81,pontevedra,15.0,3.3,1.0,108
PO,2021-05-19,87,pontevedra,15.2,2.5,0.0,108
PO,2021-05-20,83,pontevedra,15.8,2.2,2.2,108
PO,2021-05-21,68,pontevedra,13.8,2.2,3.2,108
PO,2021-05-22,51,pontevedra,12.8,2.5,0.0,108
PO,2021-05-23,27,pontevedra,12.0,2.8,9.6,108
PO,2021-05-24,57,pontevedra,14.0,3.3,0.0,108
PO,2021-05-25,57,pontevedra,15.0,2.5,0.0,108
PO,2021-05-26,53,pontevedra,16.2,1.9,0.0,108
PO,2021-05-27,42,pontevedra,17.4,1.7,0.0,108
PO,2021-05-28,45,pontevedra,17.4,2.2,0.0,108
PO,2021-05-29,37,pontevedra,18.5,2.8,0.0,108
PO,2021-05-30,21,pontevedra,18.8,1.4,0.0,108
