provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
SA,2021-03-02,21,salamanca,9.6,1.1,0.3,775
SA,2021-03-03,19,salamanca,11.0,1.4,0.0,775
SA,2021-03-04,30,salamanca,11.5,1.1,0.0,775
SA,2021-03-05,27,salamanca,11.6,2.2,0.0,775
SA,2021-03-06,21,salamanca,9.6,1.1,0.0,775
SA,2021-03-07,25,salamanca,9.7,0.8,0.5,775
SA,2021-03-08,20,salamanca,7.8,2.2,0.0,775
SA,2021-03-09,22,salamanca,7.0,1.7,0.0,775
SA,2021-03-10,19,salamanca,8.5,1.9,0.0,775
SA,2021-03-11,21,salamanca,12.2,3.3,0.5,775
SA,2021-03-12,20,salamanca,9.2,1.7,0.5,775
SA,2021-03-13,10,salamanca,7.6,2.5,0.0,775
SA,2021-03-14,19,salamanca,9.2,1.1,0.0,775
SA,2021-03-15,19,salamanca,9.4,1.9,0.0,775
SA,2021-03-16,19,salamanca,9.8,2.5,0.0,775
SA,2021-03-17,23,salamanca,10.6,2.5,0.0,775
SA,2021-03-18,15,salamanca,7.0,2.8,0.0,775
SA,2021-03-19,19,salamanca,8.6,1.9,0.0,775
SA,2021-03-20,10,salamanca,6.0,4.2,0.0,775
SA,2021-03-21,13,salamanca,5.8,2.2,0.0,775
SA,2021-03-22,21,salamanca,7.9,1.9,0.0,775
SA,2021-03-23,25,salamanca,9.4,1.7,0.0,775
SA,2021-03-24,31,salamanca,10.8,1.1,0.0,775
SA,2021-03-25,26,salamanca,12.0,1.7,0.0,775
SA,2021-03-26,20,salamanca,10.8,2.8,0.0,775
SA,2021-03-27,14,salamanca,10.6,1.1,0.0,775
SA,2021-03-28,19,salamanca,12.8,1.7,0.0,775
SA,2021-03-29,25,salamanca,14.8,1.7,0.0,775
SA,2021-03-30,43,salamanca,15.0,1.4,0.0,775
SA,2021-03-31,34,salamanca,18.2,2.2,0.0,775
SA,2021-04-01,33,salamanca,17.5,2.5,4.2,775
SA,2021-04-02,27,salamanca,13.0,1.7,5.6,775
SA,2021-04-03,57,salamanca,13.3,1.4,0.0,775
SA,2021-04-04,32,salamanca,10.7,1.9,0.0,775
SA,2021-04-05,57,salamanca,12.5,0.8,0.0,775
SA,2021-04-06,46,salamanca,12.7,1.4,0.0,775
SA,2021-04-07,42,salamanca,10.6,2.8,0.0,775
SA,2021-04-08,51,salamanca,14.5,2.2,3.7,775
SA,2021-04-09,47,salamanca,13.2,1.4,10.6,775
SA,2021-04-10,42,salamanca,14.2,2.5,3.0,775
SA,2021-04-11,45,salamanca,10.4,2.2,0.6,775
SA,2021-04-12,39,salamanca,9.0,2.5,0.6,775
SA,2021-04-13,55,salamanca,11.0,1.4,8.5,775
SA,2021-04-14,49,salamanca,13.9,1.9,0.0,775
SA,2021-04-15,52,salamanca,13.6,2.2,0.0,775
SA,2021-04-16,49,salamanca,9.4,2.2,0.0,775
SA,2021-04-17,36,salamanca,8.2,1.7,0.0,775
SA,2021-04-18,41,salamanca,10.3,1.1,0.0,775
SA,2021-04-19,54,salamanca,13.2,0.8,0.2,775
SA,2021-04-20,44,salamanca,13.2,2.8,0.0,775
SA,2021-04-21,42,salamanca,11.8,1.4,2.2,775
SA,2021-04-22,43,salamanca,13.8,1.4,1.7,775
SA,2021-04-23,37,salamanca,14.4,1.7,0.0,775
SA,2021-04-24,29,salamanca,16.2,1.7,0.0,775
SA,2021-04-25,26,salamanca,14.4,1.1,0.0,775
SA,2021-04-26,41,salamanca,14.4,0.6,1.1,775
SA,2021-04-27,29,salamanca,15.6,0.6,9.3,775
SA,2021-04-28,33,salamanca,14.3,2.5,3.8,775
SA,2021-04-29,31,salamanca,12.1,2.8,1.0,775
SA,2021-04-30,36,salamanca,11.0,0.8,0.0,775
SA,2021-05-01,22,salamanca,11.1,1.7,0.0,775
SA,2021-05-02,16,salamanca,10.4,1.1,0.2,775
SA,2021-05-03,26,salamanca,14.0,1.9,0.0,775
SA,2021-05-04,26,salamanca,13.7,1.7,0.0,775
SA,2021-05-05,18,salamanca,15.2,0.8,0.0,775
SA,2021-05-06,17,salamanca,16.9,2.8,0.0,775
SA,2021-05-07,20,salamanca,18.3,1.7,0.0,775
SA,2021-05-08,25,salamanca,17.9,3.1,0.0,775
SA,2021-05-09,13,salamanca,10.8,2.8,6.3,775
SA,2021-05-10,39,salamanca,10.4,2.8,4.3,775
SA,2021-05-11,26,salamanca,10.6,3.3,0.2,775
SA,2021-05-12,29,salamanca,13.0,4.4,0.0,775
SA,2021-05-13,28,salamanca,12.4,4.4,0.0,775
SA,2021-05-14,21,salamanca,14.7,3.1,0.0,775
SA,2021-05-15,17,salamanca,16.4,3.9,0.0,775
SA,2021-05-16,19,salamanca,15.8,4.4,0.0,775
SA,2021-05-17,19,salamanca,15.9,1.9,0.0,775
SA,2021-05-18,22,salamanca,16.8,3.3,0.0,775
SA,2021-05-19,16,salamanca,15.8,2.2,0.0,775
SA,2021-05-20,14,salamanca,18.7,1.4,0.0,775
SA,2021-05-21,17,salamanca,17.6,3.3,0.0,775
SA,2021-05-22,12,salamanca,10.8,1.9,0.0,775
SA,2021-05-23,13,salamanca,13.0,1.9,0.0,775
SA,2021-05-24,14,salamanca,13.8,2.8,0.0,775
SA,2021-05-25,10,salamanca,15.6,1.4,0.0,775
SA,2021-05-26,18,salamanca,19.1,1.7,0.0,775
SA,2021-05-27,11,salamanca,19.4,1.7,0.0,775
SA,2021-05-28,13,salamanca,22.3,1.4,0.0,775
SA,2021-05-29,13,salamanca,22.1,1.1,0.0,775
SA,2021-05-30,14,salamanca,22.7,1.9,0.0,775
SA,2021-05-31,14,salamanca,22.7,2.8,5.3,775
SA,2021-06-01,16,salamanca,18.3,3.6,0.0,775
SA,2021-06-02,15,salamanca,19.2,2.5,0.0,775
SA,2021-06-03,6,salamanca,19.1,2.2,0.0,775
SA,2021-06-04,9,salamanca,19.0,0.8,0.0,775
SA,2021-06-05,4,salamanca,19.0,1.4,0.0,775
SA,2021-06-06,9,salamanca,21.5,0.8,0.0,775
SA,2021-06-07,10,salamanca,22.4,1.4,0.0,775
SA,2021-06-08,12,salamanca,24.3,1.7,0.0,775
SA,2021-06-09,5,salamanca,23.4,1.1,0.0,775
SA,2021-06-10,7,salamanca,23.9,1.4,0.0,775
SA,2021-06-11,14,salamanca,24.0,1.4,0.2,775
SA,2021-06-12,5,salamanca,23.2,1.4,8.0,775
SA,2021-06-13,6,salamanca,23.8,1.9,0.7,775
