provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
TF,2021-03-02,83,santaCruzDeTenerife,17.4,4.7,0.0,115
TF,2021-03-03,97,santaCruzDeTenerife,17.0,5.0,0.0,115
TF,2021-03-04,101,santaCruzDeTenerife,16.6,3.6,0.0,115
TF,2021-03-05,88,santaCruzDeTenerife,17.6,3.9,0.0,115
TF,2021-03-06,103,santaCruzDeTenerife,19.0,6.9,0.0,115
TF,2021-03-07,80,santaCruzDeTenerife,20.0,6.4,0.0,115
TF,2021-03-08,109,santaCruzDeTenerife,18.6,3.1,0.0,115
TF,2021-03-09,104,santaCruzDeTenerife,17.6,9.2,0.0,115
TF,2021-03-10,105,santaCruzDeTenerife,18.2,10.8,0.0,115
TF,2021-03-11,105,santaCruzDeTenerife,17.3,5.6,0.0,115
TF,2021-03-12,119,santaCruzDeTenerife,17.5,4.4,0.0,115
TF,2021-03-13,114,santaCruzDeTenerife,17.0,5.0,0.0,115
TF,2021-03-14,76,santaCruzDeTenerife,17.7,4.7,0.0,115
TF,2021-03-15,99,santaCruzDeTenerife,17.8,2.8,0.0,115
TF,2021-03-16,97,santaCruzDeTenerife,17.3,5.6,0.0,115
TF,2021-03-17,114,santaCruzDeTenerife,16.8,5.0,0.0,115
TF,2021-03-18,98,santaCruzDeTenerife,19.8,8.3,0.0,115
TF,2021-03-19,111,santaCruzDeTenerife,18.5,3.3,0.0,115
TF,2021-03-20,97,santaCruzDeTenerife,16.6,5.6,0.0,115
TF,2021-03-21,76,santaCruzDeTenerife,16.6,6.7,0.0,115
TF,2021-03-22,106,santaCruzDeTenerife,16.6,5.6,0.0,115
TF,2021-03-23,92,santaCruzDeTenerife,16.2,4.4,0.0,115
TF,2021-03-24,96,santaCruzDeTenerife,18.6,2.5,0.0,115
TF,2021-03-25,85,santaCruzDeTenerife,22.9,4.7,0.0,115
TF,2021-03-26,76,santaCruzDeTenerife,19.3,4.2,0.0,115
TF,2021-03-27,76,santaCruzDeTenerife,18.4,3.3,0.2,115
TF,2021-03-28,57,santaCruzDeTenerife,19.2,3.6,0.0,115
TF,2021-03-29,97,santaCruzDeTenerife,18.7,3.6,7.8,115
TF,2021-03-30,81,santaCruzDeTenerife,17.6,3.1,0.0,115
TF,2021-03-31,79,santaCruzDeTenerife,17.8,2.8,0.0,115
TF,2021-04-01,110,santaCruzDeTenerife,18.6,3.1,0.0,115
TF,2021-04-02,66,santaCruzDeTenerife,17.8,5.3,0.0,115
TF,2021-04-03,91,santaCruzDeTenerife,17.8,6.1,0.0,115
TF,2021-04-04,59,santaCruzDeTenerife,17.0,3.9,0.0,115
TF,2021-04-05,89,santaCruzDeTenerife,17.2,2.8,0.0,115
TF,2021-04-06,111,santaCruzDeTenerife,17.2,2.2,0.0,115
TF,2021-04-07,108,santaCruzDeTenerife,18.6,3.1,0.0,115
TF,2021-04-08,131,santaCruzDeTenerife,19.1,2.5,0.0,115
TF,2021-04-09,92,santaCruzDeTenerife,20.0,2.5,0.0,115
TF,2021-04-10,113,santaCruzDeTenerife,18.9,3.3,0.0,115
TF,2021-04-11,99,santaCruzDeTenerife,18.2,3.6,0.0,115
TF,2021-04-12,129,santaCruzDeTenerife,19.4,3.6,0.0,115
TF,2021-04-13,99,santaCruzDeTenerife,19.6,2.5,0.0,115
TF,2021-04-14,119,santaCruzDeTenerife,19.8,3.1,0.0,115
TF,2021-04-15,129,santaCruzDeTenerife,19.8,3.6,0.0,115
TF,2021-04-16,127,santaCruzDeTenerife,21.0,8.6,0.0,115
TF,2021-04-17,90,santaCruzDeTenerife,20.0,7.5,0.0,115
TF,2021-04-18,100,santaCruzDeTenerife,18.7,4.4,0.0,115
TF,2021-04-19,108,santaCruzDeTenerife,19.2,5.6,0.0,115
TF,2021-04-20,109,santaCruzDeTenerife,20.3,4.4,0.0,115
TF,2021-04-21,106,santaCruzDeTenerife,19.6,5.8,0.0,115
TF,2021-04-22,87,santaCruzDeTenerife,18.8,3.1,0.0,115
TF,2021-04-23,77,santaCruzDeTenerife,19.2,3.9,0.0,115
TF,2021-04-24,86,santaCruzDeTenerife,19.8,2.5,0.0,115
TF,2021-04-25,72,santaCruzDeTenerife,19.2,3.1,0.0,115
TF,2021-04-26,102,santaCruzDeTenerife,18.4,2.8,2.0,115
TF,2021-04-27,70,santaCruzDeTenerife,19.0,2.5,0.0,115
TF,2021-04-28,75,santaCruzDeTenerife,19.0,1.7,8.8,115
TF,2021-04-29,74,santaCruzDeTenerife,18.8,2.2,3.0,115
TF,2021-04-30,88,santaCruzDeTenerife,19.6,3.3,0.0,115
TF,2021-05-01,73,santaCruzDeTenerife,18.4,6.4,0.0,115
TF,2021-05-02,80,santaCruzDeTenerife,17.8,7.2,0.0,115
TF,2021-05-03,88,santaCruzDeTenerife,18.4,8.6,0.0,115
TF,2021-05-04,73,santaCruzDeTenerife,19.0,8.1,0.0,115
TF,2021-05-05,90,santaCruzDeTenerife,18.2,8.6,0.0,115
TF,2021-05-06,49,santaCruzDeTenerife,18.6,5.0,0.0,115
TF,2021-05-07,73,santaCruzDeTenerife,18.8,3.9,0.0,115
TF,2021-05-08,70,santaCruzDeTenerife,20.3,4.2,0.0,115
TF,2021-05-09,66,santaCruzDeTenerife,19.4,2.8,0.0,115
TF,2021-05-10,84,santaCruzDeTenerife,19.0,4.2,0.0,115
TF,2021-05-11,76,santaCruzDeTenerife,19.2,6.4,0.0,115
TF,2021-05-12,69,santaCruzDeTenerife,19.2,5.8,0.0,115
TF,2021-05-13,61,santaCruzDeTenerife,22.0,10.6,0.0,115
TF,2021-05-14,59,santaCruzDeTenerife,24.9,7.8,0.0,115
TF,2021-05-15,70,santaCruzDeTenerife,23.2,7.5,0.0,115
TF,2021-05-16,55,santaCruzDeTenerife,23.4,3.3,0.0,115
TF,2021-05-17,78,santaCruzDeTenerife,20.4,5.0,0.0,115
TF,2021-05-18,63,santaCruzDeTenerife,21.8,5.3,0.0,115
TF,2021-05-19,82,santaCruzDeTenerife,24.7,7.5,0.0,115
TF,2021-05-20,75,santaCruzDeTenerife,24.8,3.6,0.0,115
TF,2021-05-21,52,santaCruzDeTenerife,24.9,3.9,0.0,115
TF,2021-05-22,58,santaCruzDeTenerife,24.3,6.7,0.0,115
TF,2021-05-23,58,santaCruzDeTenerife,20.4,10.6,0.0,115
TF,2021-05-24,86,santaCruzDeTenerife,20.8,11.7,0.0,115
TF,2021-05-25,55,santaCruzDeTenerife,20.8,10.8,0.0,115
TF,2021-05-26,77,santaCruzDeTenerife,19.4,5.3,0.0,115
TF,2021-05-27,55,santaCruzDeTenerife,20.2,4.4,0.0,115
TF,2021-05-28,45,santaCruzDeTenerife,20.5,4.2,0.0,115
TF,2021-05-29,57,santaCruzDeTenerife,19.4,5.3,0.0,115
TF,2021-05-30,60,santaCruzDeTenerife,20.5,5.0,0.0,115
TF,2021-05-31,67,santaCruzDeTenerife,19.6,4.4,0.0,115
TF,2021-06-01,67,santaCruzDeTenerife,18.4,3.3,0.0,115
TF,2021-06-02,66,santaCruzDeTenerife,19.2,3.1,0.0,115
TF,2021-06-03,67,santaCruzDeTenerife,19.8,5.3,0.0,115
TF,2021-06-04,70,santaCruzDeTenerife,20.1,7.8,0.0,115
TF,2021-06-05,67,santaCruzDeTenerife,20.4,9.4,0.0,115
TF,2021-06-06,69,santaCruzDeTenerife,20.4,5.8,0.0,115
TF,2021-06-07,83,santaCruzDeTenerife,20.8,3.9,0.0,115
TF,2021-06-08,100,santaCruzDeTenerife,21.8,4.4,0.0,115
TF,2021-06-09,107,santaCruzDeTenerife,25.2,3.6,0.0,115
TF,2021-06-10,85,santaCruzDeTenerife,26.5,3.3,0.0,115
TF,2021-06-11,117,santaCruzDeTenerife,23.1,4.4,0.0,115
TF,2021-06-12,121,santaCruzDeTenerife,20.8,5.0,0.0,115
TF,2021-06-13,108,santaCruzDeTenerife,20.0,6.1,0.0,115
TF,2021-06-14,108,santaCruzDeTenerife,22.2,4.2,0.0,115
TF,2021-06-15,154,santaCruzDeTenerife,21.7,4.4,0.0,115
