provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
SG,2021-03-02,10,segovia,5.2,4.7,0.0,1798
SG,2021-03-03,11,segovia,4.8,3.3,0.0,1798
SG,2021-03-04,20,segovia,7.4,4.4,0.0,1798
SG,2021-03-05,7,segovia,5.3,5.3,0.0,1798
SG,2021-03-06,6,segovia,3.3,3.1,0.6,1798
SG,2021-03-07,5,segovia,3.5,1.9,0.2,1798
SG,2021-03-08,15,segovia,-0.2,2.2,0.6,1798
SG,2021-03-09,14,segovia,-1.0,1.7,0.0,1798
SG,2021-03-10,8,segovia,2.6,1.7,0.0,1798
SG,2021-03-11,16,segovia,6.3,3.3,8.2,1798
SG,2021-03-12,14,segovia,1.3,3.6,4.4,1798
SG,2021-03-13,16,segovia,0.7,3.3,0.0,1798
SG,2021-03-14,9,segovia,1.2,3.6,0.0,1798
SG,2021-03-15,23,segovia,3.8,2.8,0.0,1798
SG,2021-03-16,19,segovia,6.0,3.3,0.0,1798
SG,2021-03-17,16,segovia,4.0,6.4,0.0,1798
SG,2021-03-18,17,segovia,-1.2,4.7,0.0,1798
SG,2021-03-19,23,segovia,-3.2,5.0,5.0,1798
SG,2021-03-20,14,segovia,-3.6,7.2,0.0,1798
SG,2021-03-21,13,segovia,-2.0,3.1,0.0,1798
SG,2021-03-22,37,segovia,1.5,2.2,0.0,1798
SG,2021-03-23,41,segovia,4.6,1.7,0.0,1798
SG,2021-03-24,31,segovia,7.5,1.4,0.0,1798
SG,2021-03-25,30,segovia,8.0,5.3,0.0,1798
SG,2021-03-26,37,segovia,5.0,3.6,0.0,1798
SG,2021-03-27,32,segovia,5.2,3.3,0.0,1798
SG,2021-03-28,26,segovia,8.5,6.4,0.0,1798
SG,2021-03-29,38,segovia,9.0,6.9,0.0,1798
SG,2021-03-30,35,segovia,9.6,6.9,0.0,1798
SG,2021-03-31,40,segovia,11.0,5.0,0.0,1798
SG,2021-04-01,46,segovia,10.0,5.3,0.0,1798
SG,2021-04-02,33,segovia,6.2,1.1,5.8,1798
SG,2021-04-03,63,segovia,6.9,2.2,0.2,1798
SG,2021-04-04,36,segovia,7.4,1.7,0.0,1798
SG,2021-04-05,37,segovia,8.0,3.3,0.0,1798
SG,2021-04-06,45,segovia,6.6,3.6,0.0,1798
SG,2021-04-07,38,segovia,7.0,1.7,0.0,1798
SG,2021-04-08,46,segovia,9.2,6.9,0.2,1798
SG,2021-04-09,36,segovia,4.6,5.0,8.0,1798
SG,2021-04-10,32,segovia,5.2,5.0,18.4,1798
SG,2021-04-11,34,segovia,1.2,2.8,4.8,1798
SG,2021-04-12,29,segovia,1.8,1.4,0.0,1798
SG,2021-04-13,38,segovia,6.4,1.9,4.6,1798
SG,2021-04-14,44,segovia,6.8,3.3,0.0,1798
SG,2021-04-15,53,segovia,6.2,5.8,0.4,1798
SG,2021-04-16,38,segovia,2.0,4.7,0.0,1798
SG,2021-04-17,27,segovia,0.4,3.6,0.0,1798
SG,2021-04-18,20,segovia,3.1,2.8,0.0,1798
SG,2021-04-19,43,segovia,6.8,2.2,8.2,1798
SG,2021-04-20,35,segovia,5.2,3.1,2.4,1798
SG,2021-04-21,30,segovia,5.0,1.9,10.0,1798
SG,2021-04-22,39,segovia,4.8,1.4,7.2,1798
SG,2021-04-23,26,segovia,5.6,12.8,0.0,1798
SG,2021-04-24,39,segovia,7.8,10.0,0.2,1798
SG,2021-04-25,31,segovia,6.8,7.5,12.2,1798
SG,2021-04-26,32,segovia,6.4,1.1,0.4,1798
SG,2021-04-27,26,segovia,6.4,2.5,4.2,1798
SG,2021-04-28,21,segovia,6.2,2.5,22.6,1798
SG,2021-04-29,21,segovia,4.3,2.5,21.2,1798
SG,2021-04-30,19,segovia,2.4,1.4,14.4,1798
SG,2021-05-01,20,segovia,2.0,2.8,0.6,1798
SG,2021-05-02,15,segovia,3.5,1.1,9.4,1798
SG,2021-05-03,22,segovia,4.4,3.3,6.6,1798
SG,2021-05-04,16,segovia,6.6,2.8,0.0,1798
SG,2021-05-05,17,segovia,8.8,2.5,0.0,1798
SG,2021-05-06,18,segovia,10.8,3.6,0.0,1798
SG,2021-05-07,22,segovia,12.6,3.9,0.0,1798
SG,2021-05-08,11,segovia,13.6,7.5,0.0,1798
SG,2021-05-09,13,segovia,6.3,8.6,17.6,1798
SG,2021-05-10,18,segovia,3.2,3.1,14.4,1798
SG,2021-05-11,18,segovia,0.6,3.1,2.6,1798
SG,2021-05-12,17,segovia,4.9,5.3,1.0,1798
SG,2021-05-13,20,segovia,3.6,4.4,1.2,1798
SG,2021-05-14,17,segovia,6.0,3.3,0.0,1798
SG,2021-05-15,12,segovia,9.8,4.2,0.0,1798
SG,2021-05-16,10,segovia,7.6,4.2,1.2,1798
SG,2021-05-17,29,segovia,8.0,2.2,0.0,1798
