provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
SE,2021-03-02,193,sevilla,13.2,1.1,0.0,550
SE,2021-03-03,245,sevilla,12.6,0.8,0.0,550
SE,2021-03-04,222,sevilla,11.2,2.2,0.0,550
SE,2021-03-05,188,sevilla,9.4,2.2,3.8,550
SE,2021-03-06,137,sevilla,11.3,2.2,11.7,550
SE,2021-03-07,118,sevilla,11.0,1.1,22.0,550
SE,2021-03-08,188,sevilla,8.7,1.7,1.6,550
SE,2021-03-09,185,sevilla,8.8,1.4,0.1,550
SE,2021-03-10,173,sevilla,9.4,0.8,0.0,550
SE,2021-03-11,189,sevilla,11.2,0.8,0.0,550
SE,2021-03-12,199,sevilla,12.0,1.9,0.0,550
SE,2021-03-13,148,sevilla,10.3,1.4,0.0,550
SE,2021-03-14,138,sevilla,11.2,2.2,0.0,550
SE,2021-03-15,221,sevilla,13.4,1.7,0.0,550
SE,2021-03-16,205,sevilla,13.4,1.7,0.0,550
SE,2021-03-17,207,sevilla,12.5,2.2,0.0,550
SE,2021-03-18,214,sevilla,12.1,3.3,0.0,550
SE,2021-03-19,242,sevilla,9.3,2.2,0.9,550
SE,2021-03-20,173,sevilla,7.1,3.9,0.0,550
SE,2021-03-21,157,sevilla,8.0,1.7,0.0,550
SE,2021-03-22,262,sevilla,10.0,1.7,0.0,550
SE,2021-03-23,273,sevilla,11.0,1.4,0.0,550
SE,2021-03-24,213,sevilla,11.8,2.2,0.0,550
SE,2021-03-25,300,sevilla,11.8,1.7,0.0,550
SE,2021-03-26,285,sevilla,12.6,1.7,0.0,550
SE,2021-03-27,217,sevilla,15.0,1.4,0.0,550
SE,2021-03-28,199,sevilla,14.6,2.2,0.0,550
SE,2021-03-29,295,sevilla,17.0,2.5,0.0,550
SE,2021-03-30,325,sevilla,16.4,2.5,0.0,550
SE,2021-03-31,323,sevilla,19.8,4.2,0.0,550
SE,2021-04-01,333,sevilla,15.3,2.8,2.2,550
SE,2021-04-02,264,sevilla,12.8,1.1,0.1,550
SE,2021-04-03,329,sevilla,14.6,0.6,7.9,550
SE,2021-04-04,310,sevilla,14.2,0.8,0.1,550
SE,2021-04-07,459,sevilla,15.4,1.4,0.0,550
SE,2021-04-08,457,sevilla,14.8,2.2,0.0,550
SE,2021-04-09,481,sevilla,14.4,0.6,0.2,550
SE,2021-04-10,415,sevilla,14.0,1.7,4.0,550
SE,2021-04-11,291,sevilla,14.0,2.5,0.1,550
SE,2021-04-12,489,sevilla,14.2,1.1,0.2,550
SE,2021-04-13,453,sevilla,15.3,0.8,0.0,550
SE,2021-04-14,419,sevilla,15.0,1.4,1.7,550
SE,2021-04-15,448,sevilla,13.6,1.1,10.8,550
SE,2021-04-16,458,sevilla,13.2,0.8,0.2,550
SE,2021-04-17,355,sevilla,12.8,1.9,0.1,550
SE,2021-04-18,256,sevilla,13.0,1.7,0.0,550
SE,2021-04-19,366,sevilla,15.3,1.9,0.0,550
SE,2021-04-20,436,sevilla,13.8,2.5,0.0,550
SE,2021-04-21,376,sevilla,13.3,2.8,4.3,550
SE,2021-04-22,381,sevilla,15.5,0.6,0.0,550
SE,2021-04-23,465,sevilla,15.8,3.1,0.0,550
SE,2021-04-24,309,sevilla,14.8,2.2,0.0,550
SE,2021-04-25,274,sevilla,15.2,1.4,0.9,550
SE,2021-04-26,316,sevilla,12.6,0.8,41.9,550
SE,2021-04-27,315,sevilla,15.0,0.6,8.2,550
SE,2021-04-28,411,sevilla,14.3,1.7,4.7,550
SE,2021-04-29,376,sevilla,10.8,3.3,0.0,550
SE,2021-04-30,329,sevilla,11.0,0.6,0.4,550
SE,2021-05-01,275,sevilla,10.6,2.5,0.0,550
SE,2021-05-02,179,sevilla,11.2,1.1,0.0,550
SE,2021-05-03,307,sevilla,12.4,1.1,0.0,550
SE,2021-05-04,368,sevilla,16.0,0.8,0.0,550
SE,2021-05-05,400,sevilla,16.8,0.8,0.0,550
SE,2021-05-06,262,sevilla,17.4,1.7,0.0,550
SE,2021-05-07,357,sevilla,17.6,1.1,0.0,550
SE,2021-05-08,286,sevilla,17.4,1.9,0.0,550
SE,2021-05-09,251,sevilla,13.7,2.8,16.9,550
SE,2021-05-10,363,sevilla,10.8,1.1,11.7,550
SE,2021-05-11,347,sevilla,12.6,1.7,0.0,550
SE,2021-05-12,444,sevilla,14.2,2.2,0.0,550
SE,2021-05-13,345,sevilla,15.4,2.5,0.0,550
SE,2021-05-14,349,sevilla,17.2,1.7,0.0,550
SE,2021-05-15,316,sevilla,18.4,2.2,0.0,550
SE,2021-05-16,201,sevilla,20.0,2.8,0.0,550
SE,2021-05-17,318,sevilla,20.4,1.9,0.0,550
SE,2021-05-18,427,sevilla,19.0,2.2,0.0,550
SE,2021-05-19,334,sevilla,20.8,2.2,0.0,550
SE,2021-05-20,395,sevilla,20.0,0.8,0.0,550
SE,2021-05-21,348,sevilla,21.3,1.4,0.0,550
SE,2021-05-22,299,sevilla,17.2,2.2,0.0,550
SE,2021-05-23,257,sevilla,17.0,2.8,0.0,550
