provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
SO,2021-03-02,14,soria,7.0,2.2,0.0,1082
SO,2021-03-03,20,soria,7.2,0.8,0.0,1082
SO,2021-03-04,20,soria,8.2,1.1,0.0,1082
SO,2021-03-05,19,soria,7.8,2.2,0.0,1082
SO,2021-03-06,16,soria,6.3,1.7,4.6,1082
SO,2021-03-07,10,soria,8.3,1.7,9.6,1082
SO,2021-03-08,20,soria,5.4,2.8,0.0,1082
SO,2021-03-09,8,soria,2.4,1.9,0.0,1082
SO,2021-03-10,14,soria,5.0,2.5,0.0,1082
SO,2021-03-11,19,soria,10.5,3.3,0.2,1082
SO,2021-03-12,19,soria,7.6,2.2,0.0,1082
SO,2021-03-13,9,soria,6.2,4.4,0.0,1082
SO,2021-03-14,14,soria,7.5,2.2,0.0,1082
SO,2021-03-15,19,soria,6.9,1.9,0.0,1082
SO,2021-03-16,12,soria,7.8,5.0,0.0,1082
SO,2021-03-17,18,soria,8.2,4.7,0.0,1082
SO,2021-03-18,12,soria,4.9,4.4,0.0,1082
SO,2021-03-19,13,soria,3.4,3.3,1.8,1082
SO,2021-03-20,14,soria,2.2,5.0,0.0,1082
SO,2021-03-21,18,soria,4.2,4.2,0.0,1082
SO,2021-03-22,24,soria,6.6,4.4,0.0,1082
SO,2021-03-23,17,soria,8.4,1.4,0.0,1082
SO,2021-03-24,18,soria,8.7,1.9,0.0,1082
SO,2021-03-25,17,soria,10.0,1.7,0.0,1082
SO,2021-03-26,17,soria,8.8,1.9,0.0,1082
SO,2021-03-27,16,soria,8.8,1.9,0.0,1082
SO,2021-03-28,17,soria,10.0,1.7,0.0,1082
SO,2021-03-29,14,soria,12.0,2.2,0.0,1082
SO,2021-03-30,18,soria,13.8,2.5,0.0,1082
SO,2021-03-31,18,soria,13.3,1.9,0.0,1082
SO,2021-04-01,19,soria,13.2,1.7,0.0,1082
SO,2021-04-02,11,soria,13.2,1.9,5.0,1082
SO,2021-04-03,12,soria,11.3,3.6,0.0,1082
SO,2021-04-04,16,soria,9.4,3.3,0.0,1082
SO,2021-04-05,14,soria,10.2,2.2,0.0,1082
SO,2021-04-06,12,soria,9.2,2.2,0.0,1082
SO,2021-04-07,19,soria,6.6,2.8,0.0,1082
SO,2021-04-08,29,soria,9.2,1.4,1.8,1082
SO,2021-04-09,18,soria,7.6,1.9,2.0,1082
SO,2021-04-10,9,soria,11.0,1.4,10.6,1082
SO,2021-04-11,13,soria,4.6,3.3,3.0,1082
SO,2021-04-12,17,soria,6.9,1.7,0.0,1082
SO,2021-04-13,11,soria,7.5,1.7,0.0,1082
SO,2021-04-14,14,soria,10.1,2.5,0.0,1082
SO,2021-04-15,10,soria,8.7,2.8,0.0,1082
SO,2021-04-16,14,soria,6.0,4.2,0.0,1082
SO,2021-04-17,11,soria,5.0,4.2,0.0,1082
SO,2021-04-18,12,soria,9.2,1.9,0.0,1082
SO,2021-04-19,13,soria,10.0,1.9,1.4,1082
SO,2021-04-20,12,soria,10.4,1.4,9.0,1082
SO,2021-04-21,9,soria,10.0,3.1,3.6,1082
SO,2021-04-22,13,soria,9.8,2.5,0.8,1082
SO,2021-04-23,11,soria,11.6,2.8,0.0,1082
SO,2021-04-24,8,soria,12.2,2.8,0.6,1082
SO,2021-04-25,5,soria,11.6,2.2,2.4,1082
SO,2021-04-26,9,soria,12.2,0.8,9.8,1082
SO,2021-04-27,15,soria,12.2,2.8,5.4,1082
SO,2021-04-28,10,soria,11.2,1.7,1.0,1082
SO,2021-04-29,9,soria,10.8,2.5,7.6,1082
SO,2021-04-30,5,soria,9.5,1.9,6.6,1082
SO,2021-05-01,4,soria,5.4,1.9,2.4,1082
SO,2021-05-02,12,soria,6.6,1.9,1.4,1082
SO,2021-05-03,9,soria,8.8,1.9,8.0,1082
SO,2021-05-04,12,soria,9.7,2.5,0.0,1082
SO,2021-05-05,7,soria,13.0,1.1,0.0,1082
SO,2021-05-06,12,soria,13.4,3.6,0.0,1082
SO,2021-05-07,10,soria,16.4,3.6,0.0,1082
SO,2021-05-08,7,soria,16.0,3.9,0.0,1082
SO,2021-05-09,4,soria,11.4,5.0,8.4,1082
SO,2021-05-10,3,soria,9.2,2.2,8.0,1082
SO,2021-05-11,4,soria,7.6,3.6,0.2,1082
SO,2021-05-12,3,soria,10.7,6.4,0.6,1082
SO,2021-05-13,4,soria,8.0,4.2,18.6,1082
SO,2021-05-14,4,soria,11.0,3.6,0.0,1082
SO,2021-05-15,3,soria,14.0,5.0,0.0,1082
SO,2021-05-16,6,soria,15.2,4.4,0.0,1082
SO,2021-05-17,5,soria,13.7,2.5,0.0,1082
SO,2021-05-18,8,soria,13.8,4.4,0.0,1082
SO,2021-05-19,8,soria,12.2,3.1,0.0,1082
SO,2021-05-20,5,soria,14.8,2.2,0.0,1082
SO,2021-05-21,9,soria,15.6,3.6,0.0,1082
SO,2021-05-22,3,soria,11.0,4.2,0.0,1082
SO,2021-05-23,5,soria,10.2,2.2,0.0,1082
SO,2021-05-24,6,soria,11.0,3.3,0.0,1082
SO,2021-05-25,4,soria,12.2,3.1,0.0,1082
SO,2021-05-26,7,soria,12.0,1.7,21.6,1082
SO,2021-05-27,4,soria,15.4,1.4,0.0,1082
SO,2021-05-28,4,soria,19.0,2.5,2.2,1082
SO,2021-05-29,0,soria,19.2,1.4,7.4,1082
SO,2021-05-30,3,soria,19.1,1.7,16.4,1082
SO,2021-05-31,2,soria,19.2,2.5,11.8,1082
SO,2021-06-01,7,soria,14.6,1.9,12.2,1082
SO,2021-06-02,3,soria,15.2,2.2,9.4,1082
SO,2021-06-03,4,soria,18.1,2.8,25.0,1082
SO,2021-06-04,3,soria,14.8,3.6,0.0,1082
SO,2021-06-05,3,soria,13.4,1.9,6.4,1082
SO,2021-06-06,6,soria,15.4,2.2,0.0,1082
SO,2021-06-07,1,soria,17.8,1.9,0.0,1082
SO,2021-06-08,1,soria,19.6,2.5,0.0,1082
SO,2021-06-09,3,soria,20.9,2.5,0.0,1082
SO,2021-06-10,1,soria,19.8,1.9,0.0,1082
SO,2021-06-11,1,soria,19.5,3.6,0.8,1082
SO,2021-06-12,5,soria,18.4,2.5,0.0,1082
SO,2021-06-13,0,soria,20.4,1.9,0.0,1082
SO,2021-06-14,0,soria,21.8,1.9,3.8,1082
SO,2021-06-15,4,soria,20.8,2.2,0.2,1082
