provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
T,2021-03-02,51,tarragona,11.9,3.1,0.0,71
T,2021-03-03,55,tarragona,12.2,2.2,0.0,71
T,2021-03-04,43,tarragona,11.8,2.5,0.0,71
T,2021-03-05,52,tarragona,11.0,2.2,0.0,71
T,2021-03-06,35,tarragona,11.0,3.6,0.0,71
T,2021-03-07,33,tarragona,12.2,1.4,0.0,71
T,2021-03-08,57,tarragona,10.6,2.2,8.2,71
T,2021-03-09,48,tarragona,11.7,5.8,0.0,71
T,2021-03-10,54,tarragona,9.6,2.2,0.0,71
T,2021-03-11,49,tarragona,11.0,2.8,0.0,71
T,2021-03-12,54,tarragona,13.4,3.1,0.0,71
T,2021-03-13,45,tarragona,11.5,3.9,0.0,71
T,2021-03-14,40,tarragona,14.1,6.1,0.0,71
T,2021-03-15,66,tarragona,12.1,7.2,0.0,71
T,2021-03-16,87,tarragona,13.8,3.1,0.0,71
T,2021-03-17,69,tarragona,15.6,4.4,0.0,71
T,2021-03-18,73,tarragona,11.8,5.6,0.0,71
T,2021-03-19,73,tarragona,7.8,4.2,0.7,71
T,2021-03-20,53,tarragona,8.8,2.5,0.0,71
T,2021-03-21,62,tarragona,10.2,6.4,0.0,71
T,2021-03-22,91,tarragona,12.7,6.9,0.0,71
T,2021-03-23,90,tarragona,9.4,2.2,0.0,71
T,2021-03-25,104,tarragona,13.0,2.2,0.0,71
T,2021-03-26,93,tarragona,14.7,2.2,0.0,71
T,2021-03-27,72,tarragona,14.6,3.3,0.0,71
T,2021-03-28,63,tarragona,12.9,2.5,0.0,71
T,2021-03-29,93,tarragona,13.2,3.9,0.0,71
T,2021-03-30,85,tarragona,13.6,2.2,0.0,71
T,2021-03-31,83,tarragona,12.6,2.8,0.0,71
T,2021-04-01,102,tarragona,12.4,1.9,0.0,71
T,2021-04-02,75,tarragona,13.6,3.1,0.0,71
T,2021-04-03,83,tarragona,16.8,3.1,0.0,71
T,2021-04-04,85,tarragona,15.4,2.8,0.0,71
T,2021-04-05,81,tarragona,14.8,3.9,0.0,71
T,2021-04-06,134,tarragona,15.2,5.3,0.0,71
T,2021-04-07,104,tarragona,10.8,5.6,0.0,71
T,2021-04-08,109,tarragona,11.5,2.8,0.0,71
T,2021-04-09,85,tarragona,10.1,2.8,0.9,71
T,2021-04-10,116,tarragona,11.0,1.9,0.0,71
T,2021-04-11,79,tarragona,13.8,2.5,2.4,71
T,2021-04-12,124,tarragona,13.2,5.3,0.0,71
T,2021-04-13,127,tarragona,11.4,3.9,0.0,71
T,2021-04-14,158,tarragona,12.2,2.2,0.0,71
T,2021-04-15,134,tarragona,12.5,3.1,0.0,71
T,2021-04-16,121,tarragona,12.1,3.6,1.9,71
T,2021-04-17,104,tarragona,12.6,3.1,0.0,71
T,2021-04-18,112,tarragona,11.3,3.1,0.0,71
T,2021-04-19,169,tarragona,12.6,3.9,0.0,71
T,2021-04-20,176,tarragona,14.5,3.9,5.2,71
T,2021-04-21,136,tarragona,12.0,3.3,0.0,71
T,2021-04-22,122,tarragona,12.0,3.3,0.0,71
T,2021-04-23,129,tarragona,11.8,2.5,0.0,71
T,2021-04-24,100,tarragona,12.6,2.8,0.0,71
T,2021-04-25,77,tarragona,15.6,4.7,2.4,71
T,2021-04-26,170,tarragona,13.6,1.9,3.9,71
T,2021-04-27,142,tarragona,13.5,2.2,0.0,71
T,2021-04-28,130,tarragona,16.2,1.9,0.0,71
T,2021-04-29,124,tarragona,15.8,2.8,1.9,71
T,2021-04-30,137,tarragona,17.2,2.8,24.4,71
T,2021-05-01,86,tarragona,16.1,5.8,0.2,71
T,2021-05-02,80,tarragona,13.4,3.9,0.0,71
T,2021-05-03,126,tarragona,12.6,3.1,0.0,71
T,2021-05-04,112,tarragona,13.6,3.1,0.0,71
T,2021-05-05,122,tarragona,18.8,3.9,0.0,71
T,2021-05-06,81,tarragona,17.4,2.5,0.0,71
T,2021-05-07,99,tarragona,18.7,3.3,0.0,71
T,2021-05-08,71,tarragona,17.7,2.8,0.0,71
T,2021-05-09,47,tarragona,17.2,2.5,3.0,71
T,2021-05-10,105,tarragona,18.2,2.5,0.4,71
T,2021-05-11,51,tarragona,16.2,7.5,0.0,71
T,2021-05-12,72,tarragona,16.8,3.6,0.0,71
T,2021-05-13,67,tarragona,17.8,5.6,6.0,71
T,2021-05-14,87,tarragona,18.2,6.9,0.0,71
T,2021-05-15,47,tarragona,17.4,2.5,0.0,71
T,2021-05-16,55,tarragona,22.6,4.2,0.0,71
T,2021-05-17,100,tarragona,19.4,5.0,0.0,71
T,2021-05-18,85,tarragona,18.2,4.2,0.0,71
T,2021-05-19,64,tarragona,19.2,5.3,0.0,71
T,2021-05-20,86,tarragona,16.6,5.0,0.0,71
T,2021-05-21,77,tarragona,18.6,3.6,0.0,71
T,2021-05-22,41,tarragona,17.4,2.5,0.0,71
T,2021-05-23,75,tarragona,17.2,2.8,0.0,71
T,2021-05-24,113,tarragona,18.2,5.3,0.0,71
T,2021-05-25,91,tarragona,17.6,3.3,0.0,71
T,2021-05-26,98,tarragona,18.4,2.5,0.0,71
T,2021-05-27,79,tarragona,18.6,3.3,0.0,71
T,2021-05-28,75,tarragona,19.8,2.5,0.0,71
T,2021-05-29,59,tarragona,19.6,2.8,0.6,71
T,2021-05-30,42,tarragona,22.0,3.6,0.0,71
T,2021-05-31,89,tarragona,20.5,2.5,0.0,71
T,2021-06-01,81,tarragona,20.8,3.1,0.0,71
