provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
TE,2021-03-02,7,teruel,10.0,1.9,0.0,334
TE,2021-03-03,9,teruel,10.6,0.6,0.0,334
TE,2021-03-04,8,teruel,9.0,0.6,0.0,334
TE,2021-03-05,6,teruel,9.6,0.6,0.0,334
TE,2021-03-06,6,teruel,10.6,1.4,0.0,334
TE,2021-03-07,6,teruel,7.9,0.8,0.0,334
TE,2021-03-08,8,teruel,9.1,2.5,0.5,334
TE,2021-03-09,6,teruel,8.1,3.3,0.0,334
TE,2021-03-10,5,teruel,7.9,1.1,0.0,334
TE,2021-03-11,7,teruel,13.8,1.1,0.0,334
TE,2021-03-12,1,teruel,9.6,2.5,0.0,334
TE,2021-03-13,1,teruel,10.2,1.9,0.0,334
TE,2021-03-14,1,teruel,9.8,4.7,0.0,334
TE,2021-03-15,2,teruel,10.8,3.6,0.0,334
TE,2021-03-16,5,teruel,12.2,3.3,0.0,334
TE,2021-03-17,2,teruel,11.6,5.0,0.0,334
TE,2021-03-18,6,teruel,10.6,3.9,0.0,334
TE,2021-03-19,6,teruel,7.0,2.5,1.9,334
TE,2021-03-20,2,teruel,6.6,3.9,0.0,334
TE,2021-03-21,1,teruel,8.0,5.3,0.0,334
TE,2021-03-22,10,teruel,10.6,3.6,0.0,334
TE,2021-03-23,4,teruel,10.0,1.4,0.0,334
TE,2021-03-24,7,teruel,11.9,0.8,0.0,334
TE,2021-03-25,4,teruel,11.6,0.8,0.0,334
TE,2021-03-26,6,teruel,14.6,1.4,0.0,334
TE,2021-03-27,5,teruel,12.6,1.1,0.0,334
TE,2021-03-28,3,teruel,12.8,1.1,0.0,334
TE,2021-03-29,4,teruel,13.8,1.9,0.0,334
TE,2021-03-30,5,teruel,17.9,3.1,0.0,334
TE,2021-03-31,4,teruel,13.7,1.9,0.0,334
TE,2021-04-01,5,teruel,15.0,1.4,0.0,334
TE,2021-04-02,2,teruel,13.8,0.6,0.0,334
TE,2021-04-03,4,teruel,15.4,2.2,0.0,334
TE,2021-04-04,9,teruel,12.0,1.4,0.0,334
TE,2021-04-05,4,teruel,12.0,1.4,0.0,334
TE,2021-04-06,7,teruel,12.1,6.4,0.0,334
TE,2021-04-07,6,teruel,9.8,2.8,0.0,334
TE,2021-04-08,1,teruel,10.7,2.2,0.4,334
TE,2021-04-09,5,teruel,8.6,1.9,5.4,334
TE,2021-04-10,3,teruel,11.4,1.4,4.0,334
TE,2021-04-11,2,teruel,11.0,1.7,4.0,334
TE,2021-04-12,8,teruel,9.8,3.6,0.0,334
TE,2021-04-13,7,teruel,12.1,1.4,0.7,334
TE,2021-04-14,7,teruel,13.6,1.1,0.0,334
TE,2021-04-15,7,teruel,10.9,1.7,0.0,334
TE,2021-04-16,8,teruel,9.2,4.4,0.0,334
