provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
TO,2021-03-02,72,toledo,9.2,5.0,0.0,690
TO,2021-03-03,78,toledo,10.3,1.4,0.0,690
TO,2021-03-04,54,toledo,9.1,5.0,0.0,690
TO,2021-03-05,41,toledo,7.8,3.6,0.0,690
TO,2021-03-06,32,toledo,8.8,5.0,0.0,690
TO,2021-03-07,32,toledo,8.0,3.9,0.0,690
TO,2021-03-08,46,toledo,6.9,2.2,8.6,690
TO,2021-03-09,49,toledo,7.8,2.5,0.0,690
TO,2021-03-10,81,toledo,7.6,2.5,0.0,690
TO,2021-03-19,45,toledo,6.3,5.0,1.8,690
TO,2021-03-21,42,toledo,5.8,3.6,0.0,690
TO,2021-03-22,88,toledo,6.5,3.6,0.0,690
TO,2021-03-24,71,toledo,11.7,2.2,0.0,690
TO,2021-03-25,75,toledo,13.0,3.1,0.0,690
TO,2021-03-26,88,toledo,12.6,3.6,0.0,690
TO,2021-04-02,72,toledo,14.6,4.7,0.0,690
TO,2021-04-03,85,toledo,14.9,2.8,0.6,690
TO,2021-04-04,92,toledo,12.8,2.2,0.0,690
TO,2021-04-05,125,toledo,12.8,2.2,0.0,690
TO,2021-04-06,149,toledo,14.2,3.3,0.0,690
TO,2021-04-07,149,toledo,12.8,4.7,0.0,690
TO,2021-04-08,141,toledo,12.8,5.0,3.8,690
TO,2021-04-09,142,toledo,12.8,2.8,0.0,690
TO,2021-04-10,79,toledo,13.4,3.1,2.8,690
TO,2021-04-11,75,toledo,13.9,4.4,1.2,690
TO,2021-04-12,151,toledo,11.0,2.2,0.0,690
TO,2021-04-13,126,toledo,14.2,4.2,0.0,690
TO,2021-04-14,127,toledo,14.5,4.2,0.0,690
TO,2021-04-15,125,toledo,10.9,6.9,0.0,690
TO,2021-04-16,144,toledo,12.5,3.9,0.0,690
TO,2021-04-17,105,toledo,8.1,3.3,0.0,690
TO,2021-04-18,79,toledo,9.4,3.3,0.0,690
TO,2021-04-19,185,toledo,13.5,3.3,0.0,690
TO,2021-04-20,143,toledo,14.7,3.1,0.0,690
TO,2021-04-21,159,toledo,13.6,2.8,8.6,690
TO,2021-04-22,163,toledo,12.6,1.7,4.4,690
TO,2021-04-23,162,toledo,12.9,5.8,0.2,690
TO,2021-04-24,103,toledo,11.4,6.1,3.0,690
TO,2021-04-25,85,toledo,11.5,3.1,4.4,690
TO,2021-04-26,213,toledo,13.2,2.8,1.4,690
TO,2021-04-27,180,toledo,13.4,2.5,1.2,690
TO,2021-04-28,177,toledo,13.7,3.9,2.2,690
TO,2021-04-29,180,toledo,12.6,4.4,0.4,690
TO,2021-04-30,173,toledo,10.6,2.5,0.0,690
TO,2021-05-01,86,toledo,10.4,3.9,0.0,690
TO,2021-05-02,65,toledo,11.4,1.4,0.0,690
TO,2021-05-03,148,toledo,14.2,5.3,0.0,690
TO,2021-05-04,162,toledo,15.7,2.2,0.0,690
TO,2021-05-05,154,toledo,16.1,1.7,0.0,690
TO,2021-05-06,156,toledo,18.4,2.8,0.0,690
TO,2021-05-07,155,toledo,18.4,2.5,0.0,690
TO,2021-05-08,85,toledo,19.2,3.6,0.0,690
TO,2021-05-09,49,toledo,15.1,6.7,1.6,690
TO,2021-05-10,153,toledo,12.1,5.0,0.6,690
TO,2021-05-11,137,toledo,10.9,3.9,0.0,690
TO,2021-05-12,133,toledo,14.7,5.6,0.0,690
TO,2021-05-13,107,toledo,14.5,4.2,0.0,690
TO,2021-05-14,122,toledo,15.6,3.9,0.0,690
TO,2021-05-15,91,toledo,18.6,4.7,0.0,690
TO,2021-05-16,65,toledo,20.2,4.4,0.0,690
TO,2021-05-17,111,toledo,20.0,3.3,0.0,690
TO,2021-05-18,129,toledo,20.2,3.9,0.0,690
TO,2021-05-19,100,toledo,18.6,2.5,0.0,690
TO,2021-05-20,112,toledo,20.2,1.7,0.0,690
TO,2021-05-21,104,toledo,22.0,4.7,0.0,690
TO,2021-05-22,50,toledo,18.2,3.3,0.0,690
TO,2021-05-23,49,toledo,14.8,2.5,3.2,690
TO,2021-05-24,119,toledo,15.2,2.8,0.0,690
TO,2021-05-25,103,toledo,17.4,3.9,0.0,690
TO,2021-05-26,110,toledo,20.2,2.2,0.0,690
TO,2021-05-27,83,toledo,19.6,3.3,0.0,690
TO,2021-05-28,78,toledo,21.0,2.5,0.0,690
TO,2021-05-29,44,toledo,21.3,0.8,0.0,690
TO,2021-05-30,39,toledo,23.6,3.6,0.0,690
TO,2021-05-31,54,toledo,23.0,3.3,4.2,690
TO,2021-06-01,91,toledo,20.0,4.4,0.2,690
TO,2021-06-02,120,toledo,19.2,2.5,0.0,690
TO,2021-06-03,54,toledo,22.0,3.6,0.0,690
TO,2021-06-04,101,toledo,21.6,1.9,0.0,690
TO,2021-06-05,43,toledo,17.2,5.3,3.6,690
TO,2021-06-06,35,toledo,19.8,1.1,0.0,690
TO,2021-06-07,92,toledo,23.4,2.8,0.0,690
TO,2021-06-08,67,toledo,24.9,2.2,0.0,690
TO,2021-06-09,55,toledo,25.6,2.2,0.0,690
TO,2021-06-10,48,toledo,25.8,2.8,0.0,690
TO,2021-06-11,47,toledo,25.2,3.3,0.0,690
TO,2021-06-12,33,toledo,24.2,6.9,0.0,690
TO,2021-06-13,23,toledo,25.4,5.3,0.0,690
TO,2021-06-14,48,toledo,25.3,3.1,0.0,690
TO,2021-06-15,49,toledo,26.6,5.3,0.0,690
