provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
V,2021-03-02,108,valencia,13.2,3.1,0.0,12
V,2021-03-03,149,valencia,12.3,2.5,0.0,12
V,2021-03-04,100,valencia,10.4,1.4,0.0,12
V,2021-03-05,89,valencia,11.4,1.1,0.0,12
V,2021-03-06,83,valencia,12.2,1.7,1.4,12
V,2021-03-07,56,valencia,10.6,0.8,18.4,12
V,2021-03-08,85,valencia,11.3,1.4,1.7,12
V,2021-03-09,88,valencia,12.6,1.7,0.0,12
V,2021-03-10,86,valencia,12.5,1.9,0.0,12
V,2021-03-11,85,valencia,16.9,2.2,0.0,12
V,2021-03-13,57,valencia,14.6,1.9,0.0,12
V,2021-03-14,41,valencia,15.7,2.2,0.0,12
V,2021-03-15,91,valencia,11.0,2.5,0.0,12
V,2021-03-16,78,valencia,12.4,2.5,0.0,12
V,2021-03-17,67,valencia,15.5,2.8,0.0,12
V,2021-03-18,65,valencia,9.6,0.6,25.9,12
V,2021-03-19,49,valencia,9.2,1.1,8.1,12
V,2021-03-20,67,valencia,8.6,3.1,0.7,12
V,2021-03-21,56,valencia,12.5,1.4,0.0,12
V,2021-03-22,83,valencia,12.7,1.9,0.0,12
V,2021-03-23,89,valencia,12.2,1.7,0.0,12
V,2021-03-24,97,valencia,12.6,2.8,0.0,12
V,2021-03-25,84,valencia,13.0,2.5,0.0,12
V,2021-03-26,87,valencia,13.2,1.7,0.0,12
V,2021-03-27,70,valencia,13.6,2.5,0.0,12
V,2021-03-28,44,valencia,12.7,1.7,0.0,12
V,2021-03-29,86,valencia,13.3,1.9,0.0,12
V,2021-03-30,80,valencia,15.2,1.1,0.0,12
V,2021-03-31,82,valencia,13.7,1.4,0.0,12
V,2021-04-01,84,valencia,13.2,1.7,0.0,12
V,2021-04-02,73,valencia,16.6,2.5,0.0,12
V,2021-04-03,71,valencia,15.6,1.4,15.9,12
V,2021-04-04,66,valencia,12.4,1.7,0.2,12
V,2021-04-05,95,valencia,13.4,2.5,0.0,12
V,2021-04-06,91,valencia,19.0,1.9,0.0,12
V,2021-04-07,88,valencia,11.3,1.9,3.8,12
V,2021-04-08,84,valencia,11.8,1.7,0.2,12
V,2021-04-09,79,valencia,10.8,0.8,1.1,12
V,2021-04-10,69,valencia,13.4,1.4,0.7,12
V,2021-04-11,55,valencia,16.2,2.2,2.2,12
V,2021-04-12,69,valencia,13.8,2.5,0.0,12
V,2021-04-13,79,valencia,14.8,1.9,0.0,12
V,2021-04-14,92,valencia,13.4,1.9,0.0,12
V,2021-04-15,94,valencia,11.9,2.5,0.9,12
V,2021-04-16,78,valencia,12.8,2.2,6.1,12
V,2021-04-17,73,valencia,12.1,1.1,0.1,12
V,2021-04-18,67,valencia,12.0,1.7,0.0,12
V,2021-04-19,88,valencia,16.9,2.5,0.0,12
V,2021-04-20,101,valencia,15.8,1.9,3.0,12
V,2021-04-21,113,valencia,15.3,1.1,17.5,12
V,2021-04-22,102,valencia,14.8,1.4,7.8,12
V,2021-04-23,116,valencia,15.2,1.7,0.0,12
V,2021-04-24,75,valencia,13.8,2.8,0.6,12
V,2021-04-25,58,valencia,15.0,2.2,26.0,12
V,2021-04-26,91,valencia,15.5,1.7,0.1,12
V,2021-04-27,69,valencia,16.0,1.9,5.9,12
V,2021-04-28,54,valencia,18.0,1.9,4.0,12
V,2021-04-29,70,valencia,18.4,2.2,0.0,12
V,2021-04-30,64,valencia,18.6,1.4,6.4,12
V,2021-05-01,63,valencia,19.2,3.1,0.2,12
V,2021-05-02,39,valencia,15.4,2.2,0.0,12
V,2021-05-03,60,valencia,15.0,3.3,1.6,12
V,2021-05-04,62,valencia,17.0,3.1,0.0,12
V,2021-05-05,67,valencia,18.6,3.3,0.0,12
V,2021-05-06,64,valencia,19.8,2.2,0.0,12
V,2021-05-07,51,valencia,21.4,3.9,0.0,12
V,2021-05-08,62,valencia,19.5,1.9,0.1,12
V,2021-05-09,39,valencia,19.1,1.9,0.0,12
V,2021-05-10,70,valencia,20.2,1.1,0.0,12
V,2021-05-11,54,valencia,19.8,1.7,0.0,12
V,2021-05-12,70,valencia,20.4,1.1,0.0,12
V,2021-05-13,52,valencia,22.6,1.7,0.0,12
V,2021-05-14,68,valencia,20.0,3.1,0.0,12
V,2021-05-15,53,valencia,23.4,1.7,0.0,12
V,2021-05-16,42,valencia,27.8,1.7,0.0,12
V,2021-05-17,78,valencia,19.8,3.3,0.0,12
V,2021-05-18,60,valencia,22.4,1.9,0.0,12
V,2021-05-19,76,valencia,18.9,3.3,0.0,12
V,2021-05-20,68,valencia,19.8,2.5,0.0,12
V,2021-05-21,76,valencia,19.4,1.7,0.0,12
V,2021-05-22,69,valencia,19.4,2.5,0.0,12
V,2021-05-23,50,valencia,15.4,2.5,33.7,12
V,2021-05-24,102,valencia,20.7,2.8,0.0,12
V,2021-05-25,94,valencia,17.1,3.1,0.0,12
V,2021-05-26,92,valencia,19.0,2.5,0.0,12
V,2021-05-27,57,valencia,18.8,2.8,0.3,12
V,2021-05-28,94,valencia,19.2,1.4,0.1,12
V,2021-05-29,71,valencia,19.4,3.1,0.0,12
V,2021-05-31,106,valencia,21.0,2.8,0.0,12
V,2021-06-01,112,valencia,20.0,1.9,1.2,12
V,2021-06-02,107,valencia,21.2,1.9,0.0,12
V,2021-06-03,97,valencia,21.0,2.2,0.0,12
V,2021-06-04,90,valencia,21.6,1.4,0.6,12
V,2021-06-05,76,valencia,19.0,1.9,4.9,12
V,2021-06-06,70,valencia,20.8,2.8,0.0,12
V,2021-06-07,101,valencia,22.2,1.9,0.0,12
V,2021-06-08,114,valencia,21.6,1.7,0.0,12
V,2021-06-09,94,valencia,22.2,1.7,0.0,12
V,2021-06-10,113,valencia,22.6,2.2,0.0,12
V,2021-06-11,93,valencia,23.2,2.5,0.0,12
V,2021-06-12,107,valencia,22.4,1.9,0.0,12
V,2021-06-13,89,valencia,24.4,2.5,0.0,12
V,2021-06-14,152,valencia,24.0,3.6,0.0,12
V,2021-06-15,131,valencia,25.8,2.2,0.0,12
