provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
VA,2021-03-02,31,valladolid,10.5,1.4,0.2,735
VA,2021-03-03,41,valladolid,10.6,1.1,0.0,735
VA,2021-03-04,29,valladolid,11.2,0.8,0.0,735
VA,2021-03-05,33,valladolid,9.8,1.7,0.0,735
VA,2021-03-06,20,valladolid,9.3,1.1,0.0,735
VA,2021-03-07,24,valladolid,9.4,0.8,0.4,735
VA,2021-03-08,38,valladolid,6.7,2.2,0.0,735
VA,2021-03-09,41,valladolid,5.4,1.4,0.0,735
VA,2021-03-10,41,valladolid,7.4,1.9,0.0,735
VA,2021-03-11,27,valladolid,11.3,2.2,0.0,735
VA,2021-03-12,47,valladolid,9.8,1.9,0.0,735
VA,2021-03-13,34,valladolid,8.1,1.9,0.0,735
VA,2021-03-14,38,valladolid,8.6,2.2,0.0,735
VA,2021-03-15,48,valladolid,8.6,1.4,0.0,735
VA,2021-03-16,29,valladolid,8.6,2.2,0.0,735
VA,2021-03-17,15,valladolid,10.4,2.2,0.0,735
VA,2021-03-18,28,valladolid,6.0,1.9,0.0,735
VA,2021-03-19,36,valladolid,8.2,1.9,0.0,735
VA,2021-03-20,28,valladolid,5.5,2.5,0.0,735
VA,2021-03-21,28,valladolid,6.0,1.9,0.0,735
VA,2021-03-22,47,valladolid,8.4,1.7,0.0,735
VA,2021-03-23,72,valladolid,9.6,0.8,0.0,735
VA,2021-03-24,54,valladolid,10.5,0.8,0.0,735
VA,2021-03-25,58,valladolid,11.1,1.1,0.0,735
VA,2021-03-26,61,valladolid,11.0,1.7,0.0,735
VA,2021-03-27,57,valladolid,10.7,1.4,0.0,735
VA,2021-03-28,42,valladolid,12.8,0.8,0.0,735
VA,2021-03-29,57,valladolid,15.0,1.7,0.0,735
VA,2021-03-30,56,valladolid,16.2,1.4,0.0,735
VA,2021-03-31,74,valladolid,16.9,2.2,0.0,735
VA,2021-04-01,60,valladolid,17.6,1.7,4.6,735
VA,2021-04-02,59,valladolid,13.8,1.7,3.0,735
VA,2021-04-03,37,valladolid,11.6,1.9,0.0,735
VA,2021-04-04,63,valladolid,10.6,1.9,0.0,735
VA,2021-04-05,70,valladolid,11.9,1.4,0.0,735
VA,2021-04-06,53,valladolid,11.0,1.9,0.0,735
VA,2021-04-07,84,valladolid,9.3,1.7,0.0,735
VA,2021-04-08,63,valladolid,11.9,1.7,2.4,735
VA,2021-04-09,71,valladolid,11.6,1.4,5.6,735
VA,2021-04-10,52,valladolid,13.4,1.7,13.0,735
VA,2021-04-11,55,valladolid,8.6,1.9,0.0,735
VA,2021-04-12,57,valladolid,7.3,1.4,0.0,735
VA,2021-04-13,93,valladolid,7.6,1.1,4.2,735
VA,2021-04-14,70,valladolid,13.5,1.7,0.0,735
VA,2021-04-15,46,valladolid,11.4,1.7,0.0,735
VA,2021-04-16,61,valladolid,7.6,1.9,0.0,735
VA,2021-04-17,72,valladolid,6.7,1.4,0.0,735
VA,2021-04-18,45,valladolid,8.8,1.4,0.0,735
VA,2021-04-19,81,valladolid,13.4,1.9,1.3,735
VA,2021-04-20,79,valladolid,12.6,0.8,5.0,735
VA,2021-04-21,90,valladolid,11.6,0.8,12.0,735
VA,2021-04-22,63,valladolid,12.8,0.8,0.0,735
VA,2021-04-23,57,valladolid,13.2,1.9,0.0,735
VA,2021-04-24,59,valladolid,15.8,1.9,0.0,735
VA,2021-04-25,37,valladolid,13.8,1.7,0.2,735
