provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
Z,2021-03-02,106,zamora,9.4,1.9,0.6,715
Z,2021-03-03,96,zamora,10.4,1.1,0.0,715
Z,2021-03-04,101,zamora,10.4,1.7,0.0,715
Z,2021-03-05,97,zamora,9.8,3.6,0.0,715
Z,2021-03-06,91,zamora,8.0,1.9,0.0,715
Z,2021-03-07,83,zamora,8.4,1.1,4.0,715
Z,2021-03-08,115,zamora,7.1,2.8,0.0,715
Z,2021-03-09,104,zamora,5.3,1.9,0.0,715
Z,2021-03-10,89,zamora,7.6,1.9,0.0,715
Z,2021-03-11,93,zamora,11.8,3.3,0.0,715
Z,2021-03-12,88,zamora,9.4,2.5,0.0,715
Z,2021-03-13,106,zamora,7.7,2.5,0.0,715
Z,2021-03-14,80,zamora,9.2,1.9,0.0,715
Z,2021-03-15,125,zamora,8.1,1.4,0.0,715
Z,2021-03-16,120,zamora,8.0,3.6,0.0,715
Z,2021-03-17,102,zamora,9.7,4.2,0.0,715
Z,2021-03-18,117,zamora,6.6,2.8,0.0,715
Z,2021-03-19,125,zamora,7.4,4.7,0.0,715
Z,2021-03-20,103,zamora,5.6,3.1,0.0,715
Z,2021-03-21,71,zamora,5.2,2.8,0.0,715
Z,2021-03-22,134,zamora,6.8,1.9,0.0,715
Z,2021-03-23,135,zamora,9.4,1.9,0.0,715
Z,2021-03-24,127,zamora,10.6,2.2,0.0,715
Z,2021-03-25,123,zamora,10.4,2.2,0.0,715
Z,2021-03-26,135,zamora,10.1,3.1,0.0,715
Z,2021-03-27,113,zamora,9.2,1.9,0.0,715
Z,2021-03-28,107,zamora,11.4,1.4,0.0,715
Z,2021-03-29,138,zamora,14.0,1.9,0.0,715
Z,2021-03-30,161,zamora,14.0,0.8,0.0,715
Z,2021-03-31,154,zamora,15.8,2.2,0.0,715
Z,2021-04-01,199,zamora,17.1,1.9,1.0,715
Z,2021-04-02,141,zamora,14.6,1.1,6.6,715
Z,2021-04-03,160,zamora,12.6,2.2,0.0,715
Z,2021-04-04,186,zamora,10.0,3.1,0.0,715
Z,2021-04-05,203,zamora,11.6,1.4,0.0,715
Z,2021-04-06,209,zamora,11.2,3.1,0.0,715
Z,2021-04-07,217,zamora,8.7,2.8,0.0,715
Z,2021-04-08,200,zamora,11.7,1.9,0.0,715
Z,2021-04-09,202,zamora,10.6,1.4,2.2,715
Z,2021-04-10,191,zamora,12.0,2.2,3.8,715
Z,2021-04-11,164,zamora,8.2,3.1,0.2,715
Z,2021-04-12,204,zamora,7.0,1.9,0.0,715
Z,2021-04-13,252,zamora,7.7,1.7,6.6,715
Z,2021-04-14,215,zamora,13.6,2.2,0.0,715
Z,2021-04-15,232,zamora,11.4,3.1,0.0,715
Z,2021-04-16,231,zamora,8.5,2.8,0.0,715
Z,2021-04-17,173,zamora,7.8,1.7,0.0,715
Z,2021-04-18,160,zamora,8.8,1.7,0.0,715
Z,2021-04-19,204,zamora,12.8,1.4,2.8,715
Z,2021-04-20,239,zamora,12.6,1.9,0.4,715
Z,2021-04-21,240,zamora,11.6,1.9,1.4,715
Z,2021-04-22,219,zamora,12.4,0.8,0.0,715
Z,2021-04-23,245,zamora,12.8,2.8,0.0,715
Z,2021-04-24,178,zamora,15.8,2.8,0.0,715
Z,2021-04-25,180,zamora,13.1,1.7,0.2,715
Z,2021-04-26,292,zamora,13.8,2.8,0.0,715
Z,2021-04-27,274,zamora,13.5,1.7,12.4,715
Z,2021-04-28,249,zamora,12.6,0.8,20.6,715
Z,2021-04-29,234,zamora,10.4,1.4,0.2,715
Z,2021-04-30,245,zamora,10.4,2.2,2.8,715
Z,2021-05-01,227,zamora,9.9,1.9,0.8,715
Z,2021-05-02,182,zamora,9.8,2.2,0.0,715
Z,2021-05-03,223,zamora,11.4,1.7,0.0,715
Z,2021-05-04,234,zamora,13.4,2.8,0.0,715
Z,2021-05-05,214,zamora,15.6,1.9,0.0,715
Z,2021-05-06,157,zamora,15.8,1.9,0.0,715
Z,2021-05-07,191,zamora,17.0,3.1,0.0,715
Z,2021-05-08,147,zamora,17.2,3.6,0.0,715
Z,2021-05-09,120,zamora,10.9,3.9,3.2,715
Z,2021-05-10,137,zamora,9.4,3.6,2.4,715
Z,2021-05-11,143,zamora,8.8,3.9,0.0,715
Z,2021-05-12,179,zamora,13.6,4.7,0.0,715
Z,2021-05-13,155,zamora,13.0,5.0,0.0,715
Z,2021-05-14,126,zamora,13.0,2.5,0.0,715
Z,2021-05-15,161,zamora,16.0,4.4,0.0,715
Z,2021-05-16,106,zamora,15.7,5.0,0.0,715
Z,2021-05-17,143,zamora,15.3,3.1,0.0,715
Z,2021-05-18,191,zamora,16.5,4.4,0.0,715
Z,2021-05-19,155,zamora,13.2,1.9,0.0,715
Z,2021-05-20,163,zamora,17.8,2.2,0.0,715
Z,2021-05-21,141,zamora,16.0,3.6,0.0,715
Z,2021-05-22,131,zamora,12.0,1.7,0.0,715
Z,2021-05-23,101,zamora,12.8,2.8,0.0,715
Z,2021-05-24,100,zamora,14.6,4.2,0.0,715
Z,2021-05-25,94,zamora,13.0,2.5,0.0,715
Z,2021-05-26,105,zamora,17.6,1.7,0.0,715
Z,2021-05-27,99,zamora,19.0,1.9,0.0,715
Z,2021-05-28,87,zamora,20.9,1.4,6.6,715
Z,2021-05-29,97,zamora,21.0,2.5,0.0,715
Z,2021-05-30,71,zamora,21.6,2.2,0.0,715
Z,2021-05-31,113,zamora,22.6,2.2,6.6,715
Z,2021-06-01,95,zamora,19.2,2.5,1.2,715
Z,2021-06-02,96,zamora,17.7,3.1,0.0,715
Z,2021-06-03,95,zamora,18.2,3.1,0.0,715
Z,2021-06-04,89,zamora,17.5,1.7,0.0,715
Z,2021-06-05,71,zamora,17.8,1.9,0.0,715
Z,2021-06-06,44,zamora,19.1,2.2,0.0,715
Z,2021-06-07,69,zamora,21.1,1.7,0.0,715
Z,2021-06-08,62,zamora,23.0,2.8,0.0,715
Z,2021-06-09,68,zamora,21.9,1.9,0.0,715
Z,2021-06-10,80,zamora,23.0,2.2,0.0,715
Z,2021-06-11,52,zamora,23.0,4.2,0.0,715
Z,2021-06-12,56,zamora,22.8,3.6,0.2,715
Z,2021-06-13,53,zamora,24.1,2.5,0.2,715
Z,2021-06-14,63,zamora,23.6,3.6,0.0,715
Z,2021-06-15,66,zamora,24.6,1.9,9.4,715
