provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
ZA,2021-03-02,4,zaragoza,7.6,1.9,0.0,582
ZA,2021-03-03,9,zaragoza,9.1,0.8,0.0,582
ZA,2021-03-04,1,zaragoza,8.8,1.4,0.0,582
ZA,2021-03-05,6,zaragoza,9.8,1.1,0.0,582
ZA,2021-03-06,4,zaragoza,9.3,2.2,0.0,582
ZA,2021-03-07,4,zaragoza,10.3,1.9,0.0,582
ZA,2021-03-08,6,zaragoza,9.2,3.6,0.0,582
ZA,2021-03-09,5,zaragoza,6.6,1.4,0.0,582
ZA,2021-03-10,3,zaragoza,7.2,1.7,0.0,582
ZA,2021-03-11,6,zaragoza,12.1,3.3,0.4,582
ZA,2021-03-12,4,zaragoza,9.0,3.6,0.0,582
ZA,2021-03-13,3,zaragoza,8.8,3.9,0.0,582
ZA,2021-03-14,3,zaragoza,9.0,3.3,0.0,582
ZA,2021-03-15,5,zaragoza,7.6,2.8,0.0,582
ZA,2021-03-16,6,zaragoza,8.2,4.7,0.0,582
ZA,2021-03-17,1,zaragoza,9.5,3.1,0.0,582
ZA,2021-03-18,6,zaragoza,8.4,4.4,0.0,582
ZA,2021-03-19,5,zaragoza,7.2,4.2,0.2,582
ZA,2021-03-20,5,zaragoza,6.2,4.2,0.0,582
ZA,2021-03-21,2,zaragoza,5.7,3.1,0.0,582
ZA,2021-03-22,8,zaragoza,8.4,1.7,0.0,582
ZA,2021-03-23,7,zaragoza,8.8,1.9,0.0,582
ZA,2021-03-24,6,zaragoza,10.8,2.2,0.0,582
ZA,2021-03-25,13,zaragoza,12.2,1.9,0.0,582
ZA,2021-03-26,8,zaragoza,12.8,3.6,0.0,582
ZA,2021-03-27,3,zaragoza,11.4,2.2,0.0,582
ZA,2021-03-28,7,zaragoza,12.2,3.1,0.0,582
ZA,2021-03-29,8,zaragoza,14.0,2.5,0.0,582
ZA,2021-03-30,5,zaragoza,15.6,3.6,0.0,582
ZA,2021-03-31,14,zaragoza,14.8,4.2,0.0,582
ZA,2021-04-01,10,zaragoza,14.2,3.6,0.0,582
ZA,2021-04-02,6,zaragoza,13.2,2.5,1.0,582
ZA,2021-04-03,6,zaragoza,13.0,2.2,0.0,582
ZA,2021-04-04,4,zaragoza,10.2,2.8,0.0,582
ZA,2021-04-06,16,zaragoza,10.3,4.4,0.0,582
ZA,2021-04-07,16,zaragoza,7.6,3.6,0.0,582
ZA,2021-04-08,13,zaragoza,11.2,2.2,1.6,582
ZA,2021-04-09,16,zaragoza,9.9,1.4,4.4,582
ZA,2021-04-10,20,zaragoza,12.6,1.9,7.6,582
ZA,2021-04-11,6,zaragoza,8.8,2.5,11.6,582
ZA,2021-04-12,17,zaragoza,9.6,2.5,0.0,582
ZA,2021-04-13,17,zaragoza,10.4,2.2,0.2,582
ZA,2021-04-14,14,zaragoza,13.8,2.8,0.0,582
ZA,2021-04-15,17,zaragoza,11.8,2.8,0.0,582
ZA,2021-04-16,26,zaragoza,7.8,2.8,0.0,582
ZA,2021-04-17,16,zaragoza,7.2,2.5,0.0,582
ZA,2021-04-18,11,zaragoza,9.8,1.9,0.0,582
ZA,2021-04-19,13,zaragoza,12.4,2.8,0.0,582
ZA,2021-04-20,20,zaragoza,13.2,1.4,3.6,582
ZA,2021-04-21,13,zaragoza,13.0,1.7,9.4,582
ZA,2021-04-22,20,zaragoza,11.7,2.5,1.2,582
ZA,2021-04-23,17,zaragoza,14.7,2.5,0.0,582
ZA,2021-04-24,7,zaragoza,14.2,2.5,14.2,582
ZA,2021-04-25,9,zaragoza,14.4,3.6,6.4,582
ZA,2021-04-26,17,zaragoza,12.8,1.9,6.6,582
ZA,2021-04-27,21,zaragoza,14.4,2.2,3.2,582
ZA,2021-04-28,14,zaragoza,15.2,1.4,10.8,582
ZA,2021-04-29,8,zaragoza,13.2,1.9,10.8,582
