provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
VI,2020-07-11,5,alava,19.0,4.7,5.8,513
VI,2020-07-12,7,alava,21.0,2.5,0.8,513
VI,2020-07-13,4,alava,19.1,4.7,0.0,513
VI,2020-07-14,9,alava,15.9,4.7,0.0,513
VI,2020-07-15,10,alava,15.4,4.4,0.0,513
VI,2020-07-16,11,alava,17.1,3.9,0.0,513
VI,2020-07-17,12,alava,17.8,5.0,0.0,513
VI,2020-07-18,11,alava,22.7,3.6,0.0,513
VI,2020-07-19,9,alava,21.8,2.5,0.0,513
VI,2020-07-20,11,alava,21.0,3.9,0.0,513
VI,2020-07-21,15,alava,21.2,3.9,0.2,513
VI,2020-07-22,7,alava,24.0,3.6,0.0,513
VI,2020-07-23,15,alava,21.1,3.9,0.0,513
VI,2020-07-24,11,alava,17.5,3.9,0.0,513
VI,2020-07-25,20,alava,20.7,2.5,0.0,513
VI,2020-07-26,10,alava,19.8,3.3,0.0,513
VI,2020-07-27,30,alava,24.3,3.3,0.0,513
VI,2020-07-28,29,alava,20.0,5.6,0.0,513
VI,2020-07-29,44,alava,21.8,3.9,0.0,513
VI,2020-07-30,30,alava,25.4,2.5,1.9,513
VI,2020-07-31,41,alava,24.8,2.2,0.0,513
VI,2020-08-01,60,alava,20.3,3.6,0.0,513
VI,2020-08-02,34,alava,17.2,3.9,0.0,513
VI,2020-08-03,49,alava,16.4,4.4,0.0,513
VI,2020-08-04,54,alava,17.7,4.2,0.0,513
VI,2020-08-05,62,alava,20.4,2.8,0.0,513
VI,2020-08-06,53,alava,22.9,1.9,0.0,513
VI,2020-08-07,47,alava,28.2,2.5,0.8,513
VI,2020-08-08,40,alava,24.5,1.9,4.3,513
VI,2020-08-09,74,alava,26.4,3.1,0.0,513
VI,2020-08-10,123,alava,23.1,2.8,0.1,513
VI,2020-08-11,166,alava,23.0,2.8,8.7,513
VI,2020-08-12,105,alava,21.8,3.9,7.7,513
VI,2020-08-13,102,alava,20.0,3.3,0.0,513
VI,2020-08-14,80,alava,21.6,3.3,0.0,513
VI,2020-08-15,125,alava,22.8,3.6,0.0,513
VI,2020-08-16,102,alava,18.2,3.6,0.0,513
VI,2020-08-17,128,alava,18.0,2.5,4.7,513
VI,2020-08-18,125,alava,19.4,2.5,0.0,513
VI,2020-08-19,151,alava,23.8,3.9,0.0,513
VI,2020-08-20,57,alava,24.0,3.6,0.0,513
VI,2020-08-21,60,alava,21.3,2.8,7.5,513
VI,2020-08-22,90,alava,17.8,3.9,0.0,513
VI,2020-08-23,119,alava,18.0,3.9,0.0,513
VI,2020-08-24,94,alava,17.8,1.7,0.0,513
VI,2020-08-25,129,alava,21.2,4.2,0.0,513
VI,2020-08-26,135,alava,21.8,3.9,0.0,513
VI,2020-08-27,62,alava,22.4,3.9,0.2,513
VI,2020-08-28,93,alava,16.8,4.4,0.0,513
VI,2020-08-29,95,alava,14.4,3.3,4.6,513
VI,2020-08-30,67,alava,12.6,2.2,0.0,513
VI,2020-08-31,130,alava,13.8,2.2,0.0,513
VI,2020-09-01,112,alava,15.6,3.3,0.0,513
VI,2020-09-02,107,alava,15.4,3.6,0.0,513
VI,2020-09-03,57,alava,17.8,2.5,0.0,513
VI,2020-09-04,47,alava,19.6,1.9,0.0,513
VI,2020-09-05,98,alava,18.2,3.9,0.0,513
VI,2020-09-06,96,alava,16.7,5.0,0.0,513
VI,2020-09-07,85,alava,15.5,5.3,0.0,513
VI,2020-09-08,126,alava,16.6,2.8,0.0,513
VI,2020-09-09,87,alava,17.5,3.3,0.0,513
VI,2020-09-10,39,alava,17.6,3.3,0.0,513
VI,2020-09-11,41,alava,18.7,3.1,0.0,513
VI,2020-09-12,54,alava,19.6,2.8,0.0,513
VI,2020-09-13,118,alava,20.6,2.5,0.0,513
VI,2020-09-14,96,alava,24.1,2.5,0.1,513
VI,2020-09-15,98,alava,23.0,2.2,0.0,513
VI,2020-09-16,80,alava,22.2,2.2,0.2,513
VI,2020-09-17,73,alava,23.8,3.3,3.0,513
VI,2020-09-18,64,alava,20.0,1.4,18.9,513
VI,2020-09-19,61,alava,16.4,3.6,4.8,513
VI,2020-09-20,88,alava,16.4,0.8,8.8,513
VI,2020-09-21,75,alava,16.2,2.2,0.0,513
VI,2020-09-22,101,alava,16.8,2.2,0.0,513
VI,2020-09-23,108,alava,18.3,3.3,2.7,513
VI,2020-09-24,88,alava,16.4,4.4,4.3,513
VI,2020-09-25,56,alava,10.8,5.0,18.2,513
VI,2020-09-26,81,alava,11.5,2.8,9.2,513
VI,2020-09-27,85,alava,11.4,3.3,0.0,513
VI,2020-09-28,89,alava,12.2,1.9,0.0,513
VI,2020-09-29,79,alava,13.6,1.4,0.0,513
VI,2020-09-30,58,alava,15.4,2.8,0.0,513
VI,2020-10-01,42,alava,14.0,2.5,19.8,513
VI,2020-10-02,67,alava,11.2,5.8,24.9,513
VI,2020-10-03,65,alava,10.6,4.2,1.2,513
VI,2020-10-04,64,alava,11.1,4.7,1.9,513
VI,2020-10-05,67,alava,13.6,3.1,0.1,513
VI,2020-10-06,90,alava,15.6,3.6,0.0,513
VI,2020-10-07,57,alava,16.0,3.1,1.0,513
VI,2020-10-08,88,alava,16.2,1.7,0.0,513
VI,2020-10-09,60,alava,14.0,2.8,0.6,513
VI,2020-10-10,55,alava,12.2,2.2,1.2,513
VI,2020-10-11,75,alava,9.5,3.3,3.0,513
VI,2020-10-12,127,alava,11.7,2.8,7.7,513
VI,2020-10-13,104,alava,12.2,3.6,4.1,513
VI,2020-10-14,108,alava,8.8,3.6,18.7,513
VI,2020-10-15,79,alava,6.7,2.8,8.3,513
VI,2020-10-16,61,alava,7.3,2.8,0.2,513
VI,2020-10-17,92,alava,9.4,2.5,0.0,513
VI,2020-10-18,94,alava,11.4,1.4,0.0,513
VI,2020-10-19,102,alava,12.0,1.9,0.6,513
VI,2020-10-20,144,alava,15.0,6.1,9.3,513
VI,2020-10-21,119,alava,14.0,3.1,1.3,513
VI,2020-10-22,72,alava,13.6,3.1,5.3,513
VI,2020-10-23,108,alava,12.6,4.2,0.3,513
VI,2020-10-24,135,alava,10.3,5.6,0.0,513
VI,2020-10-25,122,alava,11.8,7.2,9.7,513
VI,2020-10-26,142,alava,8.6,4.2,0.1,513
VI,2020-10-27,195,alava,9.4,5.8,0.0,513
VI,2020-10-28,100,alava,11.6,1.9,0.0,513
VI,2020-10-29,63,alava,11.8,3.1,0.0,513
VI,2020-10-30,121,alava,12.0,3.3,0.0,513
VI,2020-10-31,134,alava,13.0,2.5,0.0,513
VI,2020-11-01,134,alava,17.0,5.8,0.0,513
VI,2020-11-02,142,alava,15.8,5.3,2.2,513
VI,2020-11-03,146,alava,7.9,2.2,0.2,513
VI,2020-11-04,127,alava,7.6,3.9,0.4,513
VI,2020-11-05,104,alava,11.2,2.5,0.0,513
VI,2020-11-06,119,alava,15.1,5.0,20.2,513
VI,2020-11-07,106,alava,13.0,2.2,0.5,513
VI,2020-11-08,104,alava,11.5,2.2,0.0,513
VI,2020-11-09,114,alava,12.7,2.8,0.0,513
VI,2020-11-10,127,alava,10.8,1.1,1.4,513
VI,2020-11-11,119,alava,7.6,4.4,0.0,513
VI,2020-11-12,107,alava,11.1,2.5,0.0,513
VI,2020-11-13,115,alava,10.1,4.7,0.0,513
VI,2020-11-14,94,alava,10.4,4.4,0.0,513
VI,2020-11-15,124,alava,13.2,4.2,4.5,513
VI,2020-11-16,127,alava,9.2,1.7,0.0,513
VI,2020-11-17,108,alava,10.0,1.9,0.2,513
VI,2020-11-18,63,alava,12.4,3.1,0.0,513
VI,2020-11-19,61,alava,8.8,2.5,0.0,513
VI,2020-11-20,84,alava,7.7,3.3,0.0,513
VI,2020-11-21,86,alava,6.0,1.1,0.0,513
VI,2020-11-22,73,alava,6.0,1.1,0.0,513
VI,2020-11-23,98,alava,5.5,0.8,0.0,513
VI,2020-11-24,71,alava,5.6,3.6,0.0,513
VI,2020-11-25,86,alava,7.6,1.9,0.0,513
VI,2020-11-26,47,alava,11.4,4.4,0.0,513
VI,2020-11-27,61,alava,9.2,3.3,0.0,513
VI,2020-11-28,89,alava,7.8,1.7,0.0,513
VI,2020-11-29,75,alava,7.6,1.1,0.0,513
VI,2020-11-30,96,alava,4.5,0.6,0.0,513
