provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
AB,2020-07-11,3,albacete,25.6,1.7,0.0,676
AB,2020-07-12,2,albacete,24.5,1.9,5.5,676
AB,2020-07-13,8,albacete,25.6,1.7,0.0,676
AB,2020-07-14,14,albacete,23.2,1.1,8.8,676
AB,2020-07-15,3,albacete,23.0,1.4,0.0,676
AB,2020-07-16,4,albacete,25.1,1.1,0.0,676
AB,2020-07-17,5,albacete,26.6,1.4,0.0,676
AB,2020-07-18,3,albacete,26.1,1.4,0.0,676
AB,2020-07-19,1,albacete,27.9,1.4,11.4,676
AB,2020-07-20,5,albacete,27.9,1.7,0.0,676
AB,2020-07-21,4,albacete,26.3,1.9,0.0,676
AB,2020-07-22,6,albacete,24.7,1.4,0.4,676
AB,2020-07-23,3,albacete,26.2,0.8,0.0,676
AB,2020-07-24,7,albacete,28.2,1.4,0.0,676
AB,2020-07-25,6,albacete,28.4,1.4,0.0,676
AB,2020-07-26,7,albacete,29.4,0.8,0.0,676
AB,2020-07-27,4,albacete,29.0,1.9,0.0,676
AB,2020-07-28,7,albacete,31.0,0.8,0.0,676
AB,2020-07-29,12,albacete,28.4,1.7,0.0,676
AB,2020-07-30,7,albacete,28.7,1.9,0.0,676
AB,2020-07-31,13,albacete,31.4,0.8,0.0,676
AB,2020-08-01,6,albacete,31.1,1.7,0.0,676
AB,2020-08-02,9,albacete,29.7,1.9,0.0,676
AB,2020-08-03,11,albacete,26.9,1.1,0.0,676
AB,2020-08-04,23,albacete,26.8,0.6,0.0,676
AB,2020-08-05,23,albacete,28.6,1.7,0.0,676
AB,2020-08-06,24,albacete,28.0,1.7,0.0,676
AB,2020-08-07,25,albacete,28.0,1.9,0.0,676
AB,2020-08-08,19,albacete,29.7,0.6,0.3,676
AB,2020-08-09,16,albacete,30.6,1.4,0.0,676
AB,2020-08-10,25,albacete,28.2,1.9,0.0,676
AB,2020-08-11,35,albacete,24.7,1.7,5.1,676
AB,2020-08-12,31,albacete,22.4,1.1,0.6,676
AB,2020-08-13,39,albacete,25.2,0.8,0.0,676
AB,2020-08-14,47,albacete,26.2,0.8,0.0,676
AB,2020-08-15,41,albacete,25.5,1.1,0.0,676
AB,2020-08-16,45,albacete,23.5,1.4,0.0,676
AB,2020-08-17,64,albacete,24.3,1.4,0.0,676
AB,2020-08-18,49,albacete,25.2,0.6,0.0,676
AB,2020-08-19,48,albacete,26.6,1.1,0.0,676
AB,2020-08-20,59,albacete,28.4,0.8,0.0,676
AB,2020-08-21,66,albacete,28.1,1.4,0.0,676
AB,2020-08-22,57,albacete,27.8,0.8,0.0,676
AB,2020-08-23,53,albacete,27.6,1.1,0.0,676
AB,2020-08-24,76,albacete,27.8,1.9,0.0,676
AB,2020-08-25,58,albacete,28.4,1.1,0.0,676
AB,2020-08-26,69,albacete,30.0,1.7,0.0,676
AB,2020-08-27,76,albacete,30.0,0.6,0.0,676
AB,2020-08-28,78,albacete,28.2,1.9,0.0,676
AB,2020-08-29,60,albacete,20.8,1.4,0.0,676
AB,2020-08-30,65,albacete,18.0,0.8,0.0,676
AB,2020-08-31,78,albacete,20.0,0.3,0.0,676
AB,2020-09-01,99,albacete,21.0,0.3,0.0,676
AB,2020-09-02,89,albacete,22.2,0.8,0.0,676
AB,2020-09-03,66,albacete,23.3,1.4,0.0,676
AB,2020-09-04,85,albacete,22.4,1.7,0.0,676
AB,2020-09-05,51,albacete,23.8,1.1,0.0,676
AB,2020-09-06,34,albacete,22.3,0.8,0.0,676
AB,2020-09-07,62,albacete,21.3,1.4,0.0,676
AB,2020-09-08,59,albacete,19.4,1.4,0.0,676
AB,2020-09-09,86,albacete,21.1,0.3,0.0,676
AB,2020-09-10,76,albacete,21.7,0.3,0.0,676
AB,2020-09-11,73,albacete,23.6,0.3,0.0,676
