provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
A,2020-07-11,7,alicante,26.8,2.8,0.0,81
A,2020-07-12,6,alicante,26.6,3.9,0.0,81
A,2020-07-13,15,alicante,26.8,2.5,0.0,81
A,2020-07-14,11,alicante,26.0,2.8,0.0,81
A,2020-07-15,27,alicante,25.4,2.5,0.0,81
A,2020-07-16,18,alicante,24.9,2.8,0.0,81
A,2020-07-17,36,alicante,25.2,2.5,0.0,81
A,2020-07-18,24,alicante,25.8,2.5,0.0,81
A,2020-07-19,24,alicante,26.0,2.2,0.0,81
A,2020-07-20,33,alicante,26.8,2.5,0.0,81
A,2020-07-21,45,alicante,25.5,3.3,0.0,81
A,2020-07-22,44,alicante,27.4,3.9,0.0,81
A,2020-07-23,33,alicante,26.6,1.4,0.0,81
A,2020-07-24,42,alicante,26.3,1.4,0.0,81
A,2020-07-25,51,alicante,27.5,2.5,0.0,81
A,2020-07-26,60,alicante,26.2,3.1,0.0,81
A,2020-07-27,66,alicante,27.8,2.2,0.0,81
A,2020-07-28,50,alicante,28.3,2.5,0.0,81
A,2020-07-29,81,alicante,28.6,2.5,0.0,81
A,2020-07-30,60,alicante,28.4,1.4,0.0,81
A,2020-07-31,67,alicante,28.6,1.9,0.0,81
A,2020-08-01,76,alicante,29.2,1.9,1.2,81
A,2020-08-02,64,alicante,29.1,2.2,0.0,81
A,2020-08-03,71,alicante,28.3,2.8,0.4,81
A,2020-08-04,75,alicante,27.6,2.5,5.4,81
A,2020-08-05,96,alicante,26.4,2.2,0.0,81
A,2020-08-06,74,alicante,27.0,2.2,0.0,81
A,2020-08-07,88,alicante,26.6,1.9,0.0,81
A,2020-08-08,83,alicante,26.9,1.7,0.0,81
A,2020-08-09,61,alicante,28.0,1.9,0.0,81
A,2020-08-10,120,alicante,27.0,3.3,0.0,81
A,2020-08-11,127,alicante,28.8,4.2,0.6,81
A,2020-08-12,112,alicante,27.8,2.2,0.0,81
A,2020-08-13,122,alicante,27.4,1.9,0.0,81
A,2020-08-14,138,alicante,26.6,2.8,0.0,81
A,2020-08-15,118,alicante,26.4,2.2,0.0,81
A,2020-08-16,135,alicante,27.0,2.5,0.0,81
