provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
AL,2020-07-11,23,almeria,25.1,3.3,0.0,869
AL,2020-07-12,19,almeria,26.6,4.4,0.0,869
AL,2020-07-18,32,almeria,24.4,3.1,0.0,869
AL,2020-07-19,59,almeria,24.8,2.5,0.0,869
AL,2020-07-20,59,almeria,26.4,2.8,0.0,869
AL,2020-07-21,20,almeria,27.3,3.9,0.0,869
AL,2020-07-22,23,almeria,26.4,2.8,0.0,869
AL,2020-07-23,51,almeria,26.5,2.8,0.0,869
AL,2020-07-24,39,almeria,29.0,2.8,0.0,869
AL,2020-07-25,43,almeria,29.0,3.3,0.0,869
AL,2020-07-26,29,almeria,29.2,3.1,0.0,869
AL,2020-07-27,53,almeria,30.7,3.9,0.0,869
AL,2020-07-28,37,almeria,29.0,3.3,0.0,869
AL,2020-07-29,46,almeria,28.0,3.3,0.0,869
AL,2020-07-30,76,almeria,29.4,4.4,0.0,869
AL,2020-07-31,68,almeria,29.4,1.4,0.0,869
AL,2020-08-01,70,almeria,33.2,0.3,0.7,869
AL,2020-08-02,88,almeria,32.0,2.5,0.0,869
AL,2020-08-03,103,almeria,28.1,2.8,0.0,869
AL,2020-08-04,88,almeria,25.6,3.3,0.0,869
AL,2020-08-05,103,almeria,26.0,2.8,0.0,869
AL,2020-08-06,126,almeria,27.2,3.9,0.0,869
AL,2020-08-07,131,almeria,28.0,3.3,0.0,869
AL,2020-08-08,108,almeria,28.2,2.8,0.0,869
AL,2020-08-09,46,almeria,28.0,3.1,0.0,869
AL,2020-08-10,108,almeria,29.2,3.9,0.0,869
AL,2020-08-11,107,almeria,26.7,3.3,0.0,869
AL,2020-08-12,133,almeria,25.6,1.9,0.0,869
AL,2020-08-13,163,almeria,25.8,2.8,0.0,869
AL,2020-08-14,158,almeria,26.8,3.1,0.0,869
AL,2020-08-15,147,almeria,26.2,1.9,0.0,869
AL,2020-08-16,96,almeria,25.9,1.7,0.0,869
AL,2020-08-17,154,almeria,25.6,2.2,0.0,869
AL,2020-08-18,143,almeria,27.0,3.3,0.0,869
AL,2020-08-19,108,almeria,25.2,3.1,0.0,869
AL,2020-08-20,121,almeria,26.8,3.1,0.0,869
AL,2020-08-21,175,almeria,28.9,2.5,0.0,869
AL,2020-08-22,160,almeria,29.8,3.1,0.0,869
AL,2020-08-23,119,almeria,25.9,3.6,0.0,869
AL,2020-08-24,131,almeria,25.8,3.1,0.0,869
AL,2020-08-25,103,almeria,26.2,3.1,0.0,869
AL,2020-08-26,137,almeria,27.2,2.5,0.0,869
AL,2020-08-28,88,almeria,29.2,1.7,0.0,869
AL,2020-08-29,174,almeria,25.7,2.2,0.0,869
AL,2020-08-30,111,almeria,20.4,2.5,0.0,869
AL,2020-08-31,144,almeria,20.2,3.1,0.0,869
AL,2020-09-01,116,almeria,20.1,1.4,0.0,869
AL,2020-09-02,151,almeria,20.5,2.8,0.0,869
AL,2020-09-03,132,almeria,21.0,2.2,0.0,869
AL,2020-09-04,127,almeria,21.4,3.1,0.0,869
AL,2020-09-05,125,almeria,21.4,2.8,0.0,869
AL,2020-09-06,99,almeria,21.2,2.5,0.0,869
AL,2020-09-07,107,almeria,24.4,2.8,0.0,869
AL,2020-09-08,106,almeria,19.9,3.6,0.0,869
AL,2020-09-09,121,almeria,20.4,2.5,0.0,869
AL,2020-09-10,143,almeria,23.0,2.5,0.0,869
AL,2020-09-11,82,almeria,21.9,2.8,0.0,869
AL,2020-09-12,73,almeria,23.0,2.5,0.0,869
AL,2020-09-13,100,almeria,22.8,2.5,0.0,869
AL,2020-09-14,46,almeria,23.2,3.1,0.0,869
AL,2020-09-15,91,almeria,23.0,3.1,0.0,869
AL,2020-09-16,133,almeria,22.8,3.1,0.0,869
AL,2020-09-17,125,almeria,24.0,1.4,4.1,869
AL,2020-09-19,80,almeria,20.8,1.7,0.0,869
AL,2020-09-20,73,almeria,21.6,1.7,0.0,869
AL,2020-09-21,44,almeria,22.8,1.7,0.0,869
AL,2020-09-22,92,almeria,22.8,1.7,0.0,869
AL,2020-09-23,96,almeria,24.1,1.7,0.0,869
AL,2020-09-24,91,almeria,25.0,2.5,0.1,869
AL,2020-09-25,73,almeria,23.2,3.6,0.0,869
AL,2020-09-26,99,almeria,19.4,2.5,0.0,869
AL,2020-09-27,59,almeria,21.4,2.2,0.0,869
AL,2020-09-28,67,almeria,19.2,2.2,0.0,869
AL,2020-09-29,67,almeria,20.8,2.2,0.0,869
AL,2020-09-30,114,almeria,20.4,1.4,0.0,869
AL,2020-10-01,82,almeria,23.0,1.7,0.0,869
AL,2020-10-02,78,almeria,17.4,3.1,2.8,869
AL,2020-10-03,64,almeria,14.4,2.5,0.0,869
AL,2020-10-04,73,almeria,17.4,3.1,0.0,869
AL,2020-10-05,53,almeria,18.6,2.5,0.0,869
AL,2020-10-06,72,almeria,18.8,1.1,0.0,869
AL,2020-10-07,103,almeria,21.6,1.9,0.0,869
AL,2020-10-09,69,almeria,19.9,2.5,0.0,869
AL,2020-10-10,75,almeria,20.2,2.2,0.0,869
AL,2020-10-11,42,almeria,18.1,2.2,0.0,869
AL,2020-10-12,60,almeria,16.7,1.7,0.0,869
AL,2020-10-13,65,almeria,17.8,0.6,0.0,869
AL,2020-10-14,110,almeria,18.6,2.2,0.0,869
AL,2020-10-15,110,almeria,16.0,1.1,0.0,869
AL,2020-10-16,121,almeria,14.4,1.7,0.0,869
AL,2020-10-17,184,almeria,15.7,1.4,0.0,869
AL,2020-10-18,81,almeria,15.2,2.5,0.0,869
AL,2020-10-19,149,almeria,15.4,2.5,0.0,869
AL,2020-10-20,176,almeria,17.6,3.1,0.1,869
AL,2020-10-21,217,almeria,21.1,2.5,0.4,869
AL,2020-10-22,227,almeria,15.4,1.9,2.9,869
AL,2020-10-23,204,almeria,15.6,1.4,0.0,869
AL,2020-10-24,152,almeria,15.8,1.7,0.0,869
AL,2020-10-25,144,almeria,16.6,1.9,0.0,869
AL,2020-10-26,150,almeria,12.5,2.5,0.0,869
AL,2020-10-27,237,almeria,12.8,1.9,0.0,869
AL,2020-10-28,272,almeria,15.9,1.7,0.0,869
AL,2020-10-29,202,almeria,16.6,1.7,0.0,869
AL,2020-10-30,278,almeria,17.4,1.9,0.0,869
AL,2020-10-31,215,almeria,19.2,0.8,0.0,869
AL,2020-11-01,153,almeria,19.1,1.7,0.0,869
AL,2020-11-02,190,almeria,20.0,1.7,0.0,869
AL,2020-11-03,190,almeria,17.4,2.2,0.0,869
AL,2020-11-06,306,almeria,16.4,1.7,7.6,869
AL,2020-11-07,307,almeria,15.4,2.2,0.0,869
AL,2020-11-08,179,almeria,13.7,1.7,0.0,869
AL,2020-11-09,220,almeria,15.8,0.8,0.0,869
AL,2020-11-10,293,almeria,14.3,1.9,0.0,869
AL,2020-11-11,228,almeria,12.9,2.8,0.0,869
AL,2020-11-12,330,almeria,12.4,3.1,0.0,869
AL,2020-11-13,329,almeria,14.9,1.4,0.1,869
AL,2020-11-14,237,almeria,15.3,0.3,0.4,869
AL,2020-11-15,148,almeria,17.8,1.1,0.0,869
AL,2020-11-16,213,almeria,19.5,1.4,0.0,869
AL,2020-11-17,258,almeria,17.1,0.6,0.0,869
AL,2020-11-18,259,almeria,16.0,0.8,0.0,869
AL,2020-11-19,191,almeria,14.2,0.8,0.0,869
AL,2020-11-20,179,almeria,15.1,0.8,0.0,869
AL,2020-11-21,174,almeria,11.8,1.9,0.0,869
AL,2020-11-22,114,almeria,10.6,1.4,0.0,869
AL,2020-11-23,142,almeria,9.2,1.1,0.0,869
AL,2020-11-24,181,almeria,10.0,0.6,0.0,869
AL,2020-11-25,142,almeria,11.2,1.7,0.3,869
AL,2020-11-26,144,almeria,10.2,3.6,24.3,869
AL,2020-11-27,142,almeria,7.6,1.9,5.3,869
AL,2020-11-28,126,almeria,9.6,2.5,0.0,869
AL,2020-11-29,55,almeria,10.7,1.9,0.0,869
AL,2020-11-30,81,almeria,10.6,2.2,0.0,869
