provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
O,2020-07-11,3,asturias,19.2,5.3,0.0,127
O,2020-07-12,0,asturias,19.8,4.4,0.0,127
O,2020-07-13,0,asturias,18.4,3.1,0.0,127
O,2020-07-14,2,asturias,17.1,1.7,1.6,127
O,2020-07-15,2,asturias,17.6,2.2,0.0,127
O,2020-07-16,1,asturias,18.6,4.4,0.0,127
O,2020-07-17,1,asturias,19.6,6.9,0.0,127
O,2020-07-18,1,asturias,19.2,5.6,0.0,127
O,2020-07-19,2,asturias,18.9,1.9,0.0,127
O,2020-07-20,1,asturias,19.2,2.2,0.0,127
O,2020-07-21,2,asturias,20.2,3.3,0.0,127
O,2020-07-22,2,asturias,19.0,1.9,0.0,127
O,2020-07-23,4,asturias,20.0,2.2,0.0,127
O,2020-07-24,3,asturias,18.4,3.1,0.0,127
O,2020-07-25,8,asturias,18.2,3.1,0.0,127
O,2020-07-26,7,asturias,19.8,3.6,0.0,127
O,2020-07-27,6,asturias,20.4,2.8,1.2,127
O,2020-07-28,13,asturias,18.4,3.1,3.0,127
O,2020-07-29,15,asturias,18.6,4.7,0.9,127
O,2020-07-30,12,asturias,21.8,2.2,0.0,127
O,2020-07-31,13,asturias,20.8,2.2,0.0,127
O,2020-08-01,17,asturias,17.7,2.2,0.7,127
O,2020-08-02,11,asturias,18.2,2.5,0.3,127
O,2020-08-03,11,asturias,18.4,1.9,0.0,127
O,2020-08-04,19,asturias,20.2,2.8,0.0,127
O,2020-08-05,38,asturias,19.0,2.2,0.0,127
O,2020-08-06,40,asturias,20.8,3.3,0.0,127
O,2020-08-07,28,asturias,20.7,6.1,0.0,127
O,2020-08-08,23,asturias,20.0,3.3,0.0,127
O,2020-08-09,34,asturias,21.0,2.8,2.5,127
O,2020-08-10,26,asturias,20.4,3.6,0.0,127
O,2020-08-11,27,asturias,20.6,1.4,13.0,127
O,2020-08-12,26,asturias,18.0,5.3,29.7,127
O,2020-08-13,17,asturias,19.0,2.8,0.0,127
O,2020-08-14,22,asturias,19.2,3.1,0.0,127
O,2020-08-15,29,asturias,18.9,2.2,2.0,127
O,2020-08-16,23,asturias,19.2,3.9,2.7,127
O,2020-08-17,22,asturias,20.2,1.4,0.3,127
O,2020-08-18,32,asturias,21.2,3.1,2.1,127
O,2020-08-19,29,asturias,25.1,2.2,1.9,127
O,2020-08-20,33,asturias,19.7,2.5,0.7,127
O,2020-08-21,29,asturias,19.2,2.8,0.0,127
O,2020-08-22,36,asturias,18.6,2.5,0.0,127
O,2020-08-23,46,asturias,18.6,2.8,0.0,127
O,2020-08-24,51,asturias,19.8,4.7,0.0,127
O,2020-08-25,37,asturias,20.8,3.1,0.0,127
O,2020-08-26,36,asturias,21.9,1.9,0.0,127
O,2020-08-27,36,asturias,20.8,2.2,1.9,127
O,2020-08-28,45,asturias,17.3,6.9,11.3,127
O,2020-08-29,31,asturias,16.5,2.8,27.3,127
O,2020-08-30,47,asturias,15.0,2.5,11.5,127
O,2020-08-31,37,asturias,15.8,4.2,0.0,127
O,2020-09-01,64,asturias,17.4,3.1,0.0,127
O,2020-09-02,56,asturias,17.2,2.8,0.0,127
O,2020-09-03,85,asturias,19.9,3.1,0.0,127
O,2020-09-04,37,asturias,20.0,2.8,0.0,127
O,2020-09-05,53,asturias,17.8,3.9,0.7,127
O,2020-09-06,30,asturias,17.4,3.9,0.0,127
O,2020-09-07,50,asturias,17.0,4.7,0.0,127
O,2020-09-08,49,asturias,17.0,5.8,0.0,127
O,2020-09-09,71,asturias,17.8,2.5,0.0,127
O,2020-09-10,52,asturias,18.6,3.3,0.0,127
O,2020-09-11,74,asturias,19.4,3.6,0.0,127
O,2020-09-12,65,asturias,20.9,4.4,0.0,127
O,2020-09-13,74,asturias,23.7,3.3,0.0,127
O,2020-09-14,93,asturias,21.1,0.8,1.9,127
O,2020-09-15,92,asturias,19.3,2.2,0.0,127
O,2020-09-16,75,asturias,20.2,3.6,0.2,127
O,2020-09-17,104,asturias,21.5,3.3,13.0,127
O,2020-09-18,86,asturias,19.2,2.8,1.0,127
O,2020-09-19,72,asturias,18.4,3.3,27.1,127
O,2020-09-20,82,asturias,17.8,1.7,0.0,127
O,2020-09-21,83,asturias,18.2,1.7,0.2,127
O,2020-09-22,128,asturias,17.6,3.1,1.5,127
O,2020-09-23,97,asturias,17.4,5.3,3.3,127
O,2020-09-24,91,asturias,16.2,9.4,8.5,127
O,2020-09-25,94,asturias,14.0,7.5,12.6,127
O,2020-09-26,73,asturias,16.2,7.8,18.4,127
O,2020-09-27,73,asturias,14.2,1.4,0.0,127
O,2020-09-28,88,asturias,13.6,3.3,0.0,127
O,2020-09-29,93,asturias,15.0,4.2,0.0,127
O,2020-09-30,103,asturias,15.0,1.9,7.5,127
O,2020-10-01,99,asturias,16.6,6.4,61.4,127
O,2020-10-02,106,asturias,12.0,9.7,35.9,127
O,2020-10-03,69,asturias,13.6,8.9,10.2,127
O,2020-10-04,90,asturias,13.3,10.3,20.8,127
O,2020-10-05,110,asturias,15.8,4.2,0.0,127
O,2020-10-06,213,asturias,19.3,6.7,2.2,127
O,2020-10-07,292,asturias,18.0,2.8,0.8,127
O,2020-10-08,200,asturias,17.2,1.4,0.0,127
O,2020-10-09,168,asturias,16.0,0.8,9.0,127
O,2020-10-10,186,asturias,13.7,2.2,0.6,127
O,2020-10-11,188,asturias,13.2,1.9,0.0,127
