provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
AV,2020-07-11,0,avila,24.4,3.1,1.8,1130
AV,2020-07-12,1,avila,22.1,2.2,0.0,1130
AV,2020-07-13,0,avila,22.6,2.5,0.0,1130
AV,2020-07-14,0,avila,20.8,3.1,0.0,1130
AV,2020-07-15,1,avila,20.2,2.8,0.0,1130
AV,2020-07-16,0,avila,22.8,2.5,0.0,1130
AV,2020-07-17,0,avila,22.2,3.1,0.0,1130
AV,2020-07-18,0,avila,21.8,2.8,0.0,1130
AV,2020-07-19,1,avila,24.9,3.6,4.6,1130
AV,2020-07-20,1,avila,25.1,2.2,0.0,1130
AV,2020-07-21,1,avila,25.1,3.1,0.4,1130
AV,2020-07-22,0,avila,23.8,3.1,0.0,1130
AV,2020-07-23,1,avila,24.6,2.5,0.0,1130
AV,2020-07-24,1,avila,24.4,2.5,0.0,1130
AV,2020-07-25,0,avila,24.8,2.8,0.0,1130
AV,2020-07-26,0,avila,24.8,2.8,0.0,1130
AV,2020-07-27,1,avila,26.9,3.3,0.0,1130
AV,2020-07-28,2,avila,25.4,3.1,0.0,1130
AV,2020-07-29,1,avila,26.2,2.2,0.0,1130
AV,2020-07-30,0,avila,28.1,4.4,0.0,1130
AV,2020-07-31,0,avila,26.6,2.8,0.0,1130
AV,2020-08-01,2,avila,24.4,3.9,0.0,1130
AV,2020-08-02,1,avila,21.7,3.1,0.0,1130
AV,2020-08-03,4,avila,20.4,3.1,0.0,1130
AV,2020-08-04,3,avila,21.4,3.1,0.0,1130
AV,2020-08-05,4,avila,23.6,2.2,0.0,1130
AV,2020-08-06,5,avila,26.5,3.9,0.0,1130
AV,2020-08-07,5,avila,28.4,4.2,0.0,1130
AV,2020-08-08,6,avila,25.3,2.5,0.0,1130
AV,2020-08-09,10,avila,26.3,3.1,0.2,1130
AV,2020-08-10,10,avila,23.8,3.9,0.0,1130
AV,2020-08-11,14,avila,17.5,2.2,10.4,1130
AV,2020-08-12,9,avila,18.8,3.1,1.8,1130
AV,2020-08-13,12,avila,19.6,1.9,0.0,1130
AV,2020-08-14,7,avila,20.5,2.8,0.0,1130
AV,2020-08-15,13,avila,18.3,3.1,0.0,1130
AV,2020-08-16,22,avila,17.4,2.5,0.0,1130
AV,2020-08-17,24,avila,19.4,2.5,0.0,1130
AV,2020-08-18,23,avila,20.6,1.9,0.0,1130
AV,2020-08-19,36,avila,21.4,3.6,0.0,1130
AV,2020-08-20,45,avila,22.5,4.4,0.0,1130
AV,2020-08-21,42,avila,21.5,2.2,0.0,1130
AV,2020-08-22,20,avila,19.4,2.8,0.0,1130
AV,2020-08-23,23,avila,19.4,2.5,0.0,1130
AV,2020-08-24,22,avila,21.1,2.2,0.0,1130
AV,2020-08-25,20,avila,23.4,2.5,0.0,1130
AV,2020-08-26,30,avila,23.5,2.5,0.0,1130
AV,2020-08-27,17,avila,24.0,1.9,0.0,1130
AV,2020-08-28,42,avila,19.6,4.2,0.0,1130
AV,2020-08-29,20,avila,14.0,5.3,0.0,1130
AV,2020-08-30,16,avila,11.5,2.8,0.0,1130
AV,2020-08-31,19,avila,14.3,1.9,0.0,1130
AV,2020-09-01,25,avila,18.2,2.2,0.0,1130
AV,2020-09-02,27,avila,17.6,1.9,0.0,1130
AV,2020-09-03,33,avila,20.0,1.9,0.0,1130
AV,2020-09-04,47,avila,22.7,3.1,0.0,1130
AV,2020-09-05,20,avila,23.0,1.9,0.0,1130
AV,2020-09-06,39,avila,20.8,2.8,0.0,1130
AV,2020-09-07,39,avila,15.6,3.6,0.0,1130
AV,2020-09-08,23,avila,15.4,3.1,0.0,1130
AV,2020-09-09,32,avila,19.6,2.2,0.0,1130
AV,2020-09-10,45,avila,18.8,2.5,0.0,1130
AV,2020-09-11,43,avila,19.6,1.9,0.0,1130
AV,2020-09-12,48,avila,21.7,1.9,0.0,1130
AV,2020-09-13,32,avila,21.9,4.2,0.0,1130
AV,2020-09-14,26,avila,21.0,3.6,6.5,1130
AV,2020-09-15,37,avila,19.4,2.2,0.0,1130
AV,2020-09-16,46,avila,19.2,1.9,2.6,1130
AV,2020-09-17,15,avila,18.2,3.9,20.0,1130
AV,2020-09-18,65,avila,15.0,3.1,20.8,1130
AV,2020-09-19,38,avila,15.1,2.2,0.4,1130
AV,2020-09-20,43,avila,15.8,3.1,0.6,1130
AV,2020-09-21,30,avila,14.7,1.7,0.0,1130
AV,2020-09-22,58,avila,14.6,1.4,1.8,1130
AV,2020-09-23,51,avila,16.8,2.8,1.4,1130
AV,2020-09-24,42,avila,14.3,3.6,0.0,1130
AV,2020-09-25,41,avila,10.7,4.4,0.0,1130
AV,2020-09-26,18,avila,10.8,3.6,0.0,1130
AV,2020-09-27,19,avila,12.0,2.8,0.0,1130
AV,2020-09-28,38,avila,12.2,1.7,0.0,1130
AV,2020-09-29,27,avila,15.4,1.7,0.0,1130
AV,2020-09-30,49,avila,16.2,1.7,0.0,1130
AV,2020-10-01,47,avila,14.4,3.3,0.2,1130
AV,2020-10-02,41,avila,9.3,5.8,10.0,1130
AV,2020-10-03,24,avila,8.0,5.0,0.0,1130
AV,2020-10-04,32,avila,10.2,3.9,0.0,1130
AV,2020-10-05,48,avila,11.2,3.9,0.0,1130
AV,2020-10-06,36,avila,15.5,2.8,0.0,1130
AV,2020-10-07,29,avila,15.6,1.7,0.0,1130
AV,2020-10-08,37,avila,16.2,1.9,0.0,1130
AV,2020-10-09,36,avila,15.8,1.4,0.0,1130
AV,2020-10-10,36,avila,12.7,2.5,0.0,1130
AV,2020-10-11,23,avila,8.6,2.8,0.0,1130
AV,2020-10-12,36,avila,7.6,1.9,0.0,1130
AV,2020-10-13,37,avila,12.5,3.1,0.0,1130
AV,2020-10-14,45,avila,8.7,2.5,0.0,1130
AV,2020-10-15,36,avila,6.2,1.7,0.0,1130
AV,2020-10-16,48,avila,5.7,1.9,0.0,1130
AV,2020-10-17,50,avila,9.0,1.1,0.0,1130
AV,2020-10-18,50,avila,10.4,2.2,0.0,1130
AV,2020-10-19,70,avila,14.2,3.9,0.0,1130
AV,2020-10-20,73,avila,13.1,5.0,38.6,1130
AV,2020-10-21,77,avila,12.1,4.2,8.4,1130
AV,2020-10-22,73,avila,10.4,2.5,6.8,1130
AV,2020-10-23,85,avila,8.6,1.9,1.0,1130
AV,2020-10-24,65,avila,8.8,1.9,0.0,1130
AV,2020-10-25,58,avila,9.6,5.0,2.2,1130
AV,2020-10-26,135,avila,6.3,4.2,0.0,1130
AV,2020-10-27,78,avila,7.6,2.2,0.2,1130
AV,2020-10-28,88,avila,11.8,2.8,0.0,1130
AV,2020-10-29,111,avila,12.0,2.2,0.0,1130
AV,2020-10-30,76,avila,11.4,1.4,0.0,1130
AV,2020-10-31,49,avila,12.2,1.1,0.0,1130
AV,2020-11-01,71,avila,13.0,0.8,0.0,1130
AV,2020-11-02,89,avila,12.7,0.8,0.0,1130
AV,2020-11-03,65,avila,8.6,2.5,0.4,1130
AV,2020-11-04,86,avila,5.4,2.5,14.6,1130
AV,2020-11-05,87,avila,9.0,4.2,19.0,1130
AV,2020-11-06,79,avila,12.0,5.0,13.0,1130
AV,2020-11-07,33,avila,11.5,2.5,0.2,1130
AV,2020-11-08,36,avila,10.2,3.6,1.0,1130
AV,2020-11-09,60,avila,10.2,2.2,0.0,1130
AV,2020-11-10,52,avila,9.5,1.4,0.0,1130
AV,2020-11-11,57,avila,9.5,2.2,0.0,1130
AV,2020-11-12,47,avila,9.9,2.2,0.0,1130
AV,2020-11-13,47,avila,9.3,1.9,0.0,1130
AV,2020-11-14,42,avila,11.0,2.8,0.2,1130
AV,2020-11-15,32,avila,13.0,2.8,0.0,1130
AV,2020-11-16,41,avila,10.6,1.7,0.0,1130
AV,2020-11-17,19,avila,12.6,0.8,0.0,1130
AV,2020-11-18,28,avila,13.2,0.6,0.0,1130
AV,2020-11-19,10,avila,11.0,1.4,0.0,1130
AV,2020-11-20,25,avila,7.0,1.4,0.0,1130
AV,2020-11-21,11,avila,8.8,1.4,0.0,1130
AV,2020-11-22,19,avila,7.4,1.4,0.0,1130
AV,2020-11-23,12,avila,8.7,1.1,0.0,1130
AV,2020-11-24,16,avila,7.2,0.8,0.0,1130
AV,2020-11-25,15,avila,4.8,4.2,2.8,1130
AV,2020-11-26,16,avila,7.0,5.8,24.8,1130
AV,2020-11-27,11,avila,8.2,2.2,0.4,1130
AV,2020-11-28,9,avila,6.5,1.7,0.0,1130
AV,2020-11-29,8,avila,7.0,2.8,0.0,1130
AV,2020-11-30,15,avila,8.8,1.7,0.0,1130
