provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
BA,2020-07-11,17,badajoz,31.0,2.2,0.0,185
BA,2020-07-12,11,badajoz,30.0,2.2,0.0,185
BA,2020-07-13,11,badajoz,31.5,3.1,0.0,185
BA,2020-07-14,3,badajoz,31.4,3.1,0.0,185
BA,2020-07-15,6,badajoz,29.0,1.7,0.0,185
BA,2020-07-16,7,badajoz,31.7,2.2,0.0,185
BA,2020-07-17,5,badajoz,33.0,2.2,0.0,185
BA,2020-07-18,3,badajoz,31.6,3.3,0.0,185
BA,2020-07-19,2,badajoz,29.4,3.1,0.0,185
BA,2020-07-20,5,badajoz,29.5,2.5,0.0,185
BA,2020-07-21,11,badajoz,26.8,2.2,3.8,185
BA,2020-07-22,5,badajoz,28.2,2.5,0.0,185
BA,2020-07-23,3,badajoz,29.8,3.1,0.0,185
BA,2020-07-24,3,badajoz,28.8,3.1,0.0,185
BA,2020-07-25,3,badajoz,28.7,2.8,0.0,185
BA,2020-07-26,3,badajoz,29.8,2.2,0.0,185
BA,2020-07-27,8,badajoz,28.9,2.5,0.0,185
BA,2020-07-28,11,badajoz,27.8,2.2,0.0,185
BA,2020-07-29,15,badajoz,28.2,2.2,0.0,185
BA,2020-07-30,16,badajoz,30.4,1.9,0.0,185
BA,2020-07-31,18,badajoz,30.2,1.7,0.0,185
BA,2020-08-01,14,badajoz,27.6,3.1,0.0,185
BA,2020-08-02,15,badajoz,26.3,3.3,0.0,185
BA,2020-08-03,17,badajoz,26.8,3.9,0.0,185
BA,2020-08-04,4,badajoz,28.0,1.7,0.0,185
BA,2020-08-05,21,badajoz,30.6,1.7,0.0,185
BA,2020-08-06,20,badajoz,30.4,3.1,0.0,185
BA,2020-08-07,36,badajoz,30.3,2.5,0.0,185
BA,2020-08-08,12,badajoz,29.3,1.9,0.0,185
BA,2020-08-09,5,badajoz,27.9,3.6,0.0,185
BA,2020-08-10,13,badajoz,26.0,3.6,0.0,185
BA,2020-08-11,23,badajoz,25.4,2.8,0.0,185
BA,2020-08-12,48,badajoz,23.8,1.9,0.0,185
BA,2020-08-13,42,badajoz,25.3,3.3,0.0,185
BA,2020-08-14,30,badajoz,24.2,3.3,0.0,185
BA,2020-08-15,16,badajoz,22.6,4.2,0.0,185
BA,2020-08-16,27,badajoz,22.5,3.9,0.0,185
BA,2020-08-17,24,badajoz,25.4,3.6,0.0,185
BA,2020-08-18,33,badajoz,26.2,2.8,0.0,185
BA,2020-08-19,43,badajoz,26.1,2.2,0.0,185
