provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
PM,2020-07-11,7,baleares,25.7,7.8,0.0,57
PM,2020-07-12,4,baleares,26.6,4.7,0.0,57
PM,2020-07-13,8,baleares,27.0,6.4,0.0,57
PM,2020-07-14,11,baleares,25.4,5.0,3.7,57
PM,2020-07-15,13,baleares,25.1,2.2,0.0,57
PM,2020-07-16,7,baleares,25.0,3.6,0.0,57
PM,2020-07-17,6,baleares,25.0,4.4,0.0,57
PM,2020-07-18,7,baleares,26.0,3.1,0.0,57
PM,2020-07-19,5,baleares,26.7,4.2,0.0,57
PM,2020-07-20,16,baleares,26.8,4.4,0.0,57
PM,2020-07-21,13,baleares,27.2,4.2,0.0,57
PM,2020-07-22,16,baleares,27.5,2.5,0.0,57
PM,2020-07-23,19,baleares,27.8,1.7,0.0,57
PM,2020-07-24,25,baleares,28.2,4.2,0.0,57
PM,2020-07-25,25,baleares,28.2,3.6,0.0,57
PM,2020-07-26,47,baleares,28.6,2.8,0.0,57
PM,2020-07-27,40,baleares,28.8,3.6,0.0,57
PM,2020-07-28,52,baleares,28.8,3.9,0.0,57
PM,2020-07-29,55,baleares,29.2,3.1,0.0,57
PM,2020-07-30,78,baleares,29.9,2.8,0.0,57
PM,2020-07-31,80,baleares,29.3,2.5,0.1,57
PM,2020-08-01,115,baleares,29.6,2.5,0.0,57
PM,2020-08-02,99,baleares,27.6,6.7,0.0,57
PM,2020-08-03,157,baleares,25.8,6.4,0.0,57
PM,2020-08-04,173,baleares,24.6,4.2,0.8,57
PM,2020-08-05,169,baleares,26.6,2.2,0.0,57
PM,2020-08-06,173,baleares,27.8,2.8,0.0,57
PM,2020-08-07,198,baleares,28.4,2.5,0.0,57
PM,2020-08-08,191,baleares,29.0,3.1,0.0,57
PM,2020-08-09,177,baleares,29.3,1.4,0.0,57
PM,2020-08-10,329,baleares,28.6,3.9,0.0,57
PM,2020-08-11,268,baleares,28.8,5.6,0.0,57
PM,2020-08-12,293,baleares,28.8,3.3,0.1,57
PM,2020-08-13,315,baleares,29.8,3.9,0.0,57
PM,2020-08-14,330,baleares,28.6,3.9,0.0,57
PM,2020-08-15,291,baleares,28.8,3.9,0.0,57
PM,2020-08-16,265,baleares,28.7,4.4,0.0,57
PM,2020-08-17,390,baleares,28.8,3.3,0.0,57
PM,2020-08-18,342,baleares,28.3,1.7,0.0,57
PM,2020-08-19,312,baleares,28.8,3.9,0.0,57
PM,2020-08-20,314,baleares,29.0,4.2,0.0,57
PM,2020-08-21,272,baleares,29.9,3.1,0.0,57
PM,2020-08-22,224,baleares,29.2,6.1,0.0,57
PM,2020-08-23,205,baleares,28.0,6.1,0.0,57
PM,2020-08-24,267,baleares,27.5,4.2,0.0,57
PM,2020-08-25,261,baleares,27.6,4.7,0.0,57
