provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
B,2020-07-11,224,barcelona,25.0,1.1,0.0,74
B,2020-07-12,238,barcelona,24.5,1.1,0.1,74
B,2020-07-13,459,barcelona,25.4,0.8,1.3,74
B,2020-07-14,439,barcelona,25.0,0.8,0.5,74
B,2020-07-15,559,barcelona,24.6,1.1,0.0,74
B,2020-07-16,533,barcelona,24.2,1.4,0.0,74
B,2020-07-17,687,barcelona,25.0,1.7,0.0,74
B,2020-07-18,435,barcelona,24.6,0.6,0.0,74
B,2020-07-19,412,barcelona,25.7,1.9,0.0,74
B,2020-07-20,749,barcelona,25.2,1.9,0.0,74
B,2020-07-21,743,barcelona,25.0,1.1,0.0,74
B,2020-07-22,777,barcelona,24.6,1.1,0.0,74
B,2020-07-23,778,barcelona,26.8,0.6,0.0,74
B,2020-07-24,828,barcelona,26.4,0.6,0.5,74
B,2020-07-25,495,barcelona,27.0,1.7,0.0,74
B,2020-07-26,437,barcelona,26.2,0.3,0.0,74
B,2020-07-27,855,barcelona,25.8,1.4,0.0,74
B,2020-07-28,819,barcelona,26.4,0.6,0.0,74
B,2020-07-29,878,barcelona,27.0,0.6,0.0,74
B,2020-07-30,829,barcelona,27.0,0.6,0.0,74
B,2020-07-31,951,barcelona,26.8,0.6,0.0,74
B,2020-08-01,576,barcelona,28.6,0.8,0.0,74
B,2020-08-02,383,barcelona,27.8,0.8,19.3,74
B,2020-08-03,763,barcelona,23.7,1.4,2.0,74
B,2020-08-04,832,barcelona,23.8,1.7,0.0,74
B,2020-08-05,869,barcelona,25.2,1.1,0.0,74
B,2020-08-06,780,barcelona,25.8,0.8,0.0,74
B,2020-08-07,988,barcelona,25.4,1.7,0.0,74
B,2020-08-08,587,barcelona,26.0,1.1,0.0,74
B,2020-08-09,437,barcelona,27.2,0.8,0.0,74
B,2020-08-10,888,barcelona,26.8,1.4,0.0,74
B,2020-08-11,801,barcelona,26.8,0.6,0.0,74
B,2020-08-12,854,barcelona,28.0,1.1,0.0,74
B,2020-08-13,853,barcelona,26.9,0.6,0.0,74
B,2020-08-14,907,barcelona,26.4,1.1,0.0,74
B,2020-08-15,582,barcelona,26.2,1.7,0.0,74
B,2020-08-16,508,barcelona,26.3,1.1,0.0,74
B,2020-08-17,853,barcelona,25.2,1.1,0.0,74
B,2020-08-18,934,barcelona,26.0,1.1,0.0,74
B,2020-08-19,839,barcelona,25.6,2.5,0.0,74
B,2020-08-20,984,barcelona,26.1,1.7,0.0,74
B,2020-08-21,933,barcelona,27.4,0.6,0.0,74
B,2020-08-22,620,barcelona,27.4,1.7,0.0,74
B,2020-08-23,521,barcelona,25.7,1.9,0.6,74
B,2020-08-24,1003,barcelona,26.0,1.9,0.0,74
