provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
BI,2020-07-11,20,bizkaia,20.6,3.3,15.9,42
BI,2020-07-12,30,bizkaia,20.8,5.3,4.4,42
BI,2020-07-13,33,bizkaia,20.4,3.1,0.0,42
BI,2020-07-14,41,bizkaia,18.7,3.9,2.2,42
BI,2020-07-15,50,bizkaia,18.6,3.3,0.4,42
BI,2020-07-16,42,bizkaia,19.8,2.8,0.0,42
BI,2020-07-17,59,bizkaia,20.8,2.5,0.0,42
BI,2020-07-18,85,bizkaia,21.8,3.3,0.0,42
BI,2020-07-19,57,bizkaia,22.0,3.9,0.0,42
BI,2020-07-20,76,bizkaia,22.0,3.3,0.0,42
BI,2020-07-21,66,bizkaia,21.4,3.1,0.5,42
BI,2020-07-22,108,bizkaia,23.4,3.1,0.0,42
BI,2020-07-23,72,bizkaia,22.9,2.8,0.0,42
BI,2020-07-24,73,bizkaia,21.0,3.1,0.0,42
BI,2020-07-25,108,bizkaia,21.0,2.8,0.0,42
BI,2020-07-26,135,bizkaia,21.8,3.1,0.0,42
BI,2020-07-27,157,bizkaia,23.3,3.9,0.0,42
BI,2020-07-28,163,bizkaia,22.8,2.5,0.2,42
BI,2020-07-29,147,bizkaia,21.6,1.9,0.0,42
BI,2020-07-30,116,bizkaia,29.2,4.7,0.0,42
BI,2020-07-31,123,bizkaia,23.2,3.1,0.3,42
BI,2020-08-01,165,bizkaia,21.6,3.6,7.3,42
BI,2020-08-02,217,bizkaia,20.0,1.7,1.4,42
BI,2020-08-03,329,bizkaia,19.9,2.8,0.5,42
BI,2020-08-04,289,bizkaia,21.0,2.2,0.0,42
BI,2020-08-05,265,bizkaia,22.4,2.8,0.0,42
BI,2020-08-06,235,bizkaia,27.2,2.8,0.0,42
BI,2020-08-07,204,bizkaia,24.0,3.6,0.0,42
BI,2020-08-08,215,bizkaia,23.4,3.9,0.9,42
BI,2020-08-09,390,bizkaia,24.1,3.6,0.0,42
BI,2020-08-10,299,bizkaia,23.8,1.9,0.0,42
BI,2020-08-11,354,bizkaia,26.0,3.3,4.1,42
BI,2020-08-12,375,bizkaia,25.5,1.7,7.3,42
BI,2020-08-13,218,bizkaia,21.0,2.2,0.0,42
BI,2020-08-14,177,bizkaia,19.9,1.9,1.3,42
BI,2020-08-15,319,bizkaia,21.0,4.4,0.0,42
BI,2020-08-16,399,bizkaia,20.0,3.1,0.0,42
BI,2020-08-17,429,bizkaia,21.4,1.1,0.9,42
BI,2020-08-18,367,bizkaia,23.7,1.9,0.0,42
BI,2020-08-19,393,bizkaia,28.4,3.6,0.0,42
BI,2020-08-20,266,bizkaia,29.0,5.0,0.3,42
BI,2020-08-21,233,bizkaia,21.6,1.9,0.0,42
BI,2020-08-22,305,bizkaia,20.2,3.1,0.2,42
BI,2020-08-23,382,bizkaia,20.4,3.3,0.0,42
BI,2020-08-24,431,bizkaia,21.0,3.1,0.0,42
BI,2020-08-25,518,bizkaia,22.0,3.6,0.0,42
BI,2020-08-26,393,bizkaia,24.4,3.3,0.0,42
BI,2020-08-27,275,bizkaia,24.3,3.6,3.7,42
BI,2020-08-28,234,bizkaia,18.4,3.1,6.1,42
BI,2020-08-29,277,bizkaia,16.8,3.6,19.4,42
BI,2020-08-30,343,bizkaia,16.8,2.2,3.7,42
BI,2020-08-31,342,bizkaia,17.8,2.5,0.0,42
BI,2020-09-01,414,bizkaia,19.0,3.1,0.0,42
BI,2020-09-02,351,bizkaia,19.4,2.5,0.0,42
BI,2020-09-03,293,bizkaia,20.8,2.2,0.0,42
BI,2020-09-04,250,bizkaia,25.4,2.2,0.0,42
BI,2020-09-05,302,bizkaia,22.2,3.6,0.0,42
BI,2020-09-06,355,bizkaia,19.2,2.5,0.0,42
BI,2020-09-07,330,bizkaia,18.0,3.3,0.1,42
BI,2020-09-08,386,bizkaia,18.8,3.3,0.0,42
BI,2020-09-09,287,bizkaia,19.9,3.3,0.0,42
BI,2020-09-10,181,bizkaia,21.0,2.8,0.0,42
BI,2020-09-11,172,bizkaia,22.4,3.1,0.0,42
BI,2020-09-12,239,bizkaia,21.4,3.1,0.0,42
BI,2020-09-13,255,bizkaia,26.0,2.8,0.0,42
BI,2020-09-14,274,bizkaia,28.4,3.6,0.3,42
BI,2020-09-15,276,bizkaia,24.6,3.3,0.0,42
BI,2020-09-16,268,bizkaia,23.7,3.1,0.0,42
BI,2020-09-17,190,bizkaia,25.8,1.9,0.0,42
BI,2020-09-18,197,bizkaia,25.0,3.3,0.5,42
BI,2020-09-19,169,bizkaia,19.8,1.9,2.7,42
