provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
BU,2020-07-11,1,burgos,24.2,2.5,0.0,790
BU,2020-07-12,1,burgos,23.8,1.9,0.2,790
BU,2020-07-13,1,burgos,20.9,2.2,0.0,790
BU,2020-07-14,1,burgos,19.7,1.9,0.0,790
BU,2020-07-15,1,burgos,18.0,1.4,0.0,790
BU,2020-07-16,8,burgos,21.0,2.2,0.0,790
BU,2020-07-17,5,burgos,19.2,2.8,0.0,790
BU,2020-07-18,7,burgos,20.6,1.1,0.0,790
BU,2020-07-19,4,burgos,24.5,1.7,0.0,790
BU,2020-07-20,7,burgos,25.4,1.4,0.0,790
BU,2020-07-21,3,burgos,25.2,3.1,1.6,790
BU,2020-07-22,8,burgos,24.7,0.8,0.0,790
BU,2020-07-23,9,burgos,24.5,0.8,0.0,790
BU,2020-07-24,9,burgos,23.2,2.2,0.0,790
BU,2020-07-25,10,burgos,24.4,1.7,0.0,790
BU,2020-07-26,13,burgos,24.0,0.8,0.0,790
BU,2020-07-27,16,burgos,27.4,1.7,0.0,790
BU,2020-07-28,13,burgos,25.0,1.9,0.0,790
BU,2020-07-29,19,burgos,25.8,1.1,1.4,790
BU,2020-07-30,19,burgos,26.8,4.4,0.2,790
BU,2020-07-31,44,burgos,26.3,1.9,0.0,790
BU,2020-08-01,28,burgos,23.2,1.9,0.0,790
BU,2020-08-02,40,burgos,20.2,2.5,0.0,790
BU,2020-08-03,39,burgos,18.6,1.7,0.0,790
BU,2020-08-04,90,burgos,19.5,1.7,0.0,790
BU,2020-08-05,118,burgos,22.0,1.4,0.0,790
BU,2020-08-06,61,burgos,26.2,2.5,0.0,790
BU,2020-08-07,90,burgos,28.8,1.9,0.4,790
BU,2020-08-08,58,burgos,28.2,2.5,0.0,790
BU,2020-08-09,134,burgos,27.0,1.9,0.0,790
BU,2020-08-10,53,burgos,25.3,2.2,0.0,790
BU,2020-08-11,59,burgos,20.2,1.9,7.8,790
BU,2020-08-12,89,burgos,19.7,1.4,1.8,790
BU,2020-08-13,99,burgos,20.6,0.8,0.0,790
BU,2020-08-14,63,burgos,20.9,1.1,0.0,790
BU,2020-08-15,66,burgos,20.4,2.2,0.0,790
BU,2020-08-16,76,burgos,17.6,1.7,0.0,790
BU,2020-08-17,109,burgos,19.6,2.5,0.0,790
BU,2020-08-18,73,burgos,21.0,1.1,0.0,790
BU,2020-08-19,55,burgos,22.6,2.8,0.0,790
BU,2020-08-20,64,burgos,22.3,3.3,0.0,790
BU,2020-08-21,79,burgos,21.7,1.4,0.0,790
BU,2020-08-22,41,burgos,19.1,1.7,0.0,790
BU,2020-08-23,42,burgos,18.2,1.4,0.0,790
BU,2020-08-24,67,burgos,19.6,0.8,0.0,790
BU,2020-08-25,38,burgos,21.6,1.4,0.0,790
BU,2020-08-26,48,burgos,22.2,1.1,0.0,790
BU,2020-08-27,46,burgos,21.7,0.8,0.0,790
BU,2020-08-28,50,burgos,20.6,2.5,0.0,790
BU,2020-08-29,56,burgos,13.2,3.1,0.8,790
BU,2020-08-30,42,burgos,11.6,1.7,0.0,790
BU,2020-08-31,37,burgos,12.9,1.1,0.0,790
BU,2020-09-01,88,burgos,17.5,1.1,0.0,790
BU,2020-09-02,60,burgos,16.6,2.5,0.0,790
BU,2020-09-03,82,burgos,16.6,0.8,0.0,790
BU,2020-09-04,79,burgos,21.0,1.4,0.0,790
BU,2020-09-05,64,burgos,20.6,1.7,0.0,790
BU,2020-09-06,55,burgos,17.9,1.4,0.0,790
BU,2020-09-07,76,burgos,14.0,1.4,0.0,790
BU,2020-09-08,112,burgos,13.8,3.3,0.0,790
BU,2020-09-09,77,burgos,18.0,1.4,0.0,790
BU,2020-09-10,125,burgos,18.1,1.7,0.0,790
BU,2020-09-11,131,burgos,17.5,1.7,0.0,790
BU,2020-09-12,109,burgos,19.0,1.7,0.0,790
BU,2020-09-13,75,burgos,23.6,1.4,0.0,790
BU,2020-09-14,87,burgos,21.4,1.7,3.6,790
BU,2020-09-15,121,burgos,20.8,1.7,0.0,790
BU,2020-09-16,118,burgos,19.7,0.8,0.0,790
BU,2020-09-17,103,burgos,21.4,1.1,14.0,790
BU,2020-09-18,114,burgos,16.9,2.2,9.2,790
BU,2020-09-19,100,burgos,15.5,2.2,11.2,790
BU,2020-09-20,85,burgos,16.5,1.7,5.4,790
BU,2020-09-21,81,burgos,16.2,0.8,0.0,790
BU,2020-09-22,111,burgos,15.3,0.8,0.2,790
BU,2020-09-23,128,burgos,16.8,1.4,1.8,790
BU,2020-09-24,116,burgos,16.2,3.1,0.0,790
BU,2020-09-25,113,burgos,11.4,2.5,0.0,790
BU,2020-09-26,91,burgos,11.0,1.7,0.2,790
BU,2020-09-27,58,burgos,9.7,1.9,0.0,790
BU,2020-09-28,75,burgos,10.3,0.8,0.0,790
BU,2020-09-29,113,burgos,13.0,0.3,0.0,790
BU,2020-09-30,161,burgos,14.5,1.7,0.0,790
BU,2020-10-01,125,burgos,13.8,2.5,4.4,790
BU,2020-10-02,123,burgos,10.2,3.6,5.2,790
BU,2020-10-03,117,burgos,9.7,3.6,0.0,790
BU,2020-10-04,79,burgos,11.4,2.5,0.6,790
BU,2020-10-05,149,burgos,10.8,1.7,0.0,790
BU,2020-10-06,148,burgos,15.7,1.9,0.0,790
BU,2020-10-07,165,burgos,13.9,0.6,0.0,790
BU,2020-10-08,180,burgos,16.4,0.8,0.0,790
BU,2020-10-09,133,burgos,14.8,0.6,0.0,790
BU,2020-10-10,190,burgos,11.7,1.7,0.0,790
BU,2020-10-11,104,burgos,9.3,2.2,0.0,790
BU,2020-10-12,126,burgos,8.4,1.7,0.0,790
BU,2020-10-13,163,burgos,11.6,0.6,0.0,790
BU,2020-10-14,239,burgos,7.8,1.1,0.0,790
BU,2020-10-15,174,burgos,6.0,1.7,0.0,790
BU,2020-10-16,249,burgos,5.6,1.4,0.0,790
BU,2020-10-17,222,burgos,8.0,1.1,0.0,790
BU,2020-10-18,170,burgos,9.6,0.6,0.0,790
BU,2020-10-19,255,burgos,14.0,3.1,1.2,790
BU,2020-10-20,303,burgos,14.4,1.9,10.0,790
BU,2020-10-21,312,burgos,13.5,2.5,13.2,790
BU,2020-10-22,309,burgos,13.6,0.8,9.0,790
BU,2020-10-23,353,burgos,10.0,2.2,0.4,790
BU,2020-10-24,234,burgos,8.4,1.4,0.0,790
BU,2020-10-25,243,burgos,10.8,4.4,4.6,790
BU,2020-10-26,295,burgos,7.8,2.5,0.0,790
BU,2020-10-27,351,burgos,7.6,2.8,0.0,790
BU,2020-10-28,353,burgos,11.2,1.7,0.2,790
BU,2020-10-29,305,burgos,10.6,0.8,0.0,790
BU,2020-10-30,337,burgos,9.1,0.6,0.0,790
BU,2020-10-31,329,burgos,11.2,1.1,0.0,790
BU,2020-11-01,284,burgos,11.9,0.8,0.0,790
BU,2020-11-02,239,burgos,13.6,0.8,2.4,790
BU,2020-11-03,364,burgos,9.6,1.7,0.0,790
BU,2020-11-04,349,burgos,8.2,3.1,0.0,790
BU,2020-11-05,360,burgos,9.8,6.1,1.2,790
BU,2020-11-06,343,burgos,13.6,4.7,4.4,790
BU,2020-11-07,310,burgos,9.8,1.7,2.2,790
BU,2020-11-08,360,burgos,10.2,1.9,0.0,790
BU,2020-11-09,309,burgos,10.4,1.4,0.0,790
BU,2020-11-10,333,burgos,9.0,0.6,0.0,790
BU,2020-11-11,299,burgos,7.6,0.8,0.0,790
BU,2020-11-12,342,burgos,9.0,0.6,0.0,790
BU,2020-11-13,333,burgos,9.4,0.6,0.0,790
BU,2020-11-14,253,burgos,9.6,1.1,0.0,790
BU,2020-11-15,162,burgos,13.2,3.3,0.6,790
BU,2020-11-16,211,burgos,9.6,0.6,0.0,790
BU,2020-11-17,251,burgos,8.1,1.1,0.0,790
BU,2020-11-18,256,burgos,9.8,0.6,0.0,790
BU,2020-11-19,211,burgos,9.2,0.6,0.0,790
BU,2020-11-20,189,burgos,5.6,0.8,0.0,790
BU,2020-11-21,156,burgos,5.8,0.8,0.0,790
BU,2020-11-22,154,burgos,5.6,0.8,0.0,790
BU,2020-11-23,190,burgos,4.5,0.3,0.0,790
BU,2020-11-24,140,burgos,5.0,0.3,0.0,790
BU,2020-11-25,135,burgos,6.6,2.2,0.0,790
BU,2020-11-26,151,burgos,9.8,4.7,0.4,790
BU,2020-11-27,157,burgos,8.8,2.5,0.0,790
BU,2020-11-28,99,burgos,9.0,1.4,0.0,790
BU,2020-11-29,87,burgos,7.2,1.4,0.0,790
BU,2020-11-30,102,burgos,6.0,0.8,0.0,790
