provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
CA,2020-07-11,0,cadiz,27.6,8.3,0.0,2
CA,2020-07-12,0,cadiz,27.6,5.0,0.0,2
CA,2020-07-13,4,cadiz,27.2,3.6,0.0,2
CA,2020-07-14,2,cadiz,27.6,3.3,0.0,2
CA,2020-07-15,3,cadiz,28.2,10.3,0.0,2
CA,2020-07-16,1,cadiz,28.9,8.6,0.0,2
CA,2020-07-17,2,cadiz,28.6,7.5,0.0,2
CA,2020-07-18,3,cadiz,26.6,3.6,0.0,2
CA,2020-07-19,4,cadiz,26.4,2.5,0.0,2
CA,2020-07-20,4,cadiz,29.4,5.8,0.0,2
CA,2020-07-21,3,cadiz,25.3,4.7,0.0,2
CA,2020-07-22,1,cadiz,24.6,2.8,0.0,2
CA,2020-07-23,3,cadiz,25.8,3.6,0.0,2
CA,2020-07-24,7,cadiz,26.4,2.2,0.0,2
CA,2020-07-25,5,cadiz,26.4,3.3,0.0,2
CA,2020-07-26,7,cadiz,28.6,3.3,0.0,2
CA,2020-07-27,4,cadiz,25.8,4.4,0.0,2
CA,2020-07-28,9,cadiz,26.0,2.8,0.0,2
CA,2020-07-29,7,cadiz,26.1,3.9,0.0,2
CA,2020-07-30,18,cadiz,27.4,3.6,0.0,2
CA,2020-07-31,19,cadiz,26.9,2.8,0.0,2
CA,2020-08-01,17,cadiz,27.6,3.3,0.0,2
CA,2020-08-02,15,cadiz,26.8,5.3,0.0,2
CA,2020-08-03,22,cadiz,25.5,4.4,0.0,2
CA,2020-08-04,21,cadiz,25.6,4.4,0.0,2
CA,2020-08-05,32,cadiz,29.5,7.5,0.0,2
CA,2020-08-06,23,cadiz,29.4,7.5,0.0,2
CA,2020-08-07,35,cadiz,26.2,4.4,0.0,2
CA,2020-08-08,37,cadiz,27.1,2.8,0.0,2
CA,2020-08-09,45,cadiz,25.9,3.6,0.1,2
CA,2020-08-10,39,cadiz,26.0,3.1,1.1,2
CA,2020-08-11,65,cadiz,25.0,2.8,0.0,2
CA,2020-08-12,63,cadiz,23.8,3.6,0.0,2
CA,2020-08-13,49,cadiz,23.8,3.3,0.0,2
CA,2020-08-14,65,cadiz,24.6,3.9,0.0,2
CA,2020-08-15,94,cadiz,23.6,4.7,0.0,2
CA,2020-08-16,54,cadiz,23.2,5.6,0.0,2
CA,2020-08-17,73,cadiz,24.0,6.4,0.0,2
CA,2020-08-18,95,cadiz,26.4,5.8,0.0,2
CA,2020-08-19,85,cadiz,25.7,3.3,0.0,2
CA,2020-08-20,100,cadiz,23.8,3.1,0.0,2
CA,2020-08-21,106,cadiz,23.8,3.1,0.0,2
CA,2020-08-22,79,cadiz,25.8,3.3,0.0,2
CA,2020-08-23,79,cadiz,25.9,3.1,0.0,2
CA,2020-08-24,111,cadiz,25.0,2.8,0.0,2
CA,2020-08-25,130,cadiz,27.4,3.6,0.0,2
CA,2020-08-26,114,cadiz,26.2,2.5,0.0,2
CA,2020-08-27,163,cadiz,27.0,3.9,0.0,2
CA,2020-08-28,138,cadiz,24.3,5.0,0.0,2
CA,2020-08-29,113,cadiz,21.8,5.6,0.0,2
CA,2020-08-30,67,cadiz,24.4,3.1,0.0,2
CA,2020-08-31,104,cadiz,26.1,6.4,0.0,2
CA,2020-09-01,184,cadiz,23.6,3.9,0.0,2
CA,2020-09-02,158,cadiz,22.6,2.5,0.0,2
CA,2020-09-03,171,cadiz,26.6,9.4,0.0,2
CA,2020-09-04,216,cadiz,26.2,8.6,0.0,2
CA,2020-09-05,141,cadiz,26.4,7.2,0.0,2
CA,2020-09-06,174,cadiz,26.3,7.5,0.0,2
CA,2020-09-07,100,cadiz,25.5,2.8,0.0,2
CA,2020-09-08,148,cadiz,26.3,9.2,0.0,2
CA,2020-09-09,150,cadiz,26.5,4.7,0.0,2
CA,2020-09-10,114,cadiz,26.4,2.2,0.0,2
CA,2020-09-11,206,cadiz,27.0,5.8,0.0,2
CA,2020-09-12,138,cadiz,26.8,6.9,0.0,2
CA,2020-09-13,128,cadiz,27.0,9.4,0.0,2
CA,2020-09-14,96,cadiz,26.0,3.6,0.0,2
CA,2020-09-15,118,cadiz,24.7,3.1,0.0,2
CA,2020-09-16,171,cadiz,23.8,2.2,0.4,2
CA,2020-09-17,174,cadiz,24.2,3.6,0.0,2
CA,2020-09-18,213,cadiz,23.0,5.8,4.2,2
CA,2020-09-19,135,cadiz,23.2,3.6,1.6,2
CA,2020-09-20,87,cadiz,22.2,3.9,0.0,2
CA,2020-09-21,80,cadiz,23.8,3.9,0.0,2
CA,2020-09-22,116,cadiz,23.8,3.1,0.0,2
CA,2020-09-23,121,cadiz,23.5,2.5,0.0,2
CA,2020-09-24,156,cadiz,26.0,3.3,0.0,2
CA,2020-09-25,162,cadiz,22.3,6.1,0.0,2
CA,2020-09-26,151,cadiz,20.8,4.4,0.0,2
CA,2020-09-27,67,cadiz,21.8,5.0,0.0,2
CA,2020-09-28,88,cadiz,21.6,1.9,0.0,2
CA,2020-09-29,112,cadiz,24.2,3.1,0.0,2
CA,2020-09-30,105,cadiz,22.8,3.1,0.0,2
CA,2020-10-01,134,cadiz,21.0,4.4,0.0,2
CA,2020-10-02,137,cadiz,20.8,6.1,0.4,2
CA,2020-10-03,129,cadiz,18.4,5.3,0.0,2
CA,2020-10-04,71,cadiz,18.4,3.1,0.0,2
CA,2020-10-05,94,cadiz,18.4,5.3,0.0,2
CA,2020-10-06,119,cadiz,20.4,2.2,0.0,2
CA,2020-10-07,142,cadiz,22.6,1.9,0.0,2
CA,2020-10-08,128,cadiz,24.3,5.8,0.0,2
CA,2020-10-09,170,cadiz,23.5,2.5,0.0,2
CA,2020-10-10,136,cadiz,22.0,2.2,0.0,2
CA,2020-10-11,98,cadiz,21.7,2.5,0.0,2
CA,2020-10-12,113,cadiz,20.8,2.8,0.0,2
CA,2020-10-13,118,cadiz,18.6,3.3,0.0,2
CA,2020-10-14,197,cadiz,18.1,5.6,0.0,2
CA,2020-10-15,174,cadiz,16.6,2.5,0.0,2
CA,2020-10-16,206,cadiz,18.6,1.9,0.0,2
CA,2020-10-17,202,cadiz,18.4,1.7,0.0,2
CA,2020-10-18,162,cadiz,19.6,5.6,0.0,2
CA,2020-10-19,205,cadiz,21.7,8.6,0.0,2
CA,2020-10-20,273,cadiz,21.7,7.2,10.8,2
CA,2020-10-21,316,cadiz,19.9,3.3,40.1,2
CA,2020-10-22,304,cadiz,19.2,4.4,2.0,2
CA,2020-10-23,351,cadiz,19.4,1.1,0.0,2
CA,2020-10-24,343,cadiz,18.6,1.7,0.0,2
CA,2020-10-25,274,cadiz,18.9,2.5,3.0,2
CA,2020-10-26,322,cadiz,17.2,4.4,0.0,2
CA,2020-10-27,385,cadiz,15.8,3.1,0.0,2
CA,2020-10-28,366,cadiz,17.4,4.2,0.0,2
CA,2020-10-29,400,cadiz,20.1,3.3,0.0,2
CA,2020-10-30,401,cadiz,20.8,3.6,0.0,2
CA,2020-10-31,385,cadiz,19.8,2.2,0.0,2
CA,2020-11-01,395,cadiz,19.2,1.9,0.0,2
CA,2020-11-02,367,cadiz,19.8,1.4,0.0,2
CA,2020-11-03,453,cadiz,18.6,1.9,0.4,2
CA,2020-11-04,482,cadiz,19.1,5.8,10.2,2
CA,2020-11-05,445,cadiz,19.8,6.7,0.0,2
CA,2020-11-06,477,cadiz,18.9,3.6,9.1,2
CA,2020-11-07,424,cadiz,18.7,2.8,0.0,2
CA,2020-11-08,373,cadiz,18.6,1.7,6.3,2
CA,2020-11-09,398,cadiz,18.6,2.8,0.0,2
CA,2020-11-10,504,cadiz,18.2,2.8,0.0,2
CA,2020-11-11,527,cadiz,19.7,8.3,0.0,2
CA,2020-11-12,413,cadiz,18.8,6.1,0.0,2
CA,2020-11-13,607,cadiz,19.8,4.4,5.2,2
CA,2020-11-14,506,cadiz,18.8,3.9,3.0,2
CA,2020-11-15,378,cadiz,20.7,1.4,0.0,2
CA,2020-11-16,441,cadiz,18.8,0.8,0.1,2
CA,2020-11-17,430,cadiz,18.4,1.1,0.0,2
CA,2020-11-18,427,cadiz,20.0,4.4,0.0,2
CA,2020-11-19,396,cadiz,19.7,6.1,0.0,2
CA,2020-11-20,325,cadiz,20.0,5.3,0.0,2
CA,2020-11-21,359,cadiz,19.1,10.0,0.0,2
CA,2020-11-22,275,cadiz,18.0,9.2,0.0,2
CA,2020-11-23,246,cadiz,17.2,6.4,0.0,2
CA,2020-11-24,320,cadiz,17.0,3.9,0.0,2
CA,2020-11-25,259,cadiz,16.4,5.6,44.3,2
CA,2020-11-26,276,cadiz,13.5,8.3,20.3,2
CA,2020-11-27,248,cadiz,14.0,2.8,0.7,2
CA,2020-11-28,216,cadiz,16.5,2.8,50.3,2
CA,2020-11-29,136,cadiz,16.2,4.7,21.0,2
CA,2020-11-30,201,cadiz,17.9,8.6,0.0,2
