provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
S,2020-07-11,0,cantabria,19.6,3.1,9.1,45
S,2020-07-12,2,cantabria,20.4,2.5,0.6,45
S,2020-07-13,3,cantabria,20.2,3.6,0.0,45
S,2020-07-14,2,cantabria,19.0,4.4,0.1,45
S,2020-07-15,5,cantabria,19.2,2.8,0.0,45
S,2020-07-16,4,cantabria,19.2,2.8,0.0,45
S,2020-07-17,4,cantabria,20.6,1.9,0.0,45
S,2020-07-18,10,cantabria,20.8,3.3,0.0,45
S,2020-07-19,4,cantabria,21.0,3.6,0.0,45
S,2020-07-20,11,cantabria,21.0,3.1,0.0,45
S,2020-07-21,5,cantabria,20.6,3.3,0.0,45
S,2020-07-22,8,cantabria,22.1,1.7,0.0,45
S,2020-07-23,7,cantabria,22.0,3.1,0.0,45
S,2020-07-24,6,cantabria,20.8,2.2,0.0,45
S,2020-07-25,9,cantabria,20.2,2.2,0.0,45
S,2020-07-26,5,cantabria,21.6,1.9,0.0,45
S,2020-07-27,6,cantabria,21.8,3.6,0.0,45
S,2020-07-28,6,cantabria,21.4,2.2,1.5,45
S,2020-07-29,11,cantabria,21.0,2.2,0.0,45
S,2020-07-30,28,cantabria,28.8,2.5,0.0,45
S,2020-07-31,13,cantabria,22.3,3.3,0.0,45
S,2020-08-01,37,cantabria,20.8,3.6,4.4,45
S,2020-08-02,19,cantabria,19.8,3.6,1.9,45
S,2020-08-03,42,cantabria,20.1,2.2,0.7,45
S,2020-08-04,50,cantabria,20.5,2.8,0.1,45
S,2020-08-05,30,cantabria,20.7,2.5,0.0,45
S,2020-08-06,40,cantabria,22.8,2.2,0.0,45
S,2020-08-07,49,cantabria,22.8,2.8,2.2,45
S,2020-08-08,40,cantabria,21.6,2.2,5.5,45
S,2020-08-09,26,cantabria,22.2,2.8,0.2,45
S,2020-08-10,45,cantabria,22.5,2.2,0.0,45
S,2020-08-11,76,cantabria,23.2,1.7,3.3,45
S,2020-08-12,54,cantabria,22.4,1.4,19.5,45
S,2020-08-13,44,cantabria,20.0,4.4,0.0,45
S,2020-08-14,53,cantabria,19.4,2.2,0.0,45
S,2020-08-15,62,cantabria,20.8,2.5,0.0,45
S,2020-08-16,65,cantabria,20.2,1.7,0.0,45
S,2020-08-17,65,cantabria,20.7,0.8,0.1,45
S,2020-08-18,76,cantabria,22.1,1.4,0.0,45
S,2020-08-19,53,cantabria,29.6,4.4,0.0,45
S,2020-08-20,71,cantabria,24.3,3.9,0.4,45
S,2020-08-21,76,cantabria,21.6,1.9,0.1,45
S,2020-08-22,87,cantabria,20.0,2.8,1.0,45
S,2020-08-23,66,cantabria,19.9,1.1,0.0,45
S,2020-08-24,77,cantabria,20.1,2.5,0.0,45
S,2020-08-26,88,cantabria,22.9,1.7,0.0,45
