provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
CE,2020-07-11,0,ceuta,24.8,3.9,0.0,87
CE,2020-07-12,0,ceuta,23.8,3.1,0.0,87
CE,2020-07-13,0,ceuta,24.7,3.3,0.0,87
CE,2020-07-14,2,ceuta,24.9,3.3,0.0,87
CE,2020-07-15,0,ceuta,24.7,4.4,0.0,87
CE,2020-07-16,0,ceuta,24.5,4.2,0.0,87
CE,2020-07-17,0,ceuta,24.6,4.2,0.0,87
CE,2020-07-18,0,ceuta,24.6,3.6,0.0,87
CE,2020-07-19,0,ceuta,24.7,3.3,0.0,87
CE,2020-07-20,1,ceuta,25.0,3.1,0.0,87
CE,2020-07-21,0,ceuta,24.7,2.5,0.0,87
CE,2020-07-22,1,ceuta,25.0,2.2,0.0,87
CE,2020-07-23,0,ceuta,25.4,2.8,0.0,87
CE,2020-07-24,0,ceuta,25.8,1.7,0.0,87
CE,2020-07-25,0,ceuta,25.6,2.8,0.0,87
CE,2020-07-26,1,ceuta,26.2,3.3,0.0,87
CE,2020-07-27,0,ceuta,26.2,2.2,0.0,87
CE,2020-07-28,0,ceuta,25.9,2.2,0.0,87
CE,2020-07-29,0,ceuta,24.9,2.5,0.0,87
CE,2020-07-30,0,ceuta,24.6,2.2,0.0,87
CE,2020-07-31,0,ceuta,26.6,2.5,0.0,87
CE,2020-08-01,0,ceuta,30.6,1.7,0.0,87
CE,2020-08-02,2,ceuta,32.8,3.9,0.0,87
CE,2020-08-03,0,ceuta,27.2,4.7,0.0,87
CE,2020-08-04,0,ceuta,24.8,2.8,0.0,87
CE,2020-08-05,0,ceuta,26.5,5.0,0.0,87
CE,2020-08-06,1,ceuta,25.9,4.7,0.0,87
CE,2020-08-07,1,ceuta,24.2,3.1,0.0,87
CE,2020-08-08,2,ceuta,25.7,3.3,0.0,87
CE,2020-08-09,1,ceuta,25.8,2.8,0.0,87
CE,2020-08-10,2,ceuta,25.6,2.5,0.4,87
CE,2020-08-11,4,ceuta,26.5,3.1,0.0,87
CE,2020-08-12,2,ceuta,24.8,2.2,0.0,87
CE,2020-08-13,4,ceuta,25.8,1.7,0.0,87
CE,2020-08-14,9,ceuta,25.6,1.7,0.0,87
CE,2020-08-15,8,ceuta,24.8,3.3,0.0,87
CE,2020-08-16,1,ceuta,24.8,3.9,0.0,87
CE,2020-08-17,15,ceuta,27.8,3.1,0.0,87
CE,2020-08-18,7,ceuta,27.5,1.4,0.0,87
CE,2020-08-19,0,ceuta,23.6,2.5,0.0,87
CE,2020-08-20,4,ceuta,24.2,1.9,0.0,87
CE,2020-08-21,7,ceuta,27.8,1.7,0.0,87
CE,2020-08-22,12,ceuta,31.8,3.3,0.0,87
CE,2020-08-23,6,ceuta,25.8,1.9,0.0,87
CE,2020-08-24,10,ceuta,25.3,3.3,0.0,87
CE,2020-08-25,11,ceuta,25.6,4.2,0.0,87
CE,2020-08-26,8,ceuta,24.8,2.8,0.0,87
CE,2020-08-27,6,ceuta,24.4,2.8,0.0,87
CE,2020-08-28,4,ceuta,26.0,5.0,0.0,87
CE,2020-08-29,7,ceuta,22.6,4.4,0.0,87
CE,2020-08-30,10,ceuta,22.8,2.8,0.0,87
CE,2020-08-31,14,ceuta,24.2,5.8,0.0,87
CE,2020-09-01,10,ceuta,23.1,2.5,0.0,87
CE,2020-09-02,8,ceuta,22.2,2.8,0.0,87
CE,2020-09-03,5,ceuta,24.0,3.9,0.0,87
CE,2020-09-04,8,ceuta,23.8,4.4,0.0,87
CE,2020-09-05,6,ceuta,23.8,3.3,0.0,87
CE,2020-09-06,11,ceuta,23.5,3.6,0.0,87
