provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
CR,2020-07-11,6,ciudadReal,29.3,3.6,0.0,628
CR,2020-07-12,10,ciudadReal,29.2,2.8,0.0,628
CR,2020-07-13,10,ciudadReal,27.9,1.7,0.0,628
CR,2020-07-14,15,ciudadReal,27.0,2.5,5.0,628
CR,2020-07-15,19,ciudadReal,25.3,2.5,0.0,628
CR,2020-07-16,12,ciudadReal,27.5,2.2,0.0,628
CR,2020-07-17,8,ciudadReal,28.4,2.2,0.0,628
CR,2020-07-18,7,ciudadReal,28.5,2.2,0.0,628
CR,2020-07-19,8,ciudadReal,28.8,2.8,0.0,628
CR,2020-07-20,8,ciudadReal,28.9,0.8,0.0,628
CR,2020-07-21,10,ciudadReal,27.7,2.5,0.0,628
CR,2020-07-22,11,ciudadReal,28.4,1.4,0.0,628
CR,2020-07-23,10,ciudadReal,28.7,1.7,0.0,628
CR,2020-07-24,8,ciudadReal,31.2,2.2,0.0,628
CR,2020-07-25,3,ciudadReal,30.2,1.9,0.0,628
CR,2020-07-26,4,ciudadReal,31.0,1.7,0.0,628
CR,2020-07-27,23,ciudadReal,32.0,2.5,0.0,628
CR,2020-07-28,21,ciudadReal,30.8,2.2,0.0,628
CR,2020-07-29,30,ciudadReal,30.8,2.2,0.0,628
CR,2020-07-30,20,ciudadReal,31.1,3.3,0.0,628
CR,2020-07-31,17,ciudadReal,31.4,1.9,0.0,628
CR,2020-08-01,20,ciudadReal,32.2,2.5,0.0,628
CR,2020-08-02,21,ciudadReal,30.4,2.8,0.0,628
CR,2020-08-03,16,ciudadReal,27.6,2.2,0.0,628
CR,2020-08-04,29,ciudadReal,27.5,1.9,0.0,628
CR,2020-08-05,30,ciudadReal,28.2,1.7,0.0,628
CR,2020-08-06,31,ciudadReal,30.4,2.2,0.0,628
CR,2020-08-07,21,ciudadReal,31.4,1.7,0.0,628
CR,2020-08-08,29,ciudadReal,32.1,2.2,0.0,628
CR,2020-08-09,22,ciudadReal,30.5,1.7,0.0,628
CR,2020-08-10,39,ciudadReal,28.8,3.1,0.9,628
CR,2020-08-13,44,ciudadReal,24.3,1.7,0.0,628
CR,2020-08-14,29,ciudadReal,25.4,1.7,0.0,628
CR,2020-08-15,32,ciudadReal,24.4,3.1,0.0,628
CR,2020-08-16,20,ciudadReal,22.4,2.8,0.0,628
CR,2020-08-17,41,ciudadReal,23.5,2.8,0.0,628
CR,2020-08-18,60,ciudadReal,25.6,1.7,0.0,628
CR,2020-08-19,77,ciudadReal,26.9,2.5,0.0,628
CR,2020-08-20,59,ciudadReal,26.8,1.7,0.0,628
CR,2020-08-21,87,ciudadReal,27.8,2.5,0.0,628
CR,2020-08-22,69,ciudadReal,27.4,1.9,0.0,628
CR,2020-08-23,90,ciudadReal,26.4,1.4,0.0,628
CR,2020-08-24,95,ciudadReal,27.2,1.4,0.0,628
CR,2020-08-25,105,ciudadReal,27.6,1.4,0.0,628
CR,2020-08-26,124,ciudadReal,28.8,1.9,0.0,628
CR,2020-08-27,132,ciudadReal,28.8,1.9,0.0,628
CR,2020-08-28,105,ciudadReal,26.6,3.6,0.0,628
CR,2020-08-29,77,ciudadReal,20.6,2.2,0.0,628
CR,2020-08-30,76,ciudadReal,18.4,1.9,0.0,628
CR,2020-08-31,96,ciudadReal,19.2,1.1,0.0,628
CR,2020-09-01,120,ciudadReal,21.8,1.4,0.0,628
CR,2020-09-02,220,ciudadReal,22.6,1.4,0.0,628
CR,2020-09-03,163,ciudadReal,23.2,2.2,0.0,628
CR,2020-09-04,198,ciudadReal,23.8,3.1,0.0,628
CR,2020-09-05,137,ciudadReal,24.2,1.1,0.0,628
CR,2020-09-06,100,ciudadReal,25.0,1.4,0.0,628
CR,2020-09-07,149,ciudadReal,24.0,2.8,0.0,628
CR,2020-09-08,175,ciudadReal,21.2,3.6,0.0,628
CR,2020-09-09,195,ciudadReal,21.6,1.4,0.0,628
CR,2020-09-10,238,ciudadReal,23.0,1.9,0.0,628
CR,2020-09-11,198,ciudadReal,23.8,1.1,0.0,628
CR,2020-09-12,176,ciudadReal,24.6,1.7,0.0,628
CR,2020-09-13,133,ciudadReal,25.6,3.1,0.0,628
