provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
CO,2020-07-11,2,cordoba,31.0,3.1,0.0,90
CO,2020-07-12,2,cordoba,31.2,1.9,0.0,90
CO,2020-07-13,4,cordoba,31.4,2.8,0.0,90
CO,2020-07-14,1,cordoba,30.6,3.1,0.0,90
CO,2020-07-15,10,cordoba,31.2,1.9,0.0,90
CO,2020-07-16,11,cordoba,32.0,1.9,0.0,90
CO,2020-07-17,30,cordoba,31.4,2.5,0.0,90
CO,2020-07-18,26,cordoba,30.7,4.4,0.0,90
CO,2020-07-19,20,cordoba,31.1,3.6,0.0,90
CO,2020-07-20,11,cordoba,31.8,1.4,0.0,90
CO,2020-07-21,6,cordoba,31.0,3.3,1.2,90
CO,2020-07-22,6,cordoba,29.2,2.8,0.0,90
CO,2020-07-23,10,cordoba,31.4,2.8,0.0,90
CO,2020-07-24,6,cordoba,32.2,2.2,0.0,90
CO,2020-07-25,6,cordoba,32.0,2.5,0.0,90
CO,2020-07-26,9,cordoba,33.2,1.9,0.0,90
CO,2020-07-27,10,cordoba,31.0,4.4,0.0,90
CO,2020-07-28,19,cordoba,31.6,2.8,0.0,90
CO,2020-07-29,15,cordoba,31.4,2.5,0.0,90
CO,2020-07-30,30,cordoba,32.8,3.9,0.0,90
CO,2020-07-31,28,cordoba,31.9,2.8,0.0,90
CO,2020-08-01,19,cordoba,33.9,1.9,0.0,90
CO,2020-08-02,12,cordoba,30.8,3.6,0.0,90
CO,2020-08-03,15,cordoba,28.5,3.1,0.0,90
CO,2020-08-04,9,cordoba,28.7,2.5,0.0,90
CO,2020-08-05,15,cordoba,32.0,2.2,0.0,90
CO,2020-08-06,24,cordoba,31.9,2.5,0.0,90
CO,2020-08-07,22,cordoba,31.4,3.1,0.1,90
CO,2020-08-08,13,cordoba,32.4,3.9,0.0,90
CO,2020-08-09,48,cordoba,30.6,3.1,0.8,90
CO,2020-08-10,43,cordoba,30.1,3.1,0.1,90
CO,2020-08-11,39,cordoba,25.6,2.8,57.6,90
CO,2020-08-12,22,cordoba,24.6,3.3,0.0,90
CO,2020-08-13,45,cordoba,26.0,1.7,0.0,90
CO,2020-08-14,55,cordoba,26.9,3.3,0.0,90
CO,2020-08-15,49,cordoba,25.1,3.9,0.0,90
CO,2020-08-16,66,cordoba,24.2,3.9,0.0,90
CO,2020-08-17,58,cordoba,25.1,2.8,0.0,90
CO,2020-08-18,65,cordoba,27.7,1.7,0.0,90
CO,2020-08-19,76,cordoba,28.8,2.8,0.0,90
CO,2020-08-20,68,cordoba,27.6,2.8,0.0,90
CO,2020-08-21,74,cordoba,26.8,2.2,0.0,90
CO,2020-08-22,102,cordoba,29.9,2.2,0.0,90
CO,2020-08-24,78,cordoba,27.8,1.4,0.0,90
CO,2020-08-25,86,cordoba,30.0,1.4,0.0,90
CO,2020-08-26,106,cordoba,30.9,2.2,0.0,90
CO,2020-08-27,80,cordoba,30.0,2.2,0.0,90
CO,2020-08-28,123,cordoba,28.6,4.2,0.0,90
CO,2020-08-29,109,cordoba,24.3,3.9,0.0,90
CO,2020-08-30,76,cordoba,24.6,2.2,0.0,90
CO,2020-08-31,118,cordoba,23.7,1.7,0.0,90
CO,2020-09-01,122,cordoba,24.2,1.9,0.0,90
CO,2020-09-02,101,cordoba,25.0,1.7,0.0,90
CO,2020-09-03,78,cordoba,26.6,2.8,0.0,90
CO,2020-09-04,108,cordoba,26.8,1.1,0.0,90
CO,2020-09-05,94,cordoba,27.8,1.7,0.0,90
CO,2020-09-06,39,cordoba,28.0,1.4,0.0,90
CO,2020-09-07,43,cordoba,27.6,2.2,0.0,90
CO,2020-09-08,90,cordoba,26.8,3.1,0.0,90
CO,2020-09-09,205,cordoba,26.4,1.1,0.0,90
CO,2020-09-10,156,cordoba,26.6,1.7,0.0,90
CO,2020-09-11,186,cordoba,26.6,1.4,0.0,90
CO,2020-09-12,135,cordoba,27.4,2.5,0.0,90
CO,2020-09-13,64,cordoba,28.6,2.8,0.0,90
CO,2020-09-14,113,cordoba,27.3,3.1,0.0,90
CO,2020-09-15,151,cordoba,26.0,2.2,0.0,90
CO,2020-09-16,143,cordoba,25.6,2.5,0.0,90
CO,2020-09-17,125,cordoba,26.5,3.9,0.0,90
CO,2020-09-18,243,cordoba,23.2,5.0,14.2,90
CO,2020-09-19,118,cordoba,21.5,1.7,0.8,90
CO,2020-09-20,68,cordoba,23.0,2.2,0.0,90
CO,2020-09-21,95,cordoba,23.6,1.1,0.0,90
CO,2020-09-22,161,cordoba,22.4,1.4,0.0,90
CO,2020-09-23,130,cordoba,23.0,3.1,0.0,90
CO,2020-09-24,198,cordoba,22.8,1.7,0.1,90
CO,2020-09-25,215,cordoba,21.3,2.8,0.0,90
CO,2020-09-26,149,cordoba,19.0,1.9,0.0,90
CO,2020-09-27,119,cordoba,21.4,1.7,0.0,90
CO,2020-09-28,91,cordoba,21.6,3.1,0.0,90
CO,2020-09-29,127,cordoba,21.6,0.8,0.0,90
CO,2020-09-30,90,cordoba,20.6,1.7,0.0,90
CO,2020-10-01,179,cordoba,21.0,3.6,0.0,90
CO,2020-10-02,203,cordoba,16.2,6.9,7.5,90
CO,2020-10-03,142,cordoba,16.0,3.6,0.0,90
CO,2020-10-04,101,cordoba,15.8,3.6,0.0,90
CO,2020-10-05,155,cordoba,16.8,1.9,0.0,90
CO,2020-10-06,190,cordoba,19.1,1.1,0.0,90
CO,2020-10-07,252,cordoba,22.8,1.9,0.0,90
CO,2020-10-08,246,cordoba,22.3,1.4,0.0,90
CO,2020-10-09,259,cordoba,22.4,1.4,0.0,90
CO,2020-10-10,279,cordoba,22.2,1.4,0.0,90
CO,2020-10-11,158,cordoba,21.2,3.3,0.0,90
CO,2020-10-12,165,cordoba,17.8,2.8,0.0,90
CO,2020-10-13,249,cordoba,17.2,1.4,0.0,90
CO,2020-10-14,344,cordoba,16.7,3.3,0.0,90
CO,2020-10-15,255,cordoba,15.2,1.4,0.0,90
CO,2020-10-16,336,cordoba,15.4,1.4,0.0,90
CO,2020-10-17,280,cordoba,15.3,1.4,0.0,90
CO,2020-10-18,155,cordoba,17.3,1.7,0.0,90
CO,2020-10-19,267,cordoba,19.4,1.4,0.0,90
CO,2020-10-20,444,cordoba,22.8,5.0,9.3,90
CO,2020-10-21,508,cordoba,19.1,2.8,16.3,90
CO,2020-10-22,499,cordoba,16.6,1.7,13.0,90
CO,2020-10-23,487,cordoba,17.2,1.7,0.0,90
