provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
C,2020-07-11,3,coruña,20.6,6.9,0.0,58
C,2020-07-12,2,coruña,22.2,4.4,0.0,58
C,2020-07-13,3,coruña,18.0,6.1,0.0,58
C,2020-07-14,4,coruña,17.8,5.0,0.0,58
C,2020-07-15,7,coruña,18.6,5.6,0.0,58
C,2020-07-16,8,coruña,19.4,3.6,0.0,58
C,2020-07-17,5,coruña,20.4,3.3,0.0,58
C,2020-07-18,3,coruña,23.6,1.9,0.0,58
C,2020-07-19,5,coruña,18.2,5.3,0.0,58
C,2020-07-20,4,coruña,17.6,5.0,0.0,58
C,2020-07-21,5,coruña,19.8,4.7,0.0,58
C,2020-07-22,9,coruña,19.6,2.5,0.0,58
C,2020-07-23,9,coruña,19.2,2.8,0.0,58
C,2020-07-24,8,coruña,18.7,2.2,0.0,58
C,2020-07-25,6,coruña,21.0,3.1,0.0,58
C,2020-07-26,4,coruña,19.5,2.5,0.0,58
C,2020-07-27,14,coruña,21.4,4.2,0.0,58
C,2020-07-28,25,coruña,18.8,4.2,0.0,58
C,2020-07-29,17,coruña,21.3,3.1,0.0,58
C,2020-07-30,22,coruña,22.0,2.5,0.0,58
C,2020-07-31,21,coruña,21.3,2.2,0.0,58
C,2020-08-01,20,coruña,19.6,2.5,0.0,58
C,2020-08-02,24,coruña,18.9,2.8,0.0,58
C,2020-08-03,49,coruña,19.6,3.6,0.0,58
C,2020-08-04,78,coruña,20.4,3.3,0.0,58
C,2020-08-05,42,coruña,20.2,3.1,0.0,58
C,2020-08-06,53,coruña,21.0,3.1,0.0,58
C,2020-08-07,62,coruña,21.6,3.1,0.0,58
C,2020-08-08,81,coruña,20.4,3.1,0.0,58
C,2020-08-09,81,coruña,20.6,1.7,0.0,58
C,2020-08-10,119,coruña,20.7,2.8,0.4,58
C,2020-08-11,112,coruña,19.3,4.7,62.2,58
C,2020-08-12,105,coruña,18.9,3.1,8.2,58
C,2020-08-13,97,coruña,20.2,2.5,0.0,58
C,2020-08-14,83,coruña,19.2,3.3,0.0,58
C,2020-08-15,81,coruña,19.3,3.6,3.8,58
C,2020-08-16,56,coruña,20.7,3.3,13.6,58
C,2020-08-17,135,coruña,21.3,1.9,4.4,58
C,2020-08-18,186,coruña,22.8,3.9,0.0,58
C,2020-08-19,141,coruña,21.6,6.4,8.0,58
C,2020-08-20,138,coruña,20.6,3.6,0.6,58
C,2020-08-21,112,coruña,21.2,4.4,0.0,58
C,2020-08-22,115,coruña,20.2,3.6,0.0,58
C,2020-08-23,126,coruña,19.6,4.2,0.0,58
C,2020-08-24,153,coruña,19.8,2.2,0.0,58
C,2020-08-25,160,coruña,21.6,3.3,1.0,58
C,2020-08-26,144,coruña,22.2,1.9,0.0,58
C,2020-08-27,147,coruña,22.2,3.3,1.6,58
C,2020-08-28,120,coruña,18.9,3.3,3.8,58
C,2020-08-29,119,coruña,17.8,4.7,0.4,58
C,2020-08-30,123,coruña,17.6,3.3,0.0,58
C,2020-08-31,131,coruña,17.1,2.5,0.0,58
C,2020-09-01,100,coruña,18.9,3.1,0.0,58
C,2020-09-02,120,coruña,18.6,3.6,0.0,58
C,2020-09-03,98,coruña,19.6,2.2,0.0,58
C,2020-09-04,97,coruña,22.0,3.1,0.0,58
C,2020-09-05,112,coruña,19.4,5.6,0.0,58
C,2020-09-06,118,coruña,19.4,7.5,0.0,58
C,2020-09-07,127,coruña,19.8,6.1,0.0,58
C,2020-09-08,90,coruña,20.6,2.8,0.0,58
C,2020-09-09,89,coruña,20.8,1.7,0.0,58
C,2020-09-10,99,coruña,21.0,1.7,0.0,58
C,2020-09-11,74,coruña,20.9,1.9,0.0,58
C,2020-09-12,85,coruña,21.8,1.1,0.0,58
C,2020-09-13,110,coruña,27.2,1.7,0.4,58
C,2020-09-14,97,coruña,22.3,1.4,0.0,58
C,2020-09-15,81,coruña,22.7,2.2,0.0,58
C,2020-09-16,114,coruña,20.5,1.7,0.0,58
C,2020-09-17,91,coruña,20.2,2.8,18.0,58
C,2020-09-18,97,coruña,20.9,1.9,0.0,58
C,2020-09-19,91,coruña,19.9,1.1,0.0,58
C,2020-09-20,80,coruña,18.8,1.7,2.2,58
C,2020-09-21,80,coruña,19.8,1.9,0.0,58
C,2020-09-22,87,coruña,19.5,1.7,3.4,58
C,2020-09-23,89,coruña,18.5,3.3,2.6,58
C,2020-09-24,77,coruña,17.0,5.6,1.8,58
C,2020-09-25,69,coruña,15.8,3.9,0.8,58
C,2020-09-26,51,coruña,15.9,4.7,3.8,58
C,2020-09-27,60,coruña,15.4,3.3,0.0,58
C,2020-09-28,61,coruña,14.6,2.8,0.0,58
C,2020-09-29,74,coruña,15.4,1.9,0.0,58
C,2020-09-30,72,coruña,17.1,3.6,6.0,58
C,2020-10-01,78,coruña,16.8,5.3,12.8,58
C,2020-10-02,74,coruña,13.6,6.4,14.8,58
C,2020-10-03,70,coruña,15.4,4.2,3.8,58
C,2020-10-04,78,coruña,15.6,5.3,5.2,58
C,2020-10-05,96,coruña,16.9,5.0,0.8,58
C,2020-10-06,114,coruña,18.6,4.7,2.4,58
C,2020-10-07,106,coruña,18.0,2.8,0.0,58
C,2020-10-08,130,coruña,16.6,1.7,0.0,58
C,2020-10-09,95,coruña,17.2,1.9,0.0,58
C,2020-10-10,112,coruña,15.9,5.3,0.0,58
C,2020-10-11,84,coruña,15.2,4.2,0.0,58
C,2020-10-12,120,coruña,14.8,1.7,4.4,58
C,2020-10-13,137,coruña,14.4,3.9,1.8,58
C,2020-10-14,141,coruña,14.6,2.8,1.4,58
C,2020-10-15,164,coruña,14.0,2.2,0.0,58
C,2020-10-16,191,coruña,13.6,1.7,0.0,58
C,2020-10-17,190,coruña,15.6,3.6,0.0,58
C,2020-10-18,188,coruña,18.2,2.8,0.0,58
C,2020-10-19,270,coruña,18.0,5.8,3.2,58
C,2020-10-20,209,coruña,17.4,4.2,10.0,58
C,2020-10-21,247,coruña,15.3,2.5,2.8,58
C,2020-10-22,242,coruña,15.9,3.3,6.8,58
C,2020-10-23,288,coruña,15.4,4.2,0.0,58
C,2020-10-24,239,coruña,17.3,6.9,26.6,58
C,2020-10-25,218,coruña,13.2,5.8,19.8,58
C,2020-10-26,269,coruña,12.7,4.7,0.4,58
C,2020-10-27,269,coruña,15.6,4.2,5.6,58
C,2020-10-28,269,coruña,16.0,3.1,0.0,58
C,2020-10-29,366,coruña,16.0,2.2,0.0,58
C,2020-10-30,291,coruña,16.6,1.9,0.0,58
C,2020-10-31,292,coruña,19.0,4.7,0.4,58
C,2020-11-01,232,coruña,20.7,5.3,4.0,58
C,2020-11-02,270,coruña,16.7,3.3,4.4,58
C,2020-11-03,206,coruña,12.4,4.7,0.6,58
C,2020-11-04,245,coruña,11.2,5.0,1.2,58
C,2020-11-05,215,coruña,14.0,5.3,0.0,58
C,2020-11-06,245,coruña,16.4,2.5,0.8,58
C,2020-11-07,189,coruña,15.7,3.6,2.7,58
C,2020-11-08,182,coruña,16.8,3.6,3.6,58
C,2020-11-09,214,coruña,14.8,3.1,1.2,58
C,2020-11-10,181,coruña,15.3,1.9,0.0,58
C,2020-11-11,228,coruña,14.4,4.7,6.8,58
C,2020-11-12,224,coruña,16.8,1.9,0.0,58
C,2020-11-13,190,coruña,16.8,2.8,0.0,58
C,2020-11-14,176,coruña,17.2,5.3,0.6,58
C,2020-11-15,173,coruña,16.0,4.7,7.6,58
C,2020-11-16,171,coruña,13.8,0.8,0.0,58
C,2020-11-17,196,coruña,15.6,2.2,0.0,58
C,2020-11-18,216,coruña,17.6,3.9,8.4,58
C,2020-11-19,192,coruña,14.1,5.3,0.0,58
C,2020-11-20,165,coruña,13.6,2.5,0.0,58
C,2020-11-21,153,coruña,14.3,1.7,0.0,58
C,2020-11-22,146,coruña,13.6,1.1,0.0,58
C,2020-11-23,167,coruña,12.6,1.7,0.0,58
C,2020-11-24,138,coruña,12.8,3.9,18.8,58
C,2020-11-25,148,coruña,11.5,5.0,4.2,58
C,2020-11-26,172,coruña,13.2,1.1,0.0,58
C,2020-11-27,132,coruña,13.1,1.1,0.0,58
C,2020-11-28,132,coruña,14.1,3.1,0.2,58
C,2020-11-29,125,coruña,13.0,0.6,0.0,58
C,2020-11-30,127,coruña,13.8,1.9,0.0,58
