provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
CU,2020-07-11,2,cuenca,24.7,1.7,0.8,948
CU,2020-07-12,1,cuenca,22.6,3.6,1.8,948
CU,2020-07-13,0,cuenca,23.8,1.9,0.0,948
CU,2020-07-14,2,cuenca,22.0,1.7,4.6,948
CU,2020-07-15,2,cuenca,21.9,1.7,0.0,948
CU,2020-07-16,4,cuenca,24.8,1.7,0.0,948
CU,2020-07-17,5,cuenca,25.7,1.4,0.0,948
CU,2020-07-18,2,cuenca,25.6,1.9,0.0,948
CU,2020-07-19,3,cuenca,26.9,1.7,0.0,948
CU,2020-07-20,3,cuenca,26.5,1.9,0.0,948
CU,2020-07-21,0,cuenca,26.4,3.1,0.0,948
CU,2020-07-22,1,cuenca,24.8,3.3,0.0,948
CU,2020-07-23,1,cuenca,25.4,1.4,0.0,948
CU,2020-07-24,3,cuenca,27.2,1.7,0.0,948
CU,2020-07-25,1,cuenca,27.6,1.9,0.0,948
CU,2020-07-26,3,cuenca,28.4,1.7,0.0,948
CU,2020-07-27,4,cuenca,31.0,3.1,0.0,948
CU,2020-07-28,1,cuenca,28.8,2.2,0.0,948
CU,2020-07-29,3,cuenca,27.8,1.7,0.0,948
CU,2020-07-30,0,cuenca,28.9,3.9,0.0,948
CU,2020-07-31,3,cuenca,29.8,1.4,0.0,948
CU,2020-08-01,1,cuenca,28.4,1.9,0.0,948
CU,2020-08-02,1,cuenca,26.4,2.2,0.0,948
CU,2020-08-03,2,cuenca,25.4,1.9,0.0,948
CU,2020-08-04,7,cuenca,23.6,1.9,0.0,948
CU,2020-08-05,6,cuenca,26.6,1.4,0.0,948
CU,2020-08-06,8,cuenca,28.4,2.2,0.0,948
CU,2020-08-07,7,cuenca,29.4,1.7,0.0,948
CU,2020-08-08,10,cuenca,29.8,2.2,0.0,948
CU,2020-08-09,8,cuenca,28.8,2.2,0.0,948
CU,2020-08-10,13,cuenca,27.0,1.7,0.0,948
CU,2020-08-11,16,cuenca,21.9,3.1,31.2,948
CU,2020-08-12,10,cuenca,20.6,1.4,0.0,948
CU,2020-08-13,9,cuenca,22.0,1.4,0.0,948
CU,2020-08-14,17,cuenca,23.0,1.7,0.0,948
CU,2020-08-15,14,cuenca,23.4,1.7,0.0,948
CU,2020-08-16,19,cuenca,20.0,1.9,0.0,948
CU,2020-08-17,16,cuenca,20.4,1.9,0.0,948
CU,2020-08-18,19,cuenca,22.7,0.8,0.0,948
CU,2020-08-19,18,cuenca,24.5,1.7,0.0,948
CU,2020-08-20,15,cuenca,25.4,1.7,0.0,948
CU,2020-08-21,22,cuenca,24.9,1.9,0.0,948
CU,2020-08-22,18,cuenca,25.2,1.9,0.0,948
CU,2020-08-23,12,cuenca,25.3,1.9,0.0,948
CU,2020-08-24,20,cuenca,26.6,1.9,0.0,948
CU,2020-08-25,21,cuenca,27.0,1.1,0.0,948
CU,2020-08-26,25,cuenca,27.4,1.1,0.0,948
CU,2020-08-27,21,cuenca,27.0,1.4,0.0,948
CU,2020-08-28,13,cuenca,25.7,2.5,0.0,948
CU,2020-08-29,18,cuenca,18.8,2.5,0.0,948
CU,2020-08-30,24,cuenca,16.0,1.9,0.0,948
CU,2020-08-31,35,cuenca,17.4,1.4,0.0,948
CU,2020-09-01,37,cuenca,17.6,0.8,0.0,948
CU,2020-09-02,28,cuenca,20.2,1.9,0.0,948
CU,2020-09-03,29,cuenca,22.2,1.4,0.0,948
CU,2020-09-04,39,cuenca,22.8,1.4,0.0,948
CU,2020-09-05,23,cuenca,23.6,1.4,0.0,948
CU,2020-09-06,28,cuenca,23.1,1.1,0.0,948
CU,2020-09-07,48,cuenca,20.6,1.9,0.0,948
CU,2020-09-08,17,cuenca,17.6,2.2,0.0,948
CU,2020-09-09,47,cuenca,19.4,1.9,0.0,948
CU,2020-09-10,41,cuenca,20.6,1.7,0.0,948
CU,2020-09-11,37,cuenca,22.2,1.4,0.0,948
CU,2020-09-12,64,cuenca,23.7,0.8,0.0,948
