provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
SS,2020-07-11,25,gipuzkoa,19.1,3.1,4.8,251
SS,2020-07-12,20,gipuzkoa,20.4,3.6,1.5,251
SS,2020-07-13,35,gipuzkoa,19.6,4.4,0.0,251
SS,2020-07-14,55,gipuzkoa,18.2,4.2,6.8,251
SS,2020-07-15,62,gipuzkoa,17.2,4.4,0.8,251
SS,2020-07-16,90,gipuzkoa,18.6,3.1,0.0,251
SS,2020-07-17,45,gipuzkoa,18.7,3.1,0.0,251
SS,2020-07-18,104,gipuzkoa,20.0,2.5,0.0,251
SS,2020-07-19,46,gipuzkoa,21.6,1.9,0.0,251
SS,2020-07-20,41,gipuzkoa,20.6,3.3,0.0,251
SS,2020-07-21,48,gipuzkoa,20.0,2.8,0.2,251
SS,2020-07-22,57,gipuzkoa,21.2,3.1,0.0,251
SS,2020-07-23,39,gipuzkoa,21.4,3.3,0.0,251
SS,2020-07-24,41,gipuzkoa,20.1,3.6,0.0,251
SS,2020-07-25,64,gipuzkoa,19.8,3.1,0.0,251
SS,2020-07-26,31,gipuzkoa,20.2,3.1,0.0,251
SS,2020-07-27,45,gipuzkoa,21.6,3.9,0.1,251
SS,2020-07-28,50,gipuzkoa,20.5,3.3,0.2,251
SS,2020-07-29,37,gipuzkoa,19.7,2.5,0.0,251
SS,2020-07-30,20,gipuzkoa,28.2,10.3,0.0,251
SS,2020-07-31,30,gipuzkoa,23.2,2.8,5.9,251
SS,2020-08-01,21,gipuzkoa,19.8,3.6,15.7,251
SS,2020-08-02,55,gipuzkoa,19.2,3.3,0.2,251
SS,2020-08-03,65,gipuzkoa,19.0,3.1,0.5,251
SS,2020-08-04,66,gipuzkoa,19.0,2.2,0.0,251
SS,2020-08-05,71,gipuzkoa,19.5,1.9,0.0,251
SS,2020-08-06,95,gipuzkoa,24.7,1.9,0.0,251
SS,2020-08-07,49,gipuzkoa,25.4,3.6,0.6,251
SS,2020-08-08,60,gipuzkoa,21.2,2.2,0.0,251
SS,2020-08-09,76,gipuzkoa,22.4,2.8,4.5,251
SS,2020-08-10,92,gipuzkoa,20.8,1.9,0.0,251
SS,2020-08-11,76,gipuzkoa,24.7,2.8,4.4,251
SS,2020-08-12,118,gipuzkoa,23.9,2.8,3.1,251
SS,2020-08-13,93,gipuzkoa,19.4,4.2,0.0,251
SS,2020-08-14,63,gipuzkoa,19.2,2.5,0.8,251
SS,2020-08-15,97,gipuzkoa,19.5,4.7,1.0,251
SS,2020-08-16,79,gipuzkoa,18.8,3.1,0.0,251
SS,2020-08-17,131,gipuzkoa,20.2,3.1,0.9,251
SS,2020-08-18,114,gipuzkoa,21.4,1.7,0.0,251
SS,2020-08-19,146,gipuzkoa,28.6,6.9,0.0,251
SS,2020-08-20,150,gipuzkoa,27.0,2.8,0.0,251
SS,2020-08-21,113,gipuzkoa,20.2,2.2,12.3,251
SS,2020-08-22,182,gipuzkoa,19.2,2.8,0.1,251
SS,2020-08-23,239,gipuzkoa,19.7,2.8,0.1,251
SS,2020-08-24,248,gipuzkoa,19.4,2.8,0.0,251
SS,2020-08-25,224,gipuzkoa,21.0,2.8,0.0,251
SS,2020-08-26,197,gipuzkoa,21.5,2.5,0.0,251
SS,2020-08-27,161,gipuzkoa,23.0,3.9,4.3,251
SS,2020-08-28,193,gipuzkoa,17.4,5.3,34.0,251
SS,2020-08-29,192,gipuzkoa,15.3,6.1,17.2,251
SS,2020-08-30,169,gipuzkoa,16.0,4.2,30.8,251
SS,2020-08-31,244,gipuzkoa,16.2,2.8,0.0,251
SS,2020-09-01,235,gipuzkoa,17.2,2.2,0.0,251
SS,2020-09-02,197,gipuzkoa,18.5,2.2,0.0,251
SS,2020-09-03,177,gipuzkoa,18.8,1.9,0.0,251
SS,2020-09-04,156,gipuzkoa,24.7,3.3,0.0,251
SS,2020-09-05,244,gipuzkoa,19.2,4.2,0.1,251
SS,2020-09-06,188,gipuzkoa,17.8,3.9,1.3,251
SS,2020-09-07,222,gipuzkoa,16.0,2.8,0.0,251
SS,2020-09-08,204,gipuzkoa,16.9,2.2,0.0,251
SS,2020-09-09,172,gipuzkoa,18.2,2.5,0.0,251
SS,2020-09-10,132,gipuzkoa,18.8,2.8,0.0,251
SS,2020-09-11,101,gipuzkoa,19.8,2.2,0.0,251
SS,2020-09-12,166,gipuzkoa,19.4,1.7,0.0,251
SS,2020-09-13,184,gipuzkoa,24.4,3.9,0.0,251
SS,2020-09-14,202,gipuzkoa,27.0,8.3,0.0,251
SS,2020-09-15,243,gipuzkoa,23.8,2.8,0.0,251
SS,2020-09-16,173,gipuzkoa,21.4,1.7,0.0,251
SS,2020-09-17,153,gipuzkoa,24.2,2.8,0.2,251
SS,2020-09-18,98,gipuzkoa,23.4,3.1,2.4,251
SS,2020-09-19,188,gipuzkoa,19.6,4.2,9.7,251
SS,2020-09-20,180,gipuzkoa,19.0,3.6,3.2,251
SS,2020-09-21,146,gipuzkoa,17.4,2.5,12.9,251
SS,2020-09-22,142,gipuzkoa,18.1,2.2,0.0,251
SS,2020-09-23,120,gipuzkoa,20.4,5.6,6.8,251
SS,2020-09-24,101,gipuzkoa,15.6,6.7,44.9,251
SS,2020-09-25,119,gipuzkoa,12.0,11.7,20.0,251
SS,2020-09-26,152,gipuzkoa,15.2,8.6,36.2,251
SS,2020-09-27,178,gipuzkoa,12.2,5.6,0.1,251
SS,2020-09-28,161,gipuzkoa,14.5,3.9,0.0,251
SS,2020-09-29,153,gipuzkoa,14.2,1.9,0.0,251
SS,2020-09-30,116,gipuzkoa,15.2,2.8,2.3,251
SS,2020-10-01,138,gipuzkoa,15.5,3.6,27.9,251
