provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
GI,2020-07-11,18,girona,24.4,3.6,0.0,143
GI,2020-07-12,21,girona,23.8,3.3,0.6,143
GI,2020-07-13,37,girona,25.0,1.9,0.2,143
GI,2020-07-14,39,girona,23.6,1.9,3.2,143
GI,2020-07-20,46,girona,24.4,3.3,0.0,143
GI,2020-07-21,53,girona,24.7,4.4,0.0,143
GI,2020-07-22,52,girona,25.6,3.6,0.0,143
GI,2020-07-23,59,girona,27.0,2.5,0.1,143
GI,2020-07-24,47,girona,25.6,3.3,17.7,143
GI,2020-07-25,40,girona,24.1,5.3,0.0,143
GI,2020-07-26,27,girona,25.4,2.5,0.0,143
GI,2020-07-27,45,girona,25.8,4.2,0.0,143
GI,2020-07-28,55,girona,26.8,3.3,0.0,143
GI,2020-07-29,62,girona,26.8,2.5,0.0,143
GI,2020-07-30,59,girona,26.9,4.2,0.0,143
GI,2020-07-31,68,girona,26.2,3.9,0.0,143
GI,2020-08-01,27,girona,28.3,3.6,0.0,143
GI,2020-08-02,22,girona,26.8,4.2,0.0,143
GI,2020-08-03,45,girona,24.6,2.8,0.1,143
GI,2020-08-04,56,girona,24.0,3.3,0.0,143
GI,2020-08-05,43,girona,23.4,3.1,0.0,143
GI,2020-08-06,62,girona,24.9,2.8,0.0,143
GI,2020-08-07,57,girona,25.9,2.5,0.0,143
GI,2020-08-08,34,girona,27.4,3.1,0.1,143
GI,2020-08-09,27,girona,28.0,2.8,0.0,143
GI,2020-08-10,50,girona,27.0,5.3,0.0,143
GI,2020-08-11,55,girona,28.1,3.9,0.0,143
GI,2020-08-12,52,girona,26.8,5.0,0.0,143
GI,2020-08-13,50,girona,26.1,3.1,17.7,143
GI,2020-08-14,63,girona,25.3,2.5,0.1,143
GI,2020-08-15,56,girona,25.1,4.7,0.0,143
GI,2020-08-16,56,girona,25.6,5.0,0.0,143
GI,2020-08-17,73,girona,23.8,3.9,0.0,143
GI,2020-08-18,79,girona,23.7,1.7,0.0,143
GI,2020-08-19,66,girona,25.2,4.4,0.0,143
GI,2020-08-20,86,girona,26.8,5.3,0.0,143
GI,2020-08-21,102,girona,26.6,2.5,0.0,143
GI,2020-08-22,42,girona,28.0,2.5,0.0,143
GI,2020-08-23,44,girona,24.0,3.1,0.0,143
GI,2020-08-24,92,girona,25.5,4.7,0.0,143
GI,2020-08-25,71,girona,26.0,2.8,0.0,143
GI,2020-08-26,89,girona,26.1,3.1,0.0,143
GI,2020-08-27,81,girona,26.2,3.6,0.0,143
GI,2020-08-28,113,girona,25.2,4.2,5.3,143
GI,2020-08-29,57,girona,18.6,2.5,2.0,143
GI,2020-08-30,63,girona,18.0,1.7,2.6,143
GI,2020-08-31,80,girona,19.1,1.4,0.0,143
GI,2020-09-01,118,girona,19.8,2.2,31.4,143
GI,2020-09-02,93,girona,21.0,2.5,0.0,143
GI,2020-09-03,117,girona,21.4,2.2,0.0,143
GI,2020-09-04,153,girona,23.3,2.2,0.0,143
GI,2020-09-05,83,girona,24.5,2.5,0.0,143
GI,2020-09-06,48,girona,21.6,3.1,2.9,143
GI,2020-09-07,95,girona,18.6,2.2,0.0,143
GI,2020-09-08,129,girona,19.6,4.2,2.7,143
GI,2020-09-09,147,girona,21.2,3.1,20.0,143
GI,2020-09-10,190,girona,21.2,3.6,0.3,143
GI,2020-09-11,92,girona,24.0,3.1,0.0,143
GI,2020-09-12,153,girona,25.3,1.7,0.0,143
GI,2020-09-13,71,girona,24.4,1.9,0.0,143
GI,2020-09-14,154,girona,23.2,3.1,0.0,143
GI,2020-09-15,147,girona,22.6,3.3,0.0,143
GI,2020-09-16,145,girona,24.8,1.4,0.0,143
GI,2020-09-17,77,girona,23.5,2.5,0.0,143
GI,2020-09-18,172,girona,21.2,1.4,0.9,143
GI,2020-09-19,98,girona,22.8,3.9,0.3,143
GI,2020-09-20,80,girona,21.2,1.4,11.3,143
GI,2020-09-21,162,girona,20.2,1.7,3.4,143
GI,2020-09-22,148,girona,19.8,2.2,0.0,143
GI,2020-09-23,132,girona,21.4,3.6,0.0,143
GI,2020-09-24,111,girona,22.4,3.9,0.0,143
GI,2020-09-25,122,girona,17.6,1.9,0.0,143
GI,2020-09-28,149,girona,17.1,1.7,0.0,143
GI,2020-09-29,157,girona,16.6,3.1,0.0,143
GI,2020-09-30,151,girona,17.3,1.9,0.0,143
GI,2020-10-01,176,girona,18.2,2.2,0.3,143
GI,2020-10-02,184,girona,15.8,4.4,9.1,143
GI,2020-10-03,88,girona,14.2,2.2,0.0,143
GI,2020-10-04,105,girona,15.0,2.2,0.0,143
GI,2020-10-05,202,girona,15.0,3.1,0.0,143
GI,2020-10-06,252,girona,17.0,1.1,0.0,143
GI,2020-10-07,203,girona,18.0,1.7,0.0,143
GI,2020-10-08,207,girona,19.6,1.1,0.0,143
GI,2020-10-09,302,girona,20.4,1.7,0.1,143
GI,2020-10-10,174,girona,16.3,2.5,5.7,143
GI,2020-10-11,131,girona,13.3,2.2,0.0,143
GI,2020-10-12,228,girona,13.0,2.2,0.0,143
GI,2020-10-13,329,girona,14.2,3.3,8.2,143
GI,2020-10-14,425,girona,10.2,1.4,18.9,143
GI,2020-10-15,424,girona,10.4,1.1,0.0,143
GI,2020-10-16,519,girona,11.4,2.2,0.0,143
GI,2020-10-17,271,girona,10.8,1.9,0.0,143
GI,2020-10-18,251,girona,12.0,1.7,0.0,143
GI,2020-10-19,603,girona,13.0,5.3,0.0,143
GI,2020-10-20,607,girona,16.4,3.3,0.0,143
GI,2020-10-21,673,girona,19.2,3.1,0.0,143
GI,2020-10-22,619,girona,18.1,2.5,0.5,143
GI,2020-10-23,603,girona,18.4,4.2,0.0,143
GI,2020-10-24,419,girona,14.8,1.9,0.0,143
GI,2020-10-25,336,girona,16.2,4.7,0.0,143
GI,2020-10-26,646,girona,12.2,1.7,3.1,143
GI,2020-10-27,661,girona,11.1,1.7,0.0,143
GI,2020-10-28,596,girona,14.0,0.3,0.0,143
GI,2020-10-30,632,girona,15.8,1.1,0.0,143
GI,2020-10-31,447,girona,13.8,1.1,0.0,143
GI,2020-11-01,281,girona,15.8,0.8,0.2,143
GI,2020-11-02,531,girona,16.5,3.1,0.0,143
GI,2020-11-03,518,girona,16.2,2.8,1.7,143
GI,2020-11-04,423,girona,11.4,3.3,0.0,143
GI,2020-11-05,429,girona,12.0,3.3,0.0,143
GI,2020-11-06,389,girona,16.0,2.8,0.0,143
GI,2020-11-07,229,girona,14.8,4.2,11.1,143
GI,2020-11-08,199,girona,14.8,3.1,0.0,143
GI,2020-11-09,345,girona,13.4,1.7,0.0,143
GI,2020-11-10,357,girona,13.6,1.9,0.0,143
GI,2020-11-11,269,girona,13.0,3.3,0.0,143
GI,2020-11-12,291,girona,13.4,1.1,0.0,143
GI,2020-11-13,266,girona,12.2,1.7,0.0,143
GI,2020-11-14,194,girona,13.9,3.1,0.0,143
GI,2020-11-15,124,girona,15.6,3.1,0.0,143
GI,2020-11-16,229,girona,12.3,1.4,0.0,143
GI,2020-11-17,264,girona,13.2,0.0,0.0,143
GI,2020-11-18,185,girona,11.8,1.4,0.0,143
GI,2020-11-19,159,girona,14.1,1.1,0.0,143
GI,2020-11-20,160,girona,9.6,1.1,0.0,143
GI,2020-11-21,124,girona,6.6,1.4,0.0,143
GI,2020-11-22,71,girona,7.0,0.8,0.0,143
GI,2020-11-23,172,girona,8.2,1.4,0.0,143
GI,2020-11-24,178,girona,8.2,2.2,0.0,143
GI,2020-11-25,154,girona,10.9,2.8,12.6,143
GI,2020-11-26,173,girona,12.8,2.8,24.7,143
GI,2020-11-27,199,girona,14.0,4.2,76.8,143
GI,2020-11-28,95,girona,12.1,4.7,21.8,143
GI,2020-11-29,102,girona,13.3,0.8,0.0,143
GI,2020-11-30,231,girona,9.6,0.0,0.0,143
