provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
GR,2020-07-11,14,granada,25.5,3.9,0.0,785
GR,2020-07-12,6,granada,26.6,3.3,1.4,785
GR,2020-07-13,11,granada,24.3,2.8,0.6,785
GR,2020-07-14,13,granada,22.6,1.7,0.0,785
GR,2020-07-15,13,granada,24.4,3.6,0.4,785
GR,2020-07-17,27,granada,26.2,3.1,0.0,785
GR,2020-07-18,8,granada,26.9,3.1,0.0,785
GR,2020-07-19,10,granada,26.9,3.1,0.4,785
GR,2020-07-20,12,granada,26.1,2.2,0.0,785
GR,2020-07-21,8,granada,26.4,3.6,0.0,785
GR,2020-07-22,15,granada,25.8,2.8,0.0,785
GR,2020-07-23,11,granada,26.4,2.2,0.0,785
GR,2020-07-24,8,granada,28.0,2.2,0.0,785
GR,2020-07-25,2,granada,28.6,3.1,0.0,785
GR,2020-07-26,16,granada,28.3,3.3,0.0,785
GR,2020-07-27,10,granada,28.2,3.9,0.0,785
GR,2020-07-28,8,granada,27.2,1.4,0.0,785
GR,2020-08-24,54,granada,26.6,3.3,0.0,785
GR,2020-08-25,96,granada,27.0,2.2,0.0,785
GR,2020-08-26,119,granada,27.0,1.7,0.0,785
GR,2020-08-27,106,granada,27.2,2.8,0.0,785
GR,2020-08-28,93,granada,25.5,3.3,0.0,785
GR,2020-08-29,86,granada,20.0,4.7,0.0,785
GR,2020-08-30,82,granada,19.0,1.7,0.0,785
GR,2020-08-31,74,granada,20.8,2.2,0.0,785
GR,2020-09-01,161,granada,19.0,1.1,0.0,785
GR,2020-09-02,133,granada,22.0,3.1,0.0,785
GR,2020-09-03,138,granada,21.2,3.6,0.0,785
GR,2020-09-04,197,granada,20.6,3.3,0.0,785
GR,2020-09-05,106,granada,22.4,2.8,0.0,785
GR,2020-09-06,66,granada,21.8,3.1,0.0,785
GR,2020-09-16,128,granada,22.7,2.2,0.0,785
GR,2020-09-17,133,granada,22.8,1.7,5.2,785
GR,2020-09-18,146,granada,21.1,1.9,8.2,785
GR,2020-09-19,110,granada,20.0,3.6,0.0,785
GR,2020-09-20,80,granada,18.6,2.8,0.0,785
GR,2020-09-21,134,granada,19.5,2.8,0.0,785
GR,2020-09-22,182,granada,19.4,2.8,0.0,785
GR,2020-09-23,195,granada,19.9,3.9,0.0,785
GR,2020-09-24,187,granada,21.3,3.6,0.0,785
GR,2020-09-25,190,granada,18.6,5.8,0.0,785
GR,2020-09-26,200,granada,17.5,5.6,0.0,785
GR,2020-09-27,106,granada,18.2,4.2,0.0,785
GR,2020-09-28,172,granada,17.4,1.7,0.0,785
GR,2020-09-29,247,granada,18.5,2.8,0.0,785
GR,2020-09-30,339,granada,17.6,2.5,0.0,785
GR,2020-10-01,345,granada,19.8,1.9,0.0,785
GR,2020-10-02,339,granada,15.8,7.5,3.6,785
GR,2020-10-03,347,granada,11.7,3.3,0.0,785
GR,2020-10-04,188,granada,15.0,4.2,0.0,785
GR,2020-10-05,316,granada,14.4,4.4,0.0,785
GR,2020-10-06,549,granada,15.4,2.5,0.0,785
GR,2020-10-07,531,granada,19.0,1.9,0.0,785
GR,2020-10-08,504,granada,17.8,2.5,0.0,785
GR,2020-10-09,548,granada,18.4,1.7,0.0,785
GR,2020-10-10,413,granada,19.7,2.2,0.0,785
GR,2020-10-11,204,granada,15.3,3.3,0.0,785
GR,2020-10-12,274,granada,11.6,2.8,0.0,785
GR,2020-10-13,530,granada,13.1,1.7,0.0,785
GR,2020-10-14,766,granada,13.1,4.2,0.0,785
GR,2020-10-15,946,granada,11.4,2.8,0.0,785
GR,2020-10-16,987,granada,10.8,1.9,0.0,785
GR,2020-10-17,760,granada,11.4,1.7,0.0,785
GR,2020-10-18,363,granada,13.4,3.1,0.0,785
GR,2020-10-19,1124,granada,13.8,3.9,0.0,785
GR,2020-10-20,1235,granada,18.0,3.3,0.0,785
GR,2020-10-21,1249,granada,17.5,2.8,0.2,785
GR,2020-10-22,1087,granada,13.1,1.4,7.6,785
GR,2020-10-23,1089,granada,12.7,2.2,0.0,785
GR,2020-10-25,562,granada,11.8,2.2,0.6,785
GR,2020-10-26,935,granada,10.0,3.6,0.0,785
GR,2020-10-27,1002,granada,8.4,3.6,0.0,785
GR,2020-10-28,1014,granada,11.3,1.4,0.0,785
GR,2020-10-29,1005,granada,14.8,1.9,0.0,785
GR,2020-10-30,978,granada,15.5,2.2,0.0,785
GR,2020-10-31,649,granada,15.9,1.9,0.0,785
GR,2020-11-01,526,granada,15.7,1.7,0.0,785
GR,2020-11-02,553,granada,15.6,1.4,0.0,785
GR,2020-11-03,878,granada,14.8,2.2,0.0,785
GR,2020-11-04,914,granada,14.4,3.3,0.8,785
GR,2020-11-06,904,granada,15.0,1.9,3.0,785
GR,2020-11-07,527,granada,12.6,3.1,0.0,785
GR,2020-11-08,356,granada,10.6,2.2,0.0,785
GR,2020-11-27,165,granada,7.9,2.5,4.4,785
GR,2020-11-28,92,granada,7.6,3.9,0.0,785
GR,2020-11-29,70,granada,8.3,1.7,0.0,785
GR,2020-11-30,126,granada,9.2,2.2,0.0,785
