provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
GU,2020-07-11,4,guadalajara,27.4,3.1,0.2,721
GU,2020-07-12,1,guadalajara,26.6,2.8,0.0,721
GU,2020-07-13,5,guadalajara,24.7,1.9,0.0,721
GU,2020-07-14,3,guadalajara,24.6,3.3,0.0,721
GU,2020-07-15,5,guadalajara,23.8,2.2,0.0,721
GU,2020-07-16,7,guadalajara,25.4,1.7,0.0,721
GU,2020-07-17,7,guadalajara,26.6,3.1,0.0,721
GU,2020-07-18,0,guadalajara,25.6,1.9,0.0,721
GU,2020-07-19,3,guadalajara,27.7,2.8,0.0,721
GU,2020-07-20,11,guadalajara,28.6,1.9,0.0,721
GU,2020-07-21,8,guadalajara,29.0,3.3,0.2,721
GU,2020-07-22,17,guadalajara,26.4,3.1,0.0,721
GU,2020-07-23,6,guadalajara,27.8,1.7,0.0,721
GU,2020-07-24,19,guadalajara,28.9,1.9,0.0,721
GU,2020-07-25,6,guadalajara,27.6,2.8,0.0,721
GU,2020-07-26,3,guadalajara,29.0,2.2,0.0,721
GU,2020-07-27,7,guadalajara,30.6,2.2,0.0,721
GU,2020-07-28,12,guadalajara,30.2,3.3,0.0,721
GU,2020-07-29,12,guadalajara,29.8,1.7,0.0,721
GU,2020-07-30,13,guadalajara,31.2,3.9,0.0,721
GU,2020-07-31,12,guadalajara,30.0,2.2,0.0,721
GU,2020-08-01,12,guadalajara,29.2,1.9,0.0,721
GU,2020-08-02,12,guadalajara,27.4,2.5,0.0,721
GU,2020-08-03,19,guadalajara,25.0,3.6,0.0,721
GU,2020-08-04,14,guadalajara,24.5,2.5,0.0,721
GU,2020-08-05,20,guadalajara,27.0,1.4,0.0,721
GU,2020-08-06,27,guadalajara,29.7,2.5,0.0,721
GU,2020-08-07,24,guadalajara,30.4,1.9,0.0,721
GU,2020-08-08,21,guadalajara,29.3,2.2,0.0,721
GU,2020-08-09,33,guadalajara,29.3,3.6,0.0,721
GU,2020-08-10,36,guadalajara,28.0,3.6,0.4,721
GU,2020-08-11,42,guadalajara,22.4,1.7,15.4,721
GU,2020-08-12,45,guadalajara,20.9,3.3,0.0,721
GU,2020-08-13,53,guadalajara,23.1,1.7,0.0,721
GU,2020-08-14,33,guadalajara,24.9,2.5,0.0,721
GU,2020-08-15,47,guadalajara,23.7,3.9,0.0,721
GU,2020-08-16,34,guadalajara,21.3,2.8,0.0,721
GU,2020-08-17,51,guadalajara,21.4,2.8,0.0,721
GU,2020-08-18,63,guadalajara,24.6,1.4,0.0,721
GU,2020-08-19,61,guadalajara,25.4,2.8,0.0,721
GU,2020-08-20,63,guadalajara,25.4,3.9,0.0,721
GU,2020-08-21,75,guadalajara,25.6,4.2,0.0,721
GU,2020-08-22,52,guadalajara,26.6,2.2,0.0,721
GU,2020-08-23,49,guadalajara,25.4,1.7,0.0,721
GU,2020-08-24,61,guadalajara,25.8,1.7,0.0,721
GU,2020-08-25,69,guadalajara,27.1,2.2,0.0,721
GU,2020-08-26,71,guadalajara,27.6,2.5,0.0,721
GU,2020-08-27,89,guadalajara,27.8,1.9,0.0,721
GU,2020-08-28,72,guadalajara,25.0,2.8,0.0,721
GU,2020-08-29,76,guadalajara,18.1,2.8,0.0,721
GU,2020-08-30,57,guadalajara,16.2,2.2,0.0,721
GU,2020-08-31,102,guadalajara,17.4,1.9,0.0,721
GU,2020-09-01,99,guadalajara,19.9,1.4,0.0,721
GU,2020-09-02,101,guadalajara,21.8,1.7,0.0,721
GU,2020-09-03,94,guadalajara,22.8,1.4,0.0,721
GU,2020-09-04,94,guadalajara,24.6,1.1,0.0,721
GU,2020-09-05,86,guadalajara,25.3,1.1,0.0,721
