provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
H,2020-07-11,1,huelva,29.4,3.1,0.0,572
H,2020-07-12,0,huelva,28.6,1.7,0.0,572
H,2020-07-13,1,huelva,28.1,2.2,0.0,572
H,2020-07-14,0,huelva,28.2,2.8,0.0,572
H,2020-07-15,0,huelva,27.4,1.4,0.0,572
H,2020-07-16,0,huelva,29.2,2.8,0.0,572
H,2020-07-17,1,huelva,30.4,2.2,0.0,572
H,2020-07-18,0,huelva,28.5,3.1,0.0,572
H,2020-07-19,1,huelva,28.4,2.5,0.0,572
H,2020-07-20,4,huelva,31.7,1.4,0.0,572
H,2020-07-21,2,huelva,26.4,2.2,0.0,572
H,2020-07-22,2,huelva,26.4,2.2,0.0,572
H,2020-07-23,1,huelva,31.4,4.2,0.0,572
H,2020-07-24,1,huelva,31.7,2.2,0.0,572
H,2020-07-25,5,huelva,31.6,2.2,0.0,572
H,2020-07-26,0,huelva,33.4,2.2,0.0,572
H,2020-07-27,5,huelva,28.4,3.1,0.0,572
H,2020-07-28,6,huelva,28.7,2.5,0.0,572
H,2020-07-29,2,huelva,29.8,2.5,0.0,572
H,2020-07-30,3,huelva,28.0,2.5,0.0,572
H,2020-07-31,9,huelva,28.5,1.9,0.0,572
H,2020-08-01,3,huelva,31.0,4.2,0.0,572
H,2020-08-02,3,huelva,28.4,5.6,0.0,572
H,2020-08-03,2,huelva,24.6,5.3,0.0,572
H,2020-08-04,3,huelva,28.8,2.2,0.0,572
H,2020-08-05,5,huelva,29.0,1.9,0.0,572
H,2020-08-06,5,huelva,29.6,2.5,0.0,572
H,2020-08-07,4,huelva,27.0,2.8,0.0,572
H,2020-08-08,11,huelva,28.2,2.2,0.0,572
H,2020-08-09,3,huelva,28.6,2.2,0.0,572
H,2020-08-10,6,huelva,27.6,3.1,0.0,572
H,2020-08-11,6,huelva,25.7,3.3,0.0,572
H,2020-08-12,10,huelva,22.2,2.5,0.0,572
H,2020-08-13,8,huelva,25.6,1.9,0.0,572
H,2020-08-14,11,huelva,25.8,2.5,0.0,572
H,2020-08-15,3,huelva,21.6,4.7,0.0,572
H,2020-08-16,6,huelva,20.6,5.0,0.0,572
H,2020-08-17,6,huelva,23.5,4.2,0.0,572
H,2020-08-18,9,huelva,25.4,5.8,0.0,572
H,2020-08-19,9,huelva,29.0,3.9,0.0,572
H,2020-08-20,18,huelva,26.0,3.3,0.0,572
H,2020-08-21,11,huelva,25.9,2.2,0.0,572
H,2020-08-22,21,huelva,27.8,4.2,0.0,572
H,2020-08-23,14,huelva,28.2,4.7,0.0,572
H,2020-08-24,7,huelva,29.2,2.2,0.0,572
H,2020-08-25,14,huelva,29.1,1.9,0.0,572
H,2020-08-26,7,huelva,30.6,2.5,0.0,572
H,2020-08-27,23,huelva,29.0,3.3,0.0,572
H,2020-08-28,11,huelva,22.7,5.8,0.0,572
H,2020-08-29,12,huelva,18.8,4.4,0.0,572
H,2020-08-30,19,huelva,22.9,2.5,0.0,572
H,2020-08-31,11,huelva,25.0,3.1,0.0,572
H,2020-09-01,21,huelva,25.0,2.8,0.0,572
H,2020-09-02,11,huelva,25.8,1.9,0.0,572
H,2020-09-03,7,huelva,25.3,2.8,0.0,572
H,2020-09-04,26,huelva,26.8,3.1,0.0,572
H,2020-09-05,35,huelva,26.6,1.7,0.0,572
H,2020-09-06,18,huelva,26.6,2.5,0.0,572
H,2020-09-07,27,huelva,28.2,2.5,0.0,572
H,2020-09-08,32,huelva,25.6,3.1,0.0,572
H,2020-09-09,19,huelva,24.0,1.7,0.0,572
H,2020-09-10,24,huelva,27.0,1.7,0.0,572
H,2020-09-11,21,huelva,25.9,1.1,0.0,572
H,2020-09-12,40,huelva,27.6,2.2,0.0,572
H,2020-09-13,24,huelva,26.0,3.3,0.0,572
H,2020-09-14,23,huelva,22.4,3.1,0.0,572
H,2020-09-15,34,huelva,22.3,2.5,0.0,572
H,2020-09-16,28,huelva,22.8,2.2,0.0,572
H,2020-09-17,21,huelva,21.0,3.9,13.2,572
H,2020-09-18,32,huelva,16.8,3.6,16.2,572
H,2020-09-19,28,huelva,19.8,2.2,0.2,572
H,2020-09-20,19,huelva,19.1,1.7,0.0,572
H,2020-09-21,24,huelva,21.6,2.2,0.0,572
H,2020-09-25,33,huelva,17.2,5.3,0.0,572
H,2020-09-26,41,huelva,17.8,4.7,0.0,572
H,2020-09-27,24,huelva,18.7,4.4,0.0,572
H,2020-09-28,46,huelva,22.6,2.2,0.0,572
H,2020-09-29,40,huelva,23.3,1.9,0.0,572
H,2020-09-30,41,huelva,22.8,1.9,0.0,572
H,2020-10-01,45,huelva,18.6,4.7,0.0,572
H,2020-10-02,51,huelva,13.2,3.9,7.8,572
H,2020-10-03,21,huelva,13.9,3.1,0.0,572
H,2020-10-04,26,huelva,14.8,1.9,0.0,572
H,2020-10-05,43,huelva,15.6,3.3,0.0,572
H,2020-10-06,62,huelva,20.3,1.7,0.0,572
H,2020-10-07,58,huelva,24.8,1.9,0.0,572
H,2020-10-08,56,huelva,24.6,2.2,0.0,572
H,2020-10-09,57,huelva,24.4,2.5,0.0,572
H,2020-10-10,75,huelva,23.6,1.9,0.0,572
H,2020-10-11,37,huelva,22.6,3.1,0.0,572
H,2020-10-12,43,huelva,18.6,3.1,0.0,572
H,2020-10-13,64,huelva,18.9,3.1,0.0,572
H,2020-10-14,77,huelva,13.9,2.5,0.0,572
H,2020-10-15,101,huelva,14.5,3.6,0.0,572
H,2020-10-16,122,huelva,16.5,1.7,0.0,572
H,2020-10-17,78,huelva,16.4,1.1,0.0,572
H,2020-10-18,104,huelva,18.2,2.5,0.0,572
H,2020-10-19,118,huelva,20.0,3.6,23.8,572
H,2020-10-20,126,huelva,14.9,6.4,56.2,572
H,2020-10-21,200,huelva,15.9,4.2,9.4,572
H,2020-10-22,259,huelva,14.8,2.2,0.2,572
H,2020-10-23,242,huelva,13.4,1.4,1.8,572
H,2020-10-24,191,huelva,14.2,1.4,0.0,572
H,2020-10-25,110,huelva,12.1,2.2,9.8,572
H,2020-10-26,170,huelva,11.1,3.1,0.0,572
H,2020-10-27,267,huelva,12.4,3.1,0.0,572
H,2020-10-28,255,huelva,15.3,2.5,0.0,572
H,2020-10-29,219,huelva,18.6,2.2,0.0,572
H,2020-10-30,266,huelva,20.6,1.9,0.0,572
H,2020-10-31,166,huelva,20.2,3.3,0.0,572
H,2020-11-01,177,huelva,19.5,3.1,0.0,572
H,2020-11-02,126,huelva,19.7,3.6,0.0,572
H,2020-11-03,210,huelva,16.4,3.1,0.2,572
H,2020-11-04,201,huelva,13.2,1.7,27.0,572
H,2020-11-05,216,huelva,14.0,4.4,2.0,572
H,2020-11-06,246,huelva,14.5,3.3,15.0,572
H,2020-11-07,188,huelva,14.0,2.5,0.2,572
H,2020-11-08,127,huelva,15.0,3.3,17.0,572
H,2020-11-09,180,huelva,14.8,2.2,0.0,572
H,2020-11-10,245,huelva,15.2,2.5,0.0,572
H,2020-11-11,281,huelva,15.4,2.5,0.0,572
H,2020-11-12,212,huelva,14.6,3.1,0.0,572
H,2020-11-13,203,huelva,13.6,2.2,3.8,572
H,2020-11-14,149,huelva,15.3,1.7,6.0,572
H,2020-11-15,93,huelva,17.5,1.9,0.0,572
H,2020-11-16,165,huelva,17.6,2.5,0.2,572
H,2020-11-17,223,huelva,17.0,1.4,0.0,572
H,2020-11-18,198,huelva,18.6,1.7,0.0,572
H,2020-11-19,163,huelva,21.4,4.4,0.0,572
H,2020-11-20,159,huelva,18.9,2.2,0.0,572
H,2020-11-21,112,huelva,15.6,2.5,0.0,572
H,2020-11-22,68,huelva,13.5,2.5,0.0,572
H,2020-11-23,95,huelva,12.2,1.7,0.0,572
