provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
HU,2020-07-11,46,huesca,21.0,1.1,0.2,1040
HU,2020-07-12,25,huesca,20.7,2.2,19.0,1040
HU,2020-07-13,42,huesca,20.2,3.6,0.0,1040
HU,2020-07-14,54,huesca,17.8,2.2,0.0,1040
HU,2020-07-15,70,huesca,16.2,4.2,0.0,1040
HU,2020-07-16,51,huesca,18.3,1.7,0.0,1040
HU,2020-07-17,78,huesca,18.1,3.1,0.0,1040
HU,2020-07-18,53,huesca,21.2,1.4,0.0,1040
HU,2020-07-19,50,huesca,24.3,3.1,0.0,1040
HU,2020-07-20,46,huesca,25.6,2.5,0.0,1040
HU,2020-07-21,66,huesca,26.0,2.5,0.0,1040
HU,2020-07-22,48,huesca,25.6,2.2,0.0,1040
HU,2020-07-23,45,huesca,24.4,2.5,0.0,1040
HU,2020-07-24,41,huesca,21.2,1.9,0.0,1040
HU,2020-07-25,38,huesca,21.0,1.9,0.0,1040
HU,2020-07-26,47,huesca,23.2,2.2,0.0,1040
HU,2020-07-27,35,huesca,27.0,2.2,5.6,1040
HU,2020-07-28,57,huesca,25.8,1.9,0.0,1040
HU,2020-07-29,71,huesca,24.8,2.8,0.0,1040
HU,2020-07-30,46,huesca,28.3,2.5,0.0,1040
HU,2020-07-31,69,huesca,28.6,2.8,0.0,1040
HU,2020-08-01,74,huesca,24.6,2.2,0.0,1040
HU,2020-08-02,30,huesca,21.2,2.2,0.0,1040
HU,2020-08-03,51,huesca,18.7,5.6,0.0,1040
HU,2020-08-04,117,huesca,19.5,3.1,0.0,1040
HU,2020-08-05,41,huesca,22.8,1.9,0.0,1040
HU,2020-08-06,46,huesca,26.0,2.5,0.2,1040
HU,2020-08-07,65,huesca,28.1,3.1,2.0,1040
HU,2020-08-08,49,huesca,27.6,1.7,0.0,1040
HU,2020-08-09,36,huesca,25.9,3.3,16.2,1040
HU,2020-08-10,43,huesca,24.4,3.3,0.0,1040
HU,2020-08-11,81,huesca,23.4,2.8,2.8,1040
HU,2020-08-12,47,huesca,21.9,2.2,0.2,1040
HU,2020-08-13,46,huesca,20.8,1.1,0.0,1040
HU,2020-08-14,45,huesca,22.2,1.7,0.0,1040
HU,2020-08-15,36,huesca,24.2,3.6,2.0,1040
HU,2020-08-16,23,huesca,20.2,1.4,0.0,1040
HU,2020-08-17,43,huesca,19.7,3.1,3.0,1040
HU,2020-08-18,36,huesca,20.0,1.9,0.0,1040
HU,2020-08-19,48,huesca,23.0,3.3,0.0,1040
HU,2020-08-20,45,huesca,26.2,3.9,0.0,1040
HU,2020-08-21,42,huesca,26.4,3.1,0.2,1040
HU,2020-08-22,40,huesca,21.8,2.2,0.0,1040
HU,2020-08-23,33,huesca,19.4,1.9,0.0,1040
HU,2020-08-24,48,huesca,19.4,2.2,0.0,1040
HU,2020-08-25,45,huesca,24.4,3.1,0.0,1040
HU,2020-08-26,33,huesca,25.6,2.2,0.0,1040
HU,2020-08-27,35,huesca,25.2,2.5,0.0,1040
HU,2020-08-28,41,huesca,17.0,2.5,0.0,1040
HU,2020-08-29,45,huesca,14.8,1.9,0.0,1040
HU,2020-08-30,23,huesca,13.2,5.8,0.0,1040
HU,2020-08-31,34,huesca,14.6,3.1,0.2,1040
HU,2020-09-01,34,huesca,17.4,3.3,0.0,1040
HU,2020-09-02,46,huesca,17.4,2.2,0.0,1040
HU,2020-09-03,30,huesca,20.6,3.1,0.0,1040
HU,2020-09-04,37,huesca,22.4,2.2,0.0,1040
HU,2020-09-05,32,huesca,21.6,2.2,0.0,1040
HU,2020-09-06,19,huesca,18.2,2.8,0.0,1040
HU,2020-09-07,51,huesca,13.4,6.9,0.0,1040
HU,2020-09-08,67,huesca,16.8,3.1,0.0,1040
HU,2020-09-09,39,huesca,18.8,2.5,0.0,1040
HU,2020-09-10,36,huesca,19.4,4.7,0.0,1040
HU,2020-09-11,79,huesca,20.2,1.7,0.0,1040
HU,2020-09-12,33,huesca,21.9,1.9,0.0,1040
HU,2020-09-13,27,huesca,23.0,3.3,0.0,1040
HU,2020-09-14,35,huesca,23.5,3.1,1.2,1040
HU,2020-09-15,48,huesca,21.6,1.9,0.0,1040
HU,2020-09-16,32,huesca,23.5,3.1,0.0,1040
HU,2020-09-17,48,huesca,22.4,4.2,0.0,1040
HU,2020-09-18,43,huesca,17.3,4.7,35.4,1040
HU,2020-09-19,37,huesca,14.4,2.2,12.6,1040
HU,2020-09-20,33,huesca,16.5,1.4,0.2,1040
HU,2020-09-21,40,huesca,15.6,1.4,0.0,1040
HU,2020-09-22,60,huesca,15.3,2.8,0.8,1040
HU,2020-09-23,54,huesca,16.6,1.9,2.6,1040
HU,2020-09-24,42,huesca,15.0,1.4,2.2,1040
HU,2020-09-25,60,huesca,7.2,1.9,33.6,1040
HU,2020-09-26,44,huesca,10.8,2.8,18.8,1040
HU,2020-09-27,38,huesca,8.8,2.2,0.0,1040
HU,2020-09-28,47,huesca,13.4,1.4,0.0,1040
HU,2020-09-29,46,huesca,15.4,2.2,0.0,1040
HU,2020-09-30,36,huesca,15.9,2.2,0.0,1040
HU,2020-10-01,55,huesca,14.4,2.2,35.6,1040
HU,2020-10-02,62,huesca,7.0,3.9,39.0,1040
HU,2020-10-03,70,huesca,3.8,1.7,19.6,1040
HU,2020-10-04,56,huesca,6.8,1.4,14.2,1040
HU,2020-10-05,63,huesca,8.4,1.4,1.8,1040
HU,2020-10-06,81,huesca,11.0,1.9,3.4,1040
HU,2020-10-07,100,huesca,14.3,3.1,0.0,1040
HU,2020-10-08,97,huesca,15.5,1.9,0.0,1040
HU,2020-10-09,108,huesca,16.2,1.7,0.0,1040
HU,2020-10-10,98,huesca,12.0,4.4,0.0,1040
HU,2020-10-11,92,huesca,8.4,2.8,0.8,1040
HU,2020-10-12,74,huesca,8.0,3.1,1.2,1040
HU,2020-10-13,120,huesca,9.3,3.1,0.2,1040
HU,2020-10-14,172,huesca,5.9,3.1,1.2,1040
HU,2020-10-15,168,huesca,5.6,2.5,0.0,1040
HU,2020-10-16,155,huesca,6.8,1.4,0.0,1040
HU,2020-10-17,141,huesca,8.4,1.9,0.0,1040
HU,2020-10-18,132,huesca,10.8,2.2,0.0,1040
HU,2020-10-19,222,huesca,13.8,4.2,0.0,1040
HU,2020-10-20,214,huesca,13.9,5.0,20.0,1040
HU,2020-10-21,219,huesca,15.2,4.7,10.0,1040
HU,2020-10-22,214,huesca,13.0,4.2,21.4,1040
HU,2020-10-23,200,huesca,9.2,1.9,1.4,1040
HU,2020-10-24,184,huesca,10.3,2.5,0.0,1040
HU,2020-10-25,195,huesca,8.8,2.2,28.2,1040
HU,2020-10-26,224,huesca,5.8,2.5,7.2,1040
HU,2020-10-27,189,huesca,7.6,1.1,1.0,1040
HU,2020-10-28,187,huesca,10.2,1.1,0.0,1040
HU,2020-10-29,226,huesca,11.2,1.9,0.0,1040
HU,2020-10-30,230,huesca,14.4,1.9,0.0,1040
HU,2020-10-31,181,huesca,15.4,2.5,0.0,1040
HU,2020-11-01,187,huesca,14.8,1.4,0.0,1040
HU,2020-11-02,157,huesca,16.6,1.9,7.8,1040
HU,2020-11-03,244,huesca,9.0,2.8,9.4,1040
HU,2020-11-04,168,huesca,6.5,0.8,0.4,1040
HU,2020-11-05,175,huesca,10.7,2.5,0.0,1040
HU,2020-11-06,161,huesca,13.6,5.0,0.0,1040
HU,2020-11-07,114,huesca,12.8,3.3,39.2,1040
HU,2020-11-08,97,huesca,11.0,4.2,0.0,1040
HU,2020-11-09,125,huesca,10.2,1.7,0.0,1040
HU,2020-11-10,134,huesca,10.4,1.9,0.0,1040
HU,2020-11-11,113,huesca,10.6,3.3,0.0,1040
HU,2020-11-12,99,huesca,11.6,2.2,0.0,1040
HU,2020-11-13,96,huesca,12.2,2.2,0.0,1040
HU,2020-11-14,81,huesca,11.4,3.1,0.0,1040
HU,2020-11-15,88,huesca,11.1,1.4,5.8,1040
HU,2020-11-16,79,huesca,9.3,1.7,0.0,1040
HU,2020-11-17,73,huesca,11.0,1.4,0.0,1040
HU,2020-11-18,108,huesca,13.8,1.9,0.0,1040
HU,2020-11-19,72,huesca,11.4,3.9,0.0,1040
HU,2020-11-20,68,huesca,8.4,5.3,0.0,1040
HU,2020-11-21,25,huesca,9.4,2.2,0.0,1040
HU,2020-11-22,27,huesca,9.3,1.4,0.0,1040
HU,2020-11-23,52,huesca,8.0,1.1,0.0,1040
HU,2020-11-24,37,huesca,9.6,2.2,0.0,1040
HU,2020-11-25,27,huesca,7.6,3.9,0.0,1040
HU,2020-11-26,39,huesca,9.4,1.9,1.0,1040
HU,2020-11-27,51,huesca,9.4,1.7,0.0,1040
HU,2020-11-28,35,huesca,8.8,1.1,0.0,1040
HU,2020-11-29,19,huesca,8.8,2.8,0.0,1040
HU,2020-11-30,61,huesca,9.2,1.4,0.0,1040
