provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
LO,2020-07-11,3,laRioja,23.8,2.5,0.1,353
LO,2020-07-12,2,laRioja,23.6,4.7,1.6,353
LO,2020-07-13,4,laRioja,22.2,3.1,0.0,353
LO,2020-07-14,7,laRioja,20.4,3.3,0.0,353
LO,2020-07-15,2,laRioja,18.7,3.3,0.0,353
LO,2020-07-16,9,laRioja,21.0,3.3,0.0,353
LO,2020-07-17,11,laRioja,20.5,3.6,0.0,353
LO,2020-07-18,6,laRioja,24.6,3.1,0.0,353
LO,2020-07-19,0,laRioja,25.2,1.9,0.0,353
LO,2020-07-20,5,laRioja,26.9,3.1,0.0,353
LO,2020-07-21,17,laRioja,25.2,5.0,2.2,353
LO,2020-07-22,9,laRioja,26.2,3.3,0.0,353
LO,2020-07-23,5,laRioja,25.8,3.1,0.0,353
LO,2020-07-24,11,laRioja,23.0,3.3,0.0,353
LO,2020-07-25,2,laRioja,24.2,2.8,0.0,353
LO,2020-07-26,1,laRioja,26.0,2.5,0.0,353
LO,2020-07-27,9,laRioja,27.3,4.2,2.7,353
LO,2020-07-28,9,laRioja,24.4,3.3,0.0,353
LO,2020-07-29,4,laRioja,27.0,3.3,0.0,353
LO,2020-07-30,1,laRioja,28.1,6.9,1.5,353
LO,2020-07-31,8,laRioja,27.8,1.7,0.0,353
LO,2020-08-01,5,laRioja,24.2,3.1,0.0,353
LO,2020-08-02,6,laRioja,21.6,3.1,0.0,353
LO,2020-08-03,11,laRioja,20.6,3.1,0.0,353
LO,2020-08-04,9,laRioja,21.4,2.2,0.0,353
LO,2020-08-05,27,laRioja,24.1,1.4,0.0,353
LO,2020-08-06,16,laRioja,25.4,3.3,0.0,353
LO,2020-08-07,21,laRioja,29.4,5.6,11.4,353
LO,2020-08-08,12,laRioja,27.4,2.2,0.1,353
LO,2020-08-09,20,laRioja,26.8,2.8,0.6,353
LO,2020-08-10,55,laRioja,26.8,4.2,1.2,353
LO,2020-08-11,68,laRioja,24.9,3.9,2.2,353
LO,2020-08-12,54,laRioja,23.0,2.8,10.0,353
LO,2020-08-13,58,laRioja,22.9,2.8,0.0,353
LO,2020-08-14,62,laRioja,24.6,1.4,0.1,353
LO,2020-08-15,53,laRioja,24.5,1.7,0.0,353
LO,2020-08-16,55,laRioja,20.8,2.5,0.0,353
LO,2020-08-17,74,laRioja,20.8,1.9,2.9,353
LO,2020-08-18,82,laRioja,22.4,0.3,0.0,353
LO,2020-08-19,88,laRioja,25.3,1.4,0.0,353
LO,2020-08-20,79,laRioja,25.4,2.2,0.0,353
LO,2020-08-21,69,laRioja,26.0,2.2,3.6,353
LO,2020-08-22,85,laRioja,22.5,3.1,0.0,353
LO,2020-08-23,95,laRioja,22.2,2.5,0.0,353
LO,2020-08-24,78,laRioja,22.0,1.7,0.0,353
LO,2020-08-25,87,laRioja,23.6,1.9,0.0,353
LO,2020-08-26,125,laRioja,25.8,1.4,0.0,353
LO,2020-08-27,82,laRioja,26.5,3.3,0.0,353
LO,2020-08-28,87,laRioja,18.8,2.2,0.0,353
LO,2020-08-29,84,laRioja,17.4,4.7,0.8,353
LO,2020-08-30,81,laRioja,16.2,2.5,0.0,353
LO,2020-08-31,61,laRioja,17.6,1.9,0.0,353
LO,2020-09-01,94,laRioja,20.1,2.2,0.0,353
LO,2020-09-02,87,laRioja,19.2,2.8,0.0,353
LO,2020-09-03,113,laRioja,20.1,1.1,0.0,353
LO,2020-09-04,94,laRioja,21.2,3.1,0.0,353
LO,2020-09-05,84,laRioja,20.7,2.5,0.0,353
LO,2020-09-06,50,laRioja,19.6,3.3,0.0,353
LO,2020-09-07,101,laRioja,18.6,3.3,0.0,353
LO,2020-09-08,86,laRioja,19.4,3.1,0.0,353
