provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
GC,2020-07-11,0,lasPalmas,23.8,7.5,0.0,25
GC,2020-07-12,0,lasPalmas,23.4,6.7,0.0,25
GC,2020-07-13,2,lasPalmas,24.6,6.9,0.0,25
GC,2020-07-14,1,lasPalmas,25.6,9.2,0.0,25
GC,2020-07-15,6,lasPalmas,24.4,7.2,0.0,25
GC,2020-07-16,2,lasPalmas,26.0,5.3,0.0,25
GC,2020-07-17,3,lasPalmas,25.2,3.1,0.0,25
GC,2020-07-18,6,lasPalmas,26.7,5.0,0.0,25
GC,2020-07-19,48,lasPalmas,31.6,7.2,0.0,25
GC,2020-07-20,2,lasPalmas,26.5,8.3,0.0,25
GC,2020-07-21,6,lasPalmas,24.2,8.6,0.0,25
GC,2020-07-22,1,lasPalmas,24.1,7.8,0.0,25
GC,2020-07-23,1,lasPalmas,23.8,8.1,0.0,25
GC,2020-07-24,1,lasPalmas,25.4,6.9,0.0,25
GC,2020-07-25,2,lasPalmas,25.4,7.8,0.0,25
GC,2020-07-26,1,lasPalmas,24.4,8.6,0.0,25
GC,2020-07-27,3,lasPalmas,23.7,7.8,0.0,25
GC,2020-07-28,5,lasPalmas,24.2,8.6,0.0,25
GC,2020-07-29,3,lasPalmas,24.2,9.2,0.0,25
GC,2020-07-30,9,lasPalmas,24.0,7.5,0.0,25
GC,2020-07-31,8,lasPalmas,23.9,5.0,0.0,25
GC,2020-08-01,19,lasPalmas,24.6,4.7,0.0,25
GC,2020-08-02,25,lasPalmas,26.4,6.9,0.0,25
GC,2020-08-03,33,lasPalmas,26.4,8.6,0.0,25
GC,2020-08-04,43,lasPalmas,25.6,7.2,0.0,25
GC,2020-08-05,51,lasPalmas,25.4,7.2,0.0,25
GC,2020-08-06,60,lasPalmas,25.7,6.7,0.0,25
GC,2020-08-07,61,lasPalmas,24.8,8.1,0.0,25
GC,2020-08-08,51,lasPalmas,24.7,8.6,0.0,25
GC,2020-08-09,85,lasPalmas,24.9,8.9,0.0,25
GC,2020-08-10,114,lasPalmas,24.6,8.3,0.0,25
GC,2020-08-11,127,lasPalmas,24.8,8.3,0.0,25
GC,2020-08-12,157,lasPalmas,24.5,9.4,0.0,25
GC,2020-08-13,133,lasPalmas,24.2,8.9,0.0,25
GC,2020-08-14,172,lasPalmas,24.2,8.6,0.0,25
GC,2020-08-15,186,lasPalmas,24.4,9.7,0.0,25
GC,2020-08-16,122,lasPalmas,24.4,10.0,0.0,25
GC,2020-08-17,211,lasPalmas,24.3,7.2,0.0,25
GC,2020-08-18,199,lasPalmas,24.8,8.3,0.0,25
GC,2020-08-19,162,lasPalmas,25.9,6.9,0.0,25
GC,2020-08-20,196,lasPalmas,24.9,5.3,0.0,25
GC,2020-08-21,198,lasPalmas,24.4,6.4,0.0,25
GC,2020-08-22,215,lasPalmas,26.6,6.9,0.0,25
GC,2020-08-23,179,lasPalmas,28.7,7.8,0.0,25
GC,2020-08-24,238,lasPalmas,26.8,7.5,0.0,25
GC,2020-08-25,254,lasPalmas,26.4,5.0,0.0,25
GC,2020-08-26,241,lasPalmas,27.2,3.3,0.0,25
GC,2020-08-27,251,lasPalmas,31.9,4.7,0.0,25
GC,2020-08-28,236,lasPalmas,26.2,7.2,0.0,25
GC,2020-08-29,232,lasPalmas,25.3,9.4,0.0,25
GC,2020-08-30,219,lasPalmas,24.8,9.2,0.0,25
GC,2020-08-31,252,lasPalmas,25.0,6.4,0.0,25
GC,2020-09-01,231,lasPalmas,22.3,2.2,0.0,25
GC,2020-09-02,207,lasPalmas,24.3,5.0,0.0,25
GC,2020-09-03,220,lasPalmas,24.1,5.3,0.0,25
GC,2020-09-04,223,lasPalmas,23.8,5.0,0.0,25
GC,2020-09-05,184,lasPalmas,25.6,4.7,0.0,25
GC,2020-09-06,137,lasPalmas,23.8,5.0,0.3,25
GC,2020-09-07,159,lasPalmas,24.6,4.4,0.0,25
GC,2020-09-08,155,lasPalmas,26.7,5.6,0.0,25
GC,2020-09-09,175,lasPalmas,26.5,6.7,0.0,25
GC,2020-09-10,184,lasPalmas,24.4,8.1,0.0,25
GC,2020-09-11,129,lasPalmas,25.4,7.5,0.0,25
GC,2020-09-12,166,lasPalmas,24.5,4.2,0.0,25
GC,2020-09-13,108,lasPalmas,23.4,3.1,0.0,25
GC,2020-09-14,101,lasPalmas,24.4,5.3,0.0,25
