provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
LE,2020-10-09,191,leon,13.4,3.6,0.0,1020
LE,2020-10-10,230,leon,11.0,3.1,0.0,1020
LE,2020-10-11,158,leon,7.6,2.2,0.0,1020
LE,2020-10-12,315,leon,8.2,2.2,0.0,1020
LE,2020-10-13,222,leon,9.9,4.2,0.0,1020
LE,2020-10-14,269,leon,8.0,5.0,0.0,1020
LE,2020-10-15,254,leon,5.6,2.8,0.1,1020
LE,2020-10-16,187,leon,6.2,1.4,0.0,1020
LE,2020-10-17,246,leon,8.2,0.6,0.0,1020
LE,2020-10-18,220,leon,10.0,1.4,0.0,1020
LE,2020-10-19,323,leon,11.4,4.4,7.8,1020
LE,2020-10-20,268,leon,9.8,2.5,41.7,1020
LE,2020-10-21,257,leon,11.2,2.8,1.6,1020
LE,2020-10-22,229,leon,8.9,2.2,0.5,1020
LE,2020-10-23,225,leon,7.2,2.8,0.0,1020
LE,2020-10-24,238,leon,7.3,2.8,3.4,1020
LE,2020-10-25,242,leon,7.8,3.3,1.4,1020
LE,2020-10-26,327,leon,5.4,5.6,0.0,1020
LE,2020-10-27,264,leon,9.1,1.4,0.2,1020
LE,2020-10-28,335,leon,8.6,2.8,0.0,1020
LE,2020-10-29,216,leon,7.0,0.3,0.0,1020
LE,2020-10-30,209,leon,8.2,1.7,0.1,1020
LE,2020-10-31,200,leon,9.4,0.8,0.1,1020
LE,2020-11-01,264,leon,10.2,1.1,0.0,1020
LE,2020-11-02,264,leon,12.3,1.9,1.1,1020
LE,2020-11-03,256,leon,6.0,3.1,0.0,1020
LE,2020-11-04,321,leon,3.4,2.8,3.9,1020
LE,2020-11-05,271,leon,5.4,2.5,9.8,1020
LE,2020-11-06,322,leon,8.8,2.5,4.7,1020
LE,2020-11-07,269,leon,10.0,2.8,2.5,1020
LE,2020-11-08,158,leon,9.7,2.8,5.6,1020
LE,2020-11-09,301,leon,7.8,1.7,2.1,1020
LE,2020-11-10,349,leon,5.1,1.4,0.1,1020
LE,2020-11-11,235,leon,6.0,1.4,0.0,1020
LE,2020-11-12,162,leon,9.5,0.8,0.0,1020
LE,2020-11-13,161,leon,5.7,1.4,0.1,1020
LE,2020-11-14,203,leon,7.0,1.4,0.1,1020
LE,2020-11-15,183,leon,11.4,3.1,0.8,1020
LE,2020-11-16,174,leon,8.0,0.6,0.1,1020
LE,2020-11-17,161,leon,7.5,1.4,0.0,1020
LE,2020-11-18,153,leon,8.0,0.8,0.0,1020
LE,2020-11-19,85,leon,11.4,0.8,0.1,1020
LE,2020-11-20,107,leon,6.6,1.1,0.1,1020
LE,2020-11-21,81,leon,8.8,2.2,0.0,1020
LE,2020-11-22,58,leon,8.2,1.1,0.0,1020
LE,2020-11-23,148,leon,7.8,0.6,0.0,1020
LE,2020-11-24,80,leon,4.8,1.4,0.7,1020
LE,2020-11-25,67,leon,4.5,3.3,22.5,1020
LE,2020-11-26,72,leon,5.7,2.5,2.3,1020
LE,2020-11-27,140,leon,8.0,1.1,0.8,1020
LE,2020-11-28,67,leon,7.2,1.9,0.0,1020
LE,2020-11-29,44,leon,6.5,1.7,0.0,1020
LE,2020-11-30,64,leon,5.6,1.7,0.1,1020
