provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
L,2020-07-11,172,lleida,25.8,2.8,0.0,185
L,2020-07-12,198,lleida,25.6,2.5,0.0,185
L,2020-07-13,230,lleida,27.0,3.3,0.0,185
L,2020-07-14,202,lleida,23.4,1.4,0.0,185
L,2020-07-15,289,lleida,23.2,3.6,0.0,185
L,2020-07-16,229,lleida,23.2,1.9,0.0,185
L,2020-07-17,231,lleida,23.9,1.9,0.0,185
L,2020-07-18,303,lleida,25.2,1.9,0.0,185
L,2020-07-19,149,lleida,27.6,2.5,0.0,185
L,2020-07-20,256,lleida,26.0,3.3,0.2,185
L,2020-07-21,214,lleida,28.0,1.9,0.0,185
L,2020-07-22,212,lleida,27.3,1.4,0.0,185
L,2020-07-23,148,lleida,28.2,1.9,0.2,185
L,2020-07-24,142,lleida,28.2,1.9,0.0,185
L,2020-07-25,100,lleida,26.9,2.5,0.0,185
L,2020-07-26,102,lleida,28.1,2.5,0.0,185
L,2020-07-27,109,lleida,30.0,2.5,0.0,185
L,2020-07-28,155,lleida,31.0,2.2,0.0,185
L,2020-07-29,122,lleida,28.8,1.7,0.0,185
L,2020-07-30,114,lleida,30.4,2.2,0.0,185
L,2020-07-31,110,lleida,31.2,1.7,0.0,185
L,2020-08-01,105,lleida,30.2,2.2,0.0,185
L,2020-08-02,59,lleida,26.4,3.6,0.0,185
L,2020-08-03,93,lleida,25.2,3.6,0.0,185
L,2020-08-04,101,lleida,23.7,2.8,0.0,185
L,2020-08-05,74,lleida,24.6,1.9,0.0,185
L,2020-08-06,83,lleida,28.3,1.9,0.0,185
L,2020-08-07,77,lleida,29.4,2.5,0.0,185
L,2020-08-08,70,lleida,30.9,2.2,0.0,185
L,2020-08-09,47,lleida,30.2,3.3,0.0,185
L,2020-08-10,102,lleida,26.4,3.6,0.0,185
L,2020-08-11,83,lleida,27.0,1.7,0.0,185
L,2020-08-12,92,lleida,27.0,2.2,0.1,185
L,2020-08-13,55,lleida,27.1,1.7,0.0,185
L,2020-08-14,90,lleida,27.2,1.9,0.0,185
L,2020-08-15,62,lleida,28.0,2.5,0.0,185
L,2020-08-16,71,lleida,25.2,3.1,0.0,185
L,2020-08-17,117,lleida,23.9,1.9,0.0,185
L,2020-08-18,107,lleida,24.6,2.5,0.0,185
L,2020-08-19,81,lleida,27.2,2.8,0.0,185
L,2020-08-20,94,lleida,28.8,2.8,0.0,185
L,2020-08-21,128,lleida,29.4,1.4,0.0,185
L,2020-08-22,64,lleida,28.0,2.5,0.0,185
L,2020-08-23,61,lleida,25.0,2.5,0.0,185
L,2020-08-24,135,lleida,23.8,1.7,0.0,185
L,2020-08-25,68,lleida,27.2,1.7,0.0,185
L,2020-08-26,107,lleida,28.8,2.2,0.0,185
L,2020-08-27,57,lleida,29.2,2.2,0.0,185
L,2020-08-28,74,lleida,25.9,4.4,19.2,185
L,2020-08-29,44,lleida,21.2,4.2,0.0,185
L,2020-08-30,33,lleida,19.3,3.1,0.0,185
L,2020-08-31,59,lleida,19.0,1.7,0.0,185
L,2020-09-01,58,lleida,20.2,1.9,0.0,185
L,2020-09-02,61,lleida,20.2,1.1,0.0,185
L,2020-09-03,56,lleida,22.8,1.1,0.0,185
L,2020-09-04,59,lleida,24.8,1.9,0.0,185
L,2020-09-05,47,lleida,24.4,1.4,0.0,185
L,2020-09-06,34,lleida,23.2,2.8,0.0,185
L,2020-09-07,49,lleida,20.5,0.8,0.0,185
L,2020-09-08,60,lleida,20.0,2.2,0.0,185
L,2020-09-09,47,lleida,21.8,1.9,1.8,185
L,2020-09-10,63,lleida,23.2,1.7,0.0,185
L,2020-09-11,32,lleida,23.3,1.7,0.0,185
L,2020-09-12,46,lleida,24.6,0.8,0.0,185
L,2020-09-13,54,lleida,26.0,1.9,0.0,185
L,2020-09-14,60,lleida,24.8,1.9,0.0,185
L,2020-09-15,66,lleida,25.4,1.9,0.0,185
L,2020-09-16,71,lleida,25.8,1.4,0.0,185
L,2020-09-17,49,lleida,24.4,1.9,0.0,185
L,2020-09-18,62,lleida,22.1,3.1,3.0,185
L,2020-09-19,30,lleida,23.4,2.2,0.0,185
L,2020-09-20,44,lleida,21.8,1.7,0.0,185
L,2020-09-21,68,lleida,22.0,1.4,0.0,185
L,2020-09-22,59,lleida,21.0,1.7,0.0,185
L,2020-09-23,58,lleida,21.1,1.7,0.0,185
L,2020-09-24,58,lleida,20.0,2.2,0.0,185
L,2020-09-25,56,lleida,15.8,8.9,0.0,185
L,2020-09-26,32,lleida,16.7,7.8,0.0,185
L,2020-09-27,41,lleida,16.1,5.0,0.0,185
L,2020-09-28,76,lleida,17.0,2.2,0.0,185
L,2020-09-29,74,lleida,16.0,1.4,0.0,185
L,2020-09-30,61,lleida,16.8,1.1,0.0,185
L,2020-10-01,84,lleida,18.5,1.9,2.8,185
L,2020-10-02,112,lleida,12.1,3.3,6.2,185
L,2020-10-03,58,lleida,12.8,2.8,0.0,185
L,2020-10-04,64,lleida,12.8,2.5,0.0,185
L,2020-10-05,120,lleida,14.0,3.1,0.0,185
L,2020-10-06,100,lleida,16.8,3.3,0.0,185
L,2020-10-07,130,lleida,20.4,3.6,0.0,185
L,2020-10-08,141,lleida,18.8,1.4,0.0,185
L,2020-10-09,122,lleida,19.9,0.8,0.0,185
L,2020-10-10,132,lleida,18.4,3.1,0.0,185
L,2020-10-11,118,lleida,15.0,4.2,0.0,185
L,2020-10-12,117,lleida,14.9,4.2,0.0,185
L,2020-10-13,158,lleida,14.8,4.7,0.1,185
L,2020-10-14,189,lleida,13.6,5.8,0.0,185
L,2020-10-15,183,lleida,12.2,5.0,0.0,185
L,2020-10-16,217,lleida,9.8,1.9,0.0,185
L,2020-10-17,142,lleida,10.6,1.4,0.0,185
L,2020-10-18,140,lleida,11.8,1.1,0.0,185
L,2020-10-19,182,lleida,15.2,1.9,0.0,185
L,2020-10-20,246,lleida,16.5,3.3,0.6,185
L,2020-10-21,252,lleida,21.3,2.2,0.8,185
L,2020-10-22,209,lleida,17.7,3.3,2.2,185
L,2020-10-23,238,lleida,15.9,2.2,0.0,185
L,2020-10-24,168,lleida,13.8,0.8,0.0,185
L,2020-10-25,146,lleida,13.8,1.7,1.2,185
L,2020-10-26,202,lleida,12.6,5.3,0.0,185
L,2020-10-27,233,lleida,12.2,2.2,0.0,185
L,2020-10-28,197,lleida,14.2,1.7,0.0,185
L,2020-10-29,237,lleida,13.9,1.1,0.0,185
L,2020-10-30,234,lleida,13.4,1.1,0.0,185
L,2020-10-31,130,lleida,13.4,1.1,0.0,185
L,2020-11-01,159,lleida,14.8,1.1,0.0,185
L,2020-11-02,255,lleida,16.3,0.8,0.0,185
L,2020-11-03,214,lleida,14.6,1.7,26.8,185
L,2020-11-04,198,lleida,9.5,1.1,6.4,185
L,2020-11-05,180,lleida,12.5,2.2,10.6,185
L,2020-11-06,212,lleida,16.0,4.4,0.8,185
L,2020-11-07,158,lleida,14.3,3.1,23.2,185
L,2020-11-08,109,lleida,12.4,0.3,0.3,185
L,2020-11-09,130,lleida,12.0,1.1,0.1,185
L,2020-11-10,270,lleida,11.6,1.1,0.2,185
L,2020-11-11,145,lleida,8.8,0.8,0.2,185
L,2020-11-12,148,lleida,10.0,0.6,0.0,185
L,2020-11-13,154,lleida,11.2,1.1,0.0,185
L,2020-11-14,134,lleida,12.3,1.1,0.3,185
L,2020-11-15,77,lleida,14.0,0.6,0.0,185
L,2020-11-16,151,lleida,13.9,2.2,0.0,185
L,2020-11-17,134,lleida,11.2,1.1,0.0,185
L,2020-11-18,138,lleida,11.2,1.1,0.1,185
L,2020-11-19,117,lleida,10.6,1.4,0.0,185
L,2020-11-20,116,lleida,10.0,1.9,0.0,185
L,2020-11-21,99,lleida,7.0,1.4,0.0,185
L,2020-11-22,99,lleida,6.0,1.1,0.0,185
L,2020-11-23,107,lleida,5.4,1.4,0.0,185
L,2020-11-24,123,lleida,6.0,0.8,0.0,185
L,2020-11-25,141,lleida,10.2,1.9,0.0,185
L,2020-11-26,113,lleida,12.0,2.8,0.0,185
L,2020-11-27,122,lleida,13.8,4.2,4.2,185
L,2020-11-28,64,lleida,10.8,1.9,2.0,185
L,2020-11-29,59,lleida,10.2,1.7,0.2,185
L,2020-11-30,85,lleida,7.2,1.1,0.2,185
