provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
LU,2020-07-11,7,lugo,18.4,3.1,0.0,445
LU,2020-07-12,4,lugo,20.4,2.2,0.0,445
LU,2020-07-13,4,lugo,19.6,2.8,0.0,445
LU,2020-07-14,0,lugo,18.0,2.2,0.0,445
LU,2020-07-15,3,lugo,17.9,2.2,0.0,445
LU,2020-07-16,1,lugo,17.7,2.5,0.0,445
LU,2020-07-17,5,lugo,19.4,2.5,0.0,445
LU,2020-07-18,2,lugo,21.8,1.1,0.0,445
LU,2020-07-19,2,lugo,19.8,2.2,0.0,445
LU,2020-07-20,2,lugo,18.7,3.3,0.0,445
LU,2020-07-21,10,lugo,19.8,2.5,0.0,445
LU,2020-07-22,4,lugo,23.2,1.9,0.0,445
LU,2020-07-23,6,lugo,21.0,1.9,0.0,445
LU,2020-07-24,3,lugo,19.2,1.9,0.0,445
LU,2020-07-25,4,lugo,21.4,1.9,0.0,445
LU,2020-07-26,0,lugo,23.7,1.7,0.0,445
LU,2020-07-27,1,lugo,22.0,2.2,0.2,445
LU,2020-07-28,1,lugo,18.1,2.5,0.0,445
LU,2020-07-29,3,lugo,19.4,2.8,0.0,445
LU,2020-07-30,1,lugo,25.6,1.9,0.0,445
LU,2020-07-31,2,lugo,22.0,1.7,0.0,445
LU,2020-08-01,7,lugo,19.9,1.9,0.0,445
LU,2020-08-02,4,lugo,18.5,2.2,0.0,445
LU,2020-08-03,8,lugo,19.2,2.2,0.0,445
LU,2020-08-04,11,lugo,20.8,2.2,0.0,445
LU,2020-08-05,9,lugo,22.1,1.7,0.0,445
LU,2020-08-06,4,lugo,24.4,0.8,0.0,445
LU,2020-08-07,7,lugo,23.8,1.9,0.0,445
LU,2020-08-08,13,lugo,20.7,1.9,0.0,445
LU,2020-08-09,8,lugo,23.0,1.4,0.0,445
LU,2020-08-10,11,lugo,18.9,1.7,0.0,445
LU,2020-08-11,7,lugo,21.2,2.5,18.2,445
LU,2020-08-12,8,lugo,15.8,1.4,13.9,445
LU,2020-08-13,8,lugo,17.7,1.7,0.0,445
LU,2020-08-14,11,lugo,17.6,1.1,0.0,445
LU,2020-08-15,23,lugo,17.8,2.8,1.4,445
LU,2020-08-16,30,lugo,17.6,2.2,3.2,445
LU,2020-08-17,25,lugo,17.8,1.9,20.2,445
LU,2020-08-18,37,lugo,20.4,2.8,1.8,445
LU,2020-08-19,35,lugo,20.8,4.7,13.0,445
LU,2020-08-20,81,lugo,20.2,4.4,0.0,445
LU,2020-08-21,29,lugo,17.0,2.5,0.8,445
LU,2020-08-22,45,lugo,17.0,1.7,0.0,445
LU,2020-08-23,54,lugo,17.6,1.9,0.0,445
LU,2020-08-24,60,lugo,20.0,0.8,0.0,445
LU,2020-08-25,109,lugo,19.8,1.7,0.0,445
LU,2020-08-26,57,lugo,23.6,0.8,0.0,445
LU,2020-08-27,53,lugo,21.9,2.8,0.4,445
LU,2020-08-28,62,lugo,16.0,1.7,2.4,445
LU,2020-08-29,56,lugo,15.1,1.1,1.6,445
LU,2020-08-30,51,lugo,12.8,1.7,0.0,445
LU,2020-08-31,28,lugo,15.3,1.7,0.0,445
LU,2020-09-01,44,lugo,17.2,1.7,0.0,445
LU,2020-09-02,37,lugo,17.4,1.4,0.0,445
