provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
M,2020-07-11,44,madrid,29.5,2.2,0.8,540
M,2020-07-12,49,madrid,28.2,2.5,0.2,540
M,2020-07-13,89,madrid,26.2,0.6,0.0,540
M,2020-07-14,115,madrid,27.4,1.9,0.0,540
M,2020-07-15,106,madrid,25.4,2.2,0.0,540
M,2020-07-16,91,madrid,26.8,0.8,0.0,540
M,2020-07-17,149,madrid,27.2,1.7,0.0,540
M,2020-07-18,104,madrid,26.4,0.8,0.0,540
M,2020-07-19,105,madrid,27.2,2.5,0.0,540
M,2020-07-20,168,madrid,27.0,2.2,0.0,540
M,2020-07-21,227,madrid,28.6,1.9,1.8,540
M,2020-07-22,214,madrid,26.8,1.7,0.0,540
M,2020-07-23,206,madrid,27.6,1.4,0.0,540
M,2020-07-24,343,madrid,28.4,1.9,0.0,540
M,2020-07-25,270,madrid,28.1,1.9,0.0,540
M,2020-07-26,236,madrid,28.9,1.1,0.0,540
M,2020-07-27,472,madrid,32.0,1.9,0.0,540
M,2020-07-28,571,madrid,29.9,1.4,0.0,540
M,2020-07-29,495,madrid,31.2,1.1,0.0,540
M,2020-07-30,534,madrid,31.6,2.8,0.0,540
M,2020-08-01,667,madrid,28.1,1.9,0.0,540
M,2020-08-02,572,madrid,26.9,1.7,0.0,540
M,2020-08-03,929,madrid,26.8,1.1,0.0,540
M,2020-08-04,1108,madrid,26.2,1.4,0.0,540
M,2020-08-05,1066,madrid,27.1,0.6,0.0,540
M,2020-08-06,1060,madrid,31.2,1.9,0.0,540
M,2020-08-07,1344,madrid,31.7,1.9,0.0,540
M,2020-08-08,1052,madrid,30.3,2.2,0.0,540
M,2020-08-09,984,madrid,30.1,1.7,0.0,540
M,2020-08-10,1516,madrid,28.1,2.8,1.0,540
M,2020-08-11,1997,madrid,21.6,4.2,21.2,540
M,2020-08-12,1738,madrid,22.0,1.1,0.0,540
M,2020-08-13,1666,madrid,22.8,1.9,0.0,540
M,2020-08-14,2209,madrid,24.8,1.1,0.0,540
M,2020-08-15,1316,madrid,22.5,1.7,0.0,540
M,2020-08-16,1086,madrid,20.2,1.7,0.0,540
M,2020-08-17,1639,madrid,22.0,1.7,0.0,540
M,2020-08-18,2818,madrid,23.9,1.4,0.0,540
M,2020-08-19,2858,madrid,25.4,1.7,0.0,540
M,2020-08-20,2595,madrid,25.9,2.5,0.0,540
M,2020-08-21,3770,madrid,25.0,2.5,0.0,540
M,2020-08-22,1669,madrid,25.4,1.4,0.0,540
M,2020-08-23,1236,madrid,24.4,1.4,0.0,540
M,2020-08-24,1923,madrid,26.0,1.1,0.0,540
M,2020-08-25,3823,madrid,28.4,1.7,0.0,540
M,2020-08-26,3033,madrid,28.0,1.1,0.0,540
M,2020-08-27,3109,madrid,26.4,0.8,0.0,540
M,2020-08-28,4273,madrid,25.3,1.9,0.0,540
M,2020-08-29,1875,madrid,19.6,3.6,0.0,540
M,2020-08-30,1760,madrid,16.8,0.3,0.0,540
M,2020-08-31,2314,madrid,17.7,0.8,0.0,540
M,2020-09-01,4370,madrid,20.2,0.8,0.0,540
M,2020-09-02,3810,madrid,20.4,1.1,0.0,540
M,2020-09-03,3729,madrid,22.4,0.6,0.0,540
M,2020-09-04,4540,madrid,24.1,1.4,0.0,540
M,2020-09-05,2747,madrid,24.8,1.7,0.0,540
M,2020-09-06,2468,madrid,25.0,1.1,0.0,540
M,2020-09-07,3199,madrid,22.1,2.8,0.0,540
M,2020-09-08,4707,madrid,19.4,1.9,0.0,540
M,2020-09-09,4803,madrid,21.7,1.4,0.0,540
M,2020-09-10,4218,madrid,22.0,0.6,0.0,540
M,2020-09-11,5178,madrid,22.9,0.3,0.0,540
M,2020-09-12,3315,madrid,23.5,0.6,0.0,540
M,2020-09-13,2612,madrid,25.7,1.7,0.0,540
M,2020-09-15,4990,madrid,24.0,1.1,0.0,540
M,2020-09-16,4380,madrid,24.4,0.8,1.8,540
M,2020-09-17,4334,madrid,23.6,1.7,2.9,540
M,2020-09-18,6552,madrid,19.4,2.5,16.3,540
M,2020-09-19,2559,madrid,19.1,1.9,0.1,540
M,2020-09-20,2136,madrid,19.4,1.7,0.0,540
M,2020-09-21,3227,madrid,18.6,1.4,0.0,540
M,2020-09-22,5379,madrid,17.9,2.2,0.2,540
M,2020-09-23,4628,madrid,20.4,1.7,0.2,540
M,2020-09-24,4271,madrid,18.6,2.2,0.8,540
M,2020-09-25,4839,madrid,15.8,3.9,0.0,540
M,2020-09-26,2169,madrid,14.1,1.1,0.0,540
M,2020-09-27,1775,madrid,17.4,1.1,0.0,540
M,2020-09-28,2870,madrid,14.5,0.3,0.0,540
M,2020-09-29,3871,madrid,17.8,0.3,0.0,540
M,2020-09-30,2984,madrid,18.4,0.8,0.0,540
M,2020-10-01,2758,madrid,16.8,1.9,0.0,540
M,2020-10-02,3066,madrid,13.1,5.0,13.6,540
M,2020-10-03,1875,madrid,12.1,1.7,0.0,540
M,2020-10-04,1563,madrid,12.2,1.4,0.0,540
M,2020-10-05,2608,madrid,14.0,0.6,0.0,540
