provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
MA,2020-07-12,5,malaga,27.0,3.3,0.0,408
MA,2020-07-13,10,malaga,27.7,1.7,0.0,408
MA,2020-07-14,18,malaga,27.4,4.7,0.0,408
MA,2020-07-15,16,malaga,25.8,3.6,0.0,408
MA,2020-07-16,21,malaga,27.2,2.8,0.0,408
MA,2020-07-17,16,malaga,28.2,3.9,0.0,408
MA,2020-07-18,12,malaga,27.0,2.5,0.0,408
MA,2020-07-19,15,malaga,28.2,1.4,0.0,408
MA,2020-07-20,21,malaga,28.6,1.7,0.0,408
MA,2020-07-21,20,malaga,26.8,3.9,0.0,408
MA,2020-07-22,19,malaga,26.3,0.8,0.0,408
MA,2020-07-23,30,malaga,28.2,0.8,0.0,408
MA,2020-07-24,29,malaga,29.6,1.4,0.0,408
MA,2020-07-25,28,malaga,28.4,1.9,0.0,408
MA,2020-07-26,23,malaga,28.6,1.1,0.0,408
MA,2020-07-27,46,malaga,31.0,3.6,0.0,408
MA,2020-07-28,36,malaga,28.7,1.4,0.0,408
MA,2020-07-29,50,malaga,27.7,2.5,0.0,408
MA,2020-07-30,31,malaga,29.2,3.6,0.0,408
MA,2020-07-31,64,malaga,30.1,1.9,0.0,408
MA,2020-08-01,66,malaga,32.4,1.7,0.0,408
MA,2020-08-02,55,malaga,30.2,1.7,0.0,408
MA,2020-08-03,84,malaga,26.0,1.4,0.0,408
MA,2020-08-04,88,malaga,26.4,2.5,0.0,408
MA,2020-08-05,113,malaga,28.0,3.1,0.0,408
MA,2020-08-06,123,malaga,28.4,4.2,0.0,408
MA,2020-08-07,151,malaga,28.1,1.7,0.0,408
MA,2020-08-08,127,malaga,30.4,2.5,0.0,408
MA,2020-08-09,102,malaga,30.0,2.8,0.0,408
MA,2020-08-10,162,malaga,28.7,1.7,1.0,408
MA,2020-08-11,182,malaga,26.2,3.6,0.0,408
MA,2020-08-12,224,malaga,24.0,1.7,0.0,408
MA,2020-08-13,215,malaga,24.2,0.8,0.0,408
MA,2020-08-15,190,malaga,24.0,1.9,0.0,408
MA,2020-08-16,225,malaga,22.4,1.9,0.0,408
MA,2020-08-17,261,malaga,23.8,1.7,0.0,408
MA,2020-08-18,271,malaga,26.0,0.8,0.0,408
MA,2020-08-19,213,malaga,26.6,2.5,0.0,408
MA,2020-08-20,264,malaga,26.8,0.6,0.0,408
MA,2020-08-21,305,malaga,25.8,1.1,0.0,408
MA,2020-08-22,244,malaga,26.8,0.8,0.0,408
MA,2020-08-23,261,malaga,26.2,2.5,0.0,408
MA,2020-08-24,285,malaga,26.6,3.6,0.0,408
MA,2020-08-25,271,malaga,27.8,3.1,0.0,408
MA,2020-08-26,311,malaga,28.2,1.1,0.0,408
MA,2020-08-27,248,malaga,29.1,0.6,0.0,408
MA,2020-08-28,363,malaga,26.4,2.2,0.0,408
MA,2020-08-29,233,malaga,21.4,2.5,0.0,408
MA,2020-08-30,267,malaga,21.0,1.7,0.0,408
MA,2020-08-31,325,malaga,23.2,3.1,0.0,408
MA,2020-09-01,312,malaga,22.9,0.8,0.0,408
MA,2020-09-02,265,malaga,21.4,2.5,0.0,408
MA,2020-09-03,255,malaga,23.8,3.3,0.0,408
MA,2020-09-04,285,malaga,23.8,3.3,0.0,408
MA,2020-09-05,240,malaga,24.4,3.6,0.0,408
MA,2020-09-06,259,malaga,24.4,3.9,0.0,408
MA,2020-09-07,234,malaga,26.0,0.8,0.0,408
MA,2020-09-08,249,malaga,23.0,5.0,0.0,408
MA,2020-09-09,220,malaga,23.4,2.2,0.0,408
MA,2020-09-10,244,malaga,25.0,0.8,0.0,408
MA,2020-09-11,271,malaga,24.6,1.4,0.0,408
MA,2020-09-12,199,malaga,26.2,3.6,0.0,408
MA,2020-09-13,168,malaga,25.2,3.9,0.0,408
MA,2020-09-14,220,malaga,24.4,2.2,0.0,408
MA,2020-09-15,192,malaga,23.2,1.7,0.0,408
MA,2020-09-16,203,malaga,22.6,2.5,0.0,408
MA,2020-09-17,247,malaga,24.5,4.7,0.2,408
MA,2020-09-18,184,malaga,21.0,4.4,0.6,408
MA,2020-09-19,198,malaga,18.8,1.7,0.1,408
MA,2020-09-20,164,malaga,19.2,1.4,0.1,408
MA,2020-09-21,200,malaga,21.5,0.8,0.0,408
MA,2020-09-22,202,malaga,21.6,0.6,0.0,408
MA,2020-09-23,252,malaga,21.4,1.9,0.0,408
MA,2020-09-24,158,malaga,23.5,1.7,0.0,408
MA,2020-09-25,156,malaga,20.3,2.5,0.0,408
MA,2020-09-26,171,malaga,17.2,0.8,0.0,408
MA,2020-09-27,115,malaga,19.6,0.6,0.0,408
MA,2020-09-28,138,malaga,19.4,1.4,0.0,408
MA,2020-09-29,156,malaga,22.6,3.3,0.0,408
MA,2020-09-30,182,malaga,20.8,0.6,0.0,408
MA,2020-10-01,196,malaga,19.5,1.7,0.0,408
MA,2020-10-02,151,malaga,15.9,2.8,3.4,408
MA,2020-10-03,145,malaga,12.6,1.4,0.0,408
MA,2020-10-04,157,malaga,14.3,1.4,0.0,408
MA,2020-10-05,176,malaga,15.6,1.1,0.0,408
MA,2020-10-06,199,malaga,16.6,0.0,0.0,408
MA,2020-10-07,215,malaga,20.0,1.4,0.0,408
MA,2020-10-08,231,malaga,23.0,1.9,0.0,408
MA,2020-10-17,259,malaga,13.4,0.6,0.0,408
MA,2020-10-18,198,malaga,13.5,1.9,0.0,408
MA,2020-10-19,294,malaga,19.3,4.2,0.2,408
MA,2020-10-20,330,malaga,17.8,2.5,12.2,408
