provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
ML,2020-07-11,0,melilla,25.6,4.2,0.0,52
ML,2020-07-12,2,melilla,25.4,3.9,0.2,52
ML,2020-07-13,0,melilla,25.6,2.5,0.0,52
ML,2020-07-14,0,melilla,25.0,3.6,0.0,52
ML,2020-07-15,0,melilla,25.0,5.0,0.0,52
ML,2020-07-16,0,melilla,24.8,4.7,0.0,52
ML,2020-07-17,0,melilla,25.0,3.9,0.0,52
ML,2020-07-18,0,melilla,25.2,3.3,0.0,52
ML,2020-07-19,0,melilla,25.0,2.8,0.0,52
ML,2020-07-20,0,melilla,25.4,3.6,0.0,52
ML,2020-07-21,0,melilla,25.3,4.7,1.2,52
ML,2020-07-22,0,melilla,25.6,3.1,0.0,52
ML,2020-07-23,0,melilla,25.5,2.8,0.0,52
ML,2020-07-24,0,melilla,26.8,1.9,0.0,52
ML,2020-07-25,0,melilla,25.8,2.5,0.0,52
ML,2020-07-26,4,melilla,26.1,2.8,0.0,52
ML,2020-07-27,1,melilla,28.2,3.3,0.0,52
ML,2020-07-28,1,melilla,27.2,2.8,0.0,52
ML,2020-07-29,1,melilla,26.7,2.2,0.0,52
ML,2020-07-30,4,melilla,26.4,3.1,0.0,52
ML,2020-07-31,0,melilla,28.1,1.9,0.0,52
ML,2020-08-01,8,melilla,32.3,2.8,0.0,52
ML,2020-08-02,4,melilla,35.4,4.7,0.0,52
ML,2020-08-03,4,melilla,29.8,4.7,0.0,52
ML,2020-08-04,6,melilla,26.3,3.1,0.0,52
ML,2020-08-05,1,melilla,27.4,3.9,0.0,52
ML,2020-08-06,3,melilla,27.6,5.3,0.0,52
ML,2020-08-07,4,melilla,26.6,4.2,0.0,52
ML,2020-08-08,3,melilla,26.6,2.8,0.0,52
ML,2020-08-09,5,melilla,26.6,2.8,0.0,52
ML,2020-08-10,14,melilla,27.6,3.6,0.4,52
ML,2020-08-11,9,melilla,27.8,2.8,0.0,52
ML,2020-08-12,10,melilla,25.3,2.5,0.0,52
ML,2020-08-13,1,melilla,25.4,2.8,0.0,52
ML,2020-08-14,6,melilla,26.8,1.9,0.0,52
ML,2020-08-15,11,melilla,27.4,4.4,0.0,52
ML,2020-08-16,4,melilla,26.7,4.7,0.0,52
ML,2020-08-17,10,melilla,27.8,3.9,0.0,52
ML,2020-08-18,8,melilla,28.6,1.9,0.0,52
ML,2020-08-19,7,melilla,25.7,1.7,0.0,52
ML,2020-08-20,9,melilla,25.4,2.2,0.0,52
ML,2020-08-21,15,melilla,28.0,2.2,0.0,52
ML,2020-08-22,7,melilla,31.2,3.3,0.0,52
ML,2020-08-23,16,melilla,27.2,2.5,0.0,52
ML,2020-08-24,18,melilla,26.7,2.8,0.0,52
ML,2020-08-25,15,melilla,27.1,3.3,0.0,52
ML,2020-08-26,10,melilla,26.8,2.8,0.0,52
ML,2020-08-27,5,melilla,26.3,1.9,0.0,52
ML,2020-08-28,16,melilla,29.2,3.9,0.0,52
ML,2020-08-29,20,melilla,26.0,6.4,0.0,52
ML,2020-08-30,11,melilla,24.4,3.6,0.0,52
ML,2020-08-31,15,melilla,25.8,5.8,0.0,52
ML,2020-09-01,35,melilla,24.8,3.3,0.0,52
ML,2020-09-02,28,melilla,24.0,3.1,0.0,52
ML,2020-09-03,20,melilla,25.6,6.1,0.0,52
ML,2020-09-04,22,melilla,25.4,5.0,0.0,52
ML,2020-09-05,14,melilla,25.2,3.9,0.0,52
ML,2020-09-06,19,melilla,24.5,3.3,0.0,52
ML,2020-09-07,16,melilla,23.6,2.5,0.0,52
ML,2020-09-08,25,melilla,24.9,4.7,0.0,52
ML,2020-09-09,42,melilla,24.0,3.3,0.0,52
ML,2020-09-10,38,melilla,23.4,3.1,0.0,52
ML,2020-09-11,26,melilla,23.7,2.5,0.0,52
ML,2020-09-12,27,melilla,24.4,2.8,0.0,52
ML,2020-09-13,17,melilla,25.1,4.4,0.0,52
ML,2020-09-14,21,melilla,24.6,2.8,0.0,52
ML,2020-09-15,11,melilla,24.4,2.2,0.0,52
ML,2020-09-16,9,melilla,24.2,2.8,0.0,52
ML,2020-09-17,12,melilla,25.3,3.3,3.2,52
ML,2020-09-18,10,melilla,24.5,3.1,0.4,52
ML,2020-09-19,26,melilla,23.4,2.5,0.0,52
ML,2020-09-20,22,melilla,24.0,2.2,0.0,52
ML,2020-09-21,33,melilla,24.2,1.9,0.0,52
ML,2020-09-22,44,melilla,25.3,1.9,0.0,52
