provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
MU,2020-07-11,16,murcia,26.8,2.8,0.0,26
MU,2020-07-12,13,murcia,28.6,5.0,0.0,26
MU,2020-07-13,13,murcia,28.4,3.6,0.0,26
MU,2020-07-14,21,murcia,26.4,2.5,0.0,26
MU,2020-07-15,31,murcia,26.4,5.3,0.0,26
MU,2020-07-16,26,murcia,26.1,3.6,0.0,26
MU,2020-07-17,31,murcia,25.2,2.5,0.0,26
MU,2020-07-18,21,murcia,26.2,2.8,0.0,26
MU,2020-07-19,25,murcia,26.0,1.9,0.0,26
MU,2020-07-20,38,murcia,26.8,3.6,0.0,26
MU,2020-07-21,50,murcia,27.5,3.9,0.0,26
MU,2020-07-22,61,murcia,28.0,3.9,0.0,26
MU,2020-07-23,49,murcia,26.6,2.2,0.0,26
MU,2020-07-24,71,murcia,27.1,1.9,0.0,26
MU,2020-07-25,84,murcia,27.2,2.8,0.0,26
MU,2020-07-26,48,murcia,28.3,3.9,0.0,26
MU,2020-07-27,60,murcia,30.1,2.8,0.0,26
MU,2020-07-28,71,murcia,28.6,2.2,0.0,26
MU,2020-07-29,89,murcia,28.6,4.2,0.0,26
MU,2020-07-30,63,murcia,29.0,3.9,0.0,26
MU,2020-07-31,56,murcia,28.0,2.2,0.0,26
MU,2020-08-01,83,murcia,28.9,2.2,0.0,26
MU,2020-08-02,61,murcia,29.4,2.2,0.0,26
MU,2020-08-03,74,murcia,29.0,2.5,0.0,26
MU,2020-08-04,96,murcia,28.1,2.8,0.0,26
MU,2020-08-05,66,murcia,27.4,3.1,0.0,26
MU,2020-08-06,61,murcia,28.0,5.0,0.0,26
MU,2020-08-07,110,murcia,28.2,2.5,0.0,26
MU,2020-08-08,86,murcia,28.0,1.9,0.0,26
MU,2020-08-09,97,murcia,28.5,2.2,0.0,26
MU,2020-08-10,129,murcia,29.0,3.1,0.0,26
MU,2020-08-11,125,murcia,29.6,4.4,0.6,26
MU,2020-08-12,140,murcia,27.8,1.9,0.0,26
MU,2020-08-13,189,murcia,27.7,1.9,0.0,26
MU,2020-08-14,178,murcia,26.6,2.8,0.0,26
MU,2020-08-15,181,murcia,25.8,2.5,0.0,26
MU,2020-08-16,135,murcia,27.2,2.2,0.0,26
MU,2020-08-17,222,murcia,27.2,1.7,0.0,26
MU,2020-08-18,190,murcia,27.0,1.4,0.0,26
MU,2020-08-19,206,murcia,26.5,1.9,0.0,26
MU,2020-08-20,239,murcia,27.6,1.4,0.0,26
MU,2020-08-21,288,murcia,28.3,1.7,0.0,26
MU,2020-08-22,272,murcia,28.0,3.3,0.0,26
MU,2020-08-23,238,murcia,28.6,2.5,0.0,26
MU,2020-08-24,269,murcia,28.4,3.6,0.0,26
MU,2020-08-25,308,murcia,26.9,1.7,0.0,26
MU,2020-08-26,323,murcia,27.0,1.4,0.0,26
MU,2020-08-27,337,murcia,27.2,1.9,0.0,26
MU,2020-08-28,350,murcia,27.2,2.5,0.0,26
MU,2020-08-29,333,murcia,27.4,2.8,0.0,26
MU,2020-08-30,314,murcia,24.1,2.8,0.0,26
MU,2020-08-31,349,murcia,24.5,3.1,0.0,26
MU,2020-09-01,423,murcia,23.8,1.7,0.0,26
MU,2020-09-02,429,murcia,25.6,2.2,0.0,26
MU,2020-09-03,384,murcia,25.4,3.3,0.0,26
MU,2020-09-04,385,murcia,26.0,4.2,0.0,26
MU,2020-09-05,398,murcia,25.7,2.2,0.0,26
MU,2020-09-06,277,murcia,25.0,2.5,0.0,26
MU,2020-09-07,377,murcia,24.8,1.9,0.0,26
MU,2020-09-08,406,murcia,24.6,4.4,0.0,26
MU,2020-09-09,393,murcia,23.2,1.9,0.0,26
MU,2020-09-10,424,murcia,24.2,1.9,0.0,26
MU,2020-09-11,462,murcia,24.4,1.1,0.0,26
MU,2020-09-12,441,murcia,26.3,2.8,0.0,26
MU,2020-09-13,377,murcia,26.2,3.1,0.0,26
MU,2020-09-14,561,murcia,25.6,3.3,0.0,26
MU,2020-09-15,518,murcia,26.8,1.9,0.0,26
MU,2020-09-16,465,murcia,25.0,1.9,0.0,26
MU,2020-09-17,444,murcia,26.4,2.2,0.7,26
MU,2020-09-18,492,murcia,23.5,2.2,1.6,26
MU,2020-09-19,449,murcia,23.6,2.2,0.0,26
MU,2020-09-20,320,murcia,24.7,1.9,0.0,26
MU,2020-09-21,468,murcia,24.4,1.1,0.0,26
MU,2020-09-22,480,murcia,23.8,1.9,0.0,26
MU,2020-09-23,422,murcia,24.2,1.7,0.0,26
MU,2020-09-24,580,murcia,27.0,2.8,0.0,26
MU,2020-09-25,433,murcia,28.0,3.3,0.0,26
MU,2020-09-26,390,murcia,21.8,1.9,0.0,26
MU,2020-09-27,352,murcia,22.8,2.5,0.0,26
MU,2020-09-28,394,murcia,21.9,1.9,0.0,26
MU,2020-09-29,380,murcia,22.0,3.1,0.0,26
MU,2020-09-30,441,murcia,21.0,1.4,0.0,26
MU,2020-10-01,393,murcia,22.6,1.1,0.0,26
MU,2020-10-02,414,murcia,24.6,6.1,0.0,26
MU,2020-10-03,394,murcia,19.9,2.8,0.0,26
MU,2020-10-04,366,murcia,18.0,2.2,0.0,26
MU,2020-10-05,453,murcia,21.1,1.9,0.0,26
MU,2020-10-06,458,murcia,20.4,1.4,0.0,26
MU,2020-10-07,491,murcia,22.2,1.7,0.0,26
MU,2020-10-08,418,murcia,23.0,2.8,0.0,26
MU,2020-10-09,495,murcia,20.8,1.1,0.0,26
MU,2020-10-10,408,murcia,21.7,1.7,0.0,26
MU,2020-10-11,409,murcia,19.9,1.4,0.0,26
MU,2020-10-12,508,murcia,17.6,3.1,0.0,26
MU,2020-10-13,537,murcia,19.2,1.1,0.0,26
MU,2020-10-14,616,murcia,19.8,2.5,0.0,26
MU,2020-10-15,564,murcia,17.9,1.4,0.0,26
MU,2020-10-16,646,murcia,18.2,1.9,0.0,26
MU,2020-10-17,661,murcia,18.4,1.4,0.0,26
MU,2020-10-18,565,murcia,17.6,1.4,0.0,26
MU,2020-10-19,757,murcia,18.2,2.8,0.0,26
MU,2020-10-20,739,murcia,19.0,1.1,0.0,26
MU,2020-10-21,806,murcia,21.6,2.8,0.0,26
MU,2020-10-22,794,murcia,20.1,2.2,0.4,26
MU,2020-10-23,901,murcia,19.6,2.2,0.0,26
MU,2020-10-24,778,murcia,18.6,1.4,0.0,26
MU,2020-10-25,633,murcia,18.3,0.8,0.0,26
MU,2020-10-26,801,murcia,18.9,5.8,0.0,26
MU,2020-10-27,888,murcia,16.4,1.7,0.0,26
MU,2020-10-28,866,murcia,17.3,1.1,0.0,26
MU,2020-10-29,801,murcia,18.2,1.1,0.0,26
MU,2020-10-30,921,murcia,18.6,1.4,0.0,26
MU,2020-10-31,879,murcia,19.0,1.4,0.0,26
MU,2020-11-01,734,murcia,18.0,1.4,0.0,26
MU,2020-11-02,889,murcia,18.0,1.1,0.0,26
MU,2020-11-03,927,murcia,16.6,1.9,0.0,26
MU,2020-11-04,900,murcia,19.5,3.3,1.2,26
MU,2020-11-05,846,murcia,20.4,3.9,0.2,26
MU,2020-11-06,832,murcia,22.4,3.1,0.2,26
MU,2020-11-07,766,murcia,18.4,2.5,0.0,26
MU,2020-11-08,517,murcia,18.0,1.9,0.0,26
MU,2020-11-09,681,murcia,17.4,1.7,0.0,26
MU,2020-11-10,656,murcia,17.6,1.7,0.0,26
MU,2020-11-11,661,murcia,17.4,1.7,0.0,26
MU,2020-11-12,561,murcia,17.2,1.9,0.0,26
MU,2020-11-13,491,murcia,19.0,1.4,0.0,26
MU,2020-11-14,451,murcia,18.9,1.1,0.2,26
MU,2020-11-15,310,murcia,19.1,1.9,0.0,26
MU,2020-11-16,385,murcia,20.0,0.8,0.0,26
MU,2020-11-17,422,murcia,19.2,1.1,0.0,26
MU,2020-11-18,361,murcia,18.6,1.4,0.0,26
MU,2020-11-19,266,murcia,18.2,1.4,0.0,26
MU,2020-11-20,247,murcia,17.0,2.2,0.0,26
MU,2020-11-21,264,murcia,16.7,2.5,0.0,26
MU,2020-11-22,143,murcia,14.9,1.7,0.0,26
MU,2020-11-23,226,murcia,14.4,1.7,0.0,26
MU,2020-11-24,247,murcia,14.6,1.4,0.0,26
MU,2020-11-25,230,murcia,15.2,1.7,0.0,26
MU,2020-11-26,243,murcia,18.0,3.6,0.0,26
MU,2020-11-27,208,murcia,15.0,0.8,2.4,26
MU,2020-11-28,190,murcia,15.5,1.9,0.0,26
MU,2020-11-29,92,murcia,14.8,1.7,0.0,26
MU,2020-11-30,164,murcia,16.6,2.2,0.0,26
