provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
NC,2020-07-11,1,navarra,20.5,3.1,0.0,572
NC,2020-07-12,1,navarra,20.4,1.4,2.6,572
NC,2020-07-13,7,navarra,18.8,2.5,0.0,572
NC,2020-07-14,8,navarra,16.8,3.1,0.0,572
NC,2020-07-15,2,navarra,15.9,2.5,0.0,572
NC,2020-07-16,1,navarra,17.0,3.9,0.0,572
NC,2020-07-17,7,navarra,17.5,3.3,0.0,572
NC,2020-07-18,7,navarra,20.6,1.4,0.0,572
NC,2020-07-19,4,navarra,23.6,1.9,0.0,572
NC,2020-07-20,3,navarra,23.9,1.9,0.0,572
NC,2020-07-21,3,navarra,24.4,1.4,0.8,572
NC,2020-07-22,0,navarra,25.0,1.1,0.0,572
NC,2020-07-23,5,navarra,21.5,2.8,0.0,572
NC,2020-07-24,5,navarra,19.2,3.1,0.0,572
NC,2020-07-25,2,navarra,21.6,1.7,0.0,572
NC,2020-07-26,11,navarra,21.6,1.1,0.0,572
NC,2020-07-27,4,navarra,26.6,1.4,0.0,572
NC,2020-07-28,7,navarra,21.8,2.5,0.0,572
NC,2020-07-29,11,navarra,24.9,1.9,0.0,572
NC,2020-07-30,10,navarra,27.6,1.4,1.5,572
NC,2020-07-31,40,navarra,27.8,1.7,0.0,572
NC,2020-08-01,11,navarra,21.6,3.6,0.0,572
NC,2020-08-02,14,navarra,18.9,3.3,0.0,572
NC,2020-08-03,25,navarra,17.6,2.8,0.0,572
NC,2020-08-04,30,navarra,18.0,2.5,0.0,572
NC,2020-08-05,30,navarra,21.6,1.1,0.0,572
NC,2020-08-16,56,navarra,19.4,1.1,0.0,572
NC,2020-08-17,38,navarra,19.4,1.9,0.1,572
NC,2020-08-18,80,navarra,19.9,1.1,0.0,572
NC,2020-08-19,58,navarra,25.4,2.2,0.0,572
NC,2020-08-20,77,navarra,25.7,2.5,0.0,572
NC,2020-08-21,57,navarra,23.6,0.8,5.4,572
NC,2020-08-22,57,navarra,18.8,2.5,0.0,572
NC,2020-08-23,56,navarra,18.1,2.2,0.0,572
NC,2020-08-24,62,navarra,19.8,1.9,0.0,572
NC,2020-08-25,72,navarra,22.2,1.7,0.0,572
NC,2020-08-26,78,navarra,22.2,1.9,0.0,572
NC,2020-08-27,88,navarra,22.8,1.7,0.0,572
NC,2020-08-28,95,navarra,16.3,3.1,0.0,572
NC,2020-08-29,53,navarra,15.0,2.5,12.8,572
NC,2020-08-30,49,navarra,14.0,2.2,0.0,572
NC,2020-08-31,43,navarra,15.0,1.4,0.0,572
NC,2020-09-01,56,navarra,17.0,2.2,0.0,572
NC,2020-09-02,48,navarra,16.4,1.9,0.0,572
NC,2020-09-03,69,navarra,19.0,0.8,0.0,572
NC,2020-09-04,90,navarra,22.5,1.7,0.0,572
NC,2020-09-05,65,navarra,18.2,2.5,0.0,572
NC,2020-09-06,38,navarra,17.2,2.8,0.0,572
NC,2020-09-07,48,navarra,14.6,3.1,0.0,572
NC,2020-09-08,77,navarra,17.4,1.9,0.0,572
NC,2020-09-09,62,navarra,18.6,1.1,0.0,572
NC,2020-09-10,81,navarra,19.1,2.2,0.0,572
NC,2020-09-11,49,navarra,20.0,2.2,0.0,572
NC,2020-09-12,49,navarra,21.5,1.9,0.0,572
NC,2020-09-13,39,navarra,22.4,1.7,0.0,572
NC,2020-09-14,52,navarra,26.8,2.8,0.9,572
NC,2020-09-15,55,navarra,24.2,1.9,0.0,572
NC,2020-09-16,52,navarra,23.1,1.7,0.0,572
NC,2020-09-17,55,navarra,24.6,1.7,3.6,572
NC,2020-09-18,48,navarra,21.6,4.2,0.0,572
NC,2020-09-19,22,navarra,17.3,2.8,10.0,572
NC,2020-09-20,44,navarra,17.8,0.8,0.0,572
NC,2020-09-21,61,navarra,17.0,1.7,0.0,572
NC,2020-09-22,45,navarra,17.9,0.8,0.0,572
NC,2020-09-23,47,navarra,18.4,1.4,5.4,572
NC,2020-09-24,43,navarra,16.6,1.7,6.7,572
NC,2020-09-25,50,navarra,9.9,3.1,21.1,572
NC,2020-09-26,32,navarra,11.2,1.9,10.4,572
NC,2020-09-27,46,navarra,9.0,2.8,0.0,572
NC,2020-09-28,47,navarra,11.9,2.5,0.0,572
NC,2020-09-29,44,navarra,13.8,1.1,0.0,572
NC,2020-09-30,62,navarra,15.9,0.6,0.0,572
NC,2020-10-01,86,navarra,14.4,1.1,13.4,572
NC,2020-10-02,50,navarra,11.4,2.8,11.0,572
NC,2020-10-03,45,navarra,9.4,1.7,12.4,572
NC,2020-10-04,71,navarra,11.0,1.4,3.8,572
NC,2020-10-05,80,navarra,12.8,0.8,0.0,572
NC,2020-10-06,83,navarra,14.2,1.7,0.0,572
NC,2020-10-07,102,navarra,14.4,1.7,0.0,572
NC,2020-10-08,86,navarra,15.8,1.1,0.0,572
NC,2020-10-09,86,navarra,15.8,1.4,0.0,572
NC,2020-10-10,86,navarra,12.5,1.4,0.0,572
NC,2020-10-11,69,navarra,9.8,1.9,2.3,572
NC,2020-10-12,88,navarra,10.7,1.1,3.6,572
NC,2020-10-13,94,navarra,10.8,1.1,10.4,572
NC,2020-10-14,164,navarra,8.2,2.2,11.5,572
NC,2020-10-15,117,navarra,9.0,2.2,1.9,572
NC,2020-10-16,153,navarra,8.0,1.4,0.0,572
NC,2020-10-17,138,navarra,9.0,0.6,0.0,572
NC,2020-10-18,115,navarra,11.4,1.1,0.0,572
NC,2020-10-19,129,navarra,14.0,5.6,0.5,572
NC,2020-10-20,150,navarra,16.0,5.3,6.4,572
NC,2020-10-21,123,navarra,17.9,3.3,0.0,572
NC,2020-10-22,124,navarra,17.7,3.6,0.0,572
NC,2020-10-23,138,navarra,12.4,1.9,0.0,572
NC,2020-10-24,99,navarra,12.1,1.4,0.1,572
NC,2020-10-25,107,navarra,11.4,2.8,13.7,572
NC,2020-10-26,162,navarra,8.0,1.1,1.6,572
NC,2020-10-27,132,navarra,9.0,1.1,0.1,572
NC,2020-10-28,154,navarra,12.4,0.8,0.0,572
NC,2020-10-29,115,navarra,12.8,0.6,0.0,572
NC,2020-10-30,127,navarra,12.8,0.8,0.0,572
NC,2020-10-31,108,navarra,13.4,2.5,0.0,572
NC,2020-11-01,122,navarra,16.1,1.1,0.0,572
NC,2020-11-02,138,navarra,16.2,1.9,0.2,572
NC,2020-11-03,136,navarra,10.0,1.9,0.4,572
NC,2020-11-04,120,navarra,7.4,0.8,0.1,572
NC,2020-11-05,110,navarra,10.1,1.4,0.2,572
NC,2020-11-06,105,navarra,15.8,3.6,6.6,572
NC,2020-11-07,81,navarra,14.8,3.1,23.5,572
NC,2020-11-08,80,navarra,12.8,2.8,0.0,572
NC,2020-11-09,136,navarra,11.0,1.7,0.5,572
NC,2020-11-10,96,navarra,11.3,1.4,0.0,572
NC,2020-11-11,109,navarra,10.4,1.1,0.0,572
NC,2020-11-12,71,navarra,10.6,0.8,0.0,572
NC,2020-11-13,83,navarra,9.6,0.8,0.0,572
NC,2020-11-14,80,navarra,9.0,0.6,0.0,572
NC,2020-11-15,66,navarra,13.0,1.7,3.9,572
NC,2020-11-16,75,navarra,8.9,1.4,0.0,572
NC,2020-11-17,71,navarra,10.0,1.1,0.0,572
NC,2020-11-18,64,navarra,11.5,0.8,0.0,572
NC,2020-11-19,33,navarra,10.8,1.9,0.0,572
NC,2020-11-20,47,navarra,6.9,2.2,0.0,572
NC,2020-11-21,43,navarra,7.2,1.1,0.0,572
NC,2020-11-22,31,navarra,6.4,0.8,0.0,572
NC,2020-11-23,39,navarra,6.3,1.1,0.0,572
NC,2020-11-24,31,navarra,6.4,1.1,0.0,572
NC,2020-11-25,42,navarra,8.6,2.5,0.0,572
NC,2020-11-26,24,navarra,12.3,2.5,0.0,572
NC,2020-11-27,29,navarra,9.6,1.7,0.8,572
NC,2020-11-28,22,navarra,8.8,0.6,0.0,572
NC,2020-11-29,29,navarra,10.3,1.7,0.0,572
NC,2020-11-30,31,navarra,7.8,0.8,0.0,572
