provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
OR,2020-07-11,2,ourense,21.4,1.9,0.0,840
OR,2020-07-12,0,ourense,23.3,1.7,0.0,840
OR,2020-07-13,0,ourense,21.6,2.2,0.0,840
OR,2020-07-14,0,ourense,18.7,3.1,0.0,840
OR,2020-07-15,1,ourense,19.6,1.9,0.0,840
OR,2020-07-16,0,ourense,21.4,1.9,0.0,840
OR,2020-07-17,0,ourense,23.4,1.4,0.0,840
OR,2020-07-18,0,ourense,23.4,0.8,0.0,840
OR,2020-07-19,1,ourense,23.6,2.2,0.0,840
OR,2020-07-20,0,ourense,22.2,2.2,0.0,840
OR,2020-07-21,1,ourense,21.8,1.7,0.0,840
OR,2020-07-22,2,ourense,23.7,1.9,0.0,840
OR,2020-07-23,0,ourense,22.8,1.9,0.0,840
OR,2020-07-24,1,ourense,19.9,2.8,0.0,840
OR,2020-07-25,1,ourense,20.0,2.2,0.0,840
OR,2020-07-28,0,ourense,21.5,2.8,0.0,840
OR,2020-07-29,3,ourense,22.4,1.9,0.0,840
OR,2020-07-30,1,ourense,25.0,1.7,0.0,840
OR,2020-07-31,5,ourense,22.8,2.2,0.0,840
OR,2020-08-01,4,ourense,20.2,2.5,0.0,840
OR,2020-08-02,6,ourense,18.8,2.5,0.0,840
OR,2020-08-03,2,ourense,18.1,2.5,0.0,840
OR,2020-08-04,4,ourense,21.0,1.7,0.0,840
OR,2020-08-05,3,ourense,22.4,2.2,0.0,840
OR,2020-08-06,2,ourense,24.5,2.5,0.0,840
OR,2020-08-07,5,ourense,24.4,2.5,0.0,840
OR,2020-08-08,5,ourense,24.0,2.2,0.0,840
OR,2020-08-09,12,ourense,22.8,2.5,0.0,840
OR,2020-08-10,11,ourense,20.3,2.8,0.0,840
OR,2020-08-11,11,ourense,21.6,2.5,1.8,840
OR,2020-08-12,9,ourense,14.2,2.2,4.2,840
OR,2020-08-13,12,ourense,16.8,1.7,0.0,840
OR,2020-08-14,27,ourense,16.6,2.8,0.0,840
OR,2020-08-15,21,ourense,15.8,2.5,0.0,840
OR,2020-08-16,22,ourense,17.0,1.9,2.8,840
OR,2020-08-17,22,ourense,15.8,1.9,6.0,840
OR,2020-08-18,18,ourense,18.8,1.1,2.4,840
OR,2020-08-19,10,ourense,19.4,2.8,1.6,840
OR,2020-08-20,17,ourense,18.8,2.8,0.2,840
OR,2020-08-21,16,ourense,15.8,2.2,0.0,840
OR,2020-08-22,13,ourense,16.0,2.2,0.0,840
OR,2020-08-23,26,ourense,18.3,2.2,0.0,840
OR,2020-08-24,26,ourense,19.4,1.7,0.0,840
OR,2020-08-25,37,ourense,19.8,2.2,0.0,840
OR,2020-08-26,22,ourense,20.7,2.2,0.0,840
OR,2020-08-27,30,ourense,21.6,2.5,0.0,840
OR,2020-08-28,32,ourense,15.1,3.1,2.2,840
OR,2020-08-29,29,ourense,14.1,2.5,0.6,840
OR,2020-08-30,16,ourense,13.8,1.4,0.0,840
OR,2020-08-31,18,ourense,15.2,1.4,0.0,840
OR,2020-09-01,26,ourense,17.7,2.5,0.0,840
OR,2020-09-02,33,ourense,17.5,1.4,0.0,840
OR,2020-09-03,25,ourense,19.9,1.4,0.0,840
OR,2020-09-04,29,ourense,21.8,2.2,0.0,840
OR,2020-09-05,22,ourense,19.7,2.8,0.0,840
OR,2020-09-06,27,ourense,18.7,2.2,0.0,840
OR,2020-09-07,17,ourense,17.1,1.4,0.0,840
OR,2020-09-08,30,ourense,18.1,1.7,0.0,840
OR,2020-09-09,29,ourense,18.9,1.7,0.0,840
OR,2020-09-10,31,ourense,20.0,1.7,0.0,840
OR,2020-09-11,26,ourense,20.7,1.4,0.0,840
OR,2020-09-12,24,ourense,21.4,1.7,0.0,840
OR,2020-09-13,39,ourense,22.6,1.7,0.0,840
OR,2020-09-14,23,ourense,21.2,2.5,0.0,840
OR,2020-09-15,43,ourense,18.1,1.7,0.0,840
OR,2020-09-16,29,ourense,18.0,1.7,0.8,840
OR,2020-09-17,39,ourense,20.0,3.3,7.4,840
OR,2020-09-18,29,ourense,16.2,1.9,3.4,840
OR,2020-09-19,87,ourense,15.6,1.4,6.2,840
OR,2020-09-20,57,ourense,15.6,1.9,8.8,840
OR,2020-09-21,45,ourense,15.6,2.2,0.0,840
OR,2020-09-22,54,ourense,15.2,1.4,2.8,840
OR,2020-09-23,43,ourense,14.8,1.9,1.0,840
OR,2020-09-24,65,ourense,12.5,3.1,4.4,840
OR,2020-09-25,60,ourense,10.6,3.3,0.4,840
OR,2020-09-26,56,ourense,10.2,2.8,6.8,840
OR,2020-09-27,52,ourense,11.8,2.5,0.2,840
OR,2020-09-28,69,ourense,10.4,1.7,0.0,840
OR,2020-09-29,45,ourense,15.1,1.7,0.0,840
OR,2020-09-30,70,ourense,14.8,1.9,0.4,840
OR,2020-10-01,90,ourense,13.0,3.3,28.6,840
OR,2020-10-02,83,ourense,9.0,4.2,22.2,840
OR,2020-10-03,99,ourense,8.9,3.1,2.8,840
OR,2020-10-04,83,ourense,10.4,3.1,7.8,840
OR,2020-10-05,105,ourense,11.6,2.8,0.2,840
OR,2020-10-06,197,ourense,15.7,3.9,0.4,840
OR,2020-10-07,77,ourense,15.4,1.1,0.0,840
OR,2020-10-08,146,ourense,15.0,1.9,0.2,840
OR,2020-10-09,125,ourense,14.0,2.2,0.0,840
OR,2020-10-10,88,ourense,12.3,1.7,0.0,840
OR,2020-10-11,90,ourense,9.4,1.7,0.0,840
OR,2020-10-12,84,ourense,8.8,1.9,2.6,840
OR,2020-10-13,67,ourense,10.3,1.9,1.6,840
OR,2020-10-14,76,ourense,8.6,1.9,0.6,840
OR,2020-10-15,91,ourense,7.8,1.1,0.0,840
OR,2020-10-16,94,ourense,7.6,1.7,0.0,840
OR,2020-10-17,69,ourense,9.9,0.8,0.0,840
OR,2020-10-18,75,ourense,12.5,2.2,0.0,840
OR,2020-10-19,69,ourense,14.9,3.9,5.6,840
OR,2020-10-20,73,ourense,11.8,2.8,19.8,840
OR,2020-10-21,94,ourense,11.7,1.7,1.8,840
OR,2020-10-22,81,ourense,11.2,2.2,4.0,840
OR,2020-10-23,64,ourense,9.6,2.2,0.4,840
OR,2020-10-24,142,ourense,11.0,3.1,22.0,840
OR,2020-10-25,89,ourense,7.6,3.9,13.4,840
OR,2020-10-26,82,ourense,6.6,2.5,0.2,840
OR,2020-10-27,66,ourense,9.2,1.1,2.6,840
OR,2020-10-28,62,ourense,9.7,1.7,0.0,840
OR,2020-10-29,105,ourense,8.4,1.1,0.0,840
OR,2020-10-30,50,ourense,10.5,1.7,0.2,840
OR,2020-10-31,44,ourense,14.0,1.7,0.0,840
OR,2020-11-01,56,ourense,14.3,1.4,0.4,840
OR,2020-11-02,41,ourense,13.0,1.9,3.8,840
OR,2020-11-03,51,ourense,7.1,1.9,0.0,840
OR,2020-11-05,38,ourense,9.0,3.6,0.8,840
OR,2020-11-06,59,ourense,12.4,2.5,12.8,840
OR,2020-11-07,49,ourense,12.2,2.2,0.8,840
OR,2020-11-08,31,ourense,12.6,2.2,0.2,840
OR,2020-11-09,49,ourense,10.0,1.7,0.8,840
OR,2020-11-10,33,ourense,8.6,1.4,0.0,840
OR,2020-11-11,35,ourense,8.0,1.4,0.0,840
OR,2020-11-12,38,ourense,11.0,1.7,0.0,840
OR,2020-11-13,27,ourense,10.9,1.4,0.0,840
OR,2020-11-14,48,ourense,11.4,2.2,0.2,840
OR,2020-11-15,32,ourense,12.3,3.6,9.4,840
OR,2020-11-16,40,ourense,8.6,1.4,0.0,840
OR,2020-11-17,25,ourense,10.0,1.4,0.0,840
OR,2020-11-18,45,ourense,13.2,1.7,0.0,840
OR,2020-11-19,40,ourense,11.8,2.2,0.0,840
OR,2020-11-20,22,ourense,9.0,1.1,0.0,840
OR,2020-11-21,19,ourense,9.2,1.7,0.0,840
OR,2020-11-22,17,ourense,8.6,2.2,0.0,840
OR,2020-11-23,33,ourense,7.5,1.4,0.0,840
OR,2020-11-24,24,ourense,8.6,1.4,7.0,840
OR,2020-11-25,9,ourense,6.8,2.5,20.2,840
OR,2020-11-26,20,ourense,7.2,1.7,0.2,840
OR,2020-11-27,12,ourense,8.0,1.4,0.2,840
OR,2020-11-28,12,ourense,7.4,1.9,1.8,840
OR,2020-11-29,17,ourense,8.4,1.9,1.2,840
OR,2020-11-30,20,ourense,7.8,1.7,0.0,840
