provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
P,2020-07-11,0,palencia,20.8,6.4,4.7,874
P,2020-07-12,1,palencia,22.4,3.6,6.5,874
P,2020-07-13,1,palencia,20.0,6.1,0.0,874
P,2020-07-14,3,palencia,19.3,6.4,0.0,874
P,2020-07-15,0,palencia,18.1,6.7,0.0,874
P,2020-07-16,2,palencia,19.4,5.3,0.0,874
P,2020-07-17,1,palencia,19.7,6.1,0.0,874
P,2020-07-18,1,palencia,21.0,2.5,0.0,874
P,2020-07-19,1,palencia,25.8,3.1,0.0,874
P,2020-07-20,0,palencia,24.3,3.6,0.0,874
P,2020-07-21,0,palencia,23.8,3.3,0.0,874
P,2020-07-22,2,palencia,24.4,1.9,0.0,874
P,2020-07-23,1,palencia,24.2,3.1,0.0,874
P,2020-07-24,2,palencia,21.1,4.4,0.0,874
P,2020-07-25,1,palencia,22.3,4.2,0.0,874
P,2020-07-26,0,palencia,22.6,2.5,0.0,874
P,2020-07-27,4,palencia,26.4,3.9,0.0,874
P,2020-07-28,3,palencia,22.4,6.9,0.0,874
P,2020-07-29,3,palencia,25.0,3.1,0.0,874
P,2020-10-11,58,palencia,9.2,3.9,0.0,874
P,2020-10-12,86,palencia,9.0,2.2,0.0,874
P,2020-10-13,117,palencia,11.4,5.0,0.0,874
P,2020-10-14,98,palencia,8.2,5.6,0.0,874
P,2020-10-15,108,palencia,6.3,3.3,0.0,874
P,2020-10-16,86,palencia,5.3,2.2,0.0,874
P,2020-10-17,97,palencia,9.2,2.2,0.0,874
P,2020-10-18,105,palencia,12.0,1.9,0.0,874
P,2020-10-19,149,palencia,14.4,6.4,19.0,874
P,2020-10-20,142,palencia,11.8,8.3,16.1,874
P,2020-10-21,63,palencia,12.4,6.4,2.0,874
P,2020-10-22,128,palencia,12.0,1.9,1.8,874
P,2020-10-23,105,palencia,9.4,5.3,0.0,874
P,2020-10-24,68,palencia,7.4,6.1,0.0,874
P,2020-10-25,155,palencia,7.4,7.8,2.2,874
P,2020-10-26,114,palencia,6.0,6.1,0.0,874
P,2020-10-27,120,palencia,7.2,6.4,1.2,874
P,2020-10-28,119,palencia,10.2,5.0,0.0,874
P,2020-10-29,104,palencia,9.6,1.9,0.0,874
P,2020-10-30,108,palencia,11.2,1.9,0.0,874
P,2020-10-31,102,palencia,10.6,1.9,0.0,874
P,2020-11-01,83,palencia,12.2,2.5,0.0,874
P,2020-11-02,105,palencia,13.1,3.3,0.0,874
P,2020-11-03,193,palencia,7.9,6.7,0.0,874
P,2020-11-04,86,palencia,5.4,8.6,0.0,874
P,2020-11-05,118,palencia,7.8,6.9,2.9,874
P,2020-11-06,74,palencia,11.9,5.8,8.1,874
P,2020-11-07,100,palencia,10.4,4.2,0.1,874
P,2020-11-08,64,palencia,10.8,4.4,0.6,874
P,2020-11-09,99,palencia,9.3,2.5,0.4,874
P,2020-11-11,52,palencia,6.2,1.9,0.0,874
P,2020-11-12,119,palencia,9.5,2.2,0.0,874
P,2020-11-13,77,palencia,8.9,2.2,0.0,874
P,2020-11-14,72,palencia,8.6,3.3,0.0,874
P,2020-11-15,81,palencia,11.8,8.3,0.0,874
P,2020-11-16,102,palencia,11.0,1.1,0.0,874
P,2020-11-17,99,palencia,10.2,1.4,0.0,874
P,2020-11-18,87,palencia,10.6,1.4,0.0,874
P,2020-11-19,76,palencia,10.6,4.2,0.0,874
P,2020-11-20,43,palencia,6.8,6.4,0.0,874
P,2020-11-21,41,palencia,8.1,3.1,0.0,874
P,2020-11-22,52,palencia,7.0,1.4,0.0,874
P,2020-11-23,66,palencia,6.4,1.7,0.0,874
P,2020-11-24,34,palencia,5.4,4.4,0.0,874
P,2020-11-25,41,palencia,6.3,2.2,0.0,874
P,2020-11-26,58,palencia,8.2,7.2,0.0,874
P,2020-11-27,83,palencia,8.2,4.4,0.0,874
P,2020-11-28,51,palencia,7.2,2.8,0.0,874
P,2020-11-29,26,palencia,8.0,1.9,0.0,874
P,2020-11-30,41,palencia,7.1,2.5,0.0,874
