provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
PO,2020-07-11,1,pontevedra,25.4,3.1,0.0,108
PO,2020-07-12,1,pontevedra,24.7,1.7,0.0,108
PO,2020-07-13,3,pontevedra,24.6,3.3,0.0,108
PO,2020-07-14,5,pontevedra,21.8,4.2,0.0,108
PO,2020-07-15,4,pontevedra,24.4,4.2,0.0,108
PO,2020-07-16,5,pontevedra,24.4,1.7,0.0,108
PO,2020-07-17,3,pontevedra,26.2,2.2,0.0,108
PO,2020-07-18,5,pontevedra,25.4,1.1,0.0,108
PO,2020-07-19,7,pontevedra,19.0,1.9,0.0,108
PO,2020-07-20,8,pontevedra,24.1,2.8,0.0,108
PO,2020-07-21,11,pontevedra,26.6,3.1,0.0,108
PO,2020-07-22,2,pontevedra,24.3,2.5,0.0,108
PO,2020-07-23,4,pontevedra,23.4,2.5,0.0,108
PO,2020-07-24,6,pontevedra,22.2,3.9,0.0,108
PO,2020-07-25,9,pontevedra,20.8,2.2,0.0,108
PO,2020-07-26,3,pontevedra,22.2,2.2,0.0,108
PO,2020-07-27,3,pontevedra,20.8,3.1,0.0,108
PO,2020-07-28,7,pontevedra,24.1,3.1,0.0,108
PO,2020-07-29,4,pontevedra,24.2,1.4,0.0,108
PO,2020-07-30,6,pontevedra,21.9,1.9,0.0,108
PO,2020-07-31,9,pontevedra,20.6,2.2,0.0,108
PO,2020-08-01,9,pontevedra,22.4,3.1,0.0,108
PO,2020-08-02,7,pontevedra,21.8,3.6,0.0,108
PO,2020-08-03,16,pontevedra,19.2,2.8,0.0,108
PO,2020-08-04,14,pontevedra,23.4,2.8,0.0,108
PO,2020-08-05,15,pontevedra,21.4,2.5,0.0,108
PO,2020-08-06,7,pontevedra,22.6,2.2,0.0,108
PO,2020-08-07,25,pontevedra,22.8,1.9,0.0,108
PO,2020-08-08,14,pontevedra,20.6,1.7,0.0,108
PO,2020-08-09,9,pontevedra,19.2,1.7,0.0,108
PO,2020-08-10,20,pontevedra,21.3,3.1,0.0,108
PO,2020-08-11,11,pontevedra,21.0,1.9,13.8,108
PO,2020-08-12,15,pontevedra,20.0,1.9,5.2,108
PO,2020-08-13,12,pontevedra,20.0,2.5,0.0,108
PO,2020-08-14,11,pontevedra,18.5,2.5,1.4,108
PO,2020-08-15,21,pontevedra,17.9,3.6,0.6,108
PO,2020-08-16,14,pontevedra,19.6,3.1,19.0,108
PO,2020-08-17,23,pontevedra,19.0,2.2,18.0,108
PO,2020-08-18,38,pontevedra,20.9,1.9,3.1,108
PO,2020-08-19,38,pontevedra,19.2,4.4,27.2,108
PO,2020-08-20,25,pontevedra,19.0,3.1,0.0,108
PO,2020-08-21,39,pontevedra,19.4,3.3,2.6,108
PO,2020-08-22,42,pontevedra,18.9,2.2,0.0,108
PO,2020-08-23,38,pontevedra,20.8,2.2,0.0,108
PO,2020-08-24,37,pontevedra,21.4,1.4,0.0,108
PO,2020-08-25,50,pontevedra,19.6,1.7,0.0,108
PO,2020-08-26,37,pontevedra,22.2,2.5,0.0,108
PO,2020-08-27,52,pontevedra,21.4,2.2,1.0,108
PO,2020-08-28,47,pontevedra,18.0,3.6,0.0,108
PO,2020-08-29,47,pontevedra,17.3,2.8,0.2,108
PO,2020-08-30,51,pontevedra,17.1,3.1,0.0,108
PO,2020-08-31,42,pontevedra,17.1,1.9,0.0,108
PO,2020-09-01,67,pontevedra,19.3,3.6,0.0,108
PO,2020-09-02,53,pontevedra,20.8,2.2,0.0,108
PO,2020-09-03,62,pontevedra,23.0,1.4,0.0,108
PO,2020-09-04,50,pontevedra,21.8,1.4,0.0,108
PO,2020-09-05,68,pontevedra,22.3,3.1,0.0,108
PO,2020-09-06,52,pontevedra,22.1,3.1,0.0,108
PO,2020-09-07,72,pontevedra,22.6,1.7,0.0,108
PO,2020-09-08,63,pontevedra,23.2,1.4,0.0,108
PO,2020-09-09,63,pontevedra,23.1,0.8,0.0,108
