provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
SA,2020-07-11,0,salamanca,25.2,1.9,0.0,775
SA,2020-07-12,2,salamanca,23.6,1.4,1.9,775
SA,2020-07-13,1,salamanca,24.0,1.4,0.0,775
SA,2020-07-14,1,salamanca,23.2,2.2,0.0,775
SA,2020-07-15,1,salamanca,22.4,2.5,0.0,775
SA,2020-07-16,0,salamanca,24.4,1.4,0.0,775
SA,2020-07-17,1,salamanca,24.4,1.7,0.0,775
SA,2020-07-18,2,salamanca,24.0,1.7,0.0,775
SA,2020-07-19,0,salamanca,25.9,2.2,0.0,775
SA,2020-07-20,5,salamanca,27.0,1.7,0.0,775
SA,2020-07-21,2,salamanca,23.8,1.7,0.6,775
SA,2020-07-22,2,salamanca,25.8,1.7,0.1,775
SA,2020-07-23,3,salamanca,27.2,1.4,0.0,775
SA,2020-07-24,5,salamanca,26.0,1.4,0.0,775
SA,2020-07-25,5,salamanca,26.1,2.2,0.0,775
SA,2020-07-26,2,salamanca,26.2,0.8,0.0,775
SA,2020-07-27,3,salamanca,27.9,1.7,0.0,775
SA,2020-07-28,7,salamanca,27.3,1.7,0.0,775
SA,2020-07-29,4,salamanca,27.6,1.4,0.0,775
SA,2020-07-30,7,salamanca,27.6,2.8,0.0,775
SA,2020-07-31,24,salamanca,27.2,2.2,0.0,775
SA,2020-08-01,17,salamanca,26.0,1.9,0.0,775
SA,2020-08-02,13,salamanca,23.4,1.4,0.0,775
SA,2020-08-03,28,salamanca,23.4,0.8,0.0,775
SA,2020-08-04,29,salamanca,23.5,1.7,0.0,775
SA,2020-08-05,18,salamanca,25.6,0.8,0.0,775
SA,2020-08-06,17,salamanca,28.0,1.9,0.0,775
SA,2020-08-07,37,salamanca,27.8,2.5,0.0,775
SA,2020-08-08,12,salamanca,27.3,2.2,0.0,775
SA,2020-08-09,31,salamanca,27.6,3.1,0.0,775
SA,2020-08-10,22,salamanca,25.8,2.2,0.0,775
SA,2020-08-11,44,salamanca,22.6,2.5,0.0,775
SA,2020-08-12,47,salamanca,21.6,1.7,0.2,775
SA,2020-08-13,33,salamanca,21.5,2.2,0.0,775
SA,2020-08-14,61,salamanca,22.4,2.2,0.0,775
SA,2020-08-15,52,salamanca,18.8,3.6,0.0,775
SA,2020-08-16,37,salamanca,18.8,2.8,0.0,775
SA,2020-08-17,28,salamanca,21.3,2.2,0.0,775
SA,2020-08-18,52,salamanca,23.1,2.5,0.0,775
SA,2020-08-19,81,salamanca,22.7,3.3,0.0,775
SA,2020-08-20,86,salamanca,23.2,3.3,0.1,775
SA,2020-08-21,46,salamanca,21.3,1.9,1.6,775
SA,2020-08-22,47,salamanca,20.7,1.1,0.0,775
SA,2020-08-23,35,salamanca,21.2,1.4,0.0,775
SA,2020-08-24,88,salamanca,23.2,1.4,0.0,775
SA,2020-08-25,101,salamanca,24.6,1.4,0.0,775
SA,2020-08-26,68,salamanca,24.5,0.8,0.0,775
SA,2020-08-27,95,salamanca,25.6,1.4,0.0,775
SA,2020-08-28,98,salamanca,20.8,3.1,0.0,775
SA,2020-08-29,104,salamanca,16.7,1.4,0.0,775
SA,2020-08-30,63,salamanca,15.2,1.7,0.0,775
SA,2020-08-31,57,salamanca,17.4,1.9,0.1,775
SA,2020-09-01,59,salamanca,21.0,1.1,0.0,775
SA,2020-09-02,69,salamanca,20.6,1.1,0.0,775
SA,2020-09-03,119,salamanca,22.0,1.1,0.0,775
SA,2020-09-04,97,salamanca,23.6,0.8,0.0,775
SA,2020-09-05,75,salamanca,24.5,0.6,0.0,775
SA,2020-09-06,89,salamanca,22.7,1.7,0.0,775
SA,2020-09-07,73,salamanca,18.5,2.5,0.0,775
SA,2020-09-08,89,salamanca,18.6,1.4,0.0,775
SA,2020-09-09,58,salamanca,20.0,0.8,0.0,775
SA,2020-09-10,133,salamanca,21.1,0.6,0.0,775
SA,2020-09-11,136,salamanca,22.0,0.8,0.0,775
SA,2020-09-23,58,salamanca,19.0,2.2,3.3,775
SA,2020-09-24,130,salamanca,16.2,3.6,0.0,775
SA,2020-09-25,107,salamanca,12.8,3.3,0.0,775
SA,2020-09-26,72,salamanca,12.9,3.1,0.0,775
SA,2020-09-27,40,salamanca,16.4,1.1,0.0,775
SA,2020-09-28,93,salamanca,15.0,0.8,0.0,775
SA,2020-09-29,108,salamanca,17.2,0.3,0.0,775
SA,2020-09-30,98,salamanca,17.3,1.9,0.0,775
SA,2020-10-01,106,salamanca,15.2,3.6,9.2,775
SA,2020-10-02,101,salamanca,11.6,4.7,2.3,775
SA,2020-10-03,81,salamanca,11.0,3.1,0.0,775
