provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
TF,2020-07-11,1,santaCruzDeTenerife,23.6,4.7,0.0,115
TF,2020-07-12,3,santaCruzDeTenerife,21.8,4.2,0.0,115
TF,2020-07-13,4,santaCruzDeTenerife,21.9,3.9,0.0,115
TF,2020-07-14,1,santaCruzDeTenerife,25.0,4.4,0.0,115
TF,2020-07-15,3,santaCruzDeTenerife,25.9,3.9,0.0,115
TF,2020-07-16,1,santaCruzDeTenerife,23.2,3.1,0.0,115
TF,2020-07-17,3,santaCruzDeTenerife,24.0,3.1,0.0,115
TF,2020-07-18,5,santaCruzDeTenerife,26.6,1.7,0.0,115
TF,2020-07-19,6,santaCruzDeTenerife,28.0,3.3,0.0,115
TF,2020-07-20,3,santaCruzDeTenerife,27.2,4.4,0.0,115
TF,2020-07-21,5,santaCruzDeTenerife,23.4,3.9,0.0,115
TF,2020-07-22,10,santaCruzDeTenerife,22.8,5.6,0.0,115
TF,2020-07-23,8,santaCruzDeTenerife,23.2,4.2,0.0,115
TF,2020-07-24,2,santaCruzDeTenerife,23.7,4.2,0.0,115
TF,2020-07-25,5,santaCruzDeTenerife,24.2,5.0,0.0,115
TF,2020-07-26,6,santaCruzDeTenerife,23.6,4.2,0.0,115
TF,2020-07-27,5,santaCruzDeTenerife,22.8,4.7,0.0,115
TF,2020-07-28,4,santaCruzDeTenerife,23.0,5.6,0.0,115
TF,2020-07-29,3,santaCruzDeTenerife,23.8,5.8,0.0,115
TF,2020-07-30,2,santaCruzDeTenerife,22.5,4.4,0.0,115
TF,2020-07-31,8,santaCruzDeTenerife,22.2,5.0,0.0,115
TF,2020-08-01,11,santaCruzDeTenerife,23.0,3.1,0.0,115
TF,2020-08-02,4,santaCruzDeTenerife,24.9,3.3,0.0,115
TF,2020-08-03,7,santaCruzDeTenerife,25.6,4.7,0.0,115
TF,2020-08-04,14,santaCruzDeTenerife,25.4,4.2,0.0,115
TF,2020-08-05,18,santaCruzDeTenerife,24.8,4.7,0.0,115
TF,2020-08-06,13,santaCruzDeTenerife,22.8,3.1,0.0,115
TF,2020-08-07,6,santaCruzDeTenerife,23.7,4.7,0.0,115
TF,2020-08-08,16,santaCruzDeTenerife,23.3,4.7,0.0,115
TF,2020-08-09,8,santaCruzDeTenerife,25.5,4.7,0.0,115
TF,2020-08-10,27,santaCruzDeTenerife,24.8,4.4,0.0,115
TF,2020-08-11,30,santaCruzDeTenerife,24.8,6.9,0.0,115
TF,2020-08-12,24,santaCruzDeTenerife,24.0,7.2,0.0,115
TF,2020-08-13,17,santaCruzDeTenerife,23.2,6.1,0.0,115
TF,2020-08-14,26,santaCruzDeTenerife,23.6,6.7,0.0,115
TF,2020-08-15,28,santaCruzDeTenerife,23.6,6.7,0.0,115
TF,2020-08-16,26,santaCruzDeTenerife,23.1,6.4,0.0,115
TF,2020-08-17,25,santaCruzDeTenerife,22.8,3.9,0.0,115
TF,2020-08-18,35,santaCruzDeTenerife,22.7,4.2,0.0,115
TF,2020-08-19,33,santaCruzDeTenerife,24.0,3.1,0.0,115
TF,2020-08-20,31,santaCruzDeTenerife,22.2,2.8,0.0,115
TF,2020-08-21,43,santaCruzDeTenerife,22.4,3.9,0.0,115
TF,2020-08-22,47,santaCruzDeTenerife,26.1,3.9,0.0,115
TF,2020-08-23,39,santaCruzDeTenerife,25.6,3.9,0.0,115
TF,2020-08-24,56,santaCruzDeTenerife,26.6,4.4,0.0,115
TF,2020-08-25,50,santaCruzDeTenerife,25.9,3.9,0.0,115
TF,2020-08-26,56,santaCruzDeTenerife,27.4,4.4,0.0,115
TF,2020-08-27,53,santaCruzDeTenerife,27.8,3.1,0.0,115
TF,2020-08-28,47,santaCruzDeTenerife,26.9,3.9,0.0,115
TF,2020-08-29,49,santaCruzDeTenerife,25.6,12.5,0.0,115
TF,2020-08-30,55,santaCruzDeTenerife,23.8,10.3,0.0,115
TF,2020-08-31,38,santaCruzDeTenerife,23.7,6.1,0.0,115
TF,2020-09-01,44,santaCruzDeTenerife,23.1,2.8,0.0,115
TF,2020-09-02,53,santaCruzDeTenerife,22.5,4.2,0.0,115
TF,2020-09-03,37,santaCruzDeTenerife,22.9,4.7,0.0,115
TF,2020-09-04,54,santaCruzDeTenerife,22.5,3.9,0.0,115
TF,2020-09-05,44,santaCruzDeTenerife,23.2,3.6,0.0,115
TF,2020-09-06,45,santaCruzDeTenerife,22.8,3.6,0.0,115
TF,2020-09-07,48,santaCruzDeTenerife,25.0,4.4,0.0,115
TF,2020-09-08,40,santaCruzDeTenerife,27.5,3.3,0.0,115
TF,2020-09-09,50,santaCruzDeTenerife,25.8,4.2,0.0,115
TF,2020-09-10,43,santaCruzDeTenerife,24.0,4.7,0.0,115
TF,2020-09-11,65,santaCruzDeTenerife,23.6,3.1,0.0,115
TF,2020-09-12,56,santaCruzDeTenerife,23.2,2.2,1.4,115
TF,2020-09-13,50,santaCruzDeTenerife,23.6,1.7,0.0,115
TF,2020-09-14,63,santaCruzDeTenerife,22.8,3.9,0.0,115
TF,2020-09-15,86,santaCruzDeTenerife,25.5,5.3,0.0,115
TF,2020-09-16,61,santaCruzDeTenerife,27.0,2.5,0.0,115
TF,2020-09-17,64,santaCruzDeTenerife,24.7,2.5,0.0,115
TF,2020-09-18,71,santaCruzDeTenerife,23.5,4.2,0.0,115
TF,2020-09-19,61,santaCruzDeTenerife,22.2,5.3,0.0,115
TF,2020-09-20,59,santaCruzDeTenerife,22.6,4.2,0.0,115
TF,2020-09-21,70,santaCruzDeTenerife,23.2,3.9,0.0,115
TF,2020-09-22,83,santaCruzDeTenerife,23.4,2.5,0.0,115
TF,2020-09-23,58,santaCruzDeTenerife,25.2,2.8,0.4,115
TF,2020-09-24,63,santaCruzDeTenerife,24.4,2.8,0.0,115
TF,2020-09-25,84,santaCruzDeTenerife,25.0,4.4,0.0,115
TF,2020-09-26,64,santaCruzDeTenerife,23.8,6.4,0.0,115
TF,2020-09-27,55,santaCruzDeTenerife,23.8,11.1,0.0,115
TF,2020-09-28,69,santaCruzDeTenerife,23.6,5.6,0.0,115
TF,2020-09-29,88,santaCruzDeTenerife,22.1,3.6,0.0,115
TF,2020-09-30,91,santaCruzDeTenerife,22.1,5.6,0.0,115
TF,2020-10-01,105,santaCruzDeTenerife,22.8,7.8,0.0,115
TF,2020-10-02,76,santaCruzDeTenerife,23.4,6.7,0.0,115
TF,2020-10-03,65,santaCruzDeTenerife,24.0,6.1,0.0,115
TF,2020-10-04,59,santaCruzDeTenerife,23.8,6.9,0.0,115
TF,2020-10-05,78,santaCruzDeTenerife,23.2,5.3,1.6,115
TF,2020-10-06,82,santaCruzDeTenerife,21.0,3.3,6.2,115
TF,2020-10-07,81,santaCruzDeTenerife,22.6,3.6,0.0,115
TF,2020-10-08,71,santaCruzDeTenerife,23.0,3.3,0.0,115
TF,2020-10-09,80,santaCruzDeTenerife,23.8,3.9,0.0,115
TF,2020-10-10,62,santaCruzDeTenerife,21.9,4.7,0.0,115
TF,2020-10-11,60,santaCruzDeTenerife,22.4,5.6,0.0,115
TF,2020-10-12,66,santaCruzDeTenerife,23.2,3.9,0.0,115
TF,2020-10-13,73,santaCruzDeTenerife,23.8,3.9,0.0,115
TF,2020-10-14,66,santaCruzDeTenerife,21.1,4.2,0.0,115
TF,2020-10-15,74,santaCruzDeTenerife,22.2,3.9,0.0,115
TF,2020-10-16,70,santaCruzDeTenerife,22.4,3.9,0.0,115
TF,2020-10-17,78,santaCruzDeTenerife,21.2,2.5,0.0,115
TF,2020-10-18,66,santaCruzDeTenerife,21.1,5.0,0.0,115
TF,2020-10-19,70,santaCruzDeTenerife,23.0,3.3,0.0,115
TF,2020-10-20,63,santaCruzDeTenerife,25.1,3.9,3.2,115
TF,2020-10-21,89,santaCruzDeTenerife,21.8,2.2,1.0,115
TF,2020-10-22,91,santaCruzDeTenerife,20.8,2.5,0.0,115
TF,2020-10-23,61,santaCruzDeTenerife,20.0,6.1,0.0,115
TF,2020-10-24,76,santaCruzDeTenerife,21.0,5.8,0.0,115
TF,2020-10-25,52,santaCruzDeTenerife,20.8,6.1,0.0,115
TF,2020-10-26,90,santaCruzDeTenerife,20.6,5.6,0.0,115
TF,2020-10-27,74,santaCruzDeTenerife,21.8,6.4,0.0,115
TF,2020-10-28,85,santaCruzDeTenerife,20.7,6.9,0.0,115
TF,2020-10-29,82,santaCruzDeTenerife,20.6,5.6,0.0,115
TF,2020-10-30,88,santaCruzDeTenerife,20.4,2.8,0.0,115
TF,2020-10-31,97,santaCruzDeTenerife,24.9,4.2,0.0,115
TF,2020-11-01,102,santaCruzDeTenerife,24.5,3.9,0.0,115
TF,2020-11-02,96,santaCruzDeTenerife,21.2,5.3,0.0,115
TF,2020-11-03,132,santaCruzDeTenerife,22.2,8.3,0.0,115
TF,2020-11-04,86,santaCruzDeTenerife,19.4,6.9,1.8,115
TF,2020-11-05,83,santaCruzDeTenerife,18.4,3.6,0.8,115
TF,2020-11-06,97,santaCruzDeTenerife,19.6,3.3,0.0,115
TF,2020-11-07,82,santaCruzDeTenerife,20.3,2.2,0.0,115
TF,2020-11-08,65,santaCruzDeTenerife,20.1,3.6,0.0,115
TF,2020-11-09,96,santaCruzDeTenerife,20.0,5.0,0.2,115
TF,2020-11-10,82,santaCruzDeTenerife,20.4,3.6,0.0,115
TF,2020-11-11,74,santaCruzDeTenerife,20.2,3.3,0.0,115
TF,2020-11-12,79,santaCruzDeTenerife,20.8,2.5,0.0,115
TF,2020-11-13,88,santaCruzDeTenerife,22.8,2.5,0.0,115
TF,2020-11-14,86,santaCruzDeTenerife,23.5,3.1,0.0,115
TF,2020-11-15,68,santaCruzDeTenerife,21.8,2.5,0.0,115
TF,2020-11-16,84,santaCruzDeTenerife,23.2,2.5,0.0,115
TF,2020-11-17,93,santaCruzDeTenerife,25.7,2.2,0.0,115
TF,2020-11-18,74,santaCruzDeTenerife,24.7,3.6,0.0,115
TF,2020-11-19,65,santaCruzDeTenerife,20.2,4.4,0.0,115
TF,2020-11-20,80,santaCruzDeTenerife,22.2,3.3,0.0,115
TF,2020-11-21,80,santaCruzDeTenerife,21.4,3.9,0.0,115
TF,2020-11-22,82,santaCruzDeTenerife,21.2,3.9,0.0,115
TF,2020-11-23,88,santaCruzDeTenerife,21.8,3.6,0.0,115
TF,2020-11-24,95,santaCruzDeTenerife,20.6,3.3,0.0,115
TF,2020-11-25,108,santaCruzDeTenerife,19.4,2.8,0.0,115
TF,2020-11-26,92,santaCruzDeTenerife,17.6,3.3,1.2,115
TF,2020-11-27,100,santaCruzDeTenerife,17.3,3.9,0.0,115
TF,2020-11-28,90,santaCruzDeTenerife,17.7,1.4,0.4,115
TF,2020-11-29,101,santaCruzDeTenerife,17.5,1.4,8.8,115
TF,2020-11-30,118,santaCruzDeTenerife,17.8,2.8,0.2,115
