provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
SG,2020-07-11,1,segovia,20.6,3.6,0.0,1798
SG,2020-07-12,0,segovia,18.2,5.0,3.2,1798
SG,2020-07-13,1,segovia,17.9,2.8,0.0,1798
SG,2020-07-14,3,segovia,16.5,1.9,0.0,1798
SG,2020-07-15,0,segovia,16.4,2.2,0.0,1798
SG,2020-07-16,1,segovia,18.6,2.5,0.0,1798
SG,2020-07-17,0,segovia,17.4,2.5,0.0,1798
SG,2020-07-18,1,segovia,18.0,2.8,0.0,1798
SG,2020-07-19,4,segovia,20.8,4.4,0.2,1798
SG,2020-07-20,2,segovia,21.3,3.1,0.0,1798
SG,2020-07-21,0,segovia,21.8,3.3,3.4,1798
SG,2020-10-28,56,segovia,6.3,1.9,0.2,1798
SG,2020-10-29,39,segovia,6.8,3.1,0.2,1798
SG,2020-10-30,41,segovia,6.2,2.8,0.0,1798
SG,2020-10-31,44,segovia,11.0,4.2,0.2,1798
