provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
SE,2020-07-11,1,sevilla,27.1,1.4,0.0,550
SE,2020-07-12,0,sevilla,27.2,1.1,0.0,550
SE,2020-07-13,4,sevilla,27.2,1.9,0.0,550
SE,2020-07-14,6,sevilla,27.0,2.5,0.0,550
SE,2020-07-15,8,sevilla,26.0,1.7,0.0,550
SE,2020-07-16,3,sevilla,27.7,1.7,0.0,550
SE,2020-07-17,5,sevilla,28.6,1.7,0.0,550
SE,2020-07-19,6,sevilla,27.2,1.9,0.0,550
SE,2020-07-20,11,sevilla,28.2,1.1,0.0,550
SE,2020-07-21,14,sevilla,26.2,1.4,9.1,550
SE,2020-07-22,12,sevilla,25.6,1.1,0.0,550
SE,2020-07-23,14,sevilla,27.8,1.4,0.0,550
SE,2020-07-24,34,sevilla,28.2,1.7,0.0,550
SE,2020-07-26,18,sevilla,29.1,1.4,0.0,550
SE,2020-07-27,20,sevilla,27.2,2.2,0.0,550
SE,2020-07-28,27,sevilla,27.6,1.4,0.0,550
SE,2020-07-29,23,sevilla,27.7,1.1,0.0,550
SE,2020-07-30,21,sevilla,27.2,1.4,0.0,550
SE,2020-07-31,26,sevilla,27.3,1.1,0.0,550
SE,2020-08-01,44,sevilla,29.3,2.2,0.0,550
SE,2020-08-02,29,sevilla,28.2,1.7,0.0,550
SE,2020-08-03,33,sevilla,25.9,1.4,0.0,550
SE,2020-08-04,54,sevilla,26.3,0.8,0.0,550
SE,2020-08-05,34,sevilla,27.4,0.8,0.0,550
SE,2020-08-06,28,sevilla,28.5,1.7,0.0,550
SE,2020-08-07,43,sevilla,26.8,1.4,0.0,550
SE,2020-08-08,41,sevilla,29.8,1.7,0.0,550
SE,2020-08-09,40,sevilla,27.4,1.4,0.0,550
SE,2020-08-10,59,sevilla,26.1,1.4,0.0,550
SE,2020-08-11,62,sevilla,25.2,2.2,0.0,550
SE,2020-08-12,55,sevilla,23.0,1.7,0.0,550
SE,2020-08-13,66,sevilla,23.4,2.2,0.0,550
SE,2020-08-14,103,sevilla,23.6,1.4,0.0,550
SE,2020-08-15,74,sevilla,22.1,1.4,0.0,550
SE,2020-08-16,51,sevilla,21.8,2.2,0.0,550
SE,2020-08-17,88,sevilla,23.9,1.9,0.0,550
SE,2020-08-18,116,sevilla,25.4,1.7,0.0,550
SE,2020-08-19,131,sevilla,25.9,1.4,0.0,550
SE,2020-08-20,107,sevilla,24.5,1.9,0.0,550
SE,2020-08-21,95,sevilla,25.2,1.7,0.0,550
SE,2020-08-22,113,sevilla,26.8,1.7,0.0,550
SE,2020-08-23,90,sevilla,25.3,1.7,0.0,550
SE,2020-08-24,151,sevilla,25.2,1.1,0.0,550
SE,2020-08-25,138,sevilla,26.0,0.6,0.0,550
SE,2020-08-26,148,sevilla,27.5,1.7,0.0,550
SE,2020-08-27,155,sevilla,27.6,2.2,0.0,550
SE,2020-08-28,152,sevilla,24.8,3.1,0.0,550
SE,2020-08-29,121,sevilla,20.2,2.8,0.0,550
SE,2020-08-30,117,sevilla,20.8,1.1,0.0,550
SE,2020-08-31,163,sevilla,23.2,1.1,0.0,550
SE,2020-09-01,183,sevilla,21.6,1.4,0.0,550
SE,2020-09-02,157,sevilla,22.0,1.4,0.0,550
SE,2020-09-03,181,sevilla,23.4,1.7,0.0,550
SE,2020-09-04,235,sevilla,23.8,1.4,0.0,550
SE,2020-09-05,200,sevilla,24.4,1.1,0.0,550
SE,2020-09-06,128,sevilla,25.6,1.4,0.0,550
SE,2020-09-07,199,sevilla,26.0,1.1,0.0,550
SE,2020-09-08,244,sevilla,23.8,1.1,0.0,550
SE,2020-09-09,271,sevilla,23.2,0.8,0.0,550
SE,2020-09-10,250,sevilla,23.5,1.7,0.0,550
SE,2020-09-11,304,sevilla,23.6,1.1,0.0,550
SE,2020-09-12,218,sevilla,24.8,1.4,0.0,550
SE,2020-09-13,206,sevilla,25.8,2.5,0.0,550
SE,2020-09-14,307,sevilla,25.1,2.2,0.0,550
SE,2020-09-15,273,sevilla,22.4,1.1,0.0,550
SE,2020-09-16,449,sevilla,21.2,1.4,0.0,550
SE,2020-09-17,299,sevilla,22.0,2.2,8.1,550
SE,2020-09-18,419,sevilla,17.9,1.9,30.0,550
SE,2020-09-19,323,sevilla,19.3,1.4,0.0,550
SE,2020-09-20,245,sevilla,18.5,1.1,0.0,550
SE,2020-09-21,336,sevilla,20.8,1.4,0.0,550
SE,2020-09-22,358,sevilla,20.4,1.1,0.3,550
SE,2020-09-23,379,sevilla,20.1,1.4,0.0,550
SE,2020-09-24,383,sevilla,18.4,1.7,1.3,550
SE,2020-09-25,359,sevilla,17.7,3.1,0.0,550
SE,2020-09-26,256,sevilla,17.6,1.4,0.0,550
SE,2020-09-27,176,sevilla,19.5,1.4,0.0,550
SE,2020-09-28,268,sevilla,19.4,0.3,0.0,550
SE,2020-09-29,392,sevilla,19.8,0.8,0.0,550
SE,2020-09-30,421,sevilla,19.0,0.8,0.0,550
SE,2020-10-01,460,sevilla,18.2,2.5,0.0,550
SE,2020-10-02,594,sevilla,13.6,5.0,4.5,550
SE,2020-10-03,343,sevilla,13.1,2.5,0.0,550
SE,2020-10-04,352,sevilla,13.4,1.4,0.0,550
SE,2020-10-05,547,sevilla,14.2,1.7,0.0,550
SE,2020-10-06,591,sevilla,17.9,1.4,0.0,550
SE,2020-10-07,493,sevilla,21.3,1.4,0.0,550
SE,2020-10-08,784,sevilla,20.8,0.8,0.0,550
SE,2020-10-09,776,sevilla,20.6,0.8,0.0,550
SE,2020-10-10,513,sevilla,20.6,1.1,0.0,550
SE,2020-10-11,457,sevilla,19.4,1.4,0.0,550
SE,2020-10-12,445,sevilla,14.8,1.7,0.0,550
SE,2020-10-13,664,sevilla,15.8,1.1,0.0,550
SE,2020-10-14,818,sevilla,13.2,1.4,0.0,550
SE,2020-10-15,947,sevilla,12.2,0.8,0.0,550
SE,2020-10-16,932,sevilla,13.0,1.4,0.0,550
SE,2020-10-17,735,sevilla,12.7,0.8,0.0,550
SE,2020-10-18,554,sevilla,15.0,0.8,0.0,550
SE,2020-10-19,965,sevilla,18.4,1.9,1.5,550
SE,2020-10-22,1156,sevilla,14.4,1.9,4.1,550
SE,2020-10-23,1275,sevilla,12.6,1.1,1.1,550
SE,2020-10-24,736,sevilla,13.0,1.4,0.1,550
SE,2020-10-25,592,sevilla,10.5,1.4,10.1,550
SE,2020-10-26,1124,sevilla,10.0,1.4,0.0,550
SE,2020-10-27,1115,sevilla,11.0,1.4,0.0,550
SE,2020-10-28,1210,sevilla,13.7,1.1,0.0,550
SE,2020-10-29,1190,sevilla,17.1,1.7,0.0,550
SE,2020-10-31,771,sevilla,16.8,1.1,0.0,550
SE,2020-11-01,639,sevilla,16.7,1.1,0.0,550
SE,2020-11-02,587,sevilla,17.5,0.8,0.0,550
SE,2020-11-03,957,sevilla,16.5,1.4,5.8,550
SE,2020-11-04,1057,sevilla,11.4,1.4,35.8,550
SE,2020-11-05,1049,sevilla,14.2,1.9,4.7,550
SE,2020-11-06,959,sevilla,16.7,2.5,11.1,550
SE,2020-11-07,599,sevilla,13.3,1.4,0.1,550
SE,2020-11-08,426,sevilla,13.4,1.4,16.0,550
SE,2020-11-09,827,sevilla,13.2,0.8,0.2,550
SE,2020-11-10,877,sevilla,13.4,1.7,0.1,550
SE,2020-11-11,904,sevilla,12.4,1.7,0.0,550
SE,2020-11-12,1002,sevilla,12.8,1.7,0.0,550
SE,2020-11-13,924,sevilla,12.4,1.1,1.9,550
SE,2020-11-14,505,sevilla,14.9,1.4,3.9,550
SE,2020-11-15,405,sevilla,17.0,0.6,0.0,550
SE,2020-11-16,641,sevilla,16.2,0.8,0.3,550
SE,2020-11-17,636,sevilla,15.4,0.6,0.2,550
SE,2020-11-18,481,sevilla,16.8,1.1,0.0,550
SE,2020-11-19,476,sevilla,17.2,1.9,0.0,550
SE,2020-11-20,442,sevilla,15.6,1.7,0.0,550
SE,2020-11-21,267,sevilla,11.7,1.7,0.0,550
SE,2020-11-22,153,sevilla,10.6,1.7,0.0,550
SE,2020-11-23,265,sevilla,9.4,1.4,0.0,550
SE,2020-11-24,269,sevilla,9.1,0.8,0.0,550
SE,2020-11-25,238,sevilla,9.2,1.7,30.5,550
SE,2020-11-26,243,sevilla,8.5,2.5,10.2,550
SE,2020-11-27,197,sevilla,8.4,1.1,2.6,550
SE,2020-11-28,117,sevilla,9.0,0.8,3.7,550
SE,2020-11-29,104,sevilla,11.4,1.7,13.3,550
SE,2020-11-30,179,sevilla,11.7,1.9,0.0,550
