provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
SO,2020-07-11,3,soria,21.4,2.5,0.4,1082
SO,2020-07-12,0,soria,21.5,1.4,5.8,1082
SO,2020-07-13,4,soria,20.2,3.9,0.0,1082
SO,2020-07-14,2,soria,18.4,3.3,0.0,1082
SO,2020-07-15,2,soria,16.6,3.9,0.0,1082
SO,2020-07-16,4,soria,19.8,2.8,0.0,1082
SO,2020-07-17,3,soria,20.3,4.2,0.0,1082
SO,2020-07-18,6,soria,20.8,1.9,0.0,1082
SO,2020-07-19,3,soria,23.3,2.2,0.0,1082
SO,2020-07-20,4,soria,24.6,1.7,0.0,1082
SO,2020-07-21,4,soria,25.4,2.5,1.8,1082
SO,2020-07-22,3,soria,24.1,2.8,0.0,1082
SO,2020-07-23,11,soria,24.0,1.9,0.6,1082
SO,2020-07-24,3,soria,23.0,2.2,0.0,1082
SO,2020-07-25,8,soria,22.9,2.2,0.0,1082
SO,2020-07-26,1,soria,24.8,1.9,0.0,1082
SO,2020-07-27,16,soria,26.2,2.2,0.0,1082
SO,2020-07-28,8,soria,26.8,2.2,0.0,1082
SO,2020-07-29,7,soria,25.2,1.9,7.6,1082
SO,2020-07-30,11,soria,25.7,1.9,8.6,1082
SO,2020-07-31,24,soria,24.8,1.7,0.0,1082
SO,2020-08-01,9,soria,24.9,3.1,0.0,1082
SO,2020-08-02,4,soria,20.2,4.2,0.0,1082
SO,2020-08-03,8,soria,18.4,3.1,0.0,1082
SO,2020-08-04,16,soria,19.5,3.3,0.0,1082
SO,2020-08-05,7,soria,22.4,1.9,0.0,1082
SO,2020-08-06,12,soria,23.8,1.7,0.0,1082
SO,2020-08-07,14,soria,26.4,1.9,0.0,1082
SO,2020-08-08,11,soria,26.2,1.7,0.0,1082
SO,2020-08-09,13,soria,25.6,2.8,0.0,1082
SO,2020-08-10,19,soria,22.2,3.3,0.8,1082
SO,2020-08-11,8,soria,21.4,1.9,8.2,1082
SO,2020-08-12,14,soria,17.3,1.4,0.6,1082
SO,2020-08-13,17,soria,19.8,1.9,0.0,1082
SO,2020-08-14,25,soria,21.4,1.7,0.0,1082
SO,2020-08-15,14,soria,20.7,3.1,0.0,1082
SO,2020-08-16,17,soria,18.4,3.6,0.0,1082
SO,2020-08-17,15,soria,19.4,2.2,0.0,1082
SO,2020-08-18,16,soria,20.0,2.2,0.0,1082
SO,2020-08-19,13,soria,22.7,2.8,0.0,1082
SO,2020-08-20,20,soria,21.0,2.8,0.0,1082
SO,2020-08-21,19,soria,23.0,2.5,4.8,1082
SO,2020-08-22,4,soria,21.4,1.9,0.0,1082
SO,2020-08-23,9,soria,20.0,2.2,0.0,1082
SO,2020-08-24,14,soria,20.6,1.7,0.0,1082
SO,2020-08-25,2,soria,22.5,1.9,0.0,1082
SO,2020-08-26,12,soria,24.2,2.8,0.0,1082
SO,2020-08-27,6,soria,24.4,1.7,0.0,1082
SO,2020-08-28,19,soria,19.9,3.1,0.0,1082
SO,2020-08-29,17,soria,14.5,1.4,2.0,1082
SO,2020-08-30,10,soria,11.6,3.1,0.0,1082
SO,2020-08-31,7,soria,14.4,1.9,0.0,1082
SO,2020-09-01,11,soria,17.2,2.5,0.0,1082
SO,2020-09-02,13,soria,18.2,2.8,0.0,1082
SO,2020-09-03,13,soria,18.0,1.1,0.0,1082
SO,2020-09-04,20,soria,21.2,1.1,0.0,1082
SO,2020-09-05,22,soria,21.0,3.1,0.0,1082
SO,2020-09-06,10,soria,18.6,2.8,0.0,1082
SO,2020-09-07,10,soria,15.2,3.9,0.0,1082
SO,2020-09-08,15,soria,15.8,2.5,0.0,1082
SO,2020-09-09,17,soria,17.6,2.2,0.0,1082
SO,2020-09-10,19,soria,20.0,2.5,0.0,1082
SO,2020-09-11,21,soria,20.4,2.2,0.0,1082
SO,2020-09-12,18,soria,19.2,1.9,0.0,1082
SO,2020-09-13,22,soria,21.0,1.7,0.0,1082
SO,2020-09-14,27,soria,20.5,1.7,0.2,1082
SO,2020-09-15,23,soria,20.4,1.7,0.0,1082
SO,2020-09-16,21,soria,20.3,0.8,0.0,1082
SO,2020-09-17,14,soria,20.5,2.5,6.2,1082
SO,2020-09-18,18,soria,17.2,3.3,5.0,1082
SO,2020-09-19,16,soria,14.7,3.3,5.6,1082
SO,2020-09-20,13,soria,15.0,2.8,0.8,1082
SO,2020-09-21,7,soria,15.6,1.4,0.0,1082
SO,2020-09-22,19,soria,15.3,1.7,0.0,1082
SO,2020-09-23,19,soria,15.0,1.7,2.8,1082
SO,2020-09-24,18,soria,14.3,4.4,0.0,1082
SO,2020-09-25,24,soria,10.4,3.6,0.0,1082
SO,2020-09-26,12,soria,10.2,3.3,1.2,1082
SO,2020-09-27,7,soria,10.0,2.2,0.0,1082
SO,2020-09-28,10,soria,11.8,1.4,0.0,1082
SO,2020-09-29,9,soria,14.4,1.4,0.0,1082
SO,2020-09-30,13,soria,14.6,2.2,0.0,1082
SO,2020-10-01,15,soria,13.0,3.6,12.8,1082
SO,2020-10-02,7,soria,8.6,5.8,7.6,1082
SO,2020-10-03,6,soria,8.2,4.4,0.2,1082
SO,2020-10-04,11,soria,10.2,3.1,3.4,1082
SO,2020-10-05,11,soria,11.2,3.1,0.0,1082
SO,2020-10-06,18,soria,14.6,3.9,0.0,1082
SO,2020-10-07,21,soria,16.2,1.9,0.0,1082
SO,2020-10-08,15,soria,15.2,1.1,0.0,1082
SO,2020-10-09,25,soria,15.9,1.7,0.0,1082
SO,2020-10-10,15,soria,12.7,3.9,0.0,1082
SO,2020-10-11,11,soria,9.8,3.1,0.0,1082
SO,2020-10-12,13,soria,10.5,1.1,0.0,1082
SO,2020-10-13,18,soria,13.0,2.2,0.0,1082
SO,2020-10-14,23,soria,9.2,1.7,0.0,1082
SO,2020-10-15,44,soria,7.0,1.9,0.4,1082
SO,2020-10-16,40,soria,6.4,0.8,0.0,1082
SO,2020-10-17,44,soria,7.8,1.9,0.0,1082
SO,2020-10-18,17,soria,9.6,0.6,0.0,1082
SO,2020-10-19,41,soria,10.9,2.8,2.8,1082
SO,2020-10-20,30,soria,12.8,1.9,12.4,1082
SO,2020-10-21,33,soria,12.0,4.2,3.4,1082
SO,2020-10-22,29,soria,11.8,2.8,2.6,1082
SO,2020-10-23,28,soria,9.3,2.8,0.2,1082
SO,2020-10-24,35,soria,9.8,2.5,0.0,1082
SO,2020-10-25,35,soria,8.8,3.9,8.2,1082
SO,2020-10-26,45,soria,6.8,4.2,0.0,1082
SO,2020-10-27,50,soria,6.6,4.7,0.4,1082
SO,2020-10-28,36,soria,12.2,2.2,0.4,1082
SO,2020-10-29,27,soria,11.0,1.4,0.0,1082
SO,2020-10-30,34,soria,10.4,1.4,0.0,1082
SO,2020-10-31,33,soria,10.9,1.9,0.0,1082
SO,2020-11-01,34,soria,14.4,2.2,0.0,1082
SO,2020-11-02,51,soria,14.0,1.7,3.2,1082
SO,2020-11-03,43,soria,7.6,4.2,0.8,1082
SO,2020-11-04,41,soria,6.8,3.6,0.4,1082
SO,2020-11-05,43,soria,9.2,3.3,2.8,1082
SO,2020-11-06,54,soria,11.4,3.6,21.4,1082
SO,2020-11-07,47,soria,10.2,2.8,3.0,1082
SO,2020-11-08,41,soria,9.0,1.4,0.0,1082
SO,2020-11-09,49,soria,9.7,1.9,0.2,1082
SO,2020-11-10,45,soria,8.8,1.4,0.0,1082
SO,2020-11-11,26,soria,8.2,1.7,0.0,1082
SO,2020-11-12,48,soria,9.7,0.8,0.0,1082
SO,2020-11-13,32,soria,10.3,1.1,0.0,1082
SO,2020-11-14,37,soria,6.8,1.1,0.0,1082
SO,2020-11-15,43,soria,11.7,3.3,3.2,1082
SO,2020-11-16,34,soria,10.6,0.8,0.0,1082
SO,2020-11-17,38,soria,10.8,1.4,0.0,1082
SO,2020-11-18,26,soria,11.2,1.9,0.0,1082
SO,2020-11-19,33,soria,10.4,2.8,0.0,1082
SO,2020-11-20,37,soria,7.6,3.3,0.0,1082
SO,2020-11-21,22,soria,8.8,1.4,0.0,1082
SO,2020-11-22,23,soria,7.3,0.6,0.0,1082
SO,2020-11-23,19,soria,8.1,0.6,0.0,1082
SO,2020-11-24,21,soria,6.0,1.7,0.0,1082
SO,2020-11-25,25,soria,3.8,1.1,0.0,1082
SO,2020-11-26,17,soria,8.0,3.6,0.4,1082
SO,2020-11-27,17,soria,8.2,2.5,1.0,1082
SO,2020-11-28,5,soria,8.2,1.1,0.0,1082
SO,2020-11-29,11,soria,6.0,0.8,0.0,1082
SO,2020-11-30,14,soria,5.8,0.6,0.0,1082
